#lambda/nm	C1
208.295	467.2
208.67	431.6
209.045	386.6
209.419	401
209.794	563.4
210.169	547.8
210.544	662.2
210.919	559.2
211.295	554
211.67	567.2
212.045	559.8
212.421	557.4
212.796	584.4
213.172	557.8
213.547	560.2
213.923	559.8
214.299	558.4
214.675	571.8
215.051	568.8
215.427	568
215.803	583.6
216.179	563
216.555	549
216.932	571.4
217.308	564.8
217.684	564.6
218.061	569.6
218.438	561.8
218.814	554
219.191	577.4
219.568	556
219.945	556.8
220.322	567.2
220.699	562
221.076	574.4
221.453	566.8
221.83	556.2
222.208	559.2
222.585	555.4
222.962	563.6
223.34	563.4
223.717	567.4
224.095	559
224.473	560.2
224.851	556.2
225.229	555.8
225.607	583.6
225.985	553.8
226.363	563
226.741	562.4
227.119	551.4
227.497	572.2
227.876	547.4
228.254	565.6
228.633	567.6
229.011	558.2
229.39	565.4
229.769	576.4
230.148	567.2
230.527	578.4
230.905	555.8
231.284	559.4
231.664	559
232.043	572.2
232.422	569.2
232.801	550.2
233.181	564.4
233.56	555.2
233.94	560.8
234.319	549.8
234.699	553.2
235.079	598.2
235.458	593.8
235.838	580.4
236.218	553.4
236.598	547.8
236.978	548.4
237.358	557
237.738	558.4
238.119	565.6
238.499	555.2
238.88	569.6
239.26	569.4
239.641	555.4
240.021	553.6
240.402	553.4
240.783	555.2
241.163	555.4
241.544	563.2
241.925	565.6
242.306	580.8
242.687	568
243.069	559.4
243.45	559.6
243.831	557.2
244.212	562.2
244.594	585
244.975	565.6
245.357	569.8
245.739	555.8
246.12	563.8
246.502	574.4
246.884	559.8
247.266	559.4
247.648	562.6
248.03	576
248.412	564.2
248.794	560.6
249.176	563.2
249.559	578.4
249.941	552.8
250.323	548.2
250.706	556.6
251.089	561
251.471	563
251.854	560.8
252.237	561.8
252.62	571
253.002	560.6
253.385	569.2
253.769	578.4
254.152	557
254.535	567.2
254.918	548.4
255.301	565.6
255.685	559.2
256.068	556.4
256.452	577.2
256.835	577
257.219	574.2
257.603	576.6
257.986	554.4
258.37	564
258.754	557
259.138	569.6
259.522	565.8
259.906	553.6
260.29	563.4
260.675	562.2
261.059	558
261.443	544.2
261.828	569.8
262.212	559.6
262.597	541.8
262.981	559
263.366	563.6
263.751	562.4
264.136	555.8
264.521	553.2
264.906	545.2
265.291	569.6
265.676	551.8
266.061	561.6
266.446	577.2
266.831	563.8
267.217	579.8
267.602	563.4
267.987	565.4
268.373	557.2
268.759	568.4
269.144	572.6
269.53	563.2
269.916	560.2
270.302	565.4
270.688	559.2
271.074	561.4
271.46	569.6
271.846	594
272.232	565.4
272.618	553.8
273.004	560.2
273.391	576.4
273.777	569.8
274.164	560.6
274.55	576.6
274.937	569.6
275.324	552
275.71	562.4
276.097	560
276.484	553.2
276.871	563.4
277.258	565.2
277.645	558.4
278.032	565.8
278.419	548.6
278.807	566.8
279.194	554.2
279.581	557.8
279.969	566.6
280.356	559.4
280.744	555.6
281.131	589.4
281.519	571
281.907	556.2
282.295	554.6
282.682	569.2
283.07	558.2
283.458	564.6
283.846	574.2
284.235	573.4
284.623	568.4
285.011	551.6
285.399	561.8
285.788	560
286.176	555.4
286.565	570
286.953	562.2
287.342	556
287.731	549.6
288.119	559
288.508	563.4
288.897	562.4
289.286	555.8
289.675	566.6
290.064	563
290.453	557
290.821	566.6
291.21	572.2
291.599	564.8
291.989	567.2
292.378	568.6
292.768	575.6
293.157	564.6
293.547	563.4
293.936	566.8
294.326	556.4
294.716	565.4
295.106	561.6
295.496	564.8
295.886	569.2
296.276	561.4
296.666	553.4
297.056	552
297.446	552
297.836	569.8
298.227	557.6
298.617	554.4
299.008	565.2
299.398	556.6
299.789	548
300.179	555.2
300.57	565.2
300.961	555
301.352	553.6
301.742	570.2
302.133	558
302.524	557.8
302.915	559
303.307	558.8
303.698	564
304.089	565.8
304.48	559.4
304.872	561
305.263	560
305.655	551.2
306.046	564.2
306.438	560.6
306.829	560.8
307.221	567.2
307.613	566.6
308.005	573.6
308.397	570.6
308.789	581.8
309.181	575.6
309.573	579
309.965	571.8
310.357	554.4
310.749	567.6
311.142	559.6
311.534	564.6
311.926	567.6
312.319	559.8
312.711	553.2
313.104	571.6
313.497	567.2
313.889	592.8
314.282	571.4
314.675	579
315.068	560
315.461	567.2
315.854	585.6
316.247	561.2
316.64	566.2
317.033	556.8
317.405	570.6
317.798	562
318.192	561.8
318.585	552
318.979	562.4
319.372	552.4
319.766	559.4
320.16	570.6
320.553	583
320.947	575.8
321.341	559
321.735	564
322.129	540.6
322.523	584.2
322.917	555.4
323.311	572.2
323.705	572.4
324.099	563.8
324.494	576.4
324.888	576.4
325.282	562.2
325.677	578
326.071	559.8
326.466	575.2
326.861	562.2
327.255	575.6
327.65	570.6
328.045	582.8
328.44	563.4
328.835	564.6
329.23	549.8
329.625	578.6
330.02	556.8
330.415	578.6
330.81	562.4
331.206	559
331.601	560.8
331.996	558
332.37	574.8
332.766	553
333.161	584.6
333.557	557.2
333.953	561.8
334.348	757.8
334.744	566.8
335.14	558
335.536	551.8
335.932	573.2
336.328	565.2
336.724	569.6
337.12	562.4
337.516	570.2
337.913	562.4
338.309	580.8
338.705	557
339.102	574.8
339.498	564.6
339.895	574
340.291	556.4
340.688	578
341.085	558.6
341.481	565.8
341.878	552
342.275	592.2
342.672	550.2
343.069	557
343.466	547.8
343.842	566.6
344.239	554.2
344.636	555
345.033	557.8
345.431	557.6
345.828	563
346.225	549
346.623	595.2
347.02	557.4
347.418	569.8
347.816	577
348.213	552.4
348.611	567.6
349.009	553.6
349.407	572.8
349.805	551.6
350.203	549.4
350.601	572.2
350.999	554.4
351.397	613.4
351.795	560
352.193	571.2
352.57	568.4
352.969	574.4
353.367	554.2
353.766	556.4
354.164	557.2
354.563	560.4
354.961	564.4
355.36	553.8
355.759	557.4
356.158	549.6
356.557	551
356.956	551.8
357.355	547
357.754	563.4
358.153	566.4
358.552	585.6
358.951	555.2
359.35	572.8
359.75	558
360.149	548.4
360.527	545.4
360.926	553.4
361.326	558.4
361.726	554
362.125	556.2
362.525	562.6
362.925	555
363.325	553.4
363.724	556.6
364.124	549.8
364.524	552
364.924	549
365.324	570.2
365.725	544.4
366.125	557.6
366.525	557.6
366.904	546.2
367.304	540.2
367.705	576.4
368.105	575.6
368.506	558.4
368.906	556.2
369.307	561.6
369.708	560.2
370.108	545.6
370.509	564.8
370.91	552.4
371.311	558.2
371.712	552.4
372.113	546
372.514	542.4
372.894	552
373.295	545.8
373.696	562.2
374.097	565.6
374.499	581.6
374.9	559.8
375.301	546.4
375.703	564.8
376.105	539.2
376.506	554.6
376.908	562.8
377.309	558
377.711	558.2
378.113	551.4
378.493	558.2
378.895	546.6
379.297	564
379.699	540.2
380.102	559.2
380.504	550.4
380.906	549.4
381.308	571.8
381.71	553.6
382.113	564.2
382.515	552.8
382.918	559.4
383.299	556.4
383.701	560.4
384.104	550.8
384.507	546.8
384.909	546
385.312	537.4
385.715	547.8
386.118	552
386.521	550.8
386.924	560.6
387.327	547.6
387.709	549.8
388.112	544
388.515	557.8
388.918	559.6
389.322	558.4
389.725	550.2
390.129	572.8
390.532	559
390.936	548.6
391.339	544.2
391.743	554.2
392.125	551.8
392.529	556.4
392.933	554.8
393.337	544
393.74	554.2
394.144	549.6
394.548	537.6
394.953	555.4
395.357	556
395.761	544.2
396.144	546.8
396.548	545.4
396.952	548
397.357	548.8
397.761	549.6
398.166	545.2
398.57	550.4
398.975	542.6
399.379	545.2
399.763	597.4
400.168	550.6
400.572	544.4
400.977	546.8
401.382	564
401.787	565.6
402.192	571.6
402.597	566.8
403.002	543.6
403.386	557
403.791	573.4
404.197	549.6
404.602	557.2
405.007	552.2
405.413	549.8
405.818	557.8
406.224	545.6
406.608	561.6
407.014	553.6
407.42	565.8
407.825	542.6
408.231	557.6
408.637	550.6
409.043	556.2
409.449	554.4
409.834	543.4
410.24	552.8
410.646	564
411.052	568.2
411.458	555.2
411.865	558
412.271	565.8
412.677	561.4
413.062	563
413.469	544.4
413.875	571.4
414.282	571
414.689	553.4
415.095	555.6
415.502	553.2
415.888	567.4
416.294	538
416.701	583.6
417.108	545.2
417.515	567.6
417.923	551
418.33	569.2
418.715	563
419.123	548.6
419.53	553.2
419.937	556.2
420.345	564
420.752	555.4
421.16	568.6
421.546	556.4
421.953	554.4
422.361	550.2
422.769	547.6
423.177	555.8
423.585	572.8
423.992	572.6
424.379	563.6
424.787	560.6
425.195	577.2
425.603	551
426.011	561.4
426.419	565.8
426.806	550.8
427.214	552.6
427.623	562.2
428.031	566.8
428.44	557.8
428.848	563.6
429.235	564.2
429.644	554.4
430.053	550.8
430.461	564.8
430.87	580
431.279	567.2
431.666	555.2
432.075	553.6
432.484	569
432.893	560
433.302	572.8
433.711	598.4
434.099	560.4
434.508	551.4
434.918	555.4
435.327	561.2
435.737	562.4
436.125	559
436.534	575.6
436.944	566.6
437.353	567.2
437.763	598
438.173	563.6
438.561	583.8
438.971	559.6
439.381	576
439.791	594
440.201	570.8
440.589	594.6
440.999	596.4
441.409	589.8
441.819	596.2
442.23	618.4
442.619	609
443.029	614
443.439	616.6
443.85	625
444.26	636
444.649	627.4
445.06	623.8
445.471	616
445.881	623.8
446.292	642.6
446.682	648.8
447.092	625
447.503	678.2
447.914	642
448.325	646.8
448.715	639
449.126	630.8
449.537	641.2
449.948	654.2
450.338	652.2
450.75	654.8
451.161	664.4
451.572	669.8
451.984	652.8
452.374	642.2
452.786	659.6
453.197	665
453.609	678.6
453.999	659.6
454.411	654.8
454.823	674
455.235	675.4
455.647	671
456.037	672.8
456.449	660.6
456.862	678
457.274	677.6
457.665	667.2
458.077	676.6
458.489	701
458.902	680.4
459.293	686.2
459.705	689.4
460.118	679.4
460.53	692
460.921	681.6
461.334	691.2
461.747	686
462.16	699.4
462.551	707.4
462.964	693.4
463.377	676.2
463.79	687.2
464.182	707.2
464.595	686.6
465.008	704
465.421	698
465.813	693.4
466.226	716.8
466.64	698.4
467.053	745
467.445	722.2
467.859	735
468.272	711.2
468.686	720.4
469.078	702.4
469.492	698.8
469.906	708.4
470.298	721.4
470.712	702.6
471.126	729
471.54	711.2
471.933	708.2
472.347	714.4
472.761	713.6
473.175	712
473.568	719.6
473.982	709.4
474.397	713
474.79	712.2
475.204	715.8
475.619	710
476.033	710
476.426	712
476.841	706.6
477.256	742.8
477.649	712.2
478.064	695.6
478.479	707.6
478.872	715.2
479.287	704
479.702	711
480.118	711.4
480.511	709
480.927	709
481.342	705.8
481.736	711.6
482.151	715.4
482.566	720.4
482.96	706.2
483.376	716.6
483.792	706.4
484.186	709.2
484.602	704.8
485.017	704.8
485.412	699.6
485.827	709
486.243	717.8
486.638	737.8
487.054	709
487.47	728.6
487.865	698.6
488.281	698.6
488.697	696
489.092	696.4
489.508	685.6
489.925	702.8
490.32	686.6
490.736	703
491.153	701
491.548	696.6
491.964	697.4
492.381	680.6
492.776	701.4
493.193	693.4
493.61	698.8
494.006	690.6
494.422	697.8
494.84	680.8
495.235	683.6
495.652	686.6
496.069	691
496.465	681.4
496.883	685.8
497.3	714.4
497.696	681.8
498.113	687
498.509	666.2
498.927	669.6
499.344	669.4
499.741	676.2
500.158	688.4
500.576	679.4
500.973	676.4
501.39	673.8
501.787	665.4
502.205	668.8
502.623	677
503.02	675.8
503.438	669.8
503.856	662
504.253	658.8
504.671	671
505.068	663.4
505.486	656.4
505.905	674.2
506.302	659.6
506.72	669.8
507.118	652.6
507.536	652.4
507.955	645.6
508.352	661.8
508.771	663.4
509.169	658.2
509.587	641.2
510.006	652.6
510.404	634.8
510.823	644.8
511.221	648.2
511.64	642
512.038	655.8
512.457	642.2
512.877	639.8
513.275	639
513.694	650
514.092	636.4
514.512	648.6
514.91	647.4
515.33	642.4
515.749	642
516.148	640
516.568	638.4
516.966	629
517.386	633.6
517.785	634.8
518.205	621.4
518.603	628
519.024	624
519.444	633.4
519.843	631
520.263	649.6
520.662	632
521.082	625
521.481	627.2
521.902	626.8
522.301	622.2
522.722	624.6
523.121	622.2
523.542	611.8
523.963	621.2
524.362	602.6
524.783	621
525.183	614
525.604	614.6
526.003	612.8
526.425	603.8
526.824	623.2
527.246	618.4
527.646	620.8
528.067	615.2
528.467	613.2
528.888	611.4
529.289	605.8
529.71	603.2
530.11	605
530.532	605.4
530.932	595.8
531.354	599.2
531.755	638
532.176	615.8
532.577	602.8
532.999	595.8
533.4	597.2
533.822	610.6
534.223	611
534.645	598.8
535.046	600
535.468	600.2
535.869	614.2
536.292	600.4
536.693	634
537.115	600.8
537.516	601.8
537.939	600
538.34	621.6
538.742	601.6
539.165	601.8
539.566	601.2
539.989	598.8
540.391	594.8
540.814	597
541.216	591.6
541.639	592.2
542.041	599.8
542.464	593
542.866	577.8
543.268	586.2
543.691	594.8
544.093	586.8
544.517	610.2
544.919	582.4
545.343	620.4
545.745	583.6
546.147	589.8
546.571	587.6
546.974	584.6
547.398	579
547.8	594.4
548.224	587.6
548.627	584.4
549.03	595.4
549.454	581.8
549.857	579.4
550.281	583.8
550.684	578
551.087	591.2
551.512	590.6
551.915	585.6
552.34	583.2
552.743	582.6
553.146	587
553.571	576
553.975	598.2
554.399	580.2
554.803	629.4
555.207	578.8
555.632	572.6
556.036	574.4
556.461	576
556.865	580.4
557.268	573.4
557.694	570
558.098	576
558.502	581.4
558.927	564.8
559.332	570.8
559.736	568
560.162	579.6
560.566	562.8
560.992	575.6
561.396	571.8
561.801	570.2
562.227	572
562.631	575.8
563.036	580.4
563.462	579
563.867	563.6
564.272	561.6
564.698	567.4
565.103	551.6
565.508	590
565.935	572
566.34	564.2
566.745	579.2
567.172	566
567.577	579.4
567.982	579.6
568.409	572.8
568.815	559.2
569.22	568.8
569.626	567.4
570.053	553.8
570.459	568.4
570.865	570.8
571.292	572.8
571.698	572.8
572.104	555.2
572.531	566.8
572.937	568.2
573.343	561.6
573.75	565.2
574.177	565.6
574.583	565.2
574.99	562.6
575.396	574.2
575.824	562.2
576.231	569.6
576.637	559.8
577.065	580.8
577.472	553
