#lambda/nm	C1
208.295	470.4
208.67	435.4
209.045	394
209.419	398.6
209.794	556.8
210.169	545
210.544	663.2
210.919	561.6
211.295	559.2
211.67	563.2
212.045	549.8
212.421	556
212.796	590
213.172	561.6
213.547	562.4
213.923	555
214.299	556
214.675	562.8
215.051	566.2
215.427	572.2
215.803	580.4
216.179	559.4
216.555	559.4
216.932	564.2
217.308	561.6
217.684	561.8
218.061	574.2
218.438	570.4
218.814	559.8
219.191	575.4
219.568	555.8
219.945	556.8
220.322	568.2
220.699	564.2
221.076	568.2
221.453	563.4
221.83	561.4
222.208	554.8
222.585	557
222.962	566.8
223.34	566.6
223.717	565
224.095	556.2
224.473	564.4
224.851	566.6
225.229	558.6
225.607	575.6
225.985	549
226.363	565.8
226.741	563.6
227.119	559.8
227.497	577.6
227.876	549.6
228.254	568.8
228.633	560
229.011	568
229.39	563
229.769	571.8
230.148	560.8
230.527	590
230.905	557.2
231.284	559.2
231.664	569.4
232.043	573.8
232.422	566.4
232.801	554
233.181	569.8
233.56	562.4
233.94	556
234.319	552
234.699	562.8
235.079	596.4
235.458	600
235.838	575.8
236.218	549.8
236.598	543.2
236.978	563.6
237.358	554.2
237.738	552
238.119	569.8
238.499	555.4
238.88	570.2
239.26	577.6
239.641	561
240.021	559.6
240.402	557.8
240.783	556.4
241.163	554.6
241.544	563.4
241.925	556.6
242.306	576.4
242.687	565.2
243.069	560.2
243.45	556.4
243.831	556.4
244.212	558
244.594	587.4
244.975	570
245.357	564.4
245.739	557
246.12	560.8
246.502	567.2
246.884	570
247.266	567.6
247.648	563.6
248.03	582.6
248.412	562.6
248.794	571
249.176	557
249.559	570.2
249.941	559.2
250.323	553.6
250.706	545.4
251.089	574.8
251.471	565.6
251.854	556.6
252.237	569.2
252.62	575.4
253.002	562.8
253.385	554.4
253.769	574.6
254.152	559
254.535	566
254.918	552
255.301	559.8
255.685	563.6
256.068	552.4
256.452	582.8
256.835	570.2
257.219	574.8
257.603	569
257.986	558.2
258.37	572.4
258.754	555
259.138	570.8
259.522	575.8
259.906	564.2
260.29	559.6
260.675	552.4
261.059	566.6
261.443	557.8
261.828	569
262.212	562.4
262.597	556.4
262.981	558.4
263.366	568.2
263.751	561.2
264.136	559.8
264.521	559.2
264.906	555.4
265.291	577
265.676	564.4
266.061	568
266.446	575.2
266.831	568.6
267.217	571.6
267.602	560.6
267.987	564.4
268.373	559.8
268.759	574.4
269.144	571.8
269.53	565
269.916	562.4
270.302	554.8
270.688	562
271.074	560.4
271.46	573.6
271.846	596.2
272.232	565.2
272.618	556.8
273.004	560.4
273.391	575.8
