#lambda/nm	C1
208.295	477
208.67	434.8
209.045	393.8
209.419	403.8
209.794	569.6
210.169	555.6
210.544	662.4
210.919	583.2
211.295	564.4
211.67	574
212.045	568.6
212.421	570.2
212.796	606.2
213.172	557.6
213.547	565.8
213.923	566.4
214.299	567.2
214.675	575.4
215.051	573.6
215.427	575.6
215.803	595.4
216.179	576
216.555	560.4
216.932	571.8
217.308	574
217.684	568
218.061	577
218.438	576.8
218.814	562
219.191	580
219.568	563
219.945	569.2
220.322	575.2
220.699	567
221.076	581.8
221.453	574
221.83	573.2
222.208	567.8
222.585	572.4
222.962	570.2
223.34	565.4
223.717	565
224.095	560.8
224.473	570.8
224.851	576
225.229	563.8
225.607	591.6
225.985	562
226.363	579.6
226.741	570.6
227.119	567.8
227.497	583.4
227.876	563.6
228.254	574.2
228.633	579.8
229.011	572.2
229.39	573.4
229.769	568
230.148	569.6
230.527	585.8
230.905	566.6
231.284	573
231.664	568.4
232.043	584.4
232.422	578.8
232.801	562.8
233.181	576
233.56	562.6
233.94	564.6
234.319	559
234.699	563.8
235.079	607.4
235.458	600.4
235.838	574.4
236.218	558.2
236.598	553.4
236.978	571.4
237.358	562.4
237.738	568.4
238.119	581
238.499	556
238.88	573.8
239.26	587.6
239.641	556.2
240.021	572.6
240.402	571.8
240.783	568.4
241.163	566
241.544	567.2
241.925	570.6
242.306	585.8
242.687	569
243.069	571.8
243.45	576.4
243.831	571.8
244.212	563.8
244.594	604.2
244.975	574.8
245.357	568.6
245.739	574
246.12	573.2
246.502	582.8
246.884	566
247.266	572
247.648	576.6
248.03	597.6
248.412	582
248.794	572.2
249.176	571.4
249.559	581.2
249.941	564.8
250.323	561.2
250.706	565.2
251.089	567.8
251.471	577
251.854	571.6
252.237	572.6
252.62	583.6
253.002	573
253.385	569
253.769	588.6
254.152	567.2
254.535	569
254.918	568.6
255.301	572.6
255.685	571
256.068	552.8
256.452	596.4
256.835	584
257.219	584.8
257.603	583.8
257.986	564.4
258.37	575.4
258.754	564.6
259.138	580.8
259.522	582
259.906	567.6
260.29	569.6
260.675	565.8
261.059	579
261.443	565.8
261.828	579.4
262.212	572.6
262.597	557.4
262.981	568.8
263.366	571.4
263.751	573
264.136	568
264.521	574.8
264.906	562
265.291	576.6
265.676	566.8
266.061	586
266.446	588.6
266.831	581.4
267.217	586.8
267.602	576.2
267.987	576.2
268.373	575.6
268.759	584
269.144	574
269.53	568.6
269.916	564
270.302	567
270.688	574.8
271.074	577.2
271.46	579.6
271.846	595
272.232	564.2
272.618	568
273.004	567
273.391	577.4
273.777	586.2
274.164	569.8
274.55	586.6
274.937	571.4
275.324	565.4
275.71	575
276.097	579.8
276.484	562.2
276.871	575.2
277.258	574
277.645	567
278.032	564.2
278.419	565.2
278.807	570.4
279.194	568.4
279.581	561.6
279.969	573.6
280.356	571
280.744	566.4
281.131	587.2
281.519	583
281.907	566.4
282.295	571
282.682	578.8
283.07	571.2
283.458	584
283.846	578.4
284.235	580
284.623	580.6
285.011	559.2
285.399	571.2
285.788	573.2
286.176	566.4
286.565	586.2
286.953	556
287.342	572.6
287.731	569.8
288.119	565.6
