#lambda/nm	C1
208.295	474.6
208.67	431.2
209.045	399.2
209.419	402.2
209.794	565.6
210.169	548.2
210.544	666.6
210.919	569.8
211.295	561.4
211.67	571.6
212.045	568
212.421	562
212.796	600.2
213.172	559.4
213.547	564.8
213.923	573.8
214.299	563.8
214.675	574.4
215.051	572.2
215.427	570
215.803	582.6
216.179	567.6
216.555	563.4
216.932	573.8
217.308	571.6
217.684	570.6
218.061	571.6
218.438	575.2
218.814	562.4
219.191	573.8
219.568	554.8
219.945	563.6
220.322	568
220.699	576.2
221.076	581.8
221.453	574
221.83	567.2
222.208	571.4
222.585	562.4
222.962	580
223.34	577.8
223.717	571.8
224.095	570.8
224.473	578.4
224.851	568.2
225.229	559.4
225.607	586.6
225.985	561.8
226.363	575
226.741	567
227.119	571.2
227.497	588
227.876	564.4
228.254	583.4
228.633	580.4
229.011	574.2
229.39	583
229.769	579
230.148	575.6
230.527	590.6
230.905	573.4
231.284	579.4
231.664	572.2
232.043	589.6
232.422	576.8
232.801	572
233.181	581.8
233.56	577.6
233.94	573.6
234.319	557.4
234.699	557.8
235.079	613.6
235.458	611
235.838	582.2
236.218	567.8
236.598	561.6
236.978	562
237.358	567.8
237.738	570.2
238.119	579
238.499	564.8
238.88	573.2
239.26	578.6
239.641	562.4
240.021	560.4
240.402	562.6
240.783	567.2
241.163	566.6
241.544	577.4
241.925	571.4
242.306	588.8
242.687	578
243.069	572.6
243.45	578.2
243.831	568.4
244.212	570.6
244.594	609
244.975	581
245.357	577.4
245.739	566.6
246.12	567.4
246.502	575.6
246.884	566.4
247.266	568.6
247.648	578.4
248.03	592.8
248.412	583.4
248.794	588.2
249.176	566.4
249.559	583.2
249.941	572.2
250.323	561.8
250.706	567
251.089	568.6
251.471	575.6
251.854	571.6
252.237	569.6
252.62	576.8
253.002	563.2
253.385	570
253.769	588.4
254.152	573.6
254.535	576.2
254.918	562.8
255.301	578.4
255.685	572.4
256.068	562.6
256.452	593.2
256.835	581.6
257.219	580.2
257.603	588.4
257.986	552.4
258.37	575.4
258.754	562.8
259.138	579.6
259.522	585
259.906	571.2
260.29	573
260.675	568.8
261.059	579
261.443	558.6
261.828	571.2
262.212	581
262.597	565.4
262.981	567.4
263.366	580
263.751	573.6
264.136	573.2
264.521	569.6
264.906	570.6
265.291	579.6
265.676	569.6
266.061	577.6
266.446	582.4
266.831	570.4
267.217	585.4
267.602	579
267.987	569.2
268.373	561.8
268.759	579.2
269.144	571
269.53	572.6
269.916	562.6
270.302	570
270.688	577.4
271.074	572.8
271.46	578.4
271.846	598.6
272.232	574.4
272.618	570
273.004	570
273.391	589.4
273.777	587.6
274.164	577.8
274.55	584.8
274.937	572.2
275.324	566.6
275.71	574
276.097	569.4
276.484	563.4
276.871	573.2
277.258	573.8
277.645	560.2
278.032	573.8
278.419	568.2
278.807	572.6
279.194	567.4
279.581	566
279.969	579.2
280.356	573.4
280.744	574.2
281.131	610.8
281.519	584.6
281.907	578
282.295	564.2
282.682	586.2
283.07	573.8
283.458	580.4
283.846	587.6
284.235	585.8
284.623	583.8
285.011	560.4
285.399	578
285.788	574.4
286.176	569
286.565	582
286.953	569.6
287.342	570.4
287.731	563.2
288.119	564.6
288.508	565.2
288.897	576.6
289.286	554.2
289.675	570.4
290.064	584.2
290.453	569.8
290.821	570.6
291.21	586.4
291.599	573.8
291.989	574
292.378	577
292.768	592.4
293.157	579.6
293.547	577.6
293.936	575
294.326	568.8
294.716	578.8
295.106	561.6
295.496	583.6
