#lambda/nm	C1
208.295	473
208.67	433.2
209.045	396.4
209.419	408.4
209.794	570.2
210.169	559.4
210.544	669.6
210.919	580
211.295	570.4
211.67	576
212.045	571
212.421	566.8
212.796	599
213.172	562.6
213.547	564.4
213.923	568.6
214.299	574.8
214.675	584.8
215.051	578
215.427	579
215.803	587
216.179	582
216.555	567.2
216.932	577.4
217.308	577
217.684	571.6
218.061	576.4
218.438	575
218.814	570
219.191	574.8
219.568	562
219.945	570.4
220.322	578
220.699	583.4
221.076	581.6
221.453	578
221.83	567
222.208	566.2
222.585	565.2
222.962	565.8
223.34	570.2
223.717	575.2
224.095	576
224.473	570.2
224.851	569
225.229	566.2
225.607	587.4
225.985	560.2
226.363	575
226.741	572.2
227.119	568.6
227.497	584.4
227.876	556.6
228.254	576.8
228.633	579.8
229.011	581.4
229.39	583.2
229.769	574.4
230.148	579
230.527	588.8
230.905	571.2
231.284	581.4
231.664	577.4
232.043	589.2
232.422	573.2
232.801	568.4
233.181	575.6
233.56	574.6
233.94	572.4
234.319	565
234.699	574
235.079	605.4
235.458	606.4
235.838	578.2
236.218	564
236.598	567.6
236.978	566.4
237.358	571.4
237.738	569.4
238.119	584
238.499	564.6
238.88	573.6
239.26	587.6
239.641	560
240.021	564.4
240.402	573.8
240.783	580.8
241.163	566
241.544	572.8
241.925	574
242.306	587.2
242.687	576.4
243.069	571
243.45	578.4
243.831	572.4
244.212	570.8
244.594	602.6
244.975	585
245.357	577
245.739	567.8
246.12	581.6
246.502	591
246.884	568
247.266	570.6
247.648	582.2
248.03	596.2
248.412	576.6
248.794	577.4
249.176	570.4
249.559	576
249.941	565.4
250.323	562.4
250.706	563
251.089	566.6
251.471	565.4
251.854	568.2
252.237	566.2
252.62	582.4
253.002	569
253.385	566.6
253.769	581.2
254.152	567.6
254.535	571
254.918	564.6
255.301	567
255.685	564.4
256.068	570
256.452	598.2
256.835	578
257.219	580.4
257.603	576.6
257.986	563.4
258.37	573.8
258.754	567
259.138	578.6
259.522	577.8
259.906	569
260.29	574.4
260.675	570.4
261.059	578.4
261.443	562.8
261.828	571.8
262.212	575.6
262.597	560.8
262.981	564
263.366	580.4
263.751	575.4
264.136	563.8
264.521	571.8
264.906	561.6
265.291	570.6
265.676	566.2
266.061	577.8
266.446	591.6
266.831	574.2
267.217	587.8
267.602	565.6
267.987	563.6
268.373	559.6
268.759	575.6
269.144	576.4
269.53	567
269.916	561
270.302	570.4
270.688	571.2
271.074	575.8
271.46	584.2
271.846	607.2
272.232	569.2
272.618	563
273.004	571
273.391	586.8
273.777	585.8
274.164	571.2
274.55	578.6
274.937	571.8
275.324	568.4
275.71	577.6
276.097	571.6
276.484	571.2
276.871	571.4
277.258	582.4
277.645	564.8
278.032	567.4
278.419	562.4
278.807	572.4
279.194	565
279.581	562.4
279.969	571.6
280.356	575
280.744	567.6
281.131	596
281.519	584.4
281.907	571
282.295	564.6
282.682	585.8
283.07	573.8
283.458	581.4
283.846	588.2
284.235	576.2
284.623	579.4
285.011	561.8
285.399	576.2
285.788	572.2
286.176	561.2
286.565	582.8
286.953	565
287.342	574
287.731	565.2
288.119	568.4
288.508	566.4
288.897	571.4
289.286	564.2
289.675	569
290.064	580
290.453	564.2
