#lambda/nm	C1
208.295	477.2
208.67	433.6
209.045	395.2
209.419	402
209.794	562
210.169	551.6
210.544	662.8
210.919	569.6
211.295	561.4
211.67	572.8
212.045	566.4
212.421	566.8
212.796	602.6
213.172	568.6
213.547	568.2
213.923	571.6
214.299	564.4
214.675	581
215.051	574.2
215.427	575.4
215.803	582.6
216.179	574
216.555	552.2
216.932	581
217.308	572.4
217.684	569.2
218.061	570.2
218.438	567.2
218.814	562
219.191	576.6
219.568	565.2
219.945	561.8
220.322	572.6
220.699	571.6
221.076	572.2
221.453	565
221.83	566.6
222.208	564.6
222.585	564.2
222.962	570
223.34	565.2
223.717	568.6
224.095	567
224.473	574.8
224.851	557.4
225.229	561.8
225.607	595
225.985	562.2
226.363	578.2
226.741	570.2
227.119	569.6
227.497	581
227.876	554.2
228.254	569.6
228.633	578.8
229.011	571.4
229.39	571.4
229.769	573.8
230.148	582.6
230.527	589.4
230.905	562.6
231.284	579.2
231.664	569.6
232.043	587.2
232.422	576.8
232.801	567.6
233.181	577.4
233.56	571.4
233.94	572
234.319	563.4
234.699	574.8
235.079	609.8
235.458	599.6
235.838	589
236.218	561.2
236.598	558
236.978	564.6
237.358	560.2
237.738	558.4
238.119	578.6
238.499	555
238.88	568.6
239.26	578.2
239.641	562.2
240.021	562
240.402	573
240.783	571.8
241.163	564.4
241.544	577.8
241.925	562.4
242.306	580.4
242.687	577.6
243.069	572.6
243.45	577.4
243.831	565.2
244.212	566.6
244.594	602.2
244.975	571.6
245.357	570.6
245.739	564.4
246.12	577.6
246.502	581.6
246.884	569.6
247.266	564.6
247.648	567.8
248.03	586.6
248.412	578.2
248.794	568.2
249.176	560.8
249.559	575
249.941	566.2
250.323	563.8
250.706	564
251.089	570.6
251.471	576.6
251.854	572.4
252.237	573.2
252.62	585.2
253.002	570.6
253.385	565.2
253.769	579.2
254.152	570.4
254.535	577.4
254.918	560.4
255.301	568.2
255.685	570.2
256.068	565
256.452	592.2
256.835	577.2
257.219	578.8
257.603	575.8
257.986	567.6
258.37	576.8
258.754	557.2
259.138	570.6
259.522	572.2
259.906	566.2
260.29	574.8
260.675	566
261.059	575.4
261.443	558.2
261.828	577
262.212	578.6
262.597	556.2
262.981	567.6
263.366	583.6
263.751	574.8
264.136	563.2
264.521	566.2
264.906	562.4
265.291	582.6
265.676	568
266.061	577.2
266.446	595
266.831	573.6
267.217	583.4
267.602	571.8
267.987	578.8
268.373	566.8
268.759	577.6
269.144	576.6
269.53	569.4
269.916	564.2
270.302	571.8
270.688	576.6
271.074	574.8
271.46	577.8
271.846	605
272.232	572.2
272.618	564.6
273.004	570.2
273.391	570
273.777	585.2
274.164	582.4
274.55	577
274.937	571
275.324	569.2
275.71	574.8
276.097	573
276.484	567.2
276.871	570.8
277.258	574.8
277.645	567.4
278.032	565.8
278.419	573.8
278.807	577.2
279.194	562.8
279.581	567
279.969	578.2
280.356	571
280.744	568.2
281.131	594.2
281.519	579.2
281.907	568.2
282.295	572.8
282.682	582.6
283.07	572.8
283.458	574.8
283.846	576.4
284.235	581.4
284.623	574
285.011	569.4
285.399	572.8
285.788	569
286.176	559.6
286.565	585.4
286.953	565.4
287.342	568.2
287.731	568.8
288.119	562.8
288.508	566
288.897	572
289.286	559.4
289.675	574.2
290.064	586.4
290.453	564.8
290.821	566
291.21	584.8
291.599	560.4
291.989	570.2
292.378	579
292.768	585.4
293.157	573.4
293.547	578.6
293.936	563.8
294.326	559.4
294.716	565.8
295.106	574.6
295.496	577.4
295.886	583.4
296.276	568.2
296.666	559
297.056	561.8
297.446	560
297.836	584.2
298.227	566.8
298.617	575.2
299.008	575.2
299.398	571
299.789	559.8
300.179	577.2
300.57	580.8
300.961	567.8
301.352	567
301.742	578.8
302.133	562.4
302.524	568.8
302.915	577.4
303.307	557.2
303.698	580.6
304.089	579.6
304.48	566.2
304.872	572.6
305.263	561.4
305.655	560.2
306.046	574.6
306.438	567.2
306.829	571.4
307.221	581.4
307.613	582
308.005	573.8
308.397	577.2
308.789	586.6
309.181	591.4
309.573	585.6
309.965	579.2
310.357	569.4
310.749	565.2
311.142	575.2
311.534	567.4
311.926	574.8
312.319	573.4
312.711	559.4
313.104	588.2
313.497	567.6
313.889	610
314.282	583.6
314.675	600.6
315.068	574.6
315.461	585
315.854	606.4
316.247	574.6
316.64	572
317.033	571.2
317.405	587.2
317.798	572.6
318.192	573
318.585	566.2
318.979	580.6
319.372	564.8
319.766	561
320.16	585.6
320.553	589.6
320.947	589.8
321.341	567.4
321.735	572.8
322.129	559.8
322.523	595.4
322.917	566.8
323.311	583.6
323.705	576.4
324.099	567.2
324.494	590.4
324.888	582.4
325.282	572.8
325.677	584.6
326.071	580
326.466	578.8
326.861	582
327.255	580.6
327.65	586.4
328.045	579.8
328.44	575.2
328.835	574.6
329.23	571.6
329.625	597.6
330.02	558.6
330.415	585.4
330.81	579.8
331.206	573.6
331.601	567.4
331.996	579.6
332.37	597
332.766	570
333.161	600
333.557	561
333.953	575.6
334.348	899.2
334.744	568.8
335.14	564.4
335.536	561
335.932	581.6
336.328	573.2
336.724	576.8
337.12	574.2
337.516	575.8
337.913	572.8
338.309	581.6
338.705	571.2
339.102	577.6
339.498	564.2
339.895	581.8
340.291	568.6
340.688	579
341.085	559.8
341.481	575.8
341.878	571.8
342.275	585.4
342.672	564.2
343.069	572.6
343.466	552.4
343.842	573.2
344.239	572.6
344.636	570.4
345.033	561.6
345.431	553.6
345.828	573.6
346.225	569
346.623	598.4
347.02	562.2
347.418	570.4
347.816	586.6
348.213	567.2
348.611	580
349.009	573.8
349.407	583.4
349.805	565
350.203	563.8
350.601	579.6
350.999	560
351.397	620.2
351.795	571
352.193	576.8
352.57	568.8
352.969	574.8
353.367	563.6
353.766	562.8
354.164	560.2
354.563	581
354.961	566.6
355.36	565.2
355.759	575.6
356.158	561.6
356.557	555
356.956	557.4
357.355	555.8
357.754	574
358.153	575.6
358.552	585.8
358.951	563.2
359.35	574.8
359.75	563
360.149	550.4
360.527	558.6
360.926	555.4
361.326	572
361.726	563.8
362.125	563.8
362.525	572.6
362.925	570.8
363.325	567
363.724	563
364.124	558.8
364.524	566
364.924	563.8
365.324	572.6
365.725	552.2
366.125	558.8
366.525	572.2
366.904	554.4
367.304	553.4
367.705	582.2
368.105	582.8
368.506	557
368.906	563.2
369.307	560
369.708	565.6
370.108	553.4
370.509	565.8
370.91	565.4
371.311	566.4
371.712	569.6
372.113	561
372.514	561.6
372.894	560.6
373.295	565.6
373.696	568.4
374.097	569.2
374.499	598.4
374.9	573.2
375.301	554.4
375.703	560.4
376.105	556.4
376.506	570
376.908	563
377.309	561.6
377.711	567.4
378.113	556.8
378.493	567.6
378.895	558.8
379.297	569.4
379.699	549.6
380.102	575.6
380.504	562.8
380.906	562.2
381.308	594.2
381.71	566.6
382.113	567.8
382.515	558
382.918	566.8
383.299	569.4
383.701	563.6
384.104	568.8
384.507	547.6
384.909	563.4
385.312	548.6
385.715	551.4
386.118	571.4
386.521	551
386.924	577.6
387.327	564.8
387.709	545.8
388.112	553.6
388.515	562
388.918	562
389.322	571.8
389.725	558
390.129	583.2
390.532	566.6
390.936	558.8
391.339	564.4
391.743	564.4
392.125	558.6
392.529	567.4
392.933	573
393.337	555.4
393.74	565.2
394.144	560.4
394.548	549.2
394.953	556.2
395.357	563.4
395.761	554.6
396.144	558.2
396.548	561.8
396.952	562.4
397.357	554.8
397.761	559.6
398.166	561.8
398.57	558
398.975	550.8
399.379	566.6
399.763	606.4
400.168	558.8
400.572	566.4
400.977	559.6
401.382	579.6
401.787	565.4
402.192	575.6
402.597	572.4
403.002	555.8
403.386	575.6
403.791	575.4
404.197	556.8
404.602	557.8
405.007	558.8
405.413	557
405.818	566.8
406.224	557.6
406.608	562.2
407.014	554
407.42	573
407.825	556
408.231	567.2
408.637	567.2
409.043	573.4
409.449	562.6
409.834	556.6
410.24	562.8
410.646	569.8
411.052	561.2
411.458	562.6
411.865	567.4
412.271	574
412.677	567.2
413.062	563
413.469	554.2
413.875	588
414.282	567.4
414.689	563.8
415.095	565.8
415.502	560.6
415.888	557.6
416.294	545.8
416.701	600.8
417.108	558.4
417.515	561
417.923	562
418.33	580.6
418.715	575.2
419.123	561.6
419.53	557.4
419.937	566.4
420.345	576.4
420.752	560.8
421.16	576.4
421.546	569.2
421.953	565.6
422.361	555
422.769	568.4
423.177	552.6
423.585	589.2
423.992	580.8
424.379	574.4
424.787	570.6
425.195	585.8
425.603	567.2
426.011	579
426.419	579.4
426.806	570.8
427.214	569
427.623	578
428.031	588.6
428.44	577.4
428.848	584.2
429.235	595
429.644	581
430.053	583.8
430.461	599
430.87	612.8
431.279	598.2
431.666	587.2
432.075	604.8
432.484	613.4
432.893	614.6
433.302	641.8
433.711	662.4
434.099	640.4
434.508	642.4
434.918	660
435.327	677.8
435.737	685
436.125	692.6
436.534	695.4
436.944	706.2
437.353	717
437.763	743
438.173	723.4
438.561	753.6
438.971	741.6
439.381	761.8
439.791	777.6
440.201	762.4
440.589	781.4
440.999	789
441.409	803.8
441.819	798.2
442.23	824.2
442.619	839
443.029	832.8
443.439	842
443.85	851.2
444.26	860.4
444.649	858.8
445.06	845.4
445.471	848.4
445.881	858
446.292	884.8
446.682	878.8
447.092	874.4
447.503	922.8
447.914	870.6
448.325	887.2
448.715	890.8
449.126	880.8
449.537	887.8
449.948	889.8
450.338	898.6
450.75	906.2
451.161	892.8
451.572	903.4
451.984	898.2
452.374	879.6
452.786	889.8
453.197	903
453.609	915.6
453.999	896.4
454.411	901.6
454.823	913
455.235	905.6
455.647	899.4
456.037	904.2
456.449	895.6
456.862	909
457.274	911.8
457.665	898.2
458.077	917.2
458.489	933.6
458.902	912.6
459.293	921.4
459.705	916
460.118	905.6
460.53	917.4
460.921	916.8
461.334	922.2
461.747	928.8
462.16	928.8
462.551	925
462.964	909.4
463.377	910
463.79	913.8
464.182	927.4
464.595	905.4
465.008	928.6
465.421	924.4
465.813	916
466.226	936.6
466.64	912.6
467.053	960.2
467.445	922.8
467.859	927.4
468.272	918
468.686	925.4
469.078	921.8
469.492	896.6
469.906	901.2
470.298	911.2
470.712	903.4
471.126	930.4
471.54	896.4
471.933	894
472.347	905
472.761	899.4
473.175	893.4
473.568	897.4
473.982	897.8
474.397	891.2
474.79	893.6
475.204	899.8
475.619	888.4
476.033	894.6
476.426	897
476.841	874.4
477.256	913.2
477.649	869.4
478.064	876
478.479	890.4
478.872	881
479.287	866
479.702	873.8
480.118	873.2
480.511	870
480.927	868.8
481.342	864.4
