#lambda/nm	C1
208.295	470.8
208.67	434.8
209.045	397.2
209.419	398
209.794	561.4
210.169	547.2
210.544	665.6
210.919	574.4
211.295	562.2
211.67	571.4
212.045	563.6
212.421	559.2
212.796	596.6
213.172	564.2
213.547	561.4
213.923	561.2
214.299	562.6
214.675	575
215.051	570.2
215.427	572.4
215.803	584.6
216.179	572
216.555	556.2
216.932	578.6
217.308	573.2
217.684	577.6
218.061	570.2
218.438	572.8
218.814	569.8
219.191	586.4
219.568	561.8
219.945	570.8
220.322	581.2
220.699	575
221.076	580.6
221.453	573.8
221.83	572.4
222.208	562.8
222.585	565.4
222.962	575.2
223.34	577.2
223.717	570.6
224.095	564.8
224.473	572
224.851	561.2
225.229	563.8
225.607	583.6
225.985	564.6
226.363	568.8
226.741	563.8
227.119	567.4
227.497	581
227.876	547.4
228.254	582.6
228.633	572.2
229.011	563.8
229.39	562.6
229.769	571.8
230.148	575.4
230.527	583.6
230.905	561.6
231.284	571.4
231.664	564.2
232.043	576.2
232.422	576.2
232.801	564.8
233.181	580.4
233.56	570.8
233.94	574
234.319	557
234.699	566.6
235.079	609
235.458	600.8
235.838	586.6
236.218	561.2
236.598	567.8
236.978	563.6
237.358	562
237.738	565.8
238.119	572.4
238.499	552.8
238.88	569.8
239.26	576.6
239.641	560.8
240.021	571.2
240.402	569.2
240.783	566.6
241.163	566.2
241.544	563
241.925	565.8
242.306	586.8
242.687	575.4
243.069	571.8
243.45	572.8
243.831	564.6
244.212	561.8
244.594	608.8
244.975	569.8
245.357	571.2
245.739	565.4
246.12	565
246.502	577.6
246.884	567.8
247.266	567.6
247.648	580
248.03	593.8
248.412	578.8
248.794	578.6
249.176	567.8
249.559	592.4
249.941	567.2
250.323	558.4
250.706	563
251.089	573.8
251.471	584.2
251.854	578.8
252.237	580
252.62	581
253.002	569.4
253.385	571
253.769	588.4
254.152	569
254.535	584.2
254.918	568
255.301	578.2
255.685	563.2
256.068	560.2
256.452	594.8
256.835	581.4
257.219	571.6
257.603	588.2
257.986	557.2
258.37	570.8
258.754	559.2
259.138	582
259.522	577.6
259.906	572.2
260.29	566.6
260.675	566.6
261.059	574.4
261.443	559.2
261.828	569.2
262.212	569.6
262.597	564
262.981	570.8
263.366	577.2
263.751	560.8
264.136	555
264.521	564.4
264.906	555.6
265.291	573.2
265.676	575.6
266.061	571.6
266.446	581.2
266.831	565.6
267.217	590.6
267.602	567.8
267.987	565.4
268.373	569.6
268.759	573.8
269.144	575.6
269.53	571.4
269.916	573.8
270.302	569.8
270.688	576
271.074	575.4
271.46	581.8
271.846	597.2
272.232	572.8
272.618	563.6
273.004	573.8
273.391	580
273.777	580.6
274.164	572.4
274.55	584.4
274.937	569
275.324	569
275.71	574.6
276.097	576.2
276.484	559
276.871	573.2
277.258	568.8
277.645	564.6
278.032	571.6
278.419	565.4
278.807	583.2
279.194	572.6
279.581	567
279.969	581.4
280.356	565.2
280.744	571.8
281.131	595.6
281.519	582.4
281.907	573
282.295	566.4
282.682	581.2
283.07	574.4
283.458	577.6
283.846	581.2
284.235	583.8
284.623	575.8
285.011	554.4
285.399	573.2
285.788	578.6
286.176	557.4
286.565	573.4
286.953	565.6
287.342	563.6
287.731	564.8
288.119	563.4
288.508	572.4
288.897	571.4
289.286	565
289.675	573.4
290.064	588
290.453	568.2
290.821	570
291.21	583.6
291.599	565.2
291.989	568
292.378	579.2
292.768	590.6
293.157	578.2
293.547	582.2
293.936	576.8
294.326	570.8
294.716	577.2
295.106	564
295.496	569
295.886	582
296.276	574
296.666	576.6
297.056	565.4
297.446	563.4
297.836	589.4
298.227	566.2
298.617	564.8
299.008	576.6
299.398	569.6
299.789	567.8
300.179	574.2
300.57	576.6
300.961	573
301.352	568.4
301.742	579.8
302.133	573.4
302.524	581
302.915	580.8
303.307	568.6
303.698	585
304.089	579.8
304.48	573.4
304.872	571.4
305.263	573.2
305.655	574.6
306.046	575.6
306.438	580
306.829	568.4
307.221	583.2
307.613	576
308.005	578
308.397	580.8
308.789	593.4
309.181	593
309.573	587
309.965	584
310.357	572.2
310.749	578.6
311.142	557.6
311.534	571.8
311.926	581
312.319	570
312.711	565.2
313.104	578.4
313.497	571.4
313.889	607.4
314.282	588.2
314.675	592.4
315.068	582.2
315.461	572.8
315.854	603.8
316.247	582.4
316.64	575.8
317.033	570.2
317.405	579.4
317.798	572.4
318.192	576.6
318.585	564.2
318.979	572.4
319.372	569
319.766	570.4
320.16	580.4
320.553	583
320.947	588.2
321.341	564.2
321.735	571.6
322.129	563.6
322.523	595.8
322.917	569
323.311	577
323.705	575.4
324.099	574.4
324.494	584.2
324.888	575.4
325.282	568
325.677	575.2
326.071	576.6
326.466	578
326.861	577.2
327.255	576.6
327.65	572.6
328.045	581
328.44	583.4
328.835	563.8
329.23	558.4
329.625	594.8
330.02	557.6
330.415	589.2
330.81	569.8
331.206	570
331.601	565.6
331.996	581
332.37	588.2
332.766	564.4
333.161	598.4
333.557	568
333.953	575
334.348	908.2
334.744	565.6
335.14	564
335.536	565.8
335.932	575.8
336.328	572
336.724	576.8
337.12	570.8
337.516	583.4
337.913	572
338.309	586.2
338.705	571.8
339.102	576.8
339.498	572.4
339.895	581.6
340.291	572.4
340.688	579
341.085	564.4
341.481	574.8
341.878	578.2
342.275	588.6
342.672	567
343.069	571.4
343.466	561.2
343.842	579.4
344.239	563.8
344.636	578.6
345.033	561.4
345.431	570.4
345.828	570.8
346.225	564.6
346.623	604
347.02	571.8
347.418	579.4
347.816	583
348.213	570.2
348.611	576
349.009	562
349.407	578.4
349.805	564.2
350.203	557.8
350.601	586
350.999	562.4
351.397	618.4
351.795	570.8
352.193	577.4
352.57	571.2
352.969	573
353.367	557.4
353.766	568.8
354.164	571.8
354.563	580.8
354.961	562.4
355.36	559.8
355.759	569.6
356.158	554.8
356.557	563.8
356.956	558.2
357.355	554.4
357.754	563.4
358.153	570.8
