#lambda/nm	C1
208.295	469.8
208.67	433.8
209.045	394.4
209.419	397.6
209.794	564.6
210.169	545
210.544	665.8
210.919	567
211.295	557.4
211.67	567.8
212.045	561.8
212.421	571.2
212.796	599
213.172	557.4
213.547	561.4
213.923	567
214.299	559.4
214.675	567.8
215.051	571.8
215.427	568.4
215.803	583.4
216.179	576.4
216.555	555
216.932	576.8
217.308	572.6
217.684	569
218.061	573.8
218.438	569.4
218.814	564
219.191	573.6
219.568	563.2
219.945	568.6
220.322	567.2
220.699	580.4
221.076	575.2
221.453	575.4
221.83	566.8
222.208	560
222.585	574.2
222.962	562.4
223.34	579.8
223.717	566.6
224.095	565.2
224.473	573.8
224.851	562.2
225.229	562
225.607	578.8
225.985	566
226.363	577.6
226.741	568.2
227.119	576.8
227.497	580.6
227.876	558.4
228.254	573.8
228.633	573.8
229.011	570.4
229.39	577.8
229.769	568
230.148	584
230.527	592.2
230.905	572.2
231.284	573.8
231.664	567.4
232.043	573.2
232.422	574.2
232.801	563.2
233.181	573.6
233.56	566.4
233.94	569.2
234.319	556.4
234.699	575.6
235.079	601.4
235.458	599.2
235.838	580.6
236.218	560.8
236.598	562.4
236.978	563
237.358	565.2
237.738	557.8
238.119	576
238.499	560.6
238.88	574.6
239.26	584.8
239.641	554.4
240.021	559.4
240.402	564
240.783	563.4
241.163	576.4
241.544	570.6
241.925	565.2
242.306	583.6
242.687	571.2
243.069	568.8
243.45	571.6
243.831	575.4
244.212	560.8
244.594	604.8
244.975	576.8
245.357	578.2
245.739	566.8
246.12	574.8
246.502	574.4
246.884	578.4
247.266	562.4
247.648	568.2
248.03	583.8
248.412	577.4
248.794	578.4
249.176	570.6
249.559	574.8
249.941	568.2
250.323	562.4
250.706	558.2
251.089	575.4
251.471	571.2
251.854	573.2
252.237	566.6
252.62	575.4
253.002	566.6
253.385	567
253.769	584.8
254.152	571.4
254.535	577.8
254.918	565
255.301	569.8
255.685	566
256.068	565
256.452	587.8
256.835	576
257.219	576.2
257.603	585.8
257.986	567.4
258.37	572.6
258.754	558.4
259.138	582.4
259.522	578.6
259.906	559.6
260.29	569
260.675	567.2
261.059	571.2
261.443	560
261.828	573.6
262.212	571.8
262.597	558.6
262.981	572
263.366	571
263.751	579.4
264.136	557
264.521	570.6
264.906	568.2
265.291	574.4
265.676	554.8
266.061	574.8
266.446	588.8
266.831	570.6
267.217	590.8
267.602	575
267.987	573.8
268.373	564.6
268.759	579.2
269.144	578.6
269.53	578.4
269.916	565.2
270.302	561.8
270.688	577.4
271.074	577.2
271.46	582.4
271.846	597.2
272.232	579
272.618	566
273.004	573.6
273.391	579.8
273.777	574.6
274.164	586
274.55	582
274.937	563.6
275.324	571.6
275.71	575.2
276.097	570.6
276.484	565.8
276.871	574.4
277.258	572.8
277.645	563.2
278.032	571
278.419	572.4
278.807	575.8
279.194	564.8
279.581	566
279.969	570.2
280.356	572
280.744	572.6
281.131	589.8
281.519	585.6
281.907	568.4
282.295	563.2
282.682	576.4
283.07	580
283.458	585.6
283.846	576.8
284.235	584
284.623	575.6
285.011	565
285.399	575.2
285.788	573.2
286.176	559.8
286.565	586.4
286.953	567.8
287.342	571.4
287.731	570.2
288.119	561.4
288.508	573.2
288.897	572.4
289.286	561.2
289.675	568.4
290.064	576
290.453	567.6
290.821	563
291.21	579.6
291.599	565
291.989	570.2
292.378	575.6
292.768	583.4
293.157	576.2
293.547	573.4
293.936	565.8
294.326	560.6
294.716	572.4
295.106	573.8
295.496	576.2
295.886	576.4
296.276	564.8
296.666	565
297.056	567.2
297.446	559.8
297.836	592.4
298.227	563.4
298.617	578.2
299.008	583
299.398	575
299.789	565
300.179	578.8
300.57	576.4
300.961	569.8
301.352	560.6
301.742	580.4
302.133	582.2
302.524	569.6
302.915	577.4
303.307	574
303.698	582.2
304.089	579
304.48	577.6
304.872	576.2
305.263	571
305.655	572.4
306.046	568.6
306.438	571.4
306.829	559.8
307.221	586.2
307.613	579.6
308.005	571.2
308.397	582
308.789	584.8
309.181	594.6
309.573	583
309.965	583.6
310.357	564.6
310.749	564.6
311.142	558.4
311.534	558.8
311.926	574
312.319	571.2
312.711	553.6
313.104	583.6
313.497	564.8
313.889	606.6
314.282	589.6
314.675	597
315.068	568.4
315.461	574.2
315.854	591.8
316.247	577.4
316.64	567.6
317.033	567.6
317.405	580.4
317.798	568.8
318.192	572.2
318.585	572.4
318.979	573.4
319.372	568.8
319.766	568.4
320.16	581.4
320.553	584.8
320.947	589.8
321.341	567.8
321.735	574.2
322.129	552.8
322.523	594.4
322.917	564.2
323.311	589.4
323.705	570
324.099	585.6
324.494	591
324.888	585.8
325.282	562.8
325.677	579.4
326.071	579.8
326.466	579.8
326.861	569
327.255	579.6
327.65	585.6
328.045	585.4
328.44	573.8
328.835	566.8
329.23	567
329.625	589.2
330.02	566.8
330.415	592.4
330.81	579.2
331.206	580.6
331.601	565.4
331.996	574.8
332.37	593.2
332.766	565.6
333.161	596.8
333.557	562.6
333.953	569
334.348	852.6
334.744	563.2
335.14	568
335.536	560
335.932	579.6
336.328	577.4
336.724	579.2
337.12	561.8
337.516	573.2
337.913	567
338.309	571.4
338.705	566.8
339.102	577.6
339.498	568.6
339.895	568.6
340.291	572.6
340.688	583.6
341.085	559.2
341.481	569.2
341.878	567.6
342.275	584.8
342.672	569.8
343.069	567.2
343.466	561.8
343.842	585.8
344.239	558.4
344.636	565.4
345.033	569.8
345.431	565.8
345.828	574.8
346.225	565
346.623	597.2
347.02	575.4
347.418	574.2
347.816	575.8
348.213	563.2
348.611	572.8
349.009	563.6
349.407	574
349.805	558.4
350.203	549.8
350.601	578.4
