#lambda/nm	C1
208.295	466
208.67	428.6
209.045	395.6
209.419	401
209.794	569
210.169	555.2
210.544	668
210.919	570.2
211.295	559
211.67	573.2
212.045	566.4
212.421	567.6
212.796	603.2
213.172	566.8
213.547	563
213.923	561.4
214.299	570.2
214.675	576.2
215.051	569.2
215.427	574
215.803	583.8
216.179	570.4
216.555	560.2
216.932	576
217.308	571.8
217.684	571
218.061	564.2
218.438	564
218.814	567.6
219.191	575
219.568	562.6
219.945	562.6
220.322	580.2
220.699	564
221.076	586.4
221.453	565.8
221.83	571.2
222.208	568.4
222.585	565.8
222.962	577.8
223.34	572.8
223.717	571.8
224.095	558.6
224.473	574.2
224.851	559.8
225.229	557.4
225.607	580
225.985	554.2
226.363	569.4
226.741	571.4
227.119	563
227.497	580.6
227.876	551.8
228.254	573.2
228.633	569.6
229.011	566.8
229.39	568.4
229.769	569.6
230.148	567
230.527	587.2
230.905	573.8
231.284	564.4
231.664	564.4
232.043	581.2
232.422	577.8
232.801	569.2
233.181	574
233.56	565
233.94	570
234.319	560.8
234.699	572.4
235.079	607.2
235.458	607.8
235.838	581.8
236.218	559.4
236.598	563.2
236.978	563.4
237.358	559.6
237.738	569.2
238.119	573.6
238.499	556.8
238.88	571.8
239.26	574.2
239.641	563.2
240.021	575.2
240.402	569.6
240.783	568.6
241.163	562.6
241.544	567.2
241.925	568.8
242.306	582.6
242.687	569
243.069	570.2
243.45	575.4
243.831	559.6
244.212	566.8
244.594	601.6
244.975	572.8
245.357	572.8
245.739	561.2
246.12	571
246.502	581.2
246.884	563.6
247.266	569.8
247.648	565.6
248.03	589.4
248.412	567.8
248.794	578.6
249.176	563.4
249.559	570.6
249.941	562.8
250.323	555.8
250.706	567
251.089	572.6
251.471	568.8
251.854	574.2
252.237	571.8
252.62	581
253.002	570.8
253.385	577.8
253.769	583.2
254.152	566.8
254.535	575
254.918	565.2
255.301	569.4
255.685	565.2
256.068	566.6
256.452	591
256.835	576.8
257.219	572.4
257.603	580.6
257.986	559.8
258.37	580.2
258.754	554.2
259.138	577.6
259.522	581.4
259.906	575.4
260.29	572
260.675	568.2
261.059	568.8
261.443	556.2
261.828	577.8
262.212	577.6
262.597	559.2
262.981	567.2
263.366	576.8
263.751	569.4
264.136	568.2
264.521	569.2
264.906	560.6
265.291	576.8
265.676	570.2
266.061	573
266.446	582.8
266.831	565.8
267.217	585.6
267.602	570.8
267.987	573.8
268.373	567.6
268.759	573.4
269.144	578
269.53	575.4
269.916	574.8
270.302	565.2
270.688	577.6
271.074	573.4
271.46	579.6
271.846	603.8
272.232	569.4
272.618	570
273.004	567
273.391	579
273.777	585.6
274.164	570.8
274.55	579
274.937	561.6
275.324	559.8
275.71	567.4
276.097	581
276.484	565
276.871	566.4
277.258	578.4
277.645	567
278.032	564
278.419	567.2
278.807	571
279.194	561
279.581	564.6
279.969	566.8
280.356	570.4
280.744	567.8
281.131	587.8
281.519	582.6
281.907	567.2
282.295	571
282.682	579.2
283.07	574
283.458	584.2
283.846	576.4
284.235	582.2
284.623	585.6
285.011	559.8
285.399	575.2
285.788	568.8
286.176	565.8
286.565	585.8
286.953	574.2
287.342	564.6
287.731	555.8
288.119	562.8
288.508	572.4
288.897	568
289.286	557.8
289.675	576.8
290.064	578.2
290.453	570
290.821	566
291.21	588.6
291.599	566.8
291.989	568.8
292.378	576.6
292.768	584.4
293.157	574.6
293.547	581
293.936	572.8
294.326	573.4
294.716	581
295.106	569
295.496	581.4
295.886	585.6
296.276	573.4
296.666	564.8
297.056	569.6
297.446	560.4
297.836	581.4
298.227	568.6
298.617	569
299.008	581.6
299.398	564.8
299.789	565.4
300.179	569.8
300.57	579
300.961	572
301.352	566.2
301.742	579
302.133	571.4
302.524	566.4
302.915	571
303.307	561.6
303.698	578.2
304.089	575.4
304.48	568
304.872	570.4
305.263	565.8
305.655	574.8
306.046	579.8
306.438	573.4
306.829	568.8
307.221	581
307.613	576.6
308.005	575
308.397	582.8
308.789	590
309.181	593.6
309.573	586.8
309.965	586.2
310.357	565.8
310.749	575.4
311.142	563.8
311.534	573.8
311.926	574.6
312.319	571.4
312.711	563.2
313.104	584.4
313.497	563.4
313.889	599
314.282	583.4
314.675	594.6
315.068	573.8
315.461	570
315.854	597.8
316.247	585.2
316.64	569.4
317.033	571.2
317.405	578
317.798	566.6
318.192	576.4
318.585	572
318.979	579.8
319.372	567.2
319.766	556.6
320.16	576.4
320.553	590.2
320.947	587
321.341	575.2
321.735	575.6
322.129	555.8
322.523	594.6
322.917	566.8
323.311	579
323.705	573.6
324.099	575
324.494	579.6
324.888	580.6
325.282	566.6
325.677	570.8
326.071	579
326.466	572.6
326.861	572.8
327.255	578.4
327.65	593.4
328.045	591.6
328.44	573
328.835	581.8
329.23	572
329.625	593.8
330.02	570.8
330.415	593
330.81	569.2
331.206	576.8
331.601	575
331.996	575.4
332.37	586.6
332.766	561.8
333.161	587.2
333.557	567.4
333.953	576.8
334.348	780.6
334.744	569.6
335.14	569
335.536	565
335.932	578.4
336.328	572.2
336.724	580.2
