#lambda/nm	C1
208.295	471
208.67	432.6
209.045	392.4
209.419	399.8
209.794	563.2
210.169	543
210.544	666.8
210.919	567.2
211.295	559.6
211.67	571
212.045	567.2
212.421	568.2
212.796	595.4
213.172	558.4
213.547	566
213.923	572.8
214.299	554.2
214.675	576
215.051	569
215.427	580.4
215.803	589.4
216.179	575
216.555	561.4
216.932	580.8
217.308	570.2
217.684	568
218.061	569
218.438	569
218.814	565.8
219.191	576.2
219.568	555
219.945	566
220.322	573.4
220.699	577.8
221.076	581.4
221.453	570.4
221.83	563.4
222.208	573.8
222.585	559.4
222.962	567.4
223.34	569.2
223.717	569.2
224.095	562.6
224.473	568.8
224.851	560.2
225.229	565
225.607	581.2
225.985	558.2
226.363	573
226.741	567.4
227.119	565.8
227.497	576.8
227.876	554.2
228.254	577.8
228.633	575.6
229.011	567.2
229.39	580.2
229.769	575.4
230.148	571.6
230.527	589
230.905	567.8
231.284	567.2
231.664	566.8
232.043	581.2
232.422	580
232.801	561.6
233.181	573.4
233.56	565.6
233.94	571.6
234.319	560.2
234.699	565
235.079	610.8
235.458	597.6
235.838	591.8
236.218	565.8
236.598	563.2
236.978	562.6
237.358	561.2
237.738	564
238.119	570.8
238.499	551
238.88	573.4
239.26	582.2
239.641	560
240.021	568.2
240.402	567.8
240.783	564.6
241.163	563.4
241.544	567.4
241.925	568.4
242.306	581
242.687	569.2
243.069	570.8
243.45	563.8
243.831	558.6
244.212	564.2
244.594	601.2
244.975	566.8
245.357	569.4
245.739	561.4
246.12	561.2
246.502	573.8
246.884	559.6
247.266	564.4
247.648	566.8
248.03	588
248.412	572
248.794	562.4
249.176	562.8
249.559	572.2
249.941	555.4
250.323	562.2
250.706	553
251.089	568.4
251.471	569.6
251.854	565
252.237	558.2
252.62	573.8
253.002	574.8
253.385	566.6
253.769	581.6
254.152	569.2
254.535	576.8
254.918	552
255.301	567.6
255.685	563.2
256.068	566.4
256.452	582.2
256.835	580.4
257.219	572.8
257.603	579.8
257.986	560.6
258.37	576.4
258.754	565.6
259.138	577.4
259.522	573.4
259.906	572.2
260.29	569.8
260.675	569.6
261.059	569.4
261.443	568
261.828	581.4
262.212	563.4
262.597	556.4
262.981	566.4
263.366	580.6
263.751	566.2
264.136	558.2
264.521	567.4
264.906	565.6
265.291	577.4
265.676	565.8
266.061	574.6
266.446	580.8
266.831	571.4
267.217	585.2
267.602	565.2
267.987	568
268.373	572.2
268.759	578.2
269.144	576.6
269.53	572.2
269.916	566
270.302	565.4
270.688	568.8
271.074	569.4
271.46	583.4
271.846	598.2
272.232	572.4
272.618	560.2
273.004	566.4
273.391	575.2
273.777	575.8
274.164	580.2
274.55	582.6
274.937	575.6
275.324	564
275.71	582.4
276.097	577.8
276.484	569
276.871	575.4
277.258	573.6
277.645	559.8
278.032	574.2
278.419	564.4
278.807	570
279.194	565.8
279.581	562.4
279.969	576.8
280.356	576.2
280.744	570.6
281.131	589.4
281.519	580.6
281.907	564
282.295	564.8
282.682	575
283.07	572
283.458	579.2
283.846	578.2
284.235	571
284.623	571.2
285.011	560
285.399	570
285.788	568.6
286.176	552
286.565	585
286.953	563.8
287.342	567.2
287.731	557.2
288.119	560.6
288.508	560.2
288.897	565.4
289.286	556.8
289.675	567.6
290.064	577.2
290.453	557.4
290.821	568.4
291.21	578.4
291.599	557.4
291.989	567.8
292.378	570
292.768	582.6
293.157	572.6
293.547	577.8
293.936	573.2
294.326	560.6
294.716	571.8
295.106	572.2
295.496	566.6
295.886	586
296.276	562.6
296.666	562.4
297.056	564
297.446	562.2
297.836	585
298.227	566
298.617	572
299.008	580.2
299.398	571
299.789	562.2
300.179	572.8
300.57	578
300.961	569.2
301.352	573
301.742	577.6
302.133	573.6
302.524	574.4
302.915	575.4
303.307	565.2
303.698	586.2
304.089	575
304.48	568.2
304.872	577
305.263	561.8
305.655	562.2
306.046	571.6
306.438	565.6
306.829	571.4
307.221	580.6
307.613	577.8
308.005	584
308.397	584.6
308.789	578.6
309.181	597.2
309.573	592.4
309.965	581.2
310.357	563.6
310.749	577.2
311.142	562.2
311.534	573
311.926	579.8
312.319	566.8
312.711	564
313.104	583
313.497	566.6
313.889	612
314.282	591.2
314.675	588.8
315.068	572.8
315.461	573.2
315.854	605.6
316.247	572.6
316.64	568.2
317.033	571
317.405	579.8
317.798	574.6
318.192	572.6
318.585	562.8
318.979	575.4
319.372	563.2
319.766	575.2
320.16	583.2
320.553	583.4
320.947	585.4
321.341	565.6
321.735	568.8
322.129	556
322.523	589.8
322.917	561
323.311	579
323.705	584.2
324.099	582.6
324.494	587
324.888	582.4
325.282	568.8
325.677	583.4
326.071	584.4
326.466	578.8
326.861	576.6
327.255	575.8
327.65	578.6
328.045	584.2
328.44	568
328.835	575
329.23	565
329.625	593.2
330.02	568
330.415	585.4
330.81	570.2
331.206	569.6
331.601	562.6
331.996	577.4
332.37	592.2
332.766	560.6
333.161	594.8
333.557	567.4
333.953	567.6
334.348	858.6
334.744	563
335.14	565.4
335.536	570.2
335.932	584.2
336.328	569.4
336.724	576.2
337.12	577.4
337.516	582
337.913	568.4
338.309	584.6
338.705	576.6
339.102	583
339.498	563.6
339.895	579.2
340.291	566.2
340.688	570.2
341.085	565.6
341.481	573.6
341.878	559.8
342.275	579.4
342.672	564.6
343.069	563.2
343.466	546.6
343.842	570.6
344.239	561
344.636	569.8
345.033	554
345.431	555.4
345.828	564.4
346.225	557.2
346.623	599.4
347.02	562.2
347.418	573.4
347.816	584.4
348.213	563.2
348.611	567.4
349.009	553.6
349.407	579.4
349.805	563.2
350.203	554.6
350.601	569.6
350.999	561.2
351.397	614.6
351.795	560.4
352.193	579
352.57	579.2
352.969	577.4
353.367	559
353.766	566.2
354.164	569.4
354.563	577
354.961	563.6
355.36	573.8
355.759	565.8
356.158	556.8
356.557	567
356.956	557
357.355	554.2
357.754	571.2
358.153	565.2
358.552	589
358.951	568.6
359.35	585.2
359.75	561.4
360.149	560
360.527	552.2
360.926	558
361.326	563.8
361.726	562.6
362.125	563.6
362.525	570.2
362.925	558.8
363.325	564.2
363.724	565.2
364.124	557.6
364.524	564.2
364.924	565.6
365.324	572.8
365.725	543.4
366.125	566.6
366.525	559.6
366.904	559
367.304	546.4
367.705	571.6
368.105	569.6
368.506	565.8
368.906	562
369.307	564
369.708	564.6
370.108	546.4
370.509	572.2
370.91	556
371.311	556.2
371.712	559
372.113	561
372.514	556.6
372.894	560.8
373.295	557.8
373.696	571.2
374.097	567.6
374.499	577.2
374.9	561.6
375.301	562
375.703	574.4
376.105	556.4
376.506	565.8
376.908	563.6
377.309	566.8
377.711	558
378.113	557.8
378.493	563.6
378.895	561.2
379.297	569
379.699	552.4
380.102	571.4
380.504	554.2
380.906	554.6
381.308	582.6
381.71	561.4
382.113	572
382.515	557
382.918	558.8
383.299	557.8
383.701	567.4
384.104	567.4
384.507	544.2
384.909	560
385.312	547
385.715	548
386.118	562
386.521	550
386.924	567
387.327	552.8
387.709	549.4
388.112	545
388.515	558
388.918	557.2
389.322	564.8
389.725	555.2
390.129	580.2
390.532	560.8
390.936	557.2
391.339	555.8
391.743	565
392.125	558.8
392.529	567.8
392.933	577.6
393.337	565.6
393.74	560
394.144	566.4
394.548	561.2
394.953	561.4
395.357	569
395.761	554.4
396.144	560.4
396.548	555.2
396.952	564.4
397.357	566.6
397.761	558.8
398.166	559
398.57	562.2
398.975	557.4
399.379	566.8
399.763	605.6
400.168	564.4
400.572	563.4
400.977	560.4
401.382	589.2
401.787	569.8
402.192	572.8
402.597	570.2
403.002	553.6
403.386	571.2
403.791	577.8
404.197	564.2
404.602	559.6
405.007	569.4
405.413	563.8
405.818	567.8
406.224	562
406.608	554.4
407.014	552.6
407.42	576
407.825	554.2
408.231	574.4
408.637	570.2
409.043	571
409.449	558.6
409.834	547.6
410.24	564.2
410.646	572.2
411.052	570.2
411.458	564.6
411.865	573
412.271	572
412.677	554.2
413.062	567.6
413.469	546.6
413.875	583.6
414.282	571
414.689	563.4
415.095	568.2
415.502	557.6
415.888	564.6
416.294	552.4
416.701	600.2
417.108	562.6
417.515	567.6
417.923	560.4
418.33	582.8
418.715	572.8
419.123	570
419.53	561.2
419.937	560.6
420.345	577.8
420.752	560.4
421.16	575.4
421.546	565
421.953	568.4
422.361	549.6
422.769	569
423.177	558.6
423.585	586.4
423.992	573.2
424.379	579
424.787	573
425.195	579.4
425.603	561.2
426.011	576.4
426.419	574.4
426.806	572
427.214	572.4
427.623	579.8
428.031	579.4
428.44	588.6
428.848	590.2
429.235	585.6
429.644	581.8
430.053	585.2
430.461	606.8
430.87	623.6
431.279	617.4
431.666	610
432.075	620.6
432.484	635
432.893	627.2
433.302	655.6
433.711	682.8
434.099	664.6
434.508	677.8
434.918	679.2
435.327	715.4
435.737	715.8
436.125	725.2
436.534	729.8
436.944	754
437.353	760.4
437.763	798.2
438.173	773.2
438.561	803.2
438.971	781.8
439.381	811.6
439.791	822.8
440.201	814.4
440.589	840.8
440.999	848.8
441.409	865.2
441.819	853.6
442.23	881.4
442.619	877
443.029	886.2
443.439	896.4
