#lambda/nm	C1
208.295	471.4
208.67	430.4
209.045	391.6
209.419	400.6
209.794	562.4
210.169	551.2
210.544	673.4
210.919	580.2
211.295	552.2
211.67	570.2
212.045	564.8
212.421	571.8
212.796	602.8
213.172	563.6
213.547	567
213.923	553.4
214.299	562.8
214.675	573.4
215.051	571.4
215.427	578.6
215.803	595.2
216.179	576.2
216.555	562.6
216.932	572.8
217.308	569.8
217.684	570.6
218.061	571.4
218.438	572.8
218.814	561.6
219.191	575.6
219.568	557
219.945	564.6
220.322	570.4
220.699	567.6
221.076	575.8
221.453	571.2
221.83	563.8
222.208	562.6
222.585	561
222.962	566
223.34	579.2
223.717	571.8
224.095	566.2
224.473	570.2
224.851	561.2
225.229	554
225.607	582.2
225.985	554
226.363	564.4
226.741	568
227.119	569.8
227.497	591.6
227.876	550.4
228.254	584.4
228.633	573.4
229.011	575.4
229.39	575
229.769	575.2
230.148	570.2
230.527	586.4
230.905	572.8
231.284	583.6
231.664	566.2
232.043	575.4
232.422	574
232.801	563
233.181	566.8
233.56	569.8
233.94	568.2
234.319	565.4
234.699	563.2
235.079	600.8
235.458	598.6
235.838	580.2
236.218	555.4
236.598	563.2
236.978	565.6
237.358	566.2
237.738	565.6
238.119	566.4
238.499	556.4
238.88	558.6
239.26	581.6
239.641	559.6
240.021	555.8
240.402	563.6
240.783	552.6
241.163	569
241.544	569.2
241.925	564.2
242.306	580.4
242.687	562.8
243.069	572
243.45	576
243.831	562.2
244.212	569.4
244.594	595.2
244.975	582.2
245.357	564
245.739	557.8
246.12	574
246.502	593
246.884	569.6
247.266	565.8
247.648	564.2
248.03	590.8
248.412	573.8
248.794	574.6
249.176	555
249.559	580.2
249.941	568.2
250.323	557.2
250.706	563.6
251.089	575.8
251.471	574.2
251.854	568.2
252.237	567.8
252.62	579.6
253.002	562.4
253.385	571
253.769	580
254.152	568
254.535	574.4
254.918	570.8
255.301	571.8
255.685	565.8
256.068	562
256.452	588.6
256.835	577.2
257.219	564.4
257.603	579.4
257.986	559.6
258.37	571.4
258.754	559.6
259.138	572.8
259.522	568.2
259.906	568.2
260.29	570
260.675	563.8
261.059	573.2
261.443	553.2
261.828	573.4
262.212	565.2
262.597	559.8
262.981	558.2
263.366	569.6
263.751	571.8
264.136	563.8
264.521	560
264.906	560.2
265.291	578.8
265.676	561.4
266.061	576.4
266.446	584
266.831	561.6
267.217	584.8
267.602	567.6
267.987	571.8
268.373	567.8
268.759	577.4
269.144	572.2
269.53	575.6
269.916	559.6
270.302	568.8
270.688	571.4
271.074	563.6
271.46	572.8
271.846	598.2
272.232	568.6
272.618	563.4
273.004	567.8
273.391	580.4
273.777	579.4
274.164	577.2
274.55	581.4
274.937	572.8
275.324	564.2
275.71	570.4
276.097	576.2
276.484	563.6
276.871	568.6
277.258	570.6
277.645	555.8
278.032	568.2
278.419	568.4
278.807	580.6
279.194	559.4
279.581	569.4
279.969	576.2
280.356	574.8
280.744	570.4
281.131	595.2
281.519	577.8
281.907	563
282.295	567.2
282.682	584.8
283.07	573.8
283.458	574.8
283.846	572.8
284.235	575.6
284.623	569.6
285.011	558
285.399	573
285.788	566
286.176	553.6
286.565	583.6
286.953	564
287.342	561.2
287.731	554.6
288.119	570.8
288.508	559.8
288.897	563.2
289.286	560
289.675	568.2
290.064	583.8
290.453	559.2
290.821	570.2
291.21	584
291.599	566
291.989	568.8
292.378	578.4
292.768	598
293.157	577.8
293.547	580.4
293.936	572.6
294.326	565
294.716	574.8
295.106	569
295.496	580
295.886	583.6
296.276	565
296.666	573.6
297.056	568.8
297.446	561.4
297.836	586.4
298.227	569.8
298.617	569.2
299.008	580.8
299.398	563
299.789	568
300.179	571.8
300.57	582.6
300.961	559.8
301.352	563.6
301.742	573.8
302.133	566.6
302.524	576
302.915	574.8
303.307	560.2
303.698	592.6
304.089	570.4
304.48	568.8
304.872	573.2
305.263	566.2
305.655	564.2
306.046	576
306.438	567.6
306.829	568.2
307.221	588.4
307.613	568.4
308.005	586.6
308.397	577.4
308.789	594.4
309.181	599
309.573	583
309.965	582.4
310.357	564.6
310.749	568.8
311.142	564.2
311.534	574.4
311.926	571
312.319	570.6
312.711	565.4
313.104	594
313.497	571
313.889	602.2
314.282	591
314.675	594.4
315.068	579.2
315.461	572.6
315.854	609
316.247	570.2
316.64	568
317.033	568.6
317.405	578.6
317.798	574.8
318.192	573
318.585	571.8
318.979	573
319.372	559.6
319.766	568.6
320.16	580.2
320.553	579.6
320.947	587.6
321.341	557.8
321.735	568.6
322.129	559
322.523	588.8
322.917	560.6
323.311	579.6
323.705	574.6
324.099	566.2
324.494	589.6
324.888	579.4
325.282	565.2
325.677	578.4
326.071	569
326.466	588.2
326.861	576.8
327.255	579.8
327.65	581.2
328.045	586.6
328.44	581.6
328.835	572.8
329.23	568.6
329.625	593.6
330.02	566.6
330.415	591.6
330.81	572.2
331.206	575.8
331.601	564.2
331.996	585.6
332.37	589
332.766	549
333.161	597.8
333.557	568.4
333.953	573
334.348	860.6
334.744	574.2
335.14	564.6
335.536	560
335.932	578.4
336.328	570.4
336.724	577.6
337.12	565.2
337.516	566
337.913	569.8
338.309	583.8
338.705	569.2
339.102	576.4
339.498	563.6
339.895	584
340.291	570
340.688	585.8
341.085	564.2
341.481	571.2
341.878	566
342.275	593.4
342.672	563
343.069	560.6
343.466	558.4
343.842	576.4
344.239	567.6
344.636	570.2
345.033	568.6
345.431	558.8
345.828	565.4
346.225	567.8
346.623	602.8
347.02	570.8
347.418	573.2
347.816	576.8
348.213	568.6
348.611	564
349.009	560.6
349.407	582.6
349.805	555
350.203	552.6
350.601	587.8
350.999	563.6
351.397	630.8
351.795	575.2
352.193	576.8
352.57	576.8
352.969	581
353.367	557.2
353.766	555.6
354.164	568
354.563	569.8
354.961	568
355.36	566.8
355.759	571.6
356.158	553.4
356.557	552
356.956	558.6
357.355	550.8
357.754	569.6
358.153	570
358.552	585.8
358.951	551.4
359.35	572.2
359.75	566
360.149	558
360.527	548
360.926	559.2
361.326	564.6
361.726	561.6
362.125	556.8
362.525	574.4
362.925	569.2
363.325	562.4
363.724	562.8
364.124	560.6
364.524	559.4
364.924	565.6
365.324	577
365.725	550
366.125	566.2
366.525	563.4
366.904	554.8
367.304	546.8
367.705	580.2
368.105	576.4
368.506	568.6
368.906	563.4
369.307	563.6
369.708	569.4
370.108	554.2
370.509	571
370.91	555.2
371.311	566
371.712	564
372.113	559.8
372.514	551.6
372.894	564.2
373.295	556.2
373.696	574.6
374.097	575.8
374.499	590.6
374.9	572.4
375.301	557.8
375.703	562.6
376.105	556.2
376.506	563.2
376.908	559.4
377.309	555.4
377.711	560
378.113	553.2
378.493	556.2
378.895	561
379.297	568
379.699	548.8
380.102	565
380.504	563.8
380.906	557.4
381.308	576
381.71	555.4
382.113	572.6
382.515	558.2
382.918	563
383.299	550.8
383.701	567.6
384.104	564.6
384.507	542.6
384.909	561.6
385.312	548.6
385.715	554
386.118	560.4
386.521	555.6
386.924	570.6
387.327	552.4
387.709	554.4
388.112	547.2
388.515	562.2
388.918	564.6
389.322	564
389.725	562
390.129	583.2
390.532	564.2
390.936	562
391.339	550.8
391.743	558.6
392.125	557.6
392.529	572.8
392.933	579.2
393.337	570.6
393.74	559.4
394.144	563.4
394.548	561
394.953	555.4
395.357	562
395.761	555.2
396.144	564.6
396.548	560.4
396.952	555.6
397.357	564.6
397.761	563.6
398.166	560.2
398.57	559.6
398.975	557.4
399.379	559
399.763	609.6
400.168	560.2
400.572	565
400.977	555
401.382	576.6
401.787	572.4
402.192	572.4
402.597	571.6
403.002	540.8
403.386	566.8
403.791	578.6
