#lambda/nm	C1
208.295	466.2
208.67	424.2
209.045	393.2
209.419	395.6
209.794	566.8
210.169	550.6
210.544	669.6
210.919	573.2
211.295	558.8
211.67	571.8
212.045	560.4
212.421	564
212.796	599.2
213.172	557.8
213.547	566.6
213.923	564.8
214.299	569.8
214.675	576.2
215.051	567.4
215.427	576.8
215.803	581.4
216.179	575.4
216.555	569.4
216.932	582.6
217.308	575.2
217.684	572.6
218.061	581.4
218.438	579.8
218.814	561.2
219.191	579.8
219.568	559.6
219.945	566
220.322	577.6
220.699	571.4
221.076	580.4
221.453	570.2
221.83	566.6
222.208	566
222.585	556.8
222.962	570.2
223.34	577.8
223.717	567.2
224.095	569.4
224.473	565.6
224.851	558.4
225.229	551.8
225.607	590.6
225.985	552.6
226.363	572.6
226.741	564.8
227.119	561.8
227.497	578.6
227.876	550.4
228.254	565
228.633	567.6
229.011	561.6
229.39	569.6
229.769	571.2
230.148	569.8
230.527	578.6
230.905	562.6
231.284	570.2
231.664	568
232.043	581.6
232.422	574.8
232.801	564.4
233.181	574
233.56	564.4
233.94	566.8
234.319	559.4
234.699	559.8
235.079	600.4
235.458	603.6
235.838	582.6
236.218	565.4
236.598	549.4
236.978	565
237.358	573.2
237.738	558.8
238.119	573.2
238.499	550.4
238.88	576.6
239.26	581.6
239.641	562.4
240.021	568.8
240.402	561
240.783	566
241.163	568.4
241.544	567
241.925	568.6
242.306	583
242.687	577.8
243.069	564
243.45	572.8
243.831	568.2
244.212	567.8
244.594	593.2
244.975	572.2
245.357	573.6
245.739	556.8
246.12	562
246.502	578.2
246.884	565.6
247.266	561.6
247.648	574.6
248.03	582
248.412	569.6
248.794	569
249.176	563.2
249.559	576.8
249.941	556.8
250.323	560.2
250.706	568.2
251.089	562.8
251.471	576.6
251.854	570
252.237	556.8
252.62	572
253.002	565
253.385	569.6
253.769	589.2
254.152	562.8
254.535	580
254.918	567.8
255.301	570.2
255.685	563.2
256.068	559.8
256.452	585.2
256.835	570.4
257.219	580
257.603	583.8
257.986	561.2
258.37	574.6
258.754	562
259.138	569
259.522	585
259.906	572.8
260.29	571
260.675	567.4
261.059	571.8
261.443	568.8
261.828	577.6
262.212	570.6
262.597	556.6
262.981	563.6
263.366	573.6
263.751	573
264.136	559.2
264.521	566
264.906	560.6
265.291	577.4
265.676	565.2
266.061	573.4
266.446	588
266.831	570.6
267.217	587.8
267.602	569.6
267.987	564
268.373	571.2
268.759	580.4
269.144	568.6
269.53	583.6
269.916	567.4
270.302	572.8
270.688	580.6
271.074	561.4
271.46	574
271.846	604
272.232	569.6
272.618	567.6
273.004	563.6
273.391	579.6
273.777	580.8
274.164	567
274.55	578.6
274.937	566.8
275.324	571.2
275.71	579.8
276.097	573.6
276.484	552
276.871	565.2
277.258	582
277.645	556.8
278.032	570
278.419	565.6
278.807	580
279.194	561.6
279.581	564
279.969	574.4
280.356	575.8
280.744	571.8
281.131	583.4
281.519	580.6
281.907	565.2
282.295	564.2
282.682	579
283.07	567.6
283.458	573.8
283.846	580.4
284.235	568.6
284.623	571.8
285.011	557.8
285.399	569.8
285.788	559
286.176	560.8
286.565	582.8
286.953	558.6
287.342	568.4
287.731	567.6
288.119	557.8
288.508	566.6
288.897	565.2
289.286	557
289.675	570.8
290.064	579
290.453	565.6
290.821	572
291.21	582.6
291.599	565.2
291.989	562
292.378	566.8
292.768	590.2
293.157	572.4
293.547	582.6
293.936	558.4
294.326	567
294.716	573.8
295.106	569
295.496	581.4
295.886	581.4
296.276	569.4
296.666	568.6
297.056	567.4
297.446	558.2
297.836	585.8
298.227	572.8
298.617	568.6
299.008	582
299.398	571
299.789	576.4
300.179	576
300.57	589.4
300.961	573.6
301.352	565.6
301.742	572.4
302.133	562.6
302.524	572.2
302.915	568
303.307	561
303.698	576.8
304.089	574
304.48	577.2
304.872	575
305.263	570
305.655	556.2
306.046	572.2
306.438	561
306.829	567.8
307.221	583.6
307.613	571.4
308.005	574.6
308.397	581.2
308.789	582
309.181	590.4
309.573	591
309.965	581.8
310.357	566.6
310.749	571.8
311.142	561.8
311.534	565.8
311.926	577.6
312.319	575
312.711	563.2
313.104	579.4
313.497	566.6
313.889	605.2
314.282	577.6
314.675	588.8
315.068	571.8
315.461	569.4
315.854	603.4
316.247	574.2
316.64	566
317.033	575.8
317.405	584
317.798	562.4
318.192	569.6
318.585	557.2
318.979	569.2
319.372	562
319.766	561
320.16	581.6
320.553	580.6
320.947	589.2
321.341	565.6
321.735	564.4
322.129	560.6
322.523	590.6
322.917	570
323.311	578.6
323.705	561.6
324.099	572.8
324.494	579.6
324.888	578.4
325.282	568.8
325.677	573.8
326.071	581
326.466	575
326.861	569.8
327.255	569.6
327.65	581.6
328.045	585.6
328.44	573
328.835	572.2
329.23	568.2
329.625	590.6
330.02	564.2
330.415	586.4
330.81	578
331.206	574
331.601	566
331.996	580.2
332.37	585.4
332.766	560.6
333.161	593.2
333.557	568.4
333.953	572
334.348	859.8
334.744	575.6
335.14	565.4
335.536	567.2
335.932	581
336.328	571.4
336.724	580
337.12	566
337.516	575
337.913	559
338.309	580
338.705	569.6
339.102	583.6
339.498	566.6
339.895	585.6
340.291	566.8
340.688	576.6
341.085	566.4
341.481	564.4
341.878	565.4
342.275	588.4
342.672	557.2
343.069	561.8
343.466	562.2
343.842	576.8
344.239	566.8
344.636	568
345.033	558.8
345.431	556.8
345.828	569.4
346.225	564.6
346.623	599.8
347.02	567
347.418	565.2
347.816	582.8
348.213	553.6
348.611	575.8
349.009	558.6
349.407	574.6
349.805	560.4
350.203	551.2
350.601	576.8
350.999	566.4
351.397	623.4
351.795	560.4
352.193	567.8
352.57	572.6
352.969	582.2
353.367	563.4
353.766	554
354.164	561.2
354.563	571.4
354.961	562.4
355.36	566.6
355.759	568.2
356.158	550
356.557	552.6
356.956	556.6
357.355	553.4
357.754	564.4
358.153	574.8
358.552	586.8
358.951	557.6
359.35	577.2
359.75	564.2
360.149	556.2
360.527	553
360.926	561.6
361.326	567.2
361.726	558.2
362.125	552
362.525	572.4
362.925	568.2
363.325	570.6
363.724	568.4
364.124	561.4
364.524	561
364.924	559.4
365.324	571.6
365.725	546.6
366.125	564
366.525	556.8
366.904	556
367.304	548.8
367.705	574
368.105	575.6
368.506	565
368.906	564
369.307	556.8
369.708	563
370.108	550.8
370.509	566.4
370.91	551.6
371.311	560
371.712	556.4
372.113	561.8
372.514	554.2
372.894	557.8
373.295	555
373.696	565.6
374.097	563.4
374.499	584
374.9	560.2
375.301	553.6
375.703	564.4
376.105	546.2
376.506	563.8
376.908	566.4
377.309	559
377.711	565.2
378.113	554.8
378.493	567.4
378.895	555.2
379.297	575
379.699	552.2
380.102	560.4
380.504	563.4
380.906	557.8
381.308	585.2
381.71	562.2
382.113	573
382.515	560.4
382.918	558.4
383.299	557
383.701	564
384.104	560.6
384.507	548.4
384.909	551
385.312	552.8
385.715	550.2
386.118	555.6
386.521	554.6
386.924	569.2
387.327	557
387.709	546.4
388.112	541.2
388.515	559.4
388.918	559
389.322	565
389.725	555.4
390.129	580.4
390.532	561.2
390.936	562.2
391.339	553.4
391.743	564
392.125	551.2
392.529	569.8
392.933	582.4
393.337	556.2
393.74	558.2
394.144	559
394.548	552.8
394.953	563.6
395.357	558.6
395.761	562.4
396.144	564.4
396.548	555.4
396.952	555.2
397.357	566
397.761	554.6
398.166	555
398.57	556.8
398.975	553.2
399.379	567.2
399.763	606.2
400.168	564.8
400.572	563.6
400.977	557.8
401.382	575.6
401.787	566
402.192	573.4
402.597	575
403.002	541.4
403.386	571
403.791	572.6
404.197	556.8
404.602	565.6
405.007	564.2
405.413	552
405.818	552
406.224	560.6
406.608	561
407.014	551.8
407.42	573.2
407.825	548.8
408.231	566.6
408.637	564.4
409.043	578.2
409.449	557.6
409.834	553.8
410.24	562
410.646	566.8
411.052	573
411.458	564.8
411.865	569.4
412.271	567.2
412.677	558.6
413.062	555.8
413.469	560.4
413.875	590.8
414.282	576.2
414.689	568.2
415.095	569.2
415.502	552.4
415.888	561.4
416.294	546.6
416.701	595
417.108	550.6
417.515	566.8
417.923	557.4
418.33	581.8
418.715	565.6
419.123	554.8
419.53	561.4
419.937	566.2
420.345	573.8
420.752	557.8
421.16	572.8
421.546	562.6
421.953	569.8
422.361	548.8
422.769	561.2
423.177	554.8
423.585	584.8
423.992	574.2
424.379	571.2
424.787	572.6
425.195	576.4
425.603	563.2
426.011	575.6
426.419	577.6
426.806	558.8
427.214	563.4
427.623	581.4
428.031	583
428.44	574.8
428.848	578
429.235	588
429.644	575.2
430.053	572.6
430.461	586.6
430.87	595.6
431.279	595.4
431.666	585
432.075	586.8
432.484	599.6
432.893	601.4
433.302	612.4
433.711	642.2
434.099	624.6
434.508	625
434.918	629.2
435.327	637.6
435.737	661.8
436.125	661
436.534	663.8
436.944	677.6
437.353	680
437.763	702
438.173	688.8
438.561	715.8
438.971	687.8
