#lambda/nm	C1
208.295	466.4
208.67	430.6
209.045	396.4
209.419	394
209.794	564.4
210.169	547.4
210.544	675.6
210.919	569.2
211.295	565.4
211.67	567.6
212.045	564.2
212.421	569.2
212.796	599.6
213.172	561
213.547	561
213.923	561.8
214.299	563
214.675	575.6
215.051	576.8
215.427	578.6
215.803	591
216.179	576.8
216.555	557.6
216.932	579.8
217.308	572
217.684	572.4
218.061	571.2
218.438	570
218.814	555.8
219.191	566
219.568	555.6
219.945	564.2
220.322	575.2
220.699	566
221.076	575.4
221.453	570.8
221.83	566.6
222.208	567.4
222.585	561.2
222.962	569
223.34	566
223.717	571.8
224.095	566
224.473	575.2
224.851	554.4
225.229	555.2
225.607	576.2
225.985	555.2
226.363	565.8
226.741	554
227.119	561.4
227.497	579.8
227.876	556.6
228.254	565.8
228.633	566.2
229.011	565.8
229.39	573.8
229.769	572.8
230.148	572.4
230.527	578
230.905	562
231.284	563.4
231.664	564.6
232.043	575.8
232.422	570
232.801	567.2
233.181	577.2
233.56	569.6
233.94	567.4
234.319	557.6
234.699	575.2
235.079	599.6
235.458	604.8
235.838	581.2
236.218	568.2
236.598	552.4
236.978	562.6
237.358	562.8
237.738	558.2
238.119	567.6
238.499	553.4
238.88	558.2
239.26	576.8
239.641	561
240.021	560.4
240.402	566.6
240.783	565.2
241.163	564.8
241.544	568.8
241.925	569.4
242.306	587
242.687	576.6
243.069	571
243.45	581.6
243.831	560.8
244.212	560
244.594	597.8
244.975	581.8
245.357	577.2
245.739	562.6
246.12	569.2
246.502	575.2
246.884	570.2
247.266	567.2
247.648	570.2
248.03	597.6
248.412	568
248.794	575.6
249.176	572
249.559	580.6
249.941	556
250.323	559.2
250.706	567.6
251.089	573.2
251.471	576
251.854	573.6
252.237	561
252.62	577.4
253.002	567
253.385	571
253.769	579.6
254.152	558.2
254.535	579.4
254.918	561.4
255.301	565
255.685	563
256.068	566.8
256.452	587.8
256.835	577.4
257.219	565.2
257.603	580.2
257.986	561.2
258.37	577.8
258.754	552.4
259.138	574.4
259.522	572.4
259.906	562.6
260.29	572
260.675	566
261.059	559.8
261.443	555.8
261.828	574.2
262.212	567
262.597	560
262.981	556.2
263.366	572.2
263.751	570.2
264.136	560.8
264.521	568
264.906	561.4
265.291	567.6
265.676	556
266.061	579.2
266.446	585.8
266.831	567
267.217	587.2
267.602	568.4
267.987	567.2
268.373	565.2
268.759	577.6
269.144	578.6
269.53	566.4
269.916	573.4
270.302	562
270.688	572.6
271.074	565.4
271.46	571.8
271.846	596.2
272.232	572.6
272.618	572.4
273.004	565.8
273.391	578.2
273.777	580.8
274.164	570.4
274.55	575.6
274.937	576.2
275.324	567.4
275.71	572
276.097	578.8
276.484	564.4
276.871	571
277.258	567.4
277.645	556.8
278.032	574
278.419	570.6
278.807	574
279.194	564.8
279.581	568.2
279.969	570.8
280.356	570.6
280.744	574.6
