#lambda/nm	C1
208.295	468.4
208.67	434.6
209.045	390
209.419	401.8
209.794	566.6
210.169	548.4
210.544	674.2
210.919	577.8
211.295	563
211.67	563.4
212.045	562.6
212.421	570
212.796	590.8
213.172	563.4
213.547	563.8
213.923	563.4
214.299	555.6
214.675	576.2
215.051	570.8
215.427	579
215.803	576.4
216.179	573.2
216.555	558.6
216.932	577
217.308	566.8
217.684	566
218.061	574.4
218.438	571.4
218.814	566.2
219.191	574.6
219.568	556
219.945	568.4
220.322	575
220.699	566.4
221.076	573.8
221.453	573.6
221.83	564
222.208	566.8
222.585	570.6
222.962	576
223.34	569
223.717	574.8
224.095	570.2
224.473	569.2
224.851	560.8
225.229	566
225.607	573.8
225.985	559.6
226.363	568.2
226.741	572.4
227.119	567.4
227.497	579
227.876	556.2
228.254	579.2
228.633	570.6
229.011	568.2
229.39	579
229.769	569.2
230.148	577.4
230.527	591.2
230.905	574.2
231.284	576.6
231.664	568
232.043	579.8
232.422	574.8
232.801	564.4
233.181	575.6
233.56	568
233.94	569.6
234.319	554.4
234.699	571.8
235.079	609
235.458	606.8
235.838	587.4
236.218	560.8
236.598	553.4
236.978	565.6
237.358	565.2
237.738	559.8
238.119	576
238.499	559.4
238.88	563.6
239.26	587.2
239.641	561
240.021	564.8
240.402	572.6
240.783	571.6
241.163	562.2
241.544	566
241.925	577.6
242.306	582.4
242.687	572.2
243.069	568
243.45	580.4
243.831	569.4
244.212	573.6
244.594	596.2
244.975	574.4
245.357	567.4
245.739	566.2
246.12	563
246.502	577.6
246.884	564.8
247.266	566.6
247.648	562.8
248.03	586.8
248.412	572
248.794	575.2
249.176	561.2
249.559	583
249.941	566.4
250.323	561.8
250.706	564.2
251.089	564
251.471	571.6
251.854	565.6
252.237	572.2
252.62	576.6
253.002	566.8
253.385	571.6
253.769	585
254.152	571.2
254.535	566.6
254.918	558.4
255.301	574.6
255.685	560.8
256.068	564.2
256.452	592.6
256.835	574.2
257.219	579.6
257.603	576.4
257.986	561.6
258.37	570
258.754	560
259.138	571.8
259.522	577.4
259.906	563.8
260.29	570
260.675	569
261.059	574.6
261.443	553.6
261.828	574.8
262.212	576.6
262.597	560.6
262.981	560.6
263.366	566.6
263.751	559.8
264.136	561.4
264.521	568
264.906	557.6
265.291	572.4
265.676	563.8
266.061	575.4
266.446	587
266.831	562.8
267.217	582.4
267.602	560.4
267.987	571.6
268.373	569.2
268.759	575
269.144	566.6
269.53	564.4
269.916	564.8
270.302	560
270.688	573
271.074	566
271.46	573.4
271.846	592.2
272.232	569.8
272.618	557
273.004	565.2
273.391	579.4
273.777	584.8
274.164	569.6
274.55	577.8
274.937	573.8
275.324	573.8
275.71	578.4
276.097	581
276.484	563.2
276.871	565.6
277.258	570.8
277.645	559
278.032	567.4
278.419	559
278.807	577.2
279.194	563.6
279.581	563
279.969	577.6
280.356	567.4
280.744	569
281.131	589.8
281.519	581
281.907	568.8
282.295	572
282.682	581.4
283.07	568.4
283.458	578.8
283.846	579.2
284.235	580.8
284.623	578
285.011	569
285.399	571.6
285.788	569
286.176	568.8
286.565	578.6
286.953	566.2
287.342	565.4
287.731	557.8
288.119	561
288.508	569.2
288.897	568.6
289.286	558.4
289.675	569.6
290.064	574
290.453	564.8
290.821	563.8
291.21	590
291.599	568.4
291.989	576
292.378	569.2
292.768	590
293.157	582
293.547	583
293.936	575
294.326	571
294.716	571.8
295.106	567.4
295.496	573.6
295.886	573.2
296.276	566.8
296.666	559
297.056	563.2
297.446	550.4
297.836	582.4
298.227	568.4
298.617	570
299.008	577.4
299.398	565
299.789	568.4
300.179	568.8
300.57	582.2
300.961	568
301.352	574.2
301.742	574.8
302.133	568
302.524	576.2
302.915	573
303.307	559.6
303.698	573.2
304.089	573.8
304.48	566
304.872	575.6
305.263	576.6
305.655	559
306.046	578.4
306.438	582
306.829	568.2
307.221	581
307.613	574.4
308.005	582.4
308.397	589.6
308.789	597.6
309.181	587.8
309.573	590
309.965	579.8
310.357	571.2
310.749	570
311.142	566.6
311.534	566
311.926	574.8
312.319	572.8
312.711	564.6
313.104	579.6
313.497	564
313.889	609
314.282	587.8
314.675	597.4
315.068	570.4
315.461	578.4
315.854	595.8
316.247	574.6
316.64	571.2
317.033	567.6
317.405	572.2
317.798	573.2
318.192	575
318.585	570.8
318.979	573
319.372	570
319.766	573.4
320.16	574.8
320.553	576.6
320.947	585.4
321.341	563.6
321.735	565
322.129	557.6
322.523	592.6
322.917	562
323.311	581.6
323.705	570
324.099	580.2
324.494	590.2
324.888	576
325.282	572.4
325.677	582.8
326.071	578.8
326.466	578.2
326.861	571.6
327.255	582.2
327.65	584
328.045	582.2
328.44	571.6
328.835	571.8
329.23	561.6
329.625	593
330.02	570
330.415	586.2
330.81	576
331.206	571
331.601	564.6
331.996	584.8
332.37	587.6
332.766	565.8
333.161	589.2
333.557	561.2
333.953	572
334.348	845.4
334.744	570.2
335.14	563.6
335.536	563
335.932	580.8
336.328	569.8
336.724	582
337.12	580
337.516	574.6
337.913	576.2
338.309	586
338.705	573.2
339.102	581.8
339.498	565.8
339.895	583.4
340.291	568
340.688	576.6
341.085	564.6
341.481	566.2
341.878	567.4
342.275	594.4
342.672	562.4
343.069	567.2
343.466	563.2
343.842	583
344.239	565.6
344.636	566.4
345.033	559.2
345.431	558.4
345.828	569.6
346.225	562.2
346.623	608.4
347.02	568.6
347.418	574.2
347.816	580.2
348.213	562.8
348.611	580.6
349.009	554.4
349.407	579.8
349.805	558
350.203	555.6
350.601	579
350.999	557.4
351.397	611.6
351.795	567
352.193	576.8
352.57	574.2
352.969	578.2
353.367	557
353.766	559.4
354.164	561.6
354.563	572
354.961	562.8
355.36	561.6
355.759	560.6
356.158	562.4
356.557	557.4
356.956	556
357.355	556.8
357.754	576.4
358.153	564.2
358.552	586.8
358.951	555.6
359.35	580.4
359.75	555
360.149	556.6
360.527	555.6
360.926	550.8
361.326	561.8
361.726	555.2
362.125	555.6
362.525	560.2
362.925	559.8
363.325	562.2
363.724	562
364.124	557.4
364.524	557.4
364.924	554.6
365.324	562
365.725	544.4
366.125	553.8
366.525	562.2
366.904	554.4
367.304	546
367.705	571.2
368.105	572.8
368.506	561.4
368.906	566
369.307	561.2
369.708	564.4
370.108	556
370.509	569
370.91	552.2
371.311	560.2
371.712	565.8
372.113	566.2
372.514	559.8
372.894	559.6
373.295	553.8
373.696	573.6
374.097	572.8
374.499	592.8
374.9	569.8
375.301	558.4
375.703	570.2
376.105	550.2
376.506	564.8
376.908	568.4
377.309	563.8
377.711	554.2
378.113	563
378.493	561
378.895	561.8
379.297	570
379.699	555
380.102	572
380.504	566.4
380.906	559.4
381.308	582.4
381.71	552.2
382.113	569.4
382.515	560.2
382.918	568.4
383.299	555.2
383.701	573.2
384.104	562.4
384.507	547.2
384.909	561.4
385.312	548.8
385.715	556
386.118	561.2
386.521	553.2
386.924	570.6
387.327	559.6
387.709	559
388.112	542.2
388.515	564.2
388.918	558
389.322	564.6
389.725	566.2
390.129	583.6
390.532	566.8
390.936	555.8
391.339	552.2
391.743	566
392.125	551.8
