#lambda/nm	C1
208.295	466.6
208.67	435.2
209.045	396.8
209.419	398.6
209.794	558.8
210.169	548.8
210.544	662.8
210.919	569.6
211.295	554
211.67	573.2
212.045	566.2
212.421	566.2
212.796	595.6
213.172	562.8
213.547	568.4
213.923	557.6
214.299	559.6
214.675	571.4
215.051	573.2
215.427	577.2
215.803	586.6
216.179	566.2
216.555	560.8
216.932	579.8
217.308	566.4
217.684	567.2
218.061	576
218.438	571.6
218.814	556.4
219.191	570.8
219.568	557.8
219.945	566.2
220.322	568
220.699	579.8
221.076	579.6
221.453	573
221.83	556.4
222.208	565.2
222.585	567.4
222.962	568.6
223.34	566.8
223.717	571.8
224.095	568.8
224.473	578.8
224.851	562.6
225.229	558.8
225.607	583.6
225.985	556.6
226.363	566.2
226.741	576.6
227.119	569.8
227.497	580.8
227.876	556.4
228.254	577.8
228.633	576
229.011	571.6
229.39	572
229.769	568.4
230.148	573
230.527	592.2
230.905	563.2
231.284	577.6
231.664	559.8
232.043	582.8
232.422	581.2
232.801	560.8
233.181	567.4
233.56	562.2
233.94	574
234.319	558.2
234.699	564.4
235.079	599.6
235.458	604.2
235.838	582.6
236.218	557.6
236.598	554.2
236.978	560.6
237.358	563.4
237.738	564.6
238.119	577.6
238.499	558.4
238.88	564.6
239.26	580.2
239.641	555.8
240.021	569.4
240.402	564.2
240.783	561
241.163	563.2
241.544	570.8
241.925	571.8
242.306	581.2
242.687	566.6
243.069	569
243.45	567
243.831	561.6
244.212	560.2
244.594	603.6
244.975	578.8
245.357	572.2
245.739	569.6
246.12	565.4
246.502	581.6
246.884	574.2
247.266	565.6
247.648	566
248.03	589.4
248.412	568.4
248.794	570.6
249.176	567.8
249.559	586.6
249.941	567.4
250.323	557.8
250.706	560.4
251.089	564.2
251.471	575.6
251.854	568.6
252.237	564.6
252.62	580.6
253.002	572
253.385	573.6
253.769	589.6
254.152	561.2
254.535	572.6
254.918	566.6
255.301	564.2
255.685	563.8
256.068	569
256.452	586.8
256.835	575.8
257.219	577.4
257.603	575.6
257.986	565.8
258.37	568.6
258.754	554.2
259.138	570.8
259.522	572.2
259.906	571.2
260.29	561.8
260.675	565
261.059	572
261.443	558.4
261.828	577.4
262.212	573.4
262.597	553
262.981	559.2
263.366	577.6
263.751	570.4
264.136	563.2
264.521	559.2
264.906	564
265.291	574.8
265.676	565.6
266.061	568.8
266.446	584.4
266.831	567.6
267.217	586.6
267.602	569.6
267.987	575.4
268.373	568.4
268.759	567.4
269.144	573.2
269.53	566.4
269.916	573.8
270.302	559.4
270.688	576.8
271.074	565.4
271.46	584.4
271.846	589
272.232	564
272.618	562.6
273.004	562.6
273.391	576.8
273.777	579.8
274.164	565
274.55	585
274.937	570.4
275.324	567
275.71	579.4
276.097	580.2
276.484	563.2
276.871	568.4
277.258	579
277.645	558.8
278.032	567
278.419	563.2
278.807	570.2
279.194	559.4
279.581	566
279.969	578.8
280.356	576.6
280.744	567
281.131	597.2
281.519	583.8
281.907	564.6
282.295	566.8
282.682	579
283.07	574
283.458	573.6
283.846	577.6
284.235	587
284.623	580
285.011	567.8
285.399	580.2
285.788	570
286.176	564.4
286.565	585
286.953	561.8
287.342	564
287.731	565
288.119	568.4
288.508	560.6
288.897	569.4
289.286	566.2
289.675	575.8
290.064	576.8
290.453	566.2
290.821	576.8
291.21	578
291.599	569.6
291.989	574.2
292.378	572.2
292.768	587.4
293.157	576.2
293.547	574.4
293.936	565.4
294.326	568.6
294.716	571.8
295.106	574.6
295.496	576
295.886	575
296.276	564.6
296.666	563.6
297.056	557.8
297.446	555.8
297.836	587.4
298.227	569.8
298.617	568.4
299.008	576.4
299.398	563.2
299.789	561.2
300.179	567.6
300.57	573.2
300.961	567.6
301.352	569.8
301.742	576.2
302.133	566.4
302.524	567.4
302.915	572.6
303.307	566.8
303.698	581.6
304.089	572.8
304.48	561
304.872	567.4
305.263	574.2
305.655	564.8
306.046	562.4
306.438	566.4
306.829	563.2
307.221	578.8
307.613	578.6
308.005	575.8
308.397	576.4
308.789	589.6
309.181	594
309.573	579
309.965	588.2
310.357	568.8
310.749	570.8
311.142	564.8
311.534	566.4
311.926	578.2
312.319	570
312.711	564.4
313.104	580
313.497	569
313.889	602
314.282	588.4
314.675	588.4
315.068	569
315.461	580.8
315.854	601.4
316.247	566.2
316.64	568.6
317.033	570.4
317.405	576
317.798	567.4
318.192	576.6
318.585	567.6
318.979	566.2
319.372	565.8
319.766	569.4
320.16	579.6
320.553	594
320.947	592.4
321.341	563.6
321.735	562
322.129	560.6
322.523	585.8
322.917	564.2
323.311	576.2
323.705	572
324.099	570.4
324.494	583.8
324.888	581.8
325.282	564.2
325.677	581.6
326.071	576.6
326.466	581
326.861	574
327.255	578.6
327.65	582.6
328.045	587.8
328.44	580.6
328.835	572.8
329.23	568.4
329.625	592.8
330.02	566.8
330.415	590.2
330.81	571.2
331.206	576
331.601	564.4
331.996	586.6
332.37	582.6
332.766	558.4
333.161	586.4
333.557	571.6
333.953	576.2
334.348	853.8
334.744	569
335.14	569.8
335.536	561.4
335.932	578.2
336.328	575
336.724	573.2
337.12	560
337.516	575
337.913	560.6
338.309	586
338.705	569.4
339.102	577.4
339.498	565.6
339.895	571.8
340.291	564.2
340.688	578.2
341.085	560.8
341.481	569.8
341.878	574.8
342.275	594.8
342.672	557
343.069	561.4
343.466	550.4
343.842	577.2
