#lambda/nm	C1
208.295	475.2
208.67	434.8
209.045	402.4
209.419	406
209.794	567.4
210.169	553
210.544	667.2
210.919	572
211.295	562.8
211.67	572.6
212.045	568.8
212.421	571.2
212.796	605
213.172	567.6
213.547	554.8
213.923	571
214.299	573
214.675	584.2
215.051	568.2
215.427	579.4
215.803	588.4
216.179	576
216.555	562.4
216.932	574
217.308	573.4
217.684	565.4
218.061	571.6
218.438	565.4
218.814	562.8
219.191	568.4
219.568	564
219.945	568.8
220.322	577.2
220.699	576
221.076	576.2
221.453	572.6
221.83	564
222.208	562.2
222.585	564.4
222.962	563.6
223.34	579.8
223.717	563.8
224.095	567.6
224.473	569.8
224.851	572.4
225.229	561
225.607	577.4
225.985	563.8
226.363	571.2
226.741	571.4
227.119	569.4
227.497	583
227.876	558.6
228.254	579.8
228.633	579.8
229.011	573.8
229.39	575.2
229.769	574.4
230.148	583.6
230.527	580.2
230.905	571.8
231.284	574
231.664	560.8
232.043	580.4
232.422	571.2
232.801	564
233.181	570.4
233.56	573.4
233.94	566.4
234.319	553
234.699	563.4
235.079	609
235.458	608.2
235.838	573.6
236.218	566.4
236.598	556.4
236.978	553.2
237.358	571.8
237.738	564.6
238.119	574.4
238.499	553.4
238.88	571
239.26	585.6
239.641	554.6
240.021	560
240.402	567.6
240.783	561.8
241.163	564.6
241.544	569.6
241.925	568.4
242.306	586
242.687	572.8
243.069	570.2
243.45	572.6
243.831	566.2
244.212	569.4
244.594	599
244.975	569.2
245.357	580.6
245.739	559.4
246.12	568
246.502	580
246.884	572
247.266	568.4
247.648	572.6
248.03	589
248.412	569.2
248.794	580.2
249.176	566.6
249.559	578.8
249.941	560
250.323	557.2
250.706	566.2
251.089	563.2
251.471	573.6
251.854	573.6
252.237	568.6
252.62	569.2
253.002	570.4
253.385	561.6
253.769	581.4
254.152	565.4
254.535	577.4
254.918	563.4
255.301	567.2
255.685	569.8
256.068	564.8
256.452	589
256.835	577.4
257.219	579
257.603	578.8
257.986	563.4
258.37	569.6
258.754	561
259.138	574.6
259.522	579
259.906	565
260.29	573.2
260.675	567.2
261.059	574
261.443	562.6
261.828	568.6
262.212	568.2
262.597	551.4
262.981	567.2
263.366	574.2
263.751	569.2
264.136	565
264.521	567.4
264.906	560.8
265.291	567.6
265.676	560.6
266.061	573.8
266.446	584.6
266.831	571
267.217	582.8
267.602	572.2
267.987	571
268.373	556.6
268.759	573.2
269.144	568
269.53	570.4
269.916	565.4
270.302	562.6
270.688	577
271.074	565.4
271.46	582.2
271.846	599.8
272.232	574.4
272.618	570.2
273.004	562.2
273.391	576
273.777	578.6
274.164	574.4
274.55	574.2
274.937	576.6
275.324	568.2
275.71	575
276.097	578.2
276.484	569
