#lambda/nm	C1
208.295	474.4
208.67	430.6
209.045	391.8
209.419	403.8
209.794	562.8
210.169	546.6
210.544	659
210.919	569.2
211.295	558
211.67	573.8
212.045	561.4
212.421	565.4
212.796	595.6
213.172	564.6
213.547	561.4
213.923	559.2
214.299	558.2
214.675	566.6
215.051	574.2
215.427	573.2
215.803	587.2
216.179	569.4
216.555	555.8
216.932	571.2
217.308	574
217.684	567
218.061	574
218.438	570.4
218.814	556
219.191	571.6
219.568	567.6
219.945	559.6
220.322	574.6
220.699	566.2
221.076	573.8
221.453	573.4
221.83	570.8
222.208	565.8
222.585	559.2
222.962	570.6
223.34	573.6
223.717	563.8
224.095	558
224.473	565.8
224.851	569.6
225.229	559.6
225.607	586.2
225.985	556.6
226.363	577.4
226.741	563.8
227.119	568.2
227.497	586.8
227.876	558.8
228.254	580.4
228.633	570.6
229.011	567.4
229.39	567.6
229.769	575
230.148	571.8
230.527	588.4
230.905	570
231.284	566.2
231.664	569.2
232.043	583.2
232.422	579.2
232.801	567
233.181	569.8
233.56	567
233.94	569.4
234.319	555.8
234.699	566.4
235.079	606
235.458	596
235.838	578.8
236.218	558.6
236.598	554.6
236.978	556.8
237.358	565.2
237.738	560.6
238.119	574.2
238.499	558.2
238.88	564
239.26	574.2
239.641	567
240.021	558.6
240.402	565.4
240.783	572
241.163	566.4
241.544	582.2
241.925	567
242.306	577.4
242.687	580
243.069	572.2
243.45	578.6
243.831	557.6
244.212	569.4
244.594	605.6
244.975	577.2
245.357	567.8
245.739	568.4
246.12	572.6
246.502	575.6
246.884	565.4
247.266	562
247.648	578.2
248.03	589.2
248.412	569.6
248.794	576.2
249.176	565.6
249.559	581.6
249.941	557.6
250.323	565.4
250.706	565.8
251.089	566.8
251.471	568.6
251.854	574
252.237	571.8
252.62	579.6
253.002	574.8
253.385	564.6
253.769	585.8
254.152	572
254.535	578.8
254.918	556.6
255.301	565.2
255.685	568
256.068	564
256.452	588.8
256.835	581.2
257.219	573.8
257.603	582
257.986	556.8
258.37	581.2
258.754	558
259.138	572.4
259.522	578.8
259.906	555
260.29	569.2
260.675	568.4
261.059	574.2
261.443	559.4
261.828	574.4
262.212	578.8
262.597	561.2
262.981	570.2
263.366	574.2
263.751	570.4
264.136	567.6
264.521	575.8
264.906	563.2
265.291	581.6
265.676	567.8
266.061	572.4
266.446	581.8
266.831	569
267.217	592.4
267.602	573.4
267.987	573.6
268.373	571.2
268.759	571.8
269.144	578
