#lambda/nm	C1
208.295	469.8
208.67	429
209.045	397
209.419	398.4
209.794	561
210.169	543.8
210.544	659.4
210.919	574.8
211.295	555.2
211.67	568.4
212.045	561.4
212.421	566.2
212.796	600.4
213.172	567.8
213.547	563.2
213.923	568.8
214.299	563.6
214.675	571.8
215.051	570.4
215.427	582
215.803	584.8
216.179	567.4
216.555	563.2
216.932	580.2
217.308	571.2
217.684	565.4
218.061	579.4
218.438	574.2
218.814	560.6
219.191	564
219.568	559.2
219.945	569.4
220.322	575.8
220.699	571.4
221.076	573.2
221.453	571.6
221.83	564.4
222.208	569.2
222.585	573
222.962	565.8
223.34	575.2
223.717	565
224.095	564.6
224.473	563.6
224.851	564
225.229	555
225.607	580.2
225.985	555
226.363	569
226.741	570
227.119	561.8
227.497	578.2
227.876	562.6
228.254	578.8
228.633	580.6
229.011	569
229.39	573.8
229.769	572.6
230.148	574.4
230.527	590.2
230.905	572.2
231.284	567.2
231.664	562.4
232.043	582
232.422	581.2
232.801	563.2
233.181	571.2
233.56	569.6
233.94	570.8
234.319	562
234.699	564.6
235.079	610
235.458	609
235.838	584.2
236.218	568.4
236.598	558.8
236.978	560.6
237.358	566
237.738	567
238.119	573.8
238.499	558.8
238.88	566.2
239.26	584
239.641	555.6
240.021	562.2
240.402	562.2
240.783	567.6
241.163	575
241.544	574
241.925	570.2
242.306	590.8
242.687	574
243.069	580.8
243.45	571.2
243.831	567.2
244.212	570.6
244.594	607
244.975	571.8
245.357	571.4
245.739	567
246.12	572.8
246.502	588.6
246.884	566.8
247.266	566.8
247.648	565.2
248.03	596.6
248.412	578.4
248.794	569.4
249.176	565.6
249.559	583.6
249.941	568.6
250.323	561.4
250.706	572.4
251.089	571
251.471	571.8
251.854	570.4
252.237	571.4
252.62	579.2
253.002	568.8
253.385	571.2
253.769	582.2
254.152	569.8
254.535	580.4
254.918	564.6
255.301	567.8
255.685	564.6
256.068	563.4
256.452	581.6
256.835	575.4
257.219	573.8
257.603	586.2
257.986	566.6
258.37	576.4
258.754	561
259.138	578.8
259.522	580.8
259.906	563.4
260.29	575.8
260.675	567.6
261.059	568.2
261.443	566.4
261.828	579.4
262.212	574.6
262.597	568
262.981	561
263.366	571.6
263.751	575.6
264.136	566.8
264.521	559.8
264.906	565
265.291	580.8
265.676	567.4
266.061	581.4
266.446	587
266.831	571
267.217	587.6
267.602	576
267.987	578.2
268.373	563.4
268.759	572.4
269.144	582.4
269.53	577.8
269.916	568.8
270.302	569.4
270.688	567.6
271.074	568
271.46	578
271.846	595.6
272.232	571.8
272.618	568
273.004	562.8
273.391	576.2
273.777	577.6
274.164	568.4
274.55	584.8
274.937	572
275.324	561
275.71	570.6
276.097	579.4
276.484	557.6
276.871	580.6
277.258	566.2
277.645	558.2
278.032	567.6
278.419	575.6
278.807	574.6
279.194	563.2
279.581	560.8
279.969	573
280.356	572.6
280.744	574.6
281.131	580.6
281.519	576.2
281.907	561.6
282.295	565.8
282.682	582.8
283.07	571.2
283.458	575.8
283.846	585.8
284.235	582.4
284.623	572.4
285.011	566.4
285.399	573.6
285.788	573
286.176	563.6
286.565	586.4
286.953	564.4
287.342	568
287.731	563
288.119	553.4
288.508	572
288.897	569.8
289.286	553
289.675	577.6
290.064	576.6
290.453	578
290.821	574.6
291.21	575
291.599	569.8
291.989	581
292.378	584.4
292.768	590.4
293.157	576.6
293.547	578.6
293.936	561.6
294.326	562.8
294.716	575.2
295.106	563.6
295.496	567
295.886	580.6
296.276	569.6
296.666	565.2
297.056	564.4
297.446	556.4
297.836	580.4
298.227	565.4
298.617	569
299.008	580.8
299.398	561
299.789	570.8
300.179	574.6
300.57	589.4
300.961	568.6
301.352	567.2
301.742	567.6
302.133	564.2
302.524	568
302.915	568.2
303.307	557.4
303.698	574.8
304.089	576
304.48	571.6
304.872	578.6
305.263	566.4
305.655	566.6
306.046	575
306.438	574.8
306.829	562.4
307.221	579.6
307.613	578.4
308.005	573
308.397	576
308.789	583.4
309.181	587.4
309.573	585.2
309.965	579.2
310.357	569.2
310.749	569
311.142	552.8
311.534	567
311.926	578.2
312.319	570
312.711	573.8
313.104	586.6
313.497	572.8
313.889	605.8
314.282	577.6
314.675	592
315.068	580
315.461	573
315.854	599.8
316.247	574.4
316.64	572.6
317.033	575.4
317.405	575.6
317.798	567
318.192	572.2
318.585	561.2
318.979	567
319.372	568.2
319.766	568.6
320.16	575.4
320.553	589.4
320.947	593.6
321.341	558.4
321.735	569.8
322.129	553
322.523	598.2
322.917	554.2
323.311	584
323.705	567
324.099	571
324.494	589.4
324.888	576.8
325.282	565.2
325.677	586.2
326.071	580.4
326.466	566.6
326.861	571.8
327.255	576.4
327.65	588
328.045	579.4
328.44	570.8
328.835	578
329.23	569.2
329.625	592.6
330.02	565.4
330.415	589
330.81	571.4
331.206	573
331.601	569.8
331.996	573.2
332.37	591.6
332.766	554
333.161	589.8
333.557	566.2
333.953	575.6
334.348	911.8
334.744	567
335.14	564.2
335.536	570
335.932	590.4
336.328	571
336.724	579.8
337.12	569.6
337.516	573.4
337.913	578.4
338.309	581.6
338.705	576.8
339.102	584.2
339.498	571.8
339.895	588.6
340.291	565.2
340.688	582
341.085	564.6
341.481	570.4
341.878	564.4
342.275	584.6
342.672	562
343.069	571.4
343.466	561.2
343.842	583.2
344.239	567
344.636	563
345.033	559
345.431	563.4
345.828	571.8
346.225	573.6
346.623	603.2
347.02	566.4
347.418	572
347.816	580.4
348.213	552.8
348.611	575.8
349.009	563.4
349.407	577.8
349.805	565
350.203	554.8
350.601	578.6
350.999	561.2
351.397	633.2
351.795	569.6
352.193	584.2
352.57	572.2
352.969	581.4
353.367	560.8
353.766	559.6
354.164	561
354.563	576.4
354.961	574.2
355.36	564.8
355.759	567.2
356.158	566
356.557	570.4
356.956	559.6
357.355	558.8
357.754	567.6
358.153	577
358.552	591.2
358.951	561
359.35	575.4
359.75	562.6
360.149	566
360.527	556
360.926	567.2
361.326	563.2
361.726	565.6
362.125	559.8
362.525	569.6
362.925	560.4
363.325	566.8
363.724	566.4
364.124	557
364.524	560.8
364.924	569
365.324	576.8
365.725	555
366.125	566.4
366.525	564
366.904	556.6
367.304	547.4
367.705	570.8
368.105	577.2
368.506	555
368.906	574.6
369.307	560.4
369.708	566
370.108	547.2
370.509	563.8
370.91	556
371.311	553.2
371.712	562
372.113	561.6
372.514	555.8
372.894	560.4
373.295	561.8
373.696	575.8
374.097	568
374.499	599.4
374.9	565
375.301	560
375.703	563.4
376.105	552
376.506	567.8
376.908	558.6
377.309	567.4
377.711	563.8
378.113	562.2
378.493	561.8
378.895	556.4
379.297	572.6
379.699	558.2
380.102	577.4
380.504	570.8
380.906	557.4
381.308	578
381.71	560.6
382.113	574.8
382.515	568
382.918	573
