#lambda/nm	C1
208.295	478
208.67	438
209.045	395.6
209.419	400.8
209.794	561
210.169	558.2
210.544	682.8
210.919	569.2
211.295	562.4
211.67	571.4
212.045	569.8
212.421	568
212.796	615.8
213.172	562.6
213.547	564.6
213.923	562.8
214.299	567
214.675	583.8
215.051	576.2
215.427	576.2
215.803	585.8
216.179	578.4
216.555	567.8
216.932	578.8
217.308	566.6
217.684	569
218.061	578.4
218.438	570.8
218.814	569.6
219.191	576.6
219.568	565.2
219.945	566.8
220.322	572.2
220.699	576.2
221.076	587
221.453	578
221.83	562.2
222.208	566.8
222.585	571
222.962	577.2
223.34	574.4
223.717	576.6
224.095	565
224.473	577.4
224.851	569.8
225.229	569
225.607	588.8
225.985	566
226.363	572.8
226.741	568.4
227.119	578.2
227.497	580.6
227.876	556.2
228.254	583.8
228.633	574.2
229.011	579.4
229.39	573.8
229.769	576.4
230.148	583
230.527	588.8
230.905	576.6
231.284	573.2
231.664	570.2
232.043	580.8
232.422	579.6
232.801	571.2
233.181	575.4
233.56	570.6
233.94	571.8
234.319	560.4
234.699	569.8
235.079	609.4
235.458	606.6
235.838	585.8
236.218	566.2
236.598	555.6
236.978	561.6
237.358	560.6
237.738	568.6
238.119	577.2
238.499	561.2
238.88	562.4
239.26	586.6
239.641	561.8
240.021	564.2
240.402	566.6
240.783	558.6
241.163	568.6
241.544	563.4
241.925	566.2
242.306	582.6
242.687	571.8
243.069	564
243.45	572.8
243.831	564.2
244.212	558.8
244.594	601.6
244.975	575
245.357	573
245.739	568.4
246.12	573.4
246.502	580.4
246.884	571
247.266	570.2
247.648	575.2
248.03	594.8
248.412	574.2
248.794	579.6
249.176	565
249.559	576.6
249.941	567.6
250.323	568.6
250.706	565.6
251.089	577
251.471	575
251.854	569.8
252.237	569.4
252.62	588.4
253.002	572.8
253.385	562.6
253.769	580.2
254.152	573.4
254.535	576
254.918	564.2
255.301	573.2
255.685	563.8
256.068	565.6
256.452	599
256.835	575.4
257.219	578.2
257.603	586.8
257.986	563
258.37	580
258.754	564.8
259.138	583.6
259.522	590.8
259.906	577.2
260.29	576.2
260.675	571.6
261.059	576
261.443	563.6
261.828	583.4
262.212	579.8
262.597	567
262.981	563.8
263.366	579.2
263.751	574.6
264.136	567.2
264.521	564.4
264.906	562.4
265.291	583.2
265.676	565.4
266.061	574.4
266.446	595.6
266.831	573.6
267.217	593
267.602	578.4
267.987	574.4
268.373	570.8
268.759	581
269.144	583.2
269.53	573.6
269.916	565
270.302	574.6
270.688	574.4
271.074	570.8
271.46	571.6
271.846	600.6
272.232	577.6
272.618	564.8
273.004	570.8
273.391	582.4
273.777	583.6
274.164	575.6
274.55	584
274.937	570
275.324	570.6
275.71	576.8
276.097	588
276.484	569.4
276.871	577.8
277.258	571.2
277.645	565
278.032	566.4
278.419	564.6
278.807	574.4
279.194	561.2
279.581	567.8
279.969	581.6
280.356	577.4
280.744	571.8
281.131	591.6
281.519	587.2
281.907	574.6
282.295	563
282.682	575.2
283.07	575.6
283.458	579.8
283.846	582.4
284.235	580
284.623	579.4
285.011	569.8
285.399	581.4
285.788	571.4
286.176	558.8
286.565	575.6
286.953	562.4
287.342	574
287.731	561.4
288.119	562
288.508	564.2
288.897	577.8
289.286	566
289.675	567.8
290.064	588.8
290.453	566
290.821	563.2
291.21	591
291.599	573.6
291.989	577.6
292.378	580
292.768	587
293.157	582.6
293.547	576.6
293.936	566
294.326	567.2
294.716	578.4
295.106	575
295.496	582.6
295.886	580.4
296.276	564.4
296.666	561
297.056	563.8
297.446	563
297.836	585.8
298.227	568.2
298.617	574.6
299.008	571
299.398	563.8
299.789	561.4
300.179	572.6
300.57	591.4
300.961	564.2
301.352	570.8
301.742	580
302.133	573.4
302.524	577.2
302.915	576.8
303.307	566.6
303.698	584.4
304.089	580.4
304.48	574
304.872	583.2
305.263	565.4
305.655	566.4
306.046	577.2
306.438	566.6
306.829	564.8
307.221	584.4
307.613	579.4
308.005	582.4
308.397	584.4
308.789	593.4
309.181	596.2
309.573	596.8
309.965	580.4
310.357	568
310.749	568.8
311.142	557
311.534	574.6
311.926	571.2
312.319	580.4
312.711	560.4
313.104	592.6
313.497	566.8
313.889	616
314.282	590.2
314.675	598.2
315.068	578.6
315.461	581
315.854	606.6
316.247	581.4
316.64	567
317.033	572.4
317.405	571
317.798	565.2
318.192	571.8
318.585	575.2
318.979	575.6
319.372	559.8
319.766	572.4
320.16	583.8
320.553	588.8
320.947	586.8
321.341	573
321.735	571.4
322.129	563.8
322.523	603
322.917	566.8
323.311	585
323.705	570.2
324.099	572.4
324.494	587.2
324.888	580
325.282	560
325.677	594
326.071	584.4
326.466	583.8
326.861	578.2
327.255	594.6
327.65	586.8
328.045	591.6
328.44	579
328.835	576.8
329.23	569.8
329.625	593.2
330.02	574
330.415	602
330.81	574.6
331.206	581.8
331.601	568.2
331.996	581.8
332.37	597.2
332.766	559
333.161	591
333.557	573.6
333.953	575.4
334.348	861.6
334.744	567
335.14	569.2
335.536	566.6
335.932	585.6
336.328	571.6
336.724	577.4
337.12	567.8
337.516	564
337.913	569.2
338.309	590
338.705	559.8
339.102	580
339.498	563.8
339.895	580.2
340.291	563
340.688	573.6
341.085	561.8
341.481	574.6
341.878	571
342.275	591
342.672	562
343.069	562.6
343.466	559.6
343.842	577.4
344.239	569.6
344.636	570.6
345.033	569.8
345.431	571.4
345.828	573
346.225	565.4
346.623	609.8
347.02	574.6
347.418	580.8
347.816	589
348.213	569
348.611	574.8
349.009	568
349.407	591.2
349.805	556.6
350.203	560.2
350.601	582.4
350.999	567.4
351.397	610
351.795	571.2
352.193	577.4
352.57	576
352.969	583.6
353.367	558.2
353.766	560.8
354.164	566
354.563	576.8
354.961	562.4
355.36	560
355.759	564.2
356.158	558.2
356.557	563.2
356.956	564.2
357.355	552.6
357.754	569.2
358.153	576.8
358.552	584.8
358.951	563.2
359.35	582.4
359.75	558.6
360.149	559.6
360.527	555.4
360.926	553.8
361.326	562
361.726	571.4
362.125	555.8
362.525	580.6
362.925	561.8
363.325	574.4
363.724	565.4
364.124	559.6
364.524	565.2
364.924	562.6
365.324	581.8
365.725	555.4
366.125	566.4
366.525	558.2
366.904	557
367.304	553.4
367.705	583.8
368.105	571.4
368.506	565
368.906	572.4
369.307	558.6
369.708	574
370.108	551.8
370.509	570.8
370.91	564
371.311	569.6
371.712	563.8
372.113	552
372.514	551.6
372.894	559.8
373.295	557.8
373.696	574.8
374.097	564.6
374.499	586.8
374.9	571.4
375.301	561.2
375.703	568.4
376.105	553.6
376.506	565
376.908	567.6
377.309	565.2
377.711	566
378.113	559
378.493	564.8
378.895	562.8
379.297	567.6
379.699	553.2
380.102	564
380.504	560.8
380.906	562.2
381.308	585
381.71	560.8
382.113	576.4
382.515	560
382.918	572.4
383.299	557.4
383.701	572.8
384.104	566.8
384.507	553.6
384.909	558.8
385.312	549.4
385.715	558.4
386.118	567.6
386.521	554.8
386.924	570.4
387.327	559.2
387.709	562
388.112	546.6
388.515	565.6
388.918	563
389.322	563.8
389.725	552.8
390.129	581.6
390.532	564.4
390.936	561.4
391.339	558.8
391.743	563.6
392.125	561.2
392.529	566.6
392.933	564.6
393.337	571.4
393.74	564.2
394.144	562
394.548	554.4
394.953	565.4
395.357	579.8
395.761	559.2
396.144	561.6
396.548	558
396.952	563
397.357	567.6
397.761	559.2
398.166	560.6
398.57	565.2
398.975	557.2
399.379	561.2
399.763	611.8
400.168	564.8
400.572	560
400.977	564.2
401.382	577.8
401.787	568.4
402.192	585.4
402.597	577
403.002	551.8
403.386	573.2
403.791	588
404.197	562.6
404.602	563
405.007	564.4
405.413	561.4
405.818	559.2
406.224	554.8
406.608	561.4
407.014	563.2
407.42	578.6
407.825	563.8
408.231	576.8
408.637	564.6
409.043	576.4
409.449	564.4
409.834	565
410.24	570.4
410.646	573
411.052	573
411.458	566.6
411.865	574
412.271	572.4
412.677	562.4
413.062	571.2
413.469	563.2
413.875	594.6
414.282	574
414.689	564
415.095	568.8
415.502	561.2
415.888	561.8
416.294	556.6
416.701	599.6
417.108	560.2
417.515	572.4
417.923	567.6
418.33	582.6
418.715	576
419.123	562.4
419.53	563.8
419.937	569.4
420.345	572.2
420.752	566.4
421.16	577.2
421.546	568
421.953	577.6
422.361	557.6
422.769	570.6
423.177	556.6
423.585	589
423.992	584.2
424.379	581.6
424.787	572
425.195	583.8
425.603	569.2
426.011	579.4
426.419	574.2
426.806	567.4
427.214	568.2
427.623	574.6
428.031	588
428.44	572
428.848	580.8
429.235	580
429.644	565.6
430.053	565.6
430.461	582
430.87	586.6
431.279	574.6
431.666	566.8
432.075	572.4
432.484	573.8
432.893	565.8
433.302	577.8
433.711	594.8
434.099	574.8
434.508	562
434.918	557.8
435.327	564
435.737	568.2
436.125	570.2
436.534	568.4
436.944	568.6
437.353	571.4
437.763	581.6
438.173	553
438.561	569.6
438.971	546.4
439.381	562.6
439.791	573.6
440.201	547.2
440.589	558.8
440.999	560.6
441.409	564.2
441.819	549.4
442.23	575.2
442.619	571.4
443.029	559.6
443.439	566.4
443.85	574.4
444.26	582.2
444.649	571.4
445.06	566.6
445.471	572
445.881	553.4
446.292	579
446.682	572.4
447.092	551.2
447.503	606.6
447.914	559.8
448.325	568
448.715	555.2
449.126	551.2
449.537	550
449.948	563.6
450.338	563.2
450.75	573.2
451.161	551.4
451.572	569.8
451.984	545.6
452.374	546.4
452.786	556.6
453.197	566.6
453.609	568.2
453.999	559.2
454.411	554
454.823	575.2
455.235	557.6
455.647	565
456.037	562.6
456.449	551
456.862	567.8
457.274	567
457.665	556.2
458.077	562.6
458.489	592.8
458.902	562
459.293	564.8
459.705	562.2
460.118	551.8
460.53	563.6
460.921	552.8
461.334	563.2
461.747	565.2
462.16	573.8
462.551	576.2
462.964	565.2
463.377	547.4
463.79	560.6
464.182	564.2
464.595	557.6
465.008	564.8
465.421	559.4
465.813	564
466.226	567
466.64	557
467.053	597
467.445	565
467.859	577.2
468.272	559.2
468.686	571.2
469.078	557.6
469.492	548.8
469.906	551
470.298	562
470.712	549.2
471.126	584.8
471.54	546.2
471.933	548.8
472.347	551.2
472.761	547.6
473.175	538.4
473.568	552.4
473.982	552.6
474.397	556
474.79	555.6
475.204	567.6
475.619	557
476.033	563
476.426	557.4
476.841	552.6
477.256	574.4
477.649	546.4
478.064	551.4
478.479	555.2
478.872	549
479.287	551.8
479.702	546
480.118	551.4
480.511	557.6
480.927	561.4
481.342	554.8
481.736	557.2
482.151	548.8
482.566	564.6
482.96	556.6
483.376	563.4
483.792	549.8
484.186	563.8
484.602	549.8
485.017	558.6
485.412	553.4
485.827	565.2
486.243	554.2
486.638	573.8
487.054	560.6
487.47	577.6
487.865	556.6
488.281	570.6
488.697	548.4
489.092	547.6
489.508	545.2
489.925	564.4
490.32	555.6
490.736	559.6
491.153	554.6
491.548	558.6
491.964	563.6
492.381	546
492.776	557.2
493.193	561.2
493.61	564
494.006	556.6
494.422	559
494.84	551.6
495.235	561.8
495.652	560
496.069	558
496.465	544.4
496.883	554.6
497.3	582.2
497.696	543
498.113	560.2
498.509	552.2
498.927	546.6
499.344	553
499.741	548.4
500.158	566.6
500.576	561.2
500.973	557.6
501.39	545.8
501.787	548
502.205	567.4
502.623	552.6
503.02	552.4
503.438	550.2
503.856	556.8
504.253	559.4
504.671	559.4
505.068	544.8
505.486	557.4
505.905	574.6
506.302	558.2
506.72	563.2
507.118	551.6
507.536	543.6
507.955	549.2
508.352	554.8
508.771	566.4
509.169	560.8
509.587	550.8
510.006	556.8
510.404	543.2
510.823	548.8
511.221	553.6
511.64	556.2
512.038	571
512.457	545.6
512.877	551.8
513.275	550
513.694	553.8
514.092	556
514.512	557
514.91	552.4
515.33	548.4
515.749	556.6
516.148	553.8
516.568	555.4
516.966	545.8
517.386	543.2
517.785	548.4
518.205	551.2
518.603	552
519.024	556.2
519.444	552.6
519.843	562.8
520.263	563.8
520.662	558.6
521.082	540.2
521.481	553.4
521.902	554.6
522.301	547.2
522.722	552.2
523.121	550.2
523.542	545.8
523.963	558.4
524.362	558
524.783	557.4
525.183	550.4
525.604	559
526.003	545.2
526.425	547.8
526.824	559.6
527.246	563.6
527.646	565.2
528.067	547.4
528.467	554.4
528.888	547
529.289	548.4
529.71	551.8
530.11	547.4
530.532	548.6
530.932	545.2
531.354	544
531.755	587
532.176	554.4
532.577	547.2
532.999	554.6
533.4	543
533.822	557.2
534.223	562.8
534.645	546.2
535.046	552.6
535.468	552.8
535.869	568.4
536.292	542
536.693	575
537.115	557.6
537.516	550.6
537.939	556.4
538.34	569.8
538.742	567.4
539.165	556.4
539.566	554.4
539.989	543.8
540.391	540.2
540.814	550.2
541.216	551.2
541.639	557.8
542.041	562.8
542.464	543.6
542.866	547.2
543.268	553.6
543.691	554.6
544.093	561.8
544.517	570
544.919	544.6
545.343	572.4
545.745	538.8
546.147	553.6
546.571	547.8
546.974	538.4
547.398	553.6
547.8	555.8
548.224	549.4
548.627	545.6
549.03	552.6
549.454	551.4
549.857	538.8
550.281	543.8
550.684	545.2
551.087	558.4
551.512	549.4
551.915	553.4
552.34	555.2
552.743	544.6
553.146	552.4
553.571	556.6
553.975	566.4
554.399	545.4
554.803	603
555.207	547
555.632	540.8
556.036	556.2
556.461	552.4
556.865	555
557.268	540.8
557.694	554.6
558.098	554.4
558.502	557.8
558.927	549.6
559.332	554.4
559.736	555.2
560.162	558.8
560.566	550
560.992	552.6
561.396	553.4
561.801	555
562.227	548
562.631	554.8
563.036	558.2
563.462	564.2
563.867	551.2
564.272	538.6
564.698	558.2
565.103	536.4
565.508	564.2
565.935	556.6
566.34	545.8
566.745	562.2
567.172	545.8
567.577	568.2
567.982	563
568.409	555.4
568.815	546.6
569.22	552.4
569.626	557.8
570.053	547.4
570.459	554
570.865	566.6
571.292	552.2
571.698	552.8
572.104	540
572.531	553.4
572.937	560
573.343	555.8
573.75	546
574.177	551.2
574.583	554.6
574.99	544.6
575.396	559
575.824	554.2
576.231	559.4
576.637	543.4
577.065	571.4
577.472	545.4
577.879	549.8
578.286	566.8
578.714	535.8
579.121	549.2
579.528	558
579.935	556.6
580.364	551.6
580.771	545.4
581.178	541.6
581.585	556.8
582.014	556.4
582.421	549.6
582.829	543.8
583.236	553
583.644	550.2
584.073	542
584.481	549.8
584.889	539.2
585.296	549.6
585.726	556
586.134	537
586.542	554.6
586.95	570.8
587.358	537.6
587.787	545.2
588.196	561.4
588.604	546
589.012	546.8
589.421	537.2
589.851	544.2
590.259	545.6
590.668	546
591.076	584.2
591.485	545.4
591.894	547
592.324	572.6
592.733	549.8
593.142	535
593.551	538.8
593.96	574.2
594.369	538.6
594.8	532.8
595.209	549.6
595.618	528.6
596.028	544.4
596.437	533
596.847	547.2
597.256	550
597.687	549
598.097	549.8
598.507	543.4
598.917	538.2
599.327	542.8
599.736	555.2
600.146	557.6
600.556	550.4
600.988	557
601.398	535.2
601.808	551.8
602.219	537
602.629	546
603.039	548.6
603.45	580.4
603.86	550
604.271	564.8
604.703	544
605.114	552.8
605.525	548
605.935	557.2
606.346	570.2
606.757	562.2
607.168	545.8
607.579	549
607.99	556.2
608.402	551.4
608.813	557.8
609.224	555.8
609.636	546.6
610.047	551.4
610.48	555.6
610.892	562.8
611.303	559
611.715	547.8
612.127	545.2
612.539	547.8
612.95	554
613.362	535.8
613.774	541.8
614.186	538.8
614.599	541.4
615.011	559.4
615.423	551.2
615.835	541.8
616.248	527.2
616.66	553.8
617.073	537.2
617.485	547.8
617.898	548.6
618.311	539
618.723	542
619.136	573.8
619.549	558.4
619.962	566.4
620.375	544
620.788	550
621.201	541.2
621.614	554.6
622.028	549.8
622.441	547.6
622.854	560.4
