#lambda/nm	C1
208.295	476.6
208.67	436.8
209.045	399
209.419	397
209.794	576.8
210.169	560.2
210.544	668.4
210.919	573.4
211.295	566.2
211.67	569.4
212.045	559
212.421	562.4
212.796	605.4
213.172	571.2
213.547	562.4
213.923	570.8
214.299	553.2
214.675	578
215.051	570.8
215.427	579.4
215.803	591.8
216.179	576.2
216.555	566.4
216.932	579.4
217.308	574.2
217.684	569.2
218.061	580.4
218.438	572
218.814	567
219.191	580.2
219.568	566
219.945	568
220.322	570.6
220.699	572.8
221.076	579.8
221.453	571.2
221.83	573.2
222.208	565.6
222.585	565
222.962	573.2
223.34	577.4
223.717	571.4
224.095	569.8
224.473	578.4
224.851	572
225.229	563.2
225.607	582.8
225.985	559.2
226.363	574.4
226.741	564.4
227.119	565.6
227.497	590.8
227.876	566
228.254	582.2
228.633	583.6
229.011	572.6
229.39	577
229.769	574.2
230.148	577.2
230.527	588.4
230.905	575.8
231.284	568.4
231.664	558.2
232.043	576.8
232.422	576
232.801	552.4
233.181	577
233.56	561.4
233.94	576.4
234.319	548.8
234.699	569
235.079	605.2
235.458	600.6
235.838	592.6
236.218	566.2
236.598	567
236.978	553.8
237.358	565.6
237.738	569.6
238.119	578.2
238.499	558.6
238.88	574.8
239.26	584.6
239.641	558.2
240.021	572.8
240.402	564.6
240.783	569.2
241.163	566.2
241.544	572.8
241.925	572.4
242.306	581.4
242.687	575.4
243.069	575
243.45	576.6
243.831	570
244.212	568
244.594	606.4
244.975	572.2
245.357	574.8
245.739	563.8
246.12	575.4
246.502	579.6
246.884	570
247.266	578.2
247.648	574.8
248.03	595.8
248.412	580.8
248.794	571
249.176	566
249.559	579.8
249.941	566.6
250.323	559
250.706	569.6
251.089	571
251.471	569.2
251.854	570.8
252.237	568.2
252.62	579
253.002	568.2
253.385	565.4
253.769	588.8
254.152	572
254.535	574
254.918	560.2
255.301	573.8
255.685	569.4
256.068	561.2
256.452	592.2
256.835	569.6
257.219	568.6
257.603	585.2
257.986	562.2
258.37	578
258.754	569.2
259.138	570.6
259.522	581.2
259.906	563.2
260.29	578.6
260.675	566.6
261.059	581.2
261.443	563.6
261.828	584.6
262.212	579.8
262.597	560.4
262.981	570.6
263.366	586
263.751	570.4
264.136	570
264.521	576.6
264.906	558.6
265.291	584.2
265.676	560
266.061	584
266.446	584.6
266.831	571
267.217	586.8
267.602	576.2
267.987	573
268.373	562
268.759	584
269.144	574
269.53	568.2
269.916	568.2
270.302	567.4
270.688	575
271.074	567.2
271.46	578.8
271.846	604.6
272.232	565
272.618	562.2
273.004	576
273.391	583.2
273.777	584.6
274.164	571
274.55	586.2
274.937	576.8
275.324	571
275.71	579.8
276.097	575.8
276.484	566.8
276.871	572.4
277.258	578.8
277.645	560
278.032	571.2
278.419	566.8
278.807	578.6
279.194	563.2
279.581	567.6
279.969	576.6
280.356	577.8
280.744	573.8
281.131	595.8
281.519	575
281.907	570.6
282.295	568.6
282.682	583
283.07	581.4
283.458	576.6
283.846	585
284.235	587.4
284.623	583.8
285.011	565.4
285.399	584.8
285.788	568.8
286.176	561.4
286.565	580
286.953	562.6
287.342	558.4
287.731	566
288.119	565
288.508	565.6
288.897	574.4
289.286	565.6
289.675	576
290.064	581.6
290.453	577.8
290.821	573
291.21	579.6
291.599	571.2
291.989	573.8
292.378	586.8
292.768	588.8
293.157	572.6
293.547	584.2
293.936	574.2
294.326	573.4
294.716	575.4
295.106	569.2
295.496	572.8
295.886	585.4
296.276	570.4
296.666	565.8
297.056	572
297.446	566.6
297.836	597.6
298.227	575
298.617	574.2
299.008	574.6
299.398	571.8
299.789	569
300.179	575
300.57	580.4
300.961	566.6
301.352	573.8
301.742	577
302.133	574.4
302.524	570.4
302.915	566.6
303.307	567.2
303.698	580.8
304.089	574.6
304.48	568.6
304.872	576.8
305.263	575
305.655	564.4
306.046	578.6
306.438	575
306.829	573.2
307.221	584.2
307.613	576.6
308.005	581
308.397	575.4
308.789	590.6
309.181	590.8
309.573	589.2
309.965	576.8
310.357	567.8
310.749	569.2
311.142	563.6
311.534	567.6
311.926	574.6
312.319	573.8
312.711	572.6
313.104	582.4
313.497	577.6
313.889	612.6
314.282	582.8
314.675	600.6
315.068	577.2
315.461	575.2
315.854	602.2
316.247	583.4
316.64	569.4
317.033	580.8
317.405	576.8
317.798	577
318.192	575.2
318.585	569.8
318.979	577.2
319.372	562.6
319.766	573
320.16	584
320.553	593.6
320.947	593.8
321.341	568
321.735	568.8
322.129	564.2
322.523	599.8
322.917	568.2
323.311	599
323.705	570.4
324.099	576.8
324.494	589.4
324.888	584.2
325.282	571.2
325.677	585.2
326.071	583.8
326.466	587.2
326.861	578.6
327.255	584.6
327.65	581.8
328.045	589.2
328.44	571.2
328.835	565.2
329.23	561.6
329.625	591
330.02	561.6
330.415	597.2
330.81	579.4
331.206	573.6
331.601	569.4
331.996	577.4
332.37	588
332.766	556.2
333.161	593.6
333.557	564.4
333.953	574.6
334.348	851.4
334.744	577.2
335.14	564.6
335.536	554.4
335.932	586
336.328	577.4
336.724	582
337.12	572.6
337.516	580
337.913	568.2
338.309	580.6
338.705	568.8
339.102	586.8
339.498	570.2
339.895	587.8
340.291	566.6
340.688	589
341.085	565.4
341.481	572.4
341.878	575
342.275	591.2
342.672	565.2
343.069	570
343.466	563.8
343.842	584
344.239	567.8
344.636	569.6
345.033	564
345.431	565.2
345.828	577.4
346.225	566.6
346.623	603
347.02	557.6
347.418	578.4
347.816	583.2
348.213	564.6
348.611	574.6
349.009	568
349.407	576
349.805	565
350.203	550
350.601	587.4
350.999	564.4
351.397	615.2
351.795	569.2
352.193	582.2
352.57	575.8
352.969	582
353.367	561.4
353.766	552.4
354.164	570.4
354.563	581.2
354.961	571.8
355.36	562.4
355.759	563.4
356.158	560
356.557	565.4
356.956	570
357.355	566.8
357.754	573.4
358.153	577.4
358.552	593.6
358.951	582.8
359.35	577.6
359.75	571.6
360.149	562.2
360.527	560
360.926	556.8
361.326	568.8
361.726	569.8
362.125	566.6
362.525	569.2
362.925	566.2
363.325	571.8
363.724	564.4
364.124	562.4
364.524	562.8
364.924	556.2
365.324	577.4
365.725	547.6
366.125	566.6
366.525	571.2
366.904	553.2
367.304	547.8
367.705	582.4
368.105	578.2
368.506	569.6
368.906	562.8
369.307	570.4
369.708	587
370.108	556
370.509	575.2
370.91	550
371.311	558.6
371.712	565.2
372.113	562.4
372.514	550.8
372.894	565.2
373.295	554
373.696	572.6
374.097	575.2
374.499	601
374.9	564.4
375.301	558
375.703	566.8
376.105	556.4
376.506	571.2
376.908	575.2
377.309	563.4
377.711	570.2
378.113	560.6
378.493	567
378.895	556
379.297	570.4
379.699	549.4
380.102	569.4
380.504	567
380.906	563.6
381.308	585.2
381.71	561.8
382.113	576.4
382.515	563.2
382.918	569
383.299	572.2
383.701	565.6
384.104	570.6
384.507	549.8
384.909	561
385.312	556.6
385.715	555.4
386.118	561.4
386.521	554
386.924	575.4
387.327	559.4
387.709	548.8
388.112	546.2
388.515	561.2
388.918	563.8
389.322	558
389.725	562
390.129	585.6
390.532	562.2
390.936	561.4
391.339	560.8
391.743	563.2
392.125	558.2
392.529	565.6
392.933	580
393.337	562
393.74	559
394.144	555.6
394.548	559.8
394.953	558.2
395.357	572.4
395.761	558
396.144	560.2
396.548	559.6
396.952	564.8
397.357	565.8
397.761	559.6
398.166	559.8
398.57	564.4
398.975	551.4
399.379	566.4
399.763	613.6
400.168	558.8
400.572	567.2
400.977	570.2
401.382	575.8
401.787	575.6
402.192	581.6
402.597	577.6
403.002	558.2
403.386	577.6
403.791	582.6
404.197	567.4
404.602	560
405.007	556.8
405.413	551.6
405.818	565
406.224	563.8
406.608	551.4
407.014	555.4
407.42	578.4
407.825	561
408.231	568
408.637	563.2
409.043	576
409.449	563.6
409.834	559
410.24	560.8
410.646	578
411.052	576.2
411.458	564.2
411.865	571.6
412.271	572.6
412.677	565.2
413.062	575
413.469	561
413.875	587.2
414.282	575
414.689	569
415.095	577.8
415.502	566.4
415.888	561.2
416.294	547.8
416.701	604.2
417.108	562.8
417.515	577.2
417.923	563
418.33	582.6
418.715	570.6
419.123	569
