#lambda/nm	C1
208.295	476.4
208.67	433.6
209.045	398.4
209.419	392.4
209.794	572
210.169	549.2
210.544	671.2
210.919	568
211.295	561.6
211.67	573.4
212.045	570.2
212.421	568.2
212.796	599.8
213.172	565.6
213.547	571.4
213.923	572.8
214.299	565
214.675	578.8
215.051	579
215.427	578.2
215.803	584
216.179	572.8
216.555	560.8
216.932	586.4
217.308	571
217.684	575.8
218.061	572
218.438	577.2
218.814	567.2
219.191	572.6
219.568	558
219.945	565.8
220.322	578.4
220.699	574.4
221.076	578.4
221.453	573.4
221.83	565
222.208	569.6
222.585	568.4
222.962	570.8
223.34	569.4
223.717	574
224.095	562.4
224.473	567
224.851	564.6
225.229	561.6
225.607	581
225.985	557.2
226.363	575
226.741	572.8
227.119	566.6
227.497	588.4
227.876	564.2
228.254	583.8
228.633	573.6
229.011	577
229.39	576.2
229.769	573.6
230.148	574.4
230.527	589
230.905	570.4
231.284	575.8
231.664	569.2
232.043	580.4
232.422	581.8
232.801	573.2
233.181	580
233.56	568.2
233.94	575.6
234.319	555
234.699	566
235.079	611.8
235.458	598.6
235.838	584
236.218	568.8
236.598	559.6
236.978	558.2
237.358	562.4
237.738	561.4
238.119	576.8
238.499	566
238.88	563.4
239.26	580.4
239.641	558.2
240.021	568.8
240.402	569.6
240.783	561.2
241.163	570
241.544	580.4
241.925	565
242.306	582
242.687	574
243.069	572.8
243.45	572.4
243.831	563.4
244.212	569.8
244.594	601
244.975	578
245.357	576.6
245.739	575.8
246.12	568.8
246.502	584
246.884	573
247.266	561.6
247.648	574.4
248.03	580.8
248.412	565.8
248.794	566.8
249.176	563.6
249.559	581.4
249.941	564.4
250.323	559.2
250.706	563
251.089	571.2
251.471	571.8
251.854	575.2
252.237	568.8
252.62	572.4
253.002	565.4
253.385	572.6
253.769	576.8
254.152	569
254.535	579
254.918	565
255.301	562.8
255.685	564.4
256.068	563.2
256.452	589.8
256.835	580.2
257.219	578.6
257.603	575.2
257.986	563.8
258.37	567
258.754	560.8
259.138	573.2
259.522	575.8
259.906	572
260.29	565.6
260.675	567.6
261.059	572
261.443	557.4
261.828	575.4
262.212	569.6
262.597	563
262.981	567.2
263.366	574.6
263.751	576
264.136	569.6
264.521	570.2
264.906	562.2
265.291	580.6
265.676	571.4
266.061	575.6
266.446	593.8
266.831	568.4
267.217	589.6
267.602	572.6
267.987	569.6
268.373	574.2
268.759	582
269.144	570.4
269.53	569.8
269.916	564.2
270.302	564.2
270.688	569
271.074	575
271.46	581
271.846	600
272.232	571.6
272.618	557.8
273.004	571
273.391	576.8
273.777	576.8
274.164	569.4
274.55	585.8
274.937	574.4
275.324	565.8
275.71	567.8
276.097	573.8
276.484	562.8
276.871	571.4
277.258	573
277.645	561.4
278.032	562.8
278.419	558.8
278.807	576.2
279.194	556.6
279.581	562.4
279.969	574
280.356	567.2
280.744	569.4
281.131	600.6
281.519	577.4
281.907	567.2
282.295	566.2
282.682	581.8
283.07	573
283.458	577.4
283.846	586.4
284.235	577.4
284.623	586.6
285.011	566
285.399	579.8
285.788	571
286.176	562.4
286.565	577.8
286.953	571.4
287.342	566.2
287.731	561.6
288.119	560.2
288.508	559.8
288.897	572.8
289.286	559.8
289.675	569.2
290.064	581
290.453	568
290.821	571.4
291.21	592
291.599	570.2
291.989	567.6
292.378	578
292.768	589.6
293.157	569
293.547	581.2
293.936	574.8
294.326	566.6
294.716	574.6
295.106	571.6
295.496	579.6
295.886	589
296.276	570.8
296.666	564
297.056	567.4
297.446	557.6
297.836	593.2
298.227	562.6
298.617	567.2
299.008	581
299.398	569.2
299.789	560
300.179	579.8
300.57	587.4
300.961	574.6
301.352	571.8
301.742	574.6
302.133	568.8
302.524	571.8
302.915	577.8
303.307	564.2
303.698	578.2
304.089	573
304.48	565.4
304.872	571
305.263	567.4
305.655	570.8
306.046	572.8
306.438	574
306.829	568.4
307.221	586
307.613	576.8
308.005	581.8
308.397	582.6
308.789	594.8
309.181	599
309.573	594.6
309.965	579.2
310.357	565
310.749	565.8
311.142	562.2
311.534	569
311.926	579
312.319	569.4
312.711	567
313.104	587.2
313.497	567
313.889	607
314.282	589.4
314.675	594.2
315.068	575.6
315.461	573.4
315.854	598.2
316.247	568.4
316.64	567.2
317.033	573.4
317.405	583.2
317.798	580.4
318.192	572.6
318.585	571.8
318.979	576.2
319.372	557.2
319.766	573.2
320.16	573.2
320.553	581.4
320.947	592.4
321.341	576.4
321.735	574.8
322.129	559.4
322.523	604.2
322.917	563.4
323.311	579.8
323.705	570.8
324.099	568.6
324.494	587
324.888	577.8
325.282	572
325.677	577
326.071	584.4
326.466	577.2
326.861	575.8
327.255	576.6
327.65	581.8
328.045	594.4
328.44	571.4
328.835	579.2
329.23	566.6
329.625	593.8
330.02	572.2
330.415	592
330.81	573.8
331.206	579.2
331.601	570.4
331.996	578.8
332.37	596.2
332.766	561.2
333.161	593
333.557	564
333.953	570
334.348	904.6
334.744	573.6
335.14	573.4
335.536	567.6
335.932	581
336.328	571.6
336.724	587.6
337.12	572
337.516	573.6
337.913	574.6
338.309	584.4
338.705	580
339.102	582
339.498	558.8
339.895	574.4
340.291	566.6
340.688	587.6
341.085	559.6
341.481	569.4
341.878	574.4
342.275	590.2
342.672	566.4
343.069	569
343.466	562.8
343.842	577.8
344.239	571.6
344.636	568.6
345.033	566.6
345.431	565.4
345.828	570
346.225	564.6
346.623	593.4
347.02	562.4
347.418	578.6
347.816	580.6
348.213	562.6
348.611	571
349.009	554.4
349.407	573.8
349.805	567.2
350.203	554.2
350.601	577.6
350.999	563.8
351.397	615.4
351.795	565.8
352.193	570.6
352.57	567.4
352.969	574.4
353.367	562.4
353.766	558.6
354.164	562.6
354.563	571.6
354.961	567
355.36	563.2
355.759	568.6
356.158	565.2
356.557	562.6
356.956	560.6
357.355	556.6
357.754	570.2
358.153	575.6
358.552	588.4
358.951	565.4
359.35	579
359.75	564
360.149	563.4
360.527	551.4
360.926	566.6
361.326	566
361.726	561
362.125	556
362.525	571.6
362.925	569
363.325	571.2
363.724	562.4
364.124	557
364.524	558.8
364.924	561.4
365.324	576.8
365.725	556.2
366.125	574.2
366.525	561
366.904	560.4
367.304	550
367.705	587
368.105	574.4
368.506	566.8
368.906	563.8
369.307	559.4
369.708	575.8
370.108	557.8
370.509	572.6
370.91	564
371.311	566.6
371.712	572.8
372.113	559.4
372.514	556.6
372.894	564.8
373.295	566
373.696	571.4
374.097	570.2
374.499	592
374.9	563.6
375.301	558.2
375.703	568.8
376.105	553
376.506	569.2
376.908	566
377.309	557.2
377.711	559.6
378.113	556.6
378.493	563
378.895	560.6
379.297	568
379.699	553.6
380.102	563.8
380.504	571.2
380.906	551.4
381.308	592.8
381.71	561.2
382.113	568.4
382.515	567.4
382.918	561.4
383.299	563.2
383.701	562.6
384.104	559.6
384.507	544
384.909	563.8
385.312	556.2
385.715	548.4
386.118	559.2
386.521	548.2
386.924	570.2
387.327	560.6
387.709	548
388.112	542
388.515	562
388.918	562.2
389.322	566
389.725	558.6
390.129	587.8
390.532	574
390.936	554.4
391.339	555
391.743	567.6
392.125	557
392.529	574
