#lambda/nm	C1
208.295	473.2
208.67	433.2
209.045	394.2
209.419	404.6
209.794	564.2
210.169	544.6
210.544	666.6
210.919	571
211.295	560.8
211.67	567.6
212.045	562.4
212.421	569.6
212.796	599.6
213.172	568.8
213.547	566.8
213.923	566.2
214.299	561
214.675	578
215.051	576
215.427	576.4
215.803	591.2
216.179	574.4
216.555	568.2
216.932	581.8
217.308	569.8
217.684	575.6
218.061	572.2
218.438	580.6
218.814	564
219.191	580.8
219.568	558
219.945	568
220.322	578.8
220.699	570.4
221.076	584.2
221.453	578.4
221.83	565.2
222.208	566.6
222.585	572.4
222.962	572
223.34	575.2
223.717	570.8
224.095	573.2
224.473	566.8
224.851	561.8
225.229	553.6
225.607	582.6
225.985	568
226.363	571.4
226.741	575.8
227.119	564.4
227.497	587.2
227.876	557.2
228.254	570.4
228.633	571.8
229.011	574
229.39	575
229.769	572.4
230.148	583.6
230.527	595
230.905	572
231.284	579.6
231.664	567.6
232.043	582.2
232.422	575.8
232.801	567
233.181	574.2
233.56	570.6
233.94	577.2
234.319	559.8
234.699	569.6
235.079	606.2
235.458	605.2
235.838	580.6
236.218	559
236.598	565.8
236.978	564.2
237.358	561.2
237.738	562.8
238.119	576
238.499	562.2
238.88	570.4
239.26	582.2
239.641	557.4
240.021	567.4
240.402	573.6
240.783	567.6
241.163	571.2
241.544	570.8
241.925	571.2
242.306	590.2
242.687	572.8
243.069	568.4
243.45	570.6
243.831	559
244.212	575.6
244.594	603.6
244.975	574
245.357	579.8
245.739	578.2
246.12	567
246.502	582.2
246.884	561.6
247.266	569.6
247.648	571.8
248.03	585.2
248.412	578.8
248.794	568.4
249.176	562.2
249.559	572.4
249.941	557.2
250.323	551.2
250.706	554
251.089	573.6
251.471	571.6
251.854	574.2
252.237	565.4
252.62	571.6
253.002	571.8
253.385	576
253.769	573.6
254.152	569.2
254.535	576.8
254.918	561
255.301	565.4
255.685	565.8
256.068	561
256.452	588
256.835	574.2
257.219	572.8
