#lambda/nm	C1
208.295	470
208.67	435.4
209.045	394.4
209.419	399
209.794	555.8
210.169	550.6
210.544	672
210.919	571.4
211.295	562.8
211.67	574.2
212.045	565.6
212.421	568.6
212.796	601.8
213.172	557.4
213.547	564.2
213.923	563
214.299	557.8
214.675	579.2
215.051	566.2
215.427	574.4
215.803	584.8
216.179	567.6
216.555	563.2
216.932	581.4
217.308	564.2
217.684	565.2
218.061	573.8
218.438	571
218.814	566.8
219.191	572.4
219.568	562.8
219.945	562.2
220.322	576.2
220.699	571.2
221.076	575.4
221.453	572.8
221.83	561.4
222.208	568.6
222.585	569.2
222.962	575.6
223.34	571
223.717	562.6
224.095	562.8
224.473	569.2
224.851	567
225.229	562
225.607	575.8
225.985	567
226.363	576.4
226.741	569.2
227.119	572.4
227.497	571.4
227.876	552.4
228.254	584
228.633	569
229.011	572.8
229.39	580.6
229.769	578.8
230.148	576.6
230.527	587.2
230.905	573.6
231.284	565.2
231.664	562.6
232.043	588.8
232.422	568
232.801	562
233.181	575.4
233.56	565
233.94	571.6
234.319	562
234.699	563.4
235.079	605.4
235.458	606
235.838	573.2
236.218	556.2
236.598	568.2
236.978	558.4
237.358	572.6
237.738	559.8
238.119	573.2
238.499	556.2
238.88	568.2
239.26	581.8
239.641	560.4
240.021	563.2
240.402	567.6
240.783	567
241.163	567.8
241.544	570.4
241.925	570.2
242.306	585.8
242.687	577.8
243.069	574.2
243.45	581.4
243.831	567.4
244.212	564
244.594	602.6
244.975	567.6
245.357	569.8
245.739	569
246.12	567.4
246.502	579.6
246.884	564.8
247.266	563
247.648	570.6
248.03	585
248.412	573.8
248.794	562.4
249.176	564.6
249.559	575.6
249.941	569.2
250.323	559
250.706	558.8
251.089	564.8
251.471	569.6
251.854	570.2
252.237	570.4
252.62	584.6
253.002	567.2
253.385	567
253.769	587.6
254.152	567.6
254.535	574.4
254.918	558.6
255.301	567.4
255.685	563.2
256.068	568.6
256.452	586.6
256.835	577.2
257.219	579.2
257.603	580.6
257.986	559.2
258.37	569.8
258.754	558.2
259.138	566.6
259.522	584.4
259.906	563.2
260.29	578
260.675	571
261.059	561.2
261.443	561.2
261.828	576.6
262.212	580.4
262.597	553
262.981	572
263.366	572.6
263.751	571
264.136	563.2
264.521	569.6
264.906	563.2
