#lambda/nm	C1
208.295	473
208.67	432.6
209.045	386.4
209.419	398.4
209.794	566.8
210.169	554.8
210.544	665.8
210.919	572
211.295	555.6
211.67	562.4
212.045	568.4
212.421	572.6
212.796	589.6
213.172	566
213.547	563.2
213.923	571.4
214.299	564.6
214.675	577
215.051	569.6
215.427	581.4
215.803	582
216.179	584.6
216.555	562.2
216.932	582.8
217.308	576.6
217.684	572.4
218.061	573
218.438	575.2
218.814	556.8
219.191	577
219.568	561
219.945	570.8
220.322	579.2
220.699	577
221.076	574.6
221.453	565
221.83	570.8
222.208	561.2
222.585	566.2
222.962	579.8
223.34	574
223.717	573.2
224.095	567.8
224.473	571.4
224.851	569.6
225.229	562.2
225.607	587
225.985	556.6
226.363	581
226.741	575.6
227.119	574.8
227.497	577.8
227.876	557.2
228.254	579
228.633	569.2
229.011	575.8
229.39	572
229.769	574.4
230.148	579.8
230.527	589
230.905	571.4
231.284	570.8
231.664	566
232.043	588
232.422	572.6
232.801	564
233.181	577.4
233.56	565.2
233.94	573.4
234.319	571.6
234.699	570.8
235.079	597
235.458	613
235.838	582.8
236.218	567.6
236.598	565
236.978	564.8
237.358	567
237.738	572.4
238.119	577
238.499	560.6
238.88	572.8
239.26	584
239.641	557.8
240.021	565.6
240.402	570.8
240.783	567.6
241.163	567.8
241.544	572.4
241.925	573
242.306	582.2
242.687	573.6
243.069	576
243.45	572.8
243.831	568.8
244.212	567
244.594	605.8
244.975	582.4
245.357	577.4
245.739	563
246.12	575.6
246.502	584.6
246.884	569
247.266	569.2
247.648	581.4
248.03	589.8
248.412	580.2
248.794	578.8
249.176	570.6
249.559	583.4
249.941	569.8
250.323	563
250.706	562.6
251.089	571.2
251.471	569.6
251.854	576.4
252.237	571.4
252.62	578.2
253.002	558.2
253.385	576.4
253.769	578.2
254.152	575.8
254.535	571.2
254.918	568.2
255.301	568.4
255.685	563.8
256.068	574.6
256.452	592.4
256.835	579.6
257.219	574.2
257.603	582
257.986	565.8
258.37	572.4
258.754	560.4
259.138	575.8
259.522	579.4
259.906	567.4
260.29	579.2
260.675	565.4
261.059	572.6
261.443	561
261.828	574.2
262.212	571
262.597	560
262.981	562.4
263.366	578.2
263.751	569
264.136	562.4
264.521	557.6
264.906	557.8
265.291	578.4
265.676	569.6
266.061	573.8
266.446	585.6
266.831	566.4
267.217	589
267.602	577.6
267.987	578.8
268.373	560.8
268.759	577.2
269.144	582.8
269.53	574.8
269.916	561.8
270.302	563.2
270.688	578.4
271.074	565.6
271.46	583.2
271.846	600
272.232	573.2
272.618	560.6
273.004	564.6
273.391	577.6
273.777	590.6
274.164	569.6
274.55	580.8
274.937	578.8
275.324	563.2
275.71	575.6
276.097	576.4
276.484	568.2
276.871	572.8
277.258	569.4
277.645	563.8
278.032	573.6
278.419	569.2
278.807	570.6
279.194	563.6
279.581	568
279.969	571.4
280.356	579.6
280.744	565.4
281.131	596.6
281.519	580.4
281.907	566.2
282.295	571.6
282.682	577.6
283.07	580.6
283.458	583.8
283.846	583
284.235	588.6
284.623	579
285.011	560
285.399	575.6
285.788	566.6
286.176	568.2
286.565	580.4
286.953	563.2
287.342	575.2
287.731	566.2
288.119	568.2
288.508	564.2
288.897	575
289.286	562.8
289.675	569.2
290.064	584.4
290.453	568.6
290.821	571.4
291.21	582.4
291.599	565
291.989	574
292.378	584.4
292.768	584.6
293.157	571
293.547	571.8
293.936	571.4
294.326	563.8
294.716	573
295.106	564.8
295.496	577.6
295.886	579.4
296.276	565.2
296.666	569
297.056	561.4
297.446	565.4
297.836	585.4
298.227	571.4
298.617	562.6
299.008	574
299.398	573
299.789	561.8
300.179	574.4
300.57	584.2
300.961	567
301.352	568.2
301.742	577.8
302.133	573.4
302.524	576.6
302.915	575
303.307	566.4
303.698	581.2
304.089	579.6
304.48	568.8
304.872	575.4
305.263	573.2
305.655	561.4
306.046	577.4
306.438	577
306.829	564.6
307.221	579
307.613	582.2
308.005	575.8
308.397	582.2
308.789	589
309.181	595
309.573	585
309.965	577.6
310.357	569.2
310.749	572.8
311.142	561.4
311.534	569.8
311.926	572.4
312.319	564.2
312.711	563.8
313.104	576.6
313.497	567.2
313.889	600
314.282	589
314.675	589.2
315.068	570.8
315.461	575.6
315.854	603.4
316.247	581.2
316.64	570
317.033	565.6
317.405	578
317.798	578.2
318.192	574.2
318.585	566.6
318.979	572.8
319.372	565
319.766	569.4
320.16	581.6
320.553	585
320.947	588.4
321.341	573
321.735	572
322.129	561.4
322.523	595
322.917	563.8
323.311	578.6
323.705	569.6
324.099	579.6
324.494	582.6
324.888	577.8
325.282	566
325.677	582.8
326.071	575.6
326.466	583
326.861	569.4
327.255	582.6
327.65	581
328.045	586.6
328.44	574.6
328.835	580.4
329.23	563.8
329.625	590
330.02	565.8
330.415	590
330.81	574.6
331.206	576.4
331.601	568.8
331.996	582.2
332.37	594
332.766	559.2
333.161	593.2
333.557	565.2
333.953	571.4
334.348	855.4
334.744	570.8
335.14	561.6
335.536	566.2
335.932	587.4
336.328	564.6
336.724	581.8
337.12	569.8
337.516	575.4
337.913	571
338.309	580.4
338.705	567
339.102	577.6
339.498	573.2
339.895	578.6
340.291	569.4
340.688	573.2
341.085	557.6
341.481	565.8
341.878	565.8
342.275	590
342.672	566.8
343.069	569.8
343.466	561
343.842	574.8
344.239	563.6
344.636	566.2
345.033	564.4
345.431	559.2
345.828	571.4
346.225	562
346.623	610.8
347.02	565.6
347.418	575.2
347.816	586
348.213	565.6
348.611	580.8
349.009	563.8
349.407	575
349.805	558.8
350.203	558
350.601	582.6
350.999	563
351.397	628.2
351.795	568.2
352.193	578.2
352.57	570.4
352.969	590.6
353.367	561
353.766	562
354.164	565.8
354.563	575.8
354.961	570.8
355.36	570.4
355.759	572.2
356.158	564.6
356.557	559.4
356.956	557.8
357.355	551.6
357.754	578.4
358.153	575.2
358.552	595
358.951	566.2
359.35	577.2
359.75	566
360.149	555.6
360.527	555
360.926	561
361.326	560.6
361.726	557.6
362.125	562.4
362.525	565.2
362.925	561
363.325	563.8
363.724	567.4
364.124	555
364.524	559.2
364.924	568
365.324	585.4
365.725	557
366.125	563
366.525	570.8
366.904	561.4
367.304	549.6
367.705	582.2
368.105	588
368.506	566.8
368.906	563.6
369.307	561.2
369.708	572.8
370.108	560.6
370.509	571.4
370.91	552
371.311	574.2
371.712	568.4
372.113	566.8
372.514	552.8
372.894	559
373.295	560.2
373.696	562.6
374.097	576.8
374.499	589.8
374.9	570.8
375.301	552
375.703	565
376.105	557.2
376.506	565
376.908	569.6
377.309	560.8
377.711	558.2
378.113	555
378.493	562.4
378.895	555.8
379.297	572.8
379.699	542.2
380.102	573.6
380.504	557
380.906	557.4
381.308	592.4
381.71	560.4
382.113	576.2
382.515	566
382.918	563.4
383.299	563.2
383.701	575
384.104	571.4
384.507	544.2
384.909	566.4
385.312	552.2
385.715	554.2
386.118	566.8
386.521	554
386.924	576
387.327	564.8
387.709	544.8
388.112	544
388.515	553.2
388.918	564.2
389.322	563.6
389.725	553.2
390.129	582.8
390.532	566.4
390.936	557.6
391.339	553.8
391.743	559.8
392.125	552.6
392.529	574
392.933	579.4
393.337	564.2
393.74	559
394.144	568
394.548	557
394.953	562
395.357	575.2
395.761	560.4
396.144	571.2
396.548	560.6
396.952	564.8
397.357	560.8
397.761	555.6
398.166	563.4
398.57	552.8
398.975	548
399.379	557.6
399.763	607.2
400.168	561.6
400.572	555.4
400.977	561.8
401.382	582.6
401.787	574
402.192	584.8
402.597	576.2
403.002	552
403.386	577.8
403.791	583.8
404.197	559.4
404.602	557.8
405.007	566.8
405.413	557.6
405.818	562.6
406.224	553.8
406.608	561
407.014	558.2
407.42	573.6
407.825	553.8
408.231	566
408.637	557.4
409.043	572.8
409.449	563.4
409.834	553.4
410.24	567.2
