#lambda/nm	C1
208.295	467.8
208.67	432.6
209.045	390.6
209.419	399.4
209.794	562.4
210.169	549
210.544	660.4
210.919	571.6
211.295	557
211.67	562.2
212.045	563.2
212.421	556.8
212.796	604.4
213.172	553.4
213.547	562
213.923	560.2
214.299	558
214.675	575.4
215.051	567.8
215.427	569.8
215.803	583.4
216.179	572.8
216.555	557.8
216.932	580.6
217.308	564.8
217.684	565.2
218.061	573.4
218.438	573.2
218.814	568.4
219.191	569.2
219.568	557.6
219.945	560.6
220.322	570.4
220.699	570
221.076	564.8
221.453	572
221.83	555.8
222.208	559.8
222.585	559
222.962	564.4
223.34	574.8
223.717	568
224.095	568.8
224.473	571
224.851	557.8
225.229	553.4
225.607	581.8
225.985	566.4
226.363	571
226.741	571
227.119	567.8
227.497	581.8
227.876	556
228.254	573.4
228.633	576.4
229.011	573.2
229.39	565.8
229.769	580.4
230.148	577.6
230.527	587.8
230.905	570.8
231.284	573.4
231.664	561
232.043	578.2
232.422	580.8
232.801	559.6
233.181	580.4
233.56	562
233.94	568.8
234.319	555
234.699	560.6
235.079	603.4
235.458	597.2
235.838	577.4
236.218	563
236.598	557.8
236.978	566.8
237.358	549.8
237.738	561.4
238.119	575.2
238.499	556.6
238.88	568.2
239.26	580.2
239.641	559.6
240.021	562
240.402	564.8
240.783	563.6
241.163	561.6
241.544	567
241.925	563.8
242.306	580.4
242.687	575.8
243.069	567.4
243.45	574.4
243.831	556
244.212	574.2
244.594	609
244.975	572
245.357	573.2
245.739	558.2
246.12	576.2
246.502	583.6
246.884	566.6
247.266	563
247.648	569
248.03	590.8
248.412	572.6
248.794	577.4
249.176	563
249.559	573
249.941	560.8
250.323	564
250.706	559.2
251.089	573.6
251.471	568.4
251.854	565.2
252.237	563
252.62	569
253.002	573.6
253.385	573.2
253.769	576.4
254.152	580
254.535	572
254.918	564.2
255.301	563
255.685	569.6
256.068	556
256.452	597.4
256.835	576.8
257.219	577.2
257.603	574.4
257.986	566.4
258.37	570.4
258.754	558.4
259.138	572.4
259.522	568.4
259.906	567.4
260.29	573.8
260.675	572.4
261.059	567.8
261.443	558.2
