#lambda/nm	C1
208.295	472
208.67	433.8
209.045	393.2
209.419	401.2
209.794	557.6
210.169	547.2
210.544	669.8
210.919	575.6
211.295	569.8
211.67	567.6
212.045	565.8
212.421	560.6
212.796	591.6
213.172	562
213.547	572
213.923	565.6
214.299	555.2
214.675	577.8
215.051	571.6
215.427	575.6
215.803	585
216.179	577.6
216.555	561.6
216.932	571.2
217.308	570
217.684	570.8
218.061	569.4
218.438	576.6
218.814	566
219.191	575.6
219.568	553.4
219.945	559.6
220.322	575.6
220.699	572.8
221.076	574.8
221.453	577
221.83	568.2
222.208	565.2
222.585	567.8
222.962	565.4
223.34	568.2
223.717	560.4
224.095	567
224.473	566.2
224.851	566.6
225.229	560.6
225.607	581.8
225.985	555
226.363	565.8
226.741	559.2
227.119	567
227.497	583.4
227.876	553
228.254	572.6
228.633	571.6
229.011	567.4
229.39	567
229.769	576.8
230.148	575.4
230.527	583.4
230.905	572.2
231.284	572
231.664	559.2
232.043	576.2
232.422	579
232.801	559.4
233.181	573.2
233.56	569.8
233.94	568
234.319	559.2
234.699	566.2
235.079	601
235.458	605.8
235.838	579.2
236.218	564.2
236.598	563
236.978	558.6
237.358	561.2
237.738	560.8
238.119	568.4
238.499	562
238.88	569.2
239.26	587.2
239.641	558.2
240.021	572.8
240.402	564.4
240.783	569
241.163	569.6
241.544	567
241.925	567.6
242.306	585.4
242.687	571
243.069	575
243.45	579
243.831	565.4
244.212	565
244.594	602
244.975	578
245.357	577.2
245.739	558.6
246.12	569.6
246.502	590.6
246.884	573.2
247.266	565.6
247.648	562.2
248.03	588.2
248.412	568.8
248.794	586.4
249.176	564.4
249.559	579.6
249.941	563.2
250.323	561.4
250.706	566.6
251.089	568.6
251.471	583.8
251.854	570.8
252.237	566.2
252.62	579.6
253.002	569.8
253.385	573.8
253.769	584
254.152	563.6
254.535	570.4
254.918	566.4
255.301	565.4
255.685	572
256.068	561
256.452	589.4
256.835	587.6
257.219	574.8
257.603	576.6
257.986	556.2
258.37	569.6
258.754	555.8
259.138	572.6
259.522	580.2
259.906	562
260.29	571.2
260.675	570.6
261.059	573.8
261.443	557
261.828	576.4
262.212	573.4
262.597	561.2
262.981	567.2
263.366	568
263.751	565.4
264.136	551.4
264.521	568
264.906	555
265.291	580.4
265.676	564.8
266.061	570.6
266.446	585.2
266.831	570.2
267.217	585
267.602	572
267.987	571.8
268.373	564.8
268.759	580
269.144	575.6
269.53	570.2
269.916	563.4
270.302	562.8
270.688	570
271.074	567
271.46	580
271.846	600.6
272.232	568.6
272.618	556
273.004	561.4
273.391	572.8
273.777	572.2
274.164	566
274.55	573.4
274.937	569.2
275.324	563.6
275.71	566.8
276.097	578.6
276.484	558.6
276.871	568
277.258	570
277.645	558.8
278.032	563.4
278.419	560.6
278.807	576.2
279.194	559.8
279.581	563.4
279.969	569
280.356	574.4
280.744	566.6
281.131	586.8
281.519	585.6
281.907	571
282.295	570.4
282.682	583
283.07	574.6
283.458	569.6
283.846	576.8
284.235	580.8
284.623	578.4
285.011	555.2
285.399	567.6
285.788	571.4
286.176	566.4
286.565	573.8
286.953	571.2
287.342	566.8
287.731	563.2
288.119	564.2
288.508	565
288.897	569.6
289.286	556.8
289.675	571.4
290.064	573.4
290.453	566
290.821	571
291.21	573.6
291.599	565
291.989	567.4
292.378	577.4
292.768	585.8
293.157	569.2
293.547	564.6
293.936	558.8
294.326	556.6
294.716	568.8
295.106	562.2
295.496	571.8
295.886	571.4
296.276	566
296.666	566.6
297.056	561.2
297.446	558
297.836	590.4
298.227	571.4
298.617	568.6
299.008	582.8
299.398	571.6
