#lambda/nm	C1
208.295	465.8
208.67	432.6
209.045	394.2
209.419	398
209.794	565.6
210.169	548.6
210.544	667
210.919	571
211.295	554.6
211.67	571.6
212.045	565.8
212.421	562
212.796	594.2
213.172	562.2
213.547	562.2
213.923	562.2
214.299	563.4
214.675	571.8
215.051	565.8
215.427	573.2
215.803	581.4
216.179	575.4
216.555	563
216.932	579.2
217.308	574.4
217.684	574
218.061	572.8
218.438	569.8
218.814	574
219.191	573.6
219.568	552.6
219.945	570.6
220.322	571.6
220.699	566.4
221.076	575.8
221.453	565.6
221.83	567.6
222.208	559.4
222.585	557.4
222.962	567.6
223.34	573.4
223.717	562.8
224.095	575.8
224.473	570.6
224.851	561.6
225.229	554.2
225.607	579.8
225.985	565.4
226.363	566.4
226.741	571
227.119	553.8
227.497	578.4
227.876	563.8
228.254	577
228.633	571.2
229.011	573.4
229.39	576.4
229.769	569.6
230.148	578.2
230.527	584.6
230.905	572
231.284	571.2
231.664	562
232.043	573.4
232.422	568
232.801	554.6
233.181	574.4
233.56	562.4
233.94	565.8
234.319	557
234.699	566.8
235.079	610
235.458	605.6
235.838	575
236.218	560.8
236.598	561
236.978	556.6
237.358	563.2
237.738	560
238.119	565.6
238.499	555.6
238.88	562
239.26	582.6
239.641	563.6
240.021	563.8
240.402	567.2
240.783	560.6
241.163	559.8
241.544	567.8
241.925	567.4
242.306	579.2
242.687	566.4
243.069	566.4
243.45	575.6
243.831	565.2
244.212	557
244.594	594
244.975	570.2
245.357	573.8
245.739	558.8
246.12	566.2
246.502	575.8
246.884	567.2
247.266	567.6
247.648	571.2
248.03	583.2
248.412	574.4
248.794	569.4
249.176	568.8
249.559	586.2
249.941	563.8
250.323	563.6
250.706	558.6
251.089	568.8
251.471	572
251.854	565.8
252.237	569.8
252.62	576.2
253.002	566.4
253.385	567.8
253.769	581.6
254.152	570.2
254.535	572.2
254.918	561.6
255.301	570.8
255.685	566
256.068	565.8
256.452	586.8
256.835	574.2
257.219	577.2
257.603	586.2
257.986	554.4
258.37	567
258.754	554.4
259.138	580.8
259.522	573.8
259.906	559.4
260.29	573.2
260.675	564.6
261.059	572.2
261.443	561
261.828	584
262.212	573
262.597	550.6
262.981	560.6
263.366	574.8
263.751	567.2
264.136	562.4
264.521	557.8
264.906	554.4
265.291	578.2
265.676	562.4
266.061	583.8
266.446	589.2
266.831	558.8
267.217	586
267.602	572.2
267.987	568.8
268.373	568.4
268.759	571.6
269.144	576.6
269.53	561.8
269.916	553.6
270.302	557.4
270.688	575.8
271.074	569.8
271.46	566.8
271.846	599.2
272.232	573
272.618	565.4
273.004	569.8
273.391	573.4
273.777	572.6
274.164	569
274.55	582.6
274.937	571
275.324	563.8
275.71	572.2
276.097	574.8
276.484	560
276.871	574
277.258	565.6
277.645	567.2
278.032	571.6
278.419	566.4
278.807	576.8
279.194	560.2
279.581	566.4
279.969	574.2
280.356	567.8
280.744	569
281.131	585
281.519	585.2
281.907	569.4
282.295	563.6
282.682	584.6
283.07	569.4
283.458	577.6
283.846	581.6
284.235	580.8
284.623	572.2
285.011	561
285.399	567.8
285.788	570.6
286.176	559
286.565	583.4
286.953	564.4
287.342	564.6
287.731	557.8
288.119	559.6
288.508	564.2
288.897	564.4
289.286	560.8
289.675	565
290.064	584
290.453	570
290.821	570
291.21	577.4
291.599	561.2
291.989	563
292.378	578.2
292.768	577.4
293.157	566.6
293.547	580.8
293.936	569.2
294.326	564.6
294.716	575.6
295.106	569.2
295.496	575.8
295.886	572.6
296.276	562.6
296.666	561
297.056	558.8
297.446	560.6
297.836	576
298.227	561.4
298.617	571
299.008	572.8
299.398	568.8
299.789	558
300.179	563.8
300.57	575.6
300.961	561.8
301.352	569.6
301.742	567
302.133	568.2
302.524	563.6
302.915	570.8
303.307	559.2
303.698	576.8
304.089	573.2
304.48	561.8
304.872	565
305.263	566
305.655	559
306.046	570.2
306.438	564.6
306.829	561.8
307.221	578.6
307.613	576.6
308.005	580.2
308.397	580.6
308.789	586
309.181	592
309.573	585.4
309.965	585
310.357	569.2
310.749	567.8
311.142	562.6
311.534	564.6
311.926	576
312.319	576.6
312.711	559
313.104	589.6
313.497	565
313.889	610.8
314.282	583.6
314.675	596.6
315.068	571
315.461	582.8
315.854	597.2
316.247	582.8
316.64	570.8
317.033	572.8
317.405	577.6
317.798	567
318.192	578.8
318.585	562.8
318.979	575.8
319.372	566.6
319.766	567.8
320.16	572.4
320.553	585
320.947	589.6
321.341	567.8
321.735	568.6
322.129	560.8
322.523	587.6
322.917	567
323.311	585.2
323.705	566.6
324.099	574.2
324.494	588.4
324.888	574.8
325.282	570
325.677	577.6
326.071	576.2
326.466	579.4
326.861	576.4
327.255	570.8
327.65	574
328.045	581
328.44	572.8
328.835	570.8
329.23	566.4
329.625	590.4
330.02	560.4
330.415	587.6
330.81	566.6
331.206	564.8
331.601	571.4
331.996	579.6
332.37	591.8
332.766	556
333.161	596
333.557	567.8
333.953	569.4
334.348	892.6
334.744	562
335.14	557.6
335.536	559.6
335.932	580.6
336.328	557.6
336.724	578.6
337.12	566.2
337.516	569.2
337.913	567.2
338.309	586.4
338.705	566
339.102	577.2
339.498	563.8
339.895	579
340.291	560.4
340.688	572.2
341.085	569.2
341.481	564.6
341.878	560.2
342.275	588.2
342.672	564.8
343.069	554.8
343.466	557.8
343.842	572.6
344.239	567.8
344.636	575
345.033	554.2
345.431	556.6
345.828	571.6
346.225	562.2
346.623	596.6
347.02	565.6
347.418	569.4
347.816	574.4
348.213	563.6
348.611	569.6
349.009	563.2
349.407	577
349.805	557.8
350.203	558.8
350.601	579.4
350.999	565.6
351.397	603.2
351.795	567.8
352.193	572.6
352.57	566.4
352.969	572.6
353.367	559.8
353.766	559
354.164	558.6
354.563	581.6
354.961	566.4
355.36	560
355.759	563.2
356.158	560.4
356.557	547.6
356.956	555.8
357.355	550.2
357.754	574.6
358.153	568.4
358.552	587.8
358.951	567.8
359.35	575
359.75	567
360.149	556.4
360.527	556.6
360.926	550.6
361.326	568.8
361.726	556.4
362.125	551.8
362.525	568.2
362.925	558
363.325	563.8
363.724	559
364.124	560.2
364.524	549.4
364.924	553.6
365.324	574.8
365.725	547
366.125	564
366.525	561.2
366.904	563.6
367.304	554.6
367.705	568.2
368.105	569.4
368.506	569.6
368.906	561.2
369.307	561
369.708	570.2
370.108	548.2
370.509	564.8
370.91	557.6
371.311	557.2
371.712	563.2
372.113	569.8
372.514	553
372.894	556
373.295	559
373.696	571.4
374.097	567.8
374.499	587.8
374.9	564.4
375.301	559
375.703	568
376.105	554.2
376.506	566.4
376.908	564.2
377.309	558.8
377.711	567.2
378.113	552.6
378.493	570.6
378.895	553.8
379.297	582
