#lambda/nm	C1
208.295	473.6
208.67	433.6
209.045	395.2
209.419	403.2
209.794	562.2
210.169	546.6
210.544	669.8
210.919	572.4
211.295	561.6
211.67	572.8
212.045	564.6
212.421	563.6
212.796	599.8
213.172	557
213.547	563.8
213.923	565.4
214.299	559.8
214.675	570.2
215.051	569.4
215.427	573.8
215.803	589.2
216.179	571.4
216.555	558.4
216.932	578.6
217.308	568.8
217.684	571.8
218.061	577.4
218.438	568.8
218.814	561
219.191	577.8
219.568	561.4
219.945	570.2
220.322	579.6
220.699	573.8
221.076	585.4
221.453	575.2
221.83	566.4
222.208	559.6
222.585	559
222.962	569.6
223.34	574.4
223.717	569.2
224.095	566
224.473	575.4
224.851	561.6
225.229	563
225.607	585.8
225.985	569.6
226.363	572.6
226.741	571.6
227.119	565.8
227.497	583.8
227.876	549.4
228.254	567.8
228.633	573.8
229.011	571.6
229.39	575
229.769	571.2
230.148	572.6
230.527	589.8
230.905	560.8
231.284	568.2
231.664	563.6
232.043	582.4
232.422	576.8
232.801	562.2
233.181	573.8
233.56	575.8
233.94	559.2
234.319	551.2
234.699	567.2
235.079	605.6
235.458	599.4
235.838	581.6
236.218	561.6
236.598	566.4
236.978	565
237.358	564.4
237.738	566
238.119	570.8
238.499	569
238.88	564.8
239.26	582
239.641	558.4
240.021	563.4
240.402	569.6
240.783	562.6
241.163	571.4
241.544	570.2
241.925	568.8
242.306	578.8
242.687	575.8
243.069	570.6
243.45	579.2
243.831	559.2
244.212	565.4
244.594	602.8
244.975	581
245.357	570.6
245.739	553.2
246.12	569.6
246.502	580.8
246.884	558.8
247.266	568.6
247.648	571.2
248.03	592
248.412	573
248.794	574.4
249.176	565.8
249.559	582.8
249.941	559.2
250.323	558.8
250.706	566.4
251.089	569.6
251.471	572.6
251.854	566.6
252.237	573
252.62	580.4
253.002	573.8
253.385	568.8
253.769	579
254.152	583.4
254.535	567.2
254.918	567.6
255.301	557
255.685	557.8
256.068	563.6
256.452	594.6
256.835	573.4
257.219	574
257.603	576.2
257.986	556.8
258.37	574.2
258.754	554.6
259.138	575.2
259.522	577.2
259.906	561.4
260.29	570.6
260.675	563.2
261.059	570.8
261.443	566
261.828	573.4
262.212	571.8
262.597	562.4
262.981	563.8
263.366	572
263.751	567.2
264.136	571.2
264.521	571.6
264.906	558.4
265.291	569.2
265.676	567.2
266.061	571.4
266.446	581
266.831	562.2
267.217	584.2
267.602	571.8
267.987	576.6
268.373	566.6
268.759	580.8
269.144	575.2
269.53	567.2
269.916	573.2
270.302	560.8
270.688	580.6
271.074	571.8
271.46	577.2
271.846	599.6
272.232	569
272.618	564.6
273.004	566.2
273.391	579.6
273.777	573.2
274.164	571.4
274.55	575
274.937	572.4
275.324	556.4
275.71	575.2
276.097	572.6
276.484	563
276.871	571
277.258	569.6
277.645	562.2
278.032	561.4
278.419	561
278.807	571.6
279.194	560.8
279.581	558.8
279.969	573.6
280.356	567
280.744	570.6
281.131	591.8
281.519	579.6
281.907	569.6
282.295	560.8
282.682	584.8
283.07	572.4
283.458	576.8
283.846	585.4
284.235	575.4
284.623	573
285.011	560.6
285.399	571
285.788	570.4
286.176	561.6
286.565	578.2
286.953	561.2
287.342	564.6
287.731	556.6
288.119	556.8
288.508	552.2
288.897	569.6
289.286	568
289.675	564.4
290.064	581.2
290.453	562
290.821	564.2
291.21	587
291.599	565.6
291.989	570.4
292.378	582.6
292.768	581.2
293.157	568.8
293.547	587.6
293.936	567.8
294.326	560.4
294.716	577.2
295.106	566.4
295.496	570.4
295.886	576.6
296.276	562.4
296.666	562
297.056	559
297.446	554.6
297.836	580.8
298.227	567
298.617	570
299.008	577
299.398	564.6
299.789	563.2
300.179	575.6
300.57	577.4
300.961	564.8
301.352	565.4
301.742	573.2
302.133	571.2
302.524	569.8
302.915	568.4
303.307	558.6
303.698	585.4
304.089	572.6
304.48	571.2
304.872	580.8
305.263	575.6
305.655	559.4
306.046	578.6
306.438	587.4
306.829	566
307.221	577.6
307.613	579
308.005	580.2
308.397	583.6
308.789	591.8
309.181	587.8
309.573	582.2
309.965	585.4
310.357	563.6
310.749	581.6
311.142	574
311.534	568.6
311.926	579.6
312.319	570.8
312.711	557.6
313.104	586
313.497	564
313.889	606.6
314.282	586.6
314.675	599
315.068	576.6
315.461	574.2
315.854	602
316.247	578.4
316.64	575.6
317.033	572
317.405	584.6
317.798	574.2
318.192	578.6
318.585	565.4
318.979	575.6
319.372	570.4
319.766	561.8
320.16	585.8
320.553	585
320.947	589.6
321.341	567
321.735	570.8
322.129	556.4
322.523	593
322.917	565.8
323.311	581.4
323.705	575
324.099	580.2
324.494	587.6
324.888	587.8
325.282	561.8
325.677	583
326.071	584
326.466	583.8
326.861	576
327.255	577
327.65	579.8
328.045	584
328.44	566.6
328.835	571.2
329.23	562
329.625	592.8
330.02	571.8
330.415	596.6
330.81	573.6
