#lambda/nm	C1
208.295	471.2
208.67	436.8
209.045	400.8
209.419	404.2
209.794	569.8
210.169	552.4
210.544	660.2
210.919	568.8
211.295	560.6
211.67	570.4
212.045	562
212.421	559.6
212.796	600.8
213.172	567.4
213.547	571
213.923	562.4
214.299	565.2
214.675	576.8
215.051	570.8
215.427	576.2
215.803	584.2
216.179	577.4
216.555	564
216.932	583.6
217.308	567.2
217.684	571.4
218.061	567.8
218.438	572
218.814	563.6
219.191	578.2
219.568	561.8
219.945	556.4
220.322	574.2
220.699	570.4
221.076	562.2
221.453	573.2
221.83	555.6
222.208	575.4
222.585	566.6
222.962	567.8
223.34	568.6
223.717	572
224.095	565
224.473	568.8
224.851	558.8
225.229	555.6
225.607	589.4
225.985	558.6
226.363	569.4
226.741	571.4
227.119	563.2
227.497	586.6
227.876	554.6
228.254	576.4
228.633	578.6
229.011	571.8
229.39	577
229.769	566.2
230.148	578
230.527	587.2
230.905	573.2
231.284	565.2
231.664	566
232.043	582.6
232.422	578.8
232.801	571
233.181	574.2
233.56	566
233.94	562.2
234.319	555.2
234.699	565.8
235.079	602.8
235.458	593.4
235.838	584
236.218	555.8
236.598	556.4
236.978	560
237.358	562.8
237.738	554
238.119	575.6
238.499	559.6
238.88	570.2
239.26	577.2
239.641	546.8
240.021	568.6
240.402	566.8
240.783	551.8
241.163	567.8
241.544	557.8
241.925	557.8
242.306	577.4
242.687	566.2
243.069	568.8
243.45	578.2
243.831	561.2
244.212	567.4
244.594	604.4
244.975	570.8
245.357	575
245.739	560
246.12	569.6
246.502	583
246.884	564.6
247.266	565.2
247.648	576.2
248.03	587
248.412	568.4
248.794	569.2
249.176	558.8
249.559	581.6
249.941	564
250.323	566.2
250.706	565.4
251.089	568
251.471	569.8
251.854	568.2
252.237	576.2
252.62	575.4
253.002	573.8
253.385	572.6
253.769	581
254.152	566
254.535	580.4
254.918	566
255.301	572.8
255.685	569.6
256.068	567
256.452	588.6
256.835	571.8
257.219	579
257.603	575
257.986	559
258.37	577
258.754	568.4
259.138	572.8
259.522	572.6
259.906	572.4
260.29	572.8
260.675	566.4
261.059	566.6
261.443	547.8
261.828	566.6
262.212	565.4
262.597	555
262.981	557
263.366	568.8
263.751	567
264.136	558.2
264.521	569.2
264.906	557.8
265.291	577.8
265.676	560
266.061	569.8
266.446	579.4
266.831	562.4
267.217	590.4
267.602	572.8
267.987	570.8
268.373	562.8
268.759	574
269.144	573.4
269.53	575
269.916	563
270.302	561
270.688	577.2
271.074	570
271.46	576.8
271.846	605.8
272.232	574.6
272.618	562
273.004	572.4
273.391	581.2
273.777	574.2
274.164	576.2
274.55	582.8
274.937	571.6
275.324	564.8
275.71	571.6
276.097	575.2
276.484	569.4
276.871	579.2
277.258	566.4
277.645	558.6
278.032	572
278.419	566.4
278.807	578.8
279.194	571
279.581	566.2
279.969	573.8
280.356	572.6
280.744	577.6
281.131	593.6
281.519	579.6
281.907	569
282.295	571.2
282.682	581.6
283.07	570.2
283.458	577.8
283.846	585.2
284.235	580.4
284.623	570.8
285.011	560.6
285.399	576.8
285.788	574.4
286.176	565
286.565	573.2
286.953	565.6
287.342	574.2
287.731	565.8
288.119	555.6
288.508	565.8
288.897	574.4
289.286	561.6
289.675	573.4
290.064	576.8
290.453	569.6
290.821	568
291.21	592.8
291.599	573.6
291.989	573.2
292.378	581
292.768	588.8
293.157	572.4
293.547	582.8
293.936	568.2
294.326	560.4
294.716	572.8
295.106	560.2
295.496	580.4
295.886	573.8
296.276	566.4
296.666	562.8
297.056	563
297.446	556.2
297.836	584.6
298.227	569.2
298.617	576
299.008	578.6
299.398	571.4
299.789	568.6
300.179	575.4
300.57	575.2
300.961	566.6
301.352	565.4
301.742	578.2
302.133	568
302.524	571.4
302.915	573.4
303.307	563.4
303.698	586
304.089	568.8
304.48	566.8
304.872	569.4
305.263	577.6
305.655	566.2
306.046	585.6
306.438	572.8
306.829	559
307.221	586
307.613	579
308.005	582.4
308.397	576.4
308.789	589.6
309.181	590.6
309.573	584.8
309.965	582.6
310.357	577
310.749	572
311.142	563.8
311.534	563.4
311.926	571
312.319	570.4
312.711	560
313.104	581.4
313.497	565
313.889	616.8
314.282	589.8
314.675	589.8
315.068	569
315.461	569.6
315.854	592.4
316.247	570.8
316.64	569.4
317.033	570.2
317.405	572.4
317.798	566.4
318.192	565.6
318.585	560.2
318.979	570.8
319.372	556.8
319.766	562.6
320.16	573.2
320.553	582.8
320.947	585
321.341	565.2
321.735	562.8
322.129	545.2
322.523	593.8
322.917	553.8
323.311	576.6
323.705	568.2
324.099	584.8
324.494	581.6
324.888	580.6
325.282	567.6
325.677	574.4
326.071	580.2
326.466	576.2
326.861	568.6
327.255	582.2
327.65	592.6
328.045	579.4
328.44	580.8
328.835	576.8
329.23	569
329.625	587.6
330.02	571
330.415	585.8
330.81	569.2
331.206	574.4
331.601	565.8
331.996	576.6
332.37	591.4
332.766	555.2
333.161	594.6
333.557	573
333.953	569
334.348	848.8
334.744	557.2
335.14	557.6
335.536	561.8
335.932	578.2
336.328	568.6
336.724	572.6
337.12	565.6
337.516	575.4
337.913	572.8
338.309	576.8
338.705	566.2
339.102	568.8
339.498	560.8
339.895	569.6
340.291	559.6
340.688	568.4
341.085	559.8
341.481	570.6
341.878	566.2
342.275	579.6
342.672	555.6
343.069	564.2
343.466	551
343.842	571.6
344.239	559.2
344.636	565.8
345.033	565
345.431	556.6
345.828	573.2
346.225	560.6
346.623	596.6
347.02	568
347.418	575.8
347.816	585.6
348.213	561.4
348.611	577.8
349.009	561.4
349.407	578.2
349.805	560.2
350.203	558.6
350.601	573.2
350.999	563
351.397	612.4
351.795	571.2
352.193	571
352.57	570.2
352.969	577.6
353.367	561.6
353.766	561.4
354.164	562.2
354.563	576.2
354.961	569
355.36	568.2
355.759	565.8
356.158	564.4
356.557	558.4
356.956	557.6
357.355	556.6
357.754	569.8
358.153	573
358.552	581.4
358.951	560.6
359.35	566.6
359.75	559.2
360.149	569.2
360.527	553.8
360.926	556
361.326	559.2
361.726	560.4
362.125	556.6
362.525	561
362.925	563.6
363.325	559.2
363.724	570.8
364.124	563.8
364.524	553.2
364.924	559.4
365.324	576.6
365.725	552.4
366.125	564.2
366.525	566.4
366.904	557.4
367.304	549.4
367.705	581.4
368.105	579.2
368.506	559
368.906	576.4
369.307	561.2
369.708	565.2
370.108	550
370.509	577.4
370.91	563.4
371.311	566
371.712	564.6
372.113	560.4
372.514	558.2
372.894	564.6
373.295	553.2
373.696	570
374.097	571.4
374.499	594
374.9	567.4
375.301	544
375.703	568.2
376.105	549
376.506	570.6
376.908	567.2
377.309	566.2
377.711	559.6
378.113	562.8
378.493	564.4
378.895	566.4
379.297	569.4
379.699	560
380.102	563.6
380.504	559.6
380.906	559.6
381.308	584.2
381.71	562.6
382.113	575.8
382.515	559
382.918	564.2
383.299	561.8
383.701	556
384.104	564.6
384.507	545.2
384.909	565.6
385.312	554
385.715	557.4
386.118	560.8
386.521	543.4
386.924	573.8
387.327	554.4
387.709	547
388.112	544.6
388.515	561
388.918	564.4
389.322	572.6
389.725	554.8
390.129	592.4
390.532	562
390.936	560.6
391.339	551.2
391.743	565.4
392.125	558
392.529	559.4
392.933	565.8
393.337	568.6
393.74	564.4
394.144	571
394.548	554.2
394.953	550.8
395.357	571.2
395.761	559.4
396.144	560.2
396.548	558.2
396.952	563.6
397.357	565.8
397.761	555.8
398.166	558.2
398.57	557
398.975	554.8
399.379	562
399.763	604.8
400.168	559.6
400.572	549
400.977	549.6
401.382	587
401.787	565.6
402.192	583.6
402.597	574
403.002	551.2
403.386	570.8
403.791	583.8
404.197	555.8
404.602	560.8
405.007	562
405.413	554.4
405.818	556.4
406.224	563.4
406.608	557.2
407.014	551.6
407.42	578
407.825	554.8
408.231	573.6
408.637	560.8
409.043	567
409.449	563.2
409.834	559
410.24	566.2
410.646	576.8
411.052	564.4
411.458	554.8
411.865	565.2
412.271	574.8
412.677	554.6
413.062	571.8
413.469	549.6
413.875	579.8
414.282	571.2
414.689	561
415.095	566.6
415.502	562.2
415.888	557
416.294	541.2
416.701	594.2
417.108	555.6
417.515	565.6
417.923	561.6
418.33	579.2
418.715	572.6
419.123	552
419.53	558
419.937	556
420.345	577.4
420.752	556.4
421.16	583.4
421.546	568.2
421.953	567.2
422.361	556.6
422.769	561.8
423.177	560.4
423.585	584.8
423.992	578.6
424.379	569.8
424.787	574.8
425.195	573
425.603	559.4
426.011	568.4
426.419	574.6
426.806	560.8
427.214	563
427.623	575
428.031	576
428.44	560
428.848	575
429.235	578.2
429.644	563.6
430.053	565
430.461	573.6
430.87	580.8
431.279	571.2
431.666	552.4
432.075	562.4
432.484	566
432.893	564.4
433.302	580.4
433.711	589.2
434.099	565
434.508	556.2
434.918	544.8
435.327	567
435.737	560
436.125	562.8
436.534	556.8
436.944	560.8
437.353	565.6
437.763	579.4
438.173	549.2
438.561	568.4
438.971	551.4
439.381	562.4
439.791	557.8
440.201	536.6
440.589	555
440.999	567
441.409	565.6
441.819	543.4
442.23	568.8
442.619	567
443.029	564
443.439	564.8
443.85	564.8
444.26	578.2
444.649	573.6
445.06	558
445.471	550
445.881	562.4
446.292	576.2
446.682	575.4
447.092	554.2
