#lambda/nm	C1
208.295	468.6
208.67	433
209.045	392
209.419	401.6
209.794	570.2
210.169	552.4
210.544	678
210.919	571
211.295	570.2
211.67	563.8
212.045	570.8
212.421	569.8
212.796	602
213.172	566.6
213.547	571
213.923	566.6
214.299	555.6
214.675	565.8
215.051	574.6
215.427	569.4
215.803	587
216.179	576
216.555	557.6
216.932	584
217.308	576.8
217.684	562.6
218.061	576.2
218.438	574.8
218.814	559.4
219.191	581
219.568	560
219.945	565.4
220.322	569.6
220.699	578
221.076	577.6
221.453	568.6
221.83	573.8
222.208	565.4
222.585	561.6
222.962	569.2
223.34	570
223.717	567.2
224.095	560.4
224.473	564.2
224.851	564.6
225.229	550.4
225.607	571.6
225.985	557.6
226.363	570
226.741	567.2
227.119	568.8
227.497	575.6
227.876	560.8
228.254	576.8
228.633	572.2
229.011	571
229.39	570.4
229.769	574.2
230.148	572.8
230.527	580.2
230.905	564.6
231.284	570.8
231.664	569.2
232.043	577
232.422	571.2
232.801	560.6
233.181	572
233.56	564.8
233.94	570.2
234.319	557.2
234.699	564.8
235.079	607.4
235.458	600.8
235.838	587
236.218	561.8
236.598	564.6
236.978	561
237.358	559.8
237.738	555.2
238.119	575.4
238.499	557
238.88	572.6
239.26	575.6
239.641	555.8
240.021	566.8
240.402	567.6
240.783	569.6
241.163	565.8
241.544	573.8
241.925	567
242.306	586
242.687	574.4
243.069	565.4
243.45	574.6
243.831	558.6
244.212	564.2
244.594	599.2
244.975	577.6
245.357	580.2
245.739	560
246.12	562.8
246.502	571.8
246.884	571.6
247.266	571.6
247.648	573.8
248.03	584.6
248.412	568.4
248.794	564.2
249.176	557.2
249.559	573.6
249.941	555.2
250.323	561.6
250.706	558
251.089	562.8
251.471	565.2
251.854	555.6
252.237	565.8
252.62	570.2
253.002	563.6
253.385	566.2
253.769	576.4
254.152	568.2
254.535	571.2
254.918	559.6
255.301	571
255.685	557.4
256.068	562.4
256.452	594.8
256.835	579.6
257.219	577.4
257.603	571.2
257.986	564.8
258.37	574.4
258.754	562.4
259.138	571.8
259.522	575.6
259.906	572.6
260.29	578.8
260.675	563.2
261.059	563.2
261.443	554
261.828	572.6
262.212	567.6
262.597	558.4
262.981	564.4
263.366	569.8
263.751	565.2
264.136	568.2
264.521	563.4
264.906	557.8
265.291	584.6
265.676	564.4
266.061	576.8
266.446	586.4
266.831	567.8
267.217	589
267.602	580.4
267.987	568.8
268.373	570.6
268.759	580.8
269.144	571.4
269.53	571
269.916	572.4
270.302	573.2
270.688	577
271.074	576.2
271.46	575.4
271.846	605.6
272.232	577
272.618	561.8
273.004	571.2
273.391	593.4
273.777	577.8
274.164	572.8
274.55	585.4
274.937	566
275.324	567.6
275.71	571.4
276.097	568.6
276.484	568.4
276.871	575.8
277.258	578.2
277.645	562
278.032	564.8
278.419	567.6
278.807	573
279.194	565.4
279.581	563.4
279.969	572
280.356	571
280.744	576.4
281.131	591.4
281.519	583.6
281.907	571.4
282.295	564.2
282.682	579.4
283.07	570.2
283.458	578.2
283.846	588.6
284.235	581.4
284.623	585.2
285.011	561.6
285.399	574.4
285.788	573.6
286.176	563.8
286.565	583.4
286.953	561.6
287.342	566.6
287.731	559.6
288.119	564.2
288.508	563.6
288.897	569.4
289.286	558.6
289.675	569.2
290.064	579.4
290.453	574
290.821	570.4
291.21	583
291.599	568.6
291.989	572
292.378	573.8
292.768	595.2
293.157	572.4
293.547	569.8
293.936	568.6
294.326	560.8
294.716	570.6
295.106	571.2
295.496	583.6
295.886	579
296.276	564.6
296.666	569.4
297.056	563.8
297.446	559.6
297.836	581.8
298.227	571.4
298.617	566.8
299.008	581.2
299.398	572.8
299.789	562.2
300.179	568.4
300.57	582.6
300.961	566.6
301.352	568.4
301.742	577.2
302.133	567
302.524	567
302.915	577.2
303.307	568
303.698	572.2
304.089	575.4
304.48	561.6
304.872	575.6
305.263	582
305.655	570.4
306.046	577
306.438	569
306.829	570.6
307.221	582.4
307.613	574.6
308.005	583.2
308.397	584.4
308.789	598.8
309.181	599
309.573	585
309.965	585.4
310.357	565
310.749	567
311.142	566.6
311.534	568.2
311.926	581
312.319	567.2
312.711	569.8
313.104	581
313.497	563
313.889	605
314.282	591.8
314.675	588.8
315.068	577
315.461	575.6
315.854	602.4
316.247	576.4
316.64	565.8
317.033	569.6
317.405	575.6
317.798	572.2
318.192	574.8
318.585	566.8
318.979	571
319.372	559
319.766	566.4
320.16	572.2
320.553	578
320.947	583.2
321.341	560
321.735	565.8
322.129	552.6
322.523	597.8
322.917	557.6
323.311	578.2
323.705	560.4
324.099	561.8
324.494	582.2
324.888	567.2
325.282	566.6
325.677	579.2
326.071	573.2
326.466	576.2
326.861	565.8
327.255	571.2
327.65	587.8
328.045	589.2
328.44	578.6
328.835	569.4
329.23	568.8
329.625	593.2
330.02	563.6
330.415	589.8
330.81	581
331.206	572.2
331.601	565.6
331.996	581.8
332.37	593.4
332.766	558.2
333.161	585
333.557	564.4
333.953	566.4
334.348	850
334.744	578.8
335.14	563.8
335.536	566
335.932	573.4
336.328	572.8
336.724	581.8
337.12	567.8
337.516	573.6
337.913	567.4
338.309	579.2
338.705	574.4
339.102	585
339.498	567.4
339.895	586.2
340.291	571.6
340.688	573.2
341.085	560.6
341.481	566.8
341.878	572.2
342.275	582.4
342.672	561.8
343.069	559.6
343.466	549.8
343.842	570.4
344.239	561
344.636	575
345.033	557.2
345.431	558.4
345.828	561.6
346.225	559.2
346.623	596.6
347.02	567.6
347.418	573.6
347.816	578.6
348.213	555
348.611	569.2
349.009	556.2
349.407	572.8
349.805	555.6
350.203	552.8
350.601	576.2
350.999	560.2
351.397	621.6
351.795	572
352.193	573
352.57	578.2
352.969	575.4
353.367	556.6
353.766	555.4
354.164	568.6
354.563	580.4
354.961	573.8
355.36	556.6
355.759	570.6
356.158	553
356.557	562.8
356.956	556.8
357.355	559.8
357.754	564
358.153	567.8
358.552	588.6
358.951	561.8
359.35	576.8
359.75	566
360.149	556.8
360.527	544.8
360.926	558.6
361.326	570
361.726	567.6
362.125	560
362.525	565
362.925	564.8
363.325	565.4
363.724	568.8
364.124	570.6
364.524	564.8
364.924	568.6
365.324	579.2
365.725	553.4
366.125	565.6
366.525	562.4
366.904	554.8
367.304	550.2
367.705	575.4
368.105	578
368.506	559.8
368.906	564.6
369.307	563
369.708	567.6
370.108	546.4
370.509	570.2
370.91	554.6
371.311	557
371.712	570.2
372.113	557.6
372.514	552.8
372.894	559
373.295	555.8
373.696	577
374.097	564.4
374.499	592.2
374.9	564.2
375.301	555.2
375.703	571.2
376.105	558.8
376.506	571.4
376.908	568
377.309	562.6
377.711	562.2
378.113	557.4
378.493	565.6
378.895	561.6
379.297	571
379.699	548
380.102	561.4
380.504	559.2
380.906	558
381.308	584.2
381.71	558.4
382.113	580.2
382.515	556.2
382.918	564.8
383.299	562.6
383.701	572.2
384.104	566.6
384.507	548.2
384.909	562.2
385.312	546.6
385.715	554.2
386.118	561.2
386.521	548.8
386.924	570.4
387.327	553.4
387.709	551.8
388.112	545.6
388.515	556.8
388.918	556.2
389.322	563
389.725	556.6
390.129	582.2
390.532	572.2
390.936	555
391.339	558
391.743	560.2
392.125	559.8
392.529	565.2
392.933	563.6
393.337	557.8
393.74	559.8
394.144	563.6
394.548	553.4
394.953	559
395.357	561.2
395.761	551.6
396.144	557.2
396.548	563.8
396.952	563
397.357	568.2
397.761	555.6
398.166	567.4
398.57	559.6
398.975	551.2
399.379	556.8
399.763	604.2
400.168	564.6
400.572	561.8
400.977	563
401.382	570.2
401.787	566.6
402.192	573
402.597	571.2
403.002	547
403.386	570.8
403.791	574.2
404.197	559.4
404.602	561.8
405.007	564.4
405.413	557.8
405.818	560.4
406.224	548.8
406.608	551.8
407.014	557
407.42	577.4
407.825	560.4
408.231	571.2
408.637	564.4
409.043	569
409.449	556.4
409.834	554.6
410.24	557.6
410.646	564.4
411.052	565.4
411.458	564.4
411.865	566.4
412.271	562.4
412.677	561.2
413.062	574.2
413.469	547.4
413.875	584.4
414.282	569.8
414.689	565.8
415.095	564.4
415.502	559.4
415.888	565.8
416.294	554.6
416.701	597.8
417.108	554
417.515	570
417.923	558.2
418.33	575.8
418.715	563
419.123	553
419.53	549
419.937	562.2
420.345	573.4
420.752	550.6
421.16	568.6
421.546	555.6
421.953	568
422.361	551.8
422.769	564.6
423.177	562.6
423.585	572.8
423.992	582
424.379	567.4
424.787	568.6
425.195	575.6
425.603	563.8
426.011	576.4
426.419	580.8
426.806	554
427.214	562.6
427.623	574.2
428.031	575
428.44	570.6
428.848	578.4
429.235	584.8
429.644	559.6
430.053	557.4
430.461	578.2
430.87	583.6
431.279	574.4
431.666	560.2
432.075	570.2
432.484	563.2
432.893	565.8
433.302	585.2
433.711	608.4
434.099	569.2
434.508	557
434.918	555
435.327	572.6
435.737	562.6
436.125	563.6
436.534	568.2
436.944	558.4
437.353	567.2
437.763	581.4
438.173	548.4
438.561	570.6
438.971	549.8
439.381	555.2
439.791	565.8
440.201	541.6
440.589	561.4
440.999	567.6
441.409	558
441.819	552.2
442.23	566.2
442.619	565.4
443.029	560.8
443.439	564
443.85	572
444.26	572.6
444.649	560.6
445.06	562.2
445.471	557.2
445.881	557.2
446.292	577.4
446.682	576.4
447.092	550
447.503	603.4
447.914	566.2
448.325	554.4
448.715	561
449.126	554.4
449.537	561.2
449.948	559.4
450.338	561.6
450.75	566
451.161	559.4
451.572	566.8
451.984	550.2
452.374	542.4
452.786	558.8
453.197	564.4
453.609	566.8
453.999	545.4
454.411	552.8
454.823	577.2
455.235	564.6
455.647	552.6
456.037	560.2
456.449	541.8
456.862	560.6
457.274	563.6
457.665	552.4
458.077	566.8
458.489	588
458.902	556.8
459.293	567
459.705	558.4
460.118	554.4
460.53	560.2
460.921	560.4
461.334	567.2
461.747	557.4
462.16	567.6
462.551	567
462.964	551.2
463.377	543.6
463.79	567.2
464.182	566
464.595	547
465.008	561
465.421	564
465.813	563.2
466.226	564.6
466.64	555.2
467.053	603
467.445	565
467.859	582.4
468.272	565.6
468.686	571.4
469.078	562.6
469.492	540.6
469.906	564.2
470.298	572
470.712	550
471.126	577.8
471.54	551.4
471.933	548.4
472.347	554
472.761	552.2
473.175	551.8
473.568	548.4
473.982	556
474.397	552
474.79	548.6
475.204	564.4
475.619	551.8
476.033	563.4
476.426	553
476.841	553.8
477.256	578
477.649	548.2
478.064	551.4
478.479	546.6
478.872	541.2
479.287	539.8
479.702	547.8
480.118	553.4
480.511	539.2
480.927	550.6
481.342	549.6
481.736	552.4
482.151	548.6
482.566	562
482.96	566.4
483.376	552.6
483.792	553.4
484.186	562.8
484.602	553.6
485.017	550.6
485.412	555.6
485.827	556
486.243	553.2
486.638	575
487.054	556
487.47	565
487.865	549.4
488.281	546.8
488.697	546.4
489.092	556.2
489.508	537.8
489.925	558.2
490.32	543
490.736	552.6
491.153	562.4
491.548	563.2
491.964	564.2
492.381	543.2
492.776	559
493.193	548.4
493.61	562.4
494.006	555
494.422	555.2
494.84	546.8
495.235	559.8
495.652	547.8
496.069	551.8
496.465	542.8
496.883	551
497.3	571.8
497.696	554.6
498.113	561.2
498.509	542.8
498.927	540.4
499.344	546.2
499.741	552.2
500.158	564
500.576	565
500.973	554.8
501.39	546
501.787	539.4
502.205	548
502.623	543.4
503.02	545.4
503.438	541.2
503.856	554.2
504.253	553.2
504.671	556.8
505.068	541.6
505.486	549.8
505.905	568.6
506.302	550.8
506.72	553.2
507.118	543.8
507.536	552.8
507.955	557.2
508.352	553.4
508.771	556.4
509.169	555.6
509.587	543
510.006	549.6
510.404	535.2
510.823	544.8
511.221	549.6
511.64	543.4
512.038	556.2
512.457	549.6
512.877	552.2
513.275	549.4
513.694	546.6
514.092	550
514.512	553.4
514.91	559.2
515.33	545
515.749	549.4
516.148	539.4
516.568	552.6
516.966	546.4
517.386	543.2
517.785	553
518.205	537.8
518.603	546.8
519.024	545.2
519.444	549.4
519.843	556
520.263	557
520.662	535.2
521.082	541.8
521.481	558.2
521.902	549.4
522.301	551.2
522.722	549
523.121	550.8
523.542	548
523.963	548.8
524.362	551
524.783	556
525.183	544.2
525.604	553
526.003	543.4
526.425	542.4
526.824	553.2
527.246	553.8
527.646	555.2
528.067	551.2
528.467	547.2
528.888	553.8
529.289	548.4
529.71	558.6
530.11	547.8
530.532	549.2
530.932	549
531.354	535.8
531.755	582.6
532.176	559
532.577	553.8
532.999	547.6
533.4	537.8
533.822	568.2
534.223	551.4
534.645	544.2
535.046	544.2
535.468	552.4
535.869	570.2
536.292	545
536.693	581.6
537.115	553.8
537.516	542.8
537.939	540.4
538.34	565.4
538.742	556.4
539.165	546.6
539.566	549.6
539.989	535.8
540.391	537.6
540.814	545.2
541.216	545.2
541.639	546.8
542.041	547.2
542.464	544.2
542.866	542
543.268	535.6
543.691	545.2
544.093	547.4
544.517	573.2
544.919	536
545.343	567.8
545.745	544
546.147	550.6
546.571	546.8
546.974	532
547.398	551.4
547.8	562.2
548.224	548
548.627	542
549.03	557.4
549.454	547.4
549.857	538.8
550.281	545.6
550.684	549.4
551.087	565
551.512	553
551.915	558.4
552.34	543.4
552.743	544.2
553.146	549
553.571	547
553.975	564.2
554.399	539.8
554.803	597
555.207	539.6
555.632	544.8
556.036	549.2
556.461	538.4
556.865	554.6
557.268	552.6
557.694	558.4
558.098	557
558.502	557.8
558.927	539.4
559.332	550.2
559.736	553.2
560.162	549.2
560.566	546.6
560.992	552.6
561.396	550.8
561.801	543.4
562.227	546.4
562.631	554.8
563.036	545.2
563.462	555.8
563.867	557.8
564.272	537
564.698	562.8
565.103	541.8
565.508	556.4
565.935	550.6
566.34	548.2
566.745	556.8
567.172	545.4
567.577	572.4
567.982	564.8
568.409	548.6
568.815	539.6
569.22	550.4
569.626	550.8
570.053	533.2
570.459	558.2
570.865	549.6
571.292	551.4
571.698	551
572.104	541
572.531	547.6
572.937	565
573.343	552.4
573.75	547.2
574.177	553.2
574.583	548.4
574.99	549.8
575.396	565.4
575.824	548.4
576.231	560.4
576.637	543.4
577.065	566.6
577.472	545.2
577.879	548.6
578.286	557.4
578.714	544.2
579.121	550.2
579.528	551.6
579.935	553.8
580.364	546.8
580.771	529.8
581.178	540.8
581.585	553.6
582.014	544.4
582.421	540.8
582.829	537
583.236	551.8
583.644	542.4
584.073	546.2
584.481	545.4
584.889	552.6
585.296	551.6
585.726	552.6
586.134	540.4
586.542	545
586.95	560
587.358	535.6
587.787	552.6
588.196	552.4
588.604	546
589.012	547.6
589.421	544.8
589.851	540.4
590.259	545.6
590.668	544.4
591.076	575.4
591.485	541.8
591.894	548.4
592.324	562.6
592.733	553.8
593.142	538
593.551	543
593.96	577
594.369	545.2
594.8	535.4
595.209	549
595.618	526.2
596.028	539.2
596.437	537.4
596.847	546
597.256	553
597.687	554.2
598.097	545.6
598.507	541.8
598.917	548.2
599.327	546.2
599.736	545.2
600.146	550.6
600.556	541.4
600.988	555.8
601.398	534.4
601.808	557
602.219	542.2
602.629	541.2
603.039	549.4
603.45	570.6
603.86	544
604.271	558.8
604.703	550
605.114	542.4
605.525	553.8
605.935	546.2
606.346	567.8
606.757	543.6
607.168	549
607.579	543.4
607.99	544.8
608.402	543.2
608.813	544.8
609.224	537
609.636	535
610.047	537
610.48	542.4
610.892	551.8
611.303	553.4
611.715	538.8
612.127	534
612.539	544.2
612.95	542
613.362	539.4
613.774	544.2
614.186	538.4
614.599	533.8
615.011	545.6
615.423	542.6
615.835	539.4
616.248	534.2
616.66	550.4
617.073	536.6
617.485	540.2
617.898	553
618.311	539.2
618.723	540.2
619.136	580
619.549	556.4
619.962	567
620.375	544.2
620.788	552.2
621.201	539
621.614	550.2
622.028	543.2
622.441	546.8
622.854	554.6
623.268	543.6
623.681	553.8
624.095	550.4
624.509	550.2
624.922	551.8
625.336	538.6
625.728	550.6
626.142	557.8
626.556	569.6
626.97	553.2
627.384	541.6
627.799	549.6
628.213	559.8
628.627	551.2
629.041	545.6
629.456	536.4
629.87	551
630.285	553.8
630.699	559
631.093	542
631.507	546
631.922	544.6
632.337	561.6
632.752	544.4
633.167	544.6
633.582	550
633.997	526
634.412	530
634.806	538
635.221	532.8
635.637	553
636.052	536
636.468	543.8
636.883	557.6
637.299	538.4
637.715	535.6
638.109	542.6
638.525	536.6
638.941	550.4
639.357	548.4
639.773	552.8
640.189	536
640.584	536
641	552.2
641.416	528.8
641.832	542.8
642.249	531
642.665	544.8
643.06	553.4
643.477	549.6
643.894	530.2
644.31	544.8
644.727	541.4
645.123	542.2
645.54	538.6
645.957	549.2
646.374	556
646.77	544
647.187	572.4
647.604	545.6
648.021	533.2
648.439	537.2
648.835	551.8
649.252	544
649.67	534.8
650.088	547.6
650.484	543.4
650.902	543.8
651.32	549.6
651.738	536.4
652.134	555
652.552	565.8
652.971	552.6
653.389	548
653.786	562
654.204	568.4
654.622	534.4
655.019	547
655.438	547
655.857	548.2
656.275	550.6
656.673	531.4
657.091	540.4
657.51	530.4
657.908	553.2
658.327	559.8
658.746	528
659.144	544.2
659.563	553.8
659.982	542
660.38	541.2
660.8	552.8
661.219	550.6
661.617	545.6
662.037	538.8
662.457	552.6
662.855	527.4
663.275	579.8
663.695	542
664.094	553.8
664.514	546.2
664.934	533.8
665.333	545
665.753	537.6
666.152	527.2
666.572	530.8
666.993	553.4
667.392	541.4
667.812	541.8
668.212	538.2
668.632	550.2
669.053	537.8
669.453	539.2
669.874	543.4
670.273	546
670.694	537.6
671.116	556
671.515	545.8
671.937	537.6
672.337	537.8
672.758	542.6
673.158	554.6
673.58	536.8
673.98	545.2
674.402	553.6
674.824	543.2
675.224	534.6
675.646	538.4
676.047	549.8
676.469	543.2
676.869	538.4
677.292	548
677.693	542
678.115	534.8
678.516	553
678.939	551.4
679.34	535.4
679.762	545
680.164	548.4
680.586	531
680.988	541.4
681.411	569
681.812	540.6
682.236	535.6
682.637	536.4
683.061	532.2
683.462	542.6
683.864	542.4
684.288	540
684.69	524
685.114	553.6
685.516	546.8
685.94	535.4
686.342	553.6
686.766	533.4
687.168	540
687.571	563.8
687.995	537.6
688.398	531.8
688.822	531.8
689.225	544.8
689.628	560
690.052	540.6
690.456	538.4
690.88	535.4
691.284	532.6
691.687	543.6
692.112	530.4
692.515	531.4
692.919	537.2
693.344	547.8
693.747	543
694.173	531.2
694.577	548.2
694.98	544.6
695.406	533.8
695.81	544.2
696.214	539.6
696.64	539.8
697.044	545.8
697.448	543.4
697.874	538.2
698.279	537.6
698.684	530
699.11	535.2
699.514	534.4
699.919	535.8
700.324	533.2
700.75	535.4
701.156	533.4
701.561	548.2
701.987	540.4
702.393	545.2
702.798	552.4
703.203	533.4
703.63	534.2
704.036	536
704.442	534.8
704.847	535.2
705.274	536.8
705.68	546.8
706.086	543.2
706.492	527
706.92	534.8
707.326	542.4
707.732	543.4
708.139	527.6
708.545	530.2
708.973	530
709.38	536.6
709.786	523.2
710.193	545.2
710.6	544.2
711.028	531.4
711.435	536.4
711.842	540
712.249	533.2
712.656	535.8
713.064	546.6
713.492	532.4
713.9	527.2
714.307	543
714.715	540.8
715.123	538.8
715.53	541
715.938	543.6
716.367	536.2
716.775	543.2
717.184	538.8
717.592	534.6
718	551
718.408	576
718.816	584
719.225	539.6
719.633	538.6
720.042	538.8
720.472	537.8
720.881	555.8
721.29	542.6
721.699	525.4
722.108	553
722.517	538.6
722.926	532.8
723.335	544.4
723.744	541.6
724.154	531.2
724.563	544.4
724.973	536.6
725.382	541.4
725.792	530.4
726.202	530
726.612	553
727.022	536.6
727.432	528.8
779.813	538
780.223	573.8
780.634	532.2
781.044	531
781.454	543.4
781.865	553.4
782.276	535.2
782.686	543.6
783.097	535.2
783.508	535.6
783.919	528.8
784.33	544.2
784.741	546
785.152	524.2
785.563	520.8
785.974	527
786.386	535.6
786.776	534.8
787.188	533.8
787.599	526.8
788.011	539.4
788.423	541.2
788.835	529.6
789.247	528.2
789.659	531
790.071	531.4
790.483	579.6
790.874	526.4
791.286	543.2
791.699	534.2
792.111	532.4
792.524	537.4
792.937	530.6
793.349	528.6
793.741	526.8
794.154	526.2
794.567	548.8
794.98	541.4
795.393	526
795.785	544.4
796.198	530.4
796.612	537.6
797.026	529.8
797.439	523.8
797.831	534.6
798.245	531.8
798.659	535.8
799.073	533
799.487	531.2
799.88	533.2
800.294	537.2
800.708	545.4
801.123	542.8
801.516	552.6
801.93	529
802.345	530.6
802.76	543.6
803.153	550.2
803.568	547.8
803.983	544
804.377	543.2
804.792	526.6
805.207	525.6
805.601	540.4
806.016	567.2
806.432	533.2
806.826	561.2
807.242	550.8
807.658	535.6
808.052	527.2
808.468	542.4
808.884	531
809.279	538
809.695	538.6
810.111	559.2
810.506	541.6
810.922	554.4
811.339	530
811.734	542.6
812.151	534.8
812.546	526.6
812.963	533.8
813.38	531.6
813.776	540.6
814.193	555
814.589	530
815.006	532.8
815.402	532.8
815.82	539
816.237	543.8
816.633	536.6
817.051	528
817.448	534
817.866	524.2
818.262	557
818.68	529
819.077	535.8
819.495	539.6
819.892	567.4
820.311	528.2
820.708	527.8
821.127	526.6
821.524	543.8
821.943	536
822.34	555.6
822.759	533.8
823.157	529.2
823.576	550.6
823.974	542
824.393	558.8
824.791	532
825.189	530.2
825.609	533.8
826.007	538.8
826.427	529.6
826.826	529.4
827.246	537.4
827.644	521.2
828.043	542.6
828.463	534
828.862	550
829.261	536.6
829.682	530.6
830.081	546.8
830.502	516.4
830.901	544.8
831.301	547.4
831.722	527.4
832.121	530.6
832.521	534.2
832.943	544
833.342	524.6
833.742	532.2
834.164	535.2
834.564	530.2
834.965	536.8
835.386	536.4
835.787	532.4
836.188	531.2
836.588	538
837.01	532
837.411	528.4
837.812	538.6
838.213	532.4
838.636	527.4
839.037	595.4
839.438	534
839.84	537.8
840.263	540.4
840.664	539
841.066	533.8
841.468	536.4
841.891	533.8
842.293	548.6
842.695	539.2
843.098	545
843.5	534
843.902	536.4
844.326	546.6
844.729	532.8
845.131	545.4
845.534	539.8
845.937	542.6
846.34	553.8
846.764	530.2
847.167	532.4
847.571	522.4
847.974	527.8
848.377	528
848.781	574.8
849.184	546.8
849.588	534.8
849.992	533.6
850.396	536.6
850.821	552.2
851.225	539.8
851.63	528
852.034	540.6
852.438	532.6
852.843	598.6
853.247	527.6
853.652	526.4
854.057	546.6
854.462	532.2
854.867	535.6
855.272	559
855.677	535.2
856.082	520.4
856.487	525
856.893	538.6
857.298	537.6
857.704	526.4
858.11	533
858.516	541
858.922	535.2
859.328	545.2
859.734	527.8
860.14	544.6
860.525	537.2
860.931	525
861.338	532.8
861.745	532
862.151	541.8
862.558	531.4
862.965	530
863.372	533.2
863.779	533.4
864.186	553.6
864.572	538.4
864.98	552.4
865.387	561.4
865.795	526
866.203	545.6
866.61	531.8
867.018	539.6
867.405	539.4
867.813	534.2
868.221	532.8
868.63	536.2
869.038	542.2
869.425	568.8
869.834	541.4
870.243	536.4
870.652	525.6
871.039	529
871.448	533.2
871.857	536
872.266	539.2
872.654	538.6
873.064	529.2
873.473	539.4
873.883	524.4
874.271	527.4
874.681	535.4
875.091	523.6
875.48	542.4
875.89	553.6
876.3	537
876.689	512
877.1	530.2
877.51	524.4
877.9	549.2
878.31	530
878.721	559.4
879.111	656.6
879.522	521
879.933	521.6
880.323	519.2
880.734	518.8
881.125	527.4
