#lambda/nm	C1
208.295	470.2
208.67	436.8
209.045	395.4
209.419	400.2
209.794	560.4
210.169	549.8
210.544	664.2
210.919	565
211.295	554
211.67	565.2
212.045	564.4
212.421	561.8
212.796	596.6
213.172	557.8
213.547	559
213.923	559.4
214.299	554.8
214.675	572.8
215.051	568.8
215.427	574.8
215.803	586.2
216.179	572
216.555	561.8
216.932	573
217.308	562.8
217.684	577.4
218.061	570.2
218.438	567
218.814	565.8
219.191	585.4
219.568	563.8
219.945	568.8
220.322	577.8
220.699	575.2
221.076	572.2
221.453	569.4
221.83	565.6
222.208	565
222.585	566
222.962	567.6
223.34	570.2
223.717	568.6
224.095	563.4
224.473	575.2
224.851	558.8
225.229	555
225.607	579.6
225.985	564.2
226.363	560.6
226.741	566
227.119	565.6
227.497	585.8
227.876	559.8
228.254	578.4
228.633	578
229.011	576.4
229.39	571.6
229.769	569.4
230.148	573.2
230.527	581.8
230.905	570.4
231.284	571.4
231.664	573.6
232.043	576.4
232.422	573.2
232.801	567
233.181	581.4
233.56	567.2
233.94	576.2
234.319	554.4
234.699	568.4
235.079	603
235.458	605.6
235.838	584.8
236.218	552.2
236.598	566.8
236.978	558.4
237.358	566
237.738	558.2
238.119	577.8
238.499	562
238.88	572
239.26	583.8
239.641	560.8
240.021	563
240.402	565.8
240.783	559.8
241.163	565.2
241.544	571.4
241.925	555.6
242.306	585.6
242.687	570.2
243.069	568.2
243.45	574.6
243.831	560.6
244.212	557.2
244.594	597.2
244.975	570.2
245.357	567.4
245.739	564.4
246.12	565
246.502	576.6
246.884	566.4
247.266	572
247.648	569.4
248.03	584.6
248.412	565.2
248.794	566.2
249.176	567.2
249.559	581.2
249.941	564
250.323	561
250.706	555.8
251.089	573.6
251.471	569.4
251.854	574.2
252.237	564.4
252.62	573.2
253.002	575.8
253.385	572.6
253.769	579.8
254.152	577.6
254.535	579.2
254.918	557.8
255.301	582.2
255.685	571.2
256.068	565.8
256.452	595.4
256.835	573
257.219	577.2
257.603	579
257.986	561.6
258.37	574.4
258.754	559.8
259.138	568.2
259.522	582.4
259.906	570.4
260.29	573.4
260.675	567.4
261.059	568.6
261.443	562.4
261.828	572
262.212	576.8
262.597	564.2
262.981	559
263.366	579.8
263.751	569.8
264.136	567.2
264.521	564.2
264.906	567.6
265.291	581.8
265.676	559
266.061	571.2
266.446	594.4
266.831	563.6
267.217	595
267.602	574.8
267.987	575.4
268.373	566
268.759	579.8
269.144	573.6
269.53	564.4
269.916	561
270.302	564.4
270.688	573
271.074	568.6
271.46	574.2
271.846	602.8
272.232	571.6
272.618	561.6
273.004	568
273.391	571
273.777	586.2
274.164	569.2
274.55	578.6
274.937	572.2
275.324	565.8
275.71	571.8
276.097	583
276.484	553.8
276.871	577
277.258	569.4
277.645	551.6
278.032	561.4
278.419	568.4
278.807	579.2
279.194	560.2
279.581	559.8
279.969	575.8
280.356	574
280.744	571.4
281.131	598
281.519	576.4
281.907	559.8
282.295	566.6
282.682	583.4
283.07	578.2
283.458	577
283.846	581.4
284.235	583.8
284.623	574.2
285.011	557.8
285.399	566.6
285.788	558.8
286.176	553.4
286.565	581.2
286.953	567.8
287.342	561.4
287.731	567.4
288.119	561.2
288.508	567.6
288.897	568.6
289.286	556.4
289.675	564.6
290.064	575.8
290.453	556
290.821	574
291.21	578.2
291.599	559.4
291.989	572.2
292.378	569
292.768	590.2
293.157	578.6
293.547	575.4
293.936	569.4
294.326	565.8
294.716	572.2
295.106	561.4
295.496	574
295.886	580
296.276	567.6
296.666	557.4
297.056	562.8
297.446	560.4
297.836	578.2
298.227	569.6
298.617	577.6
299.008	572.4
299.398	560.4
299.789	559.4
300.179	568.6
300.57	580.6
300.961	566.4
301.352	560.8
301.742	575.8
302.133	566.6
302.524	579
302.915	572.8
303.307	565.4
303.698	576.4
304.089	578.6
304.48	570
304.872	575
305.263	570.6
305.655	565
306.046	573.4
306.438	579.4
306.829	572
307.221	578.2
307.613	579.2
308.005	584.2
308.397	584.6
308.789	583.2
309.181	601.8
309.573	589.4
309.965	584.2
310.357	562.8
310.749	573.4
311.142	562.2
311.534	562.6
311.926	581.8
312.319	570.8
312.711	553.8
313.104	577.4
313.497	565.6
313.889	598
314.282	583.6
314.675	587
315.068	576
315.461	579
315.854	588.8
316.247	573.6
316.64	566.6
317.033	570.4
317.405	570.2
317.798	567.4
318.192	564.6
318.585	565.2
318.979	573.8
319.372	566.2
319.766	565
320.16	580.6
320.553	587.4
320.947	582.6
321.341	568.4
321.735	570.6
322.129	555
322.523	591.8
322.917	567.2
323.311	579.4
323.705	570.4
324.099	571.2
324.494	582.6
324.888	585.2
325.282	576.2
325.677	589.4
326.071	570.4
326.466	576
326.861	575.6
327.255	587.8
327.65	589.6
328.045	590.6
328.44	570
328.835	567.8
329.23	555
329.625	590
330.02	572
330.415	587.2
330.81	562.8
331.206	579.2
331.601	571.4
331.996	578.4
332.37	596.8
332.766	563.6
333.161	583.4
333.557	569.6
333.953	564.2
334.348	818.6
334.744	577.4
335.14	571
335.536	566.8
335.932	574.4
336.328	572.2
336.724	585.6
337.12	572.8
337.516	568.8
337.913	573.8
338.309	588.6
338.705	568.6
339.102	578.2
339.498	570.8
339.895	582.8
340.291	559.8
340.688	570.2
