#lambda/nm	C1
208.295	473.4
208.67	431.6
209.045	394.6
209.419	397.4
209.794	561.6
210.169	547.4
210.544	673
210.919	572.8
211.295	557.4
211.67	570
212.045	561
212.421	567
212.796	600
213.172	558.6
213.547	563.8
213.923	557.6
214.299	559.4
214.675	572.2
215.051	571.4
215.427	573.8
215.803	586
216.179	574.8
216.555	565.6
216.932	569.2
217.308	563.6
217.684	567
218.061	576.8
218.438	580.6
218.814	556.6
219.191	580.2
219.568	561.8
219.945	560
220.322	566
220.699	568.6
221.076	573.8
221.453	577.2
221.83	562.4
222.208	563.6
222.585	566.8
222.962	570.8
223.34	566
223.717	560.2
224.095	562.6
224.473	565
224.851	568.4
225.229	555.2
225.607	584
225.985	557.8
226.363	567.4
226.741	571
227.119	565
227.497	583.6
227.876	562.4
228.254	574.4
228.633	573.2
229.011	566.8
229.39	576.2
229.769	572.4
230.148	576.6
230.527	591.2
230.905	569
231.284	569.2
231.664	562
232.043	576.8
232.422	572.2
232.801	575.6
233.181	571.4
233.56	565.8
233.94	571.8
234.319	555.8
234.699	567.4
235.079	607
235.458	598.8
235.838	585.4
236.218	556.2
236.598	556.6
236.978	556.8
237.358	563
237.738	565.2
238.119	572
238.499	554
238.88	562.4
239.26	579.4
239.641	561
240.021	570
240.402	572.4
240.783	569.4
241.163	564
241.544	574
241.925	563.8
242.306	583.4
242.687	574.6
243.069	560.8
243.45	566.4
243.831	561.8
244.212	566.4
244.594	595.6
244.975	575.8
245.357	569.2
245.739	568.4
246.12	570
246.502	583.4
246.884	564.2
247.266	563.4
247.648	573.6
248.03	595
248.412	570.2
248.794	573
249.176	564.6
249.559	576
249.941	563
250.323	556
250.706	570
251.089	570.6
251.471	575.6
251.854	575.8
252.237	572.8
252.62	580
253.002	561.8
253.385	571.6
253.769	586.2
254.152	568.6
254.535	569.6
254.918	555.4
255.301	574.2
255.685	564.2
256.068	565.8
256.452	583.6
256.835	574.4
257.219	570.4
257.603	583.6
257.986	559.6
258.37	570.8
258.754	555.4
259.138	570.8
259.522	573.8
259.906	567
260.29	578.6
260.675	562.2
261.059	562
261.443	554.2
261.828	567.2
262.212	566.8
262.597	559.4
262.981	565.2
263.366	575.6
263.751	573.4
264.136	559.6
264.521	563
264.906	555.2
265.291	576.4
265.676	559.4
266.061	574.4
266.446	576.2
266.831	559
267.217	585.6
267.602	570.2
267.987	578.8
268.373	557.6
268.759	574.8
269.144	574.8
269.53	569.8
269.916	568
270.302	560
270.688	571
271.074	569
271.46	577.4
271.846	599.6
272.232	566.4
272.618	552.2
273.004	562.2
273.391	580
273.777	572.6
274.164	576.6
274.55	582.6
274.937	566.6
275.324	561.6
275.71	569.4
276.097	569.4
276.484	557.8
276.871	568.4
277.258	574.4
277.645	553.8
278.032	567.4
278.419	562.2
278.807	571.2
279.194	565.4
279.581	567.2
279.969	572
280.356	569.6
280.744	565.6
281.131	588.6
281.519	576.6
281.907	567.4
282.295	564.4
282.682	573.2
283.07	573
283.458	573
283.846	581
284.235	577.4
284.623	573.4
285.011	559.2
285.399	581
285.788	563.6
286.176	559.2
286.565	573.6
286.953	569.2
287.342	559
287.731	560.8
288.119	563.4
288.508	564.6
288.897	578.6
289.286	562
289.675	565.8
290.064	571.2
290.453	562.6
290.821	573.6
291.21	585.2
291.599	558
291.989	570.4
292.378	571.8
292.768	590.6
293.157	571.2
293.547	580
293.936	570.6
294.326	561.6
294.716	563.2
295.106	561.2
295.496	568.6
295.886	573
296.276	562
296.666	557.2
297.056	560.2
297.446	561.2
297.836	580.4
298.227	560
298.617	572.6
299.008	582
299.398	565.6
299.789	567.8
300.179	569.6
300.57	580.6
300.961	566.4
301.352	562.4
301.742	574
302.133	571.4
302.524	566.8
302.915	572.4
303.307	554.8
303.698	584.2
304.089	564
304.48	562.4
304.872	571.8
305.263	565.6
305.655	561.2
306.046	566.8
306.438	569.8
306.829	571
307.221	579.2
307.613	564
308.005	581.2
308.397	578.6
308.789	597.8
309.181	599.6
309.573	589
309.965	582.2
310.357	568.8
310.749	574
311.142	569.4
311.534	562
311.926	577.4
312.319	567.2
312.711	565.6
313.104	583.2
313.497	572
313.889	605.2
314.282	584
314.675	598
315.068	575
315.461	580.8
315.854	599.6
316.247	578.2
316.64	572.8
317.033	575.4
317.405	575.6
317.798	570.2
318.192	574.8
318.585	567
318.979	570.8
319.372	568
319.766	568.6
320.16	577.4
320.553	577.8
320.947	596.6
321.341	568.2
321.735	569.8
322.129	558
322.523	602
322.917	559.6
323.311	593.6
323.705	574.6
324.099	574.6
324.494	575.8
324.888	583.2
325.282	567
325.677	579.2
326.071	579.6
326.466	586.8
326.861	572.6
327.255	583.6
327.65	587.6
328.045	579.8
328.44	577.8
328.835	578.6
329.23	561.6
329.625	588.8
330.02	569.4
330.415	587.2
330.81	566.8
331.206	575.6
331.601	571.4
331.996	572.8
332.37	578.6
332.766	568.6
333.161	585.4
333.557	564
333.953	572
334.348	892.2
334.744	569.4
335.14	562.4
335.536	560.8
335.932	571.6
336.328	571
336.724	580.6
337.12	569.4
337.516	576.2
337.913	573.8
338.309	578.8
338.705	563.4
339.102	579.6
339.498	561.4
339.895	577.4
340.291	569.8
340.688	579.4
341.085	565.4
341.481	566.4
341.878	566.2
342.275	589.8
342.672	559.2
343.069	557
343.466	562.6
343.842	576.6
344.239	566.4
344.636	572.2
345.033	565.4
345.431	568.4
345.828	560.2
346.225	557.2
346.623	596.4
347.02	559.6
347.418	574
347.816	581.6
348.213	562.2
348.611	567.6
349.009	564
349.407	584
349.805	561.2
350.203	558.6
350.601	578.6
350.999	566
351.397	607.8
351.795	565.8
352.193	576
352.57	565.4
352.969	571.8
353.367	554.6
353.766	555.4
354.164	563.8
354.563	583.2
354.961	564.2
355.36	564.4
355.759	571
356.158	549.4
356.557	559.2
356.956	555.4
357.355	541.6
357.754	565
358.153	568
358.552	589.6
358.951	559.4
359.35	573.6
359.75	563.2
360.149	552.6
360.527	553.8
360.926	556.2
361.326	554.8
361.726	558.4
362.125	547.6
362.525	573.8
362.925	568.4
363.325	562.6
363.724	565.8
364.124	561.2
364.524	554.4
364.924	559.2
365.324	572.6
365.725	550
366.125	568.2
366.525	573.2
366.904	553.4
367.304	545.6
367.705	585.6
368.105	570.8
368.506	563.4
368.906	560.8
369.307	554
369.708	564
370.108	547.4
370.509	573.6
370.91	553.8
371.311	561
371.712	563.4
372.113	556.2
372.514	548.4
372.894	558.8
373.295	559
373.696	574.2
374.097	562.4
374.499	588.4
374.9	562.2
375.301	558.6
375.703	565.4
376.105	555.2
376.506	565.6
376.908	565
377.309	569.8
377.711	553
378.113	554.8
378.493	570.8
378.895	562.2
379.297	570
379.699	551.6
380.102	563.8
380.504	562.6
380.906	558.4
381.308	581.8
381.71	557.8
382.113	569.4
382.515	560
382.918	564.2
383.299	554.2
383.701	570.6
384.104	559
384.507	557.8
384.909	565
385.312	546.2
385.715	551.2
386.118	552.8
386.521	557.2
386.924	565.2
387.327	553.6
387.709	546.8
388.112	542.6
388.515	553.2
388.918	556.4
389.322	563.2
389.725	553
390.129	580.8
390.532	563
390.936	562.8
391.339	548
391.743	562.2
392.125	543.2
392.529	569.8
392.933	574
393.337	556.8
393.74	554.6
394.144	564.2
394.548	555.6
394.953	555
395.357	566.6
395.761	559.8
396.144	554
396.548	559.6
396.952	564.4
397.357	561.8
397.761	549.4
398.166	557.8
398.57	557.8
398.975	543.8
399.379	551.4
399.763	605.8
400.168	561
400.572	565.2
400.977	557.2
401.382	575.8
401.787	561.2
402.192	576.2
402.597	575.2
403.002	552.8
403.386	568
403.791	584.8
404.197	555.4
404.602	567.4
405.007	564.4
405.413	554.8
405.818	560.2
406.224	557.8
406.608	551.2
407.014	549.6
407.42	577.6
407.825	566.8
408.231	566.2
408.637	560.2
409.043	578
409.449	551.6
409.834	554.2
410.24	567.4
410.646	567.4
411.052	570.8
411.458	571.8
411.865	570.4
412.271	571
412.677	564.6
413.062	565
413.469	553.4
413.875	584.4
414.282	577
414.689	573.4
415.095	562.6
415.502	559.8
415.888	564
416.294	547
416.701	601.2
417.108	552.4
417.515	572.2
417.923	557.2
418.33	573.4
418.715	566.8
419.123	555.8
419.53	558.2
419.937	566.6
420.345	573.4
420.752	555.2
421.16	566.6
421.546	564.4
421.953	563.4
422.361	554.4
422.769	567.4
423.177	555.4
423.585	578
423.992	573
424.379	567.4
424.787	568
425.195	586.2
425.603	558.4
426.011	569.8
426.419	569.6
426.806	566.4
