#lambda/nm	C1
208.295	463
208.67	431.6
209.045	395.6
209.419	398.2
209.794	564.6
210.169	542.8
210.544	661.8
210.919	571
211.295	551.4
211.67	569.6
212.045	555.4
212.421	561.8
212.796	588.6
213.172	552.2
213.547	554.2
213.923	557
214.299	556.8
214.675	570.8
215.051	564.4
215.427	561.2
215.803	577.2
216.179	566.8
216.555	556.4
216.932	576.6
217.308	561.6
217.684	564.4
218.061	570.4
218.438	568.8
218.814	555.2
219.191	563
219.568	549.2
219.945	554.8
220.322	559.2
220.699	568
221.076	567.2
221.453	558.6
221.83	556
222.208	555.4
222.585	559.4
222.962	559.8
223.34	562.2
223.717	553.8
224.095	566.2
224.473	567.8
224.851	553
225.229	558.8
225.607	581.6
225.985	555.6
226.363	566.2
226.741	570
227.119	562.2
227.497	571
227.876	542.4
228.254	574.6
228.633	566
229.011	566
229.39	573.2
229.769	565.2
230.148	563.2
230.527	575
230.905	562.2
231.284	562
231.664	558.2
232.043	572.8
232.422	570
232.801	560.8
233.181	559.6
233.56	563
233.94	556
234.319	551.6
234.699	565.2
235.079	600.4
235.458	596.4
235.838	572.4
236.218	548.6
236.598	548.4
236.978	558.4
237.358	550
237.738	557
238.119	573.8
238.499	548.8
238.88	562.6
239.26	575.2
239.641	554.8
240.021	566.2
240.402	561.4
240.783	563.4
241.163	560
241.544	563.8
241.925	558.2
242.306	573.6
242.687	572.2
243.069	568
243.45	570.8
243.831	555
244.212	565
244.594	600.6
244.975	576.6
245.357	568.2
245.739	561.2
246.12	552.6
246.502	583
246.884	566.6
247.266	563.6
247.648	562.8
248.03	578.4
248.412	565.6
248.794	561.6
249.176	562.2
249.559	567.4
249.941	557.4
250.323	556.2
250.706	556
251.089	559.6
251.471	565.6
251.854	565.8
252.237	565.8
252.62	571.6
253.002	571
253.385	554.6
253.769	581.6
254.152	564.4
254.535	573.2
254.918	557
255.301	559
255.685	562.6
256.068	555.8
256.452	581.6
256.835	577.4
257.219	566.6
257.603	573.4
257.986	556
258.37	565.8
258.754	550.2
259.138	566
259.522	567.2
259.906	556.6
260.29	552.2
260.675	557
261.059	564.8
261.443	557.2
261.828	573.8
262.212	568.8
262.597	549.8
262.981	552.2
263.366	571.6
263.751	563.8
264.136	560.6
264.521	563.4
264.906	553.2
265.291	562.6
265.676	561
266.061	569.6
266.446	579
266.831	560.4
267.217	579.6
267.602	562.6
267.987	567
268.373	560.4
268.759	568.6
269.144	560.4
269.53	558.6
269.916	566.4
270.302	561.4
270.688	564
271.074	568.4
271.46	570.4
271.846	591
272.232	564
272.618	559
273.004	558.2
273.391	573.4
273.777	573.8
274.164	560.2
274.55	571.8
274.937	560.6
275.324	560.4
275.71	564.4
276.097	574.2
276.484	556.4
276.871	572.6
277.258	570
277.645	546.6
278.032	561.8
278.419	555.4
278.807	558.8
279.194	550.6
279.581	553.4
279.969	566.4
280.356	565.4
280.744	563.6
281.131	588.6
281.519	577
281.907	563.2
282.295	556.4
282.682	574.8
283.07	555
283.458	575
283.846	564.6
284.235	581.6
284.623	563.8
285.011	554.8
285.399	569
285.788	561.8
286.176	552.4
286.565	575.2
286.953	559
287.342	556
287.731	549
288.119	557.8
288.508	554.8
288.897	560.4
289.286	548.4
289.675	556.8
290.064	566.6
290.453	560.8
290.821	558.2
291.21	579.8
291.599	555
291.989	565.2
292.378	566
292.768	578
293.157	562
293.547	567.8
293.936	559.2
294.326	558
294.716	559.8
295.106	562
295.496	567
295.886	568
296.276	563.4
296.666	551.6
297.056	556
297.446	557.2
297.836	575.6
298.227	555
298.617	569.6
299.008	564.2
