#lambda/nm	C1
208.295	463
208.67	432.6
209.045	390.2
209.419	392.4
209.794	559.2
210.169	548.8
210.544	655.2
210.919	563.8
211.295	542.6
211.67	561.8
212.045	557.6
212.421	557.8
212.796	589
213.172	554.6
213.547	551.2
213.923	560.2
214.299	558.8
214.675	578.2
215.051	567.2
215.427	565.4
215.803	586.4
216.179	579
216.555	550
216.932	571.6
217.308	564
217.684	553
218.061	566
218.438	574
218.814	561.8
219.191	578.8
219.568	556.8
219.945	551.2
220.322	568.4
220.699	563
221.076	567.2
221.453	558
221.83	561.2
222.208	559.6
222.585	560
222.962	558.2
223.34	559.6
223.717	555.2
224.095	560
224.473	552.6
224.851	558.4
225.229	553.4
225.607	577.8
225.985	556.6
226.363	563.6
226.741	563
227.119	555.6
227.497	575
227.876	558.6
228.254	575.2
228.633	578.8
229.011	563.8
229.39	564.6
229.769	568
230.148	571
230.527	583
230.905	558
231.284	559.8
231.664	564.4
232.043	580.2
232.422	564.2
232.801	555.8
233.181	571.8
233.56	567.6
233.94	560.2
234.319	548.6
234.699	550
235.079	597.2
235.458	596.6
235.838	577
236.218	553.8
236.598	546.2
236.978	547.8
237.358	560
237.738	549.8
238.119	567.8
238.499	561.2
238.88	565.4
239.26	584.2
239.641	556.8
240.021	564.6
240.402	563.2
240.783	556.6
241.163	558.6
241.544	557.8
241.925	555.2
242.306	580.2
242.687	569.6
243.069	564.8
243.45	567.2
243.831	560.8
244.212	559.2
244.594	596.4
244.975	574.6
245.357	564.8
245.739	562
246.12	572.4
246.502	572
246.884	567.4
247.266	559.8
247.648	568.6
248.03	576.2
248.412	566.6
248.794	567.6
249.176	560.6
249.559	572.2
249.941	565.8
250.323	558.8
250.706	556
251.089	563.4
251.471	562.2
251.854	568.6
252.237	564.4
252.62	566.8
253.002	560
253.385	572.2
253.769	581.8
254.152	557.2
254.535	571.4
254.918	551
255.301	559.6
255.685	562.2
256.068	561.8
256.452	587.6
256.835	572.8
257.219	563
257.603	578.2
257.986	566
258.37	565.2
258.754	553.8
259.138	567.4
259.522	570
259.906	555.4
260.29	571
260.675	565.4
261.059	563.4
261.443	551.2
261.828	562.4
262.212	564.4
262.597	555
262.981	556
263.366	563.6
263.751	558.6
264.136	556.8
264.521	556
264.906	560
265.291	568.4
265.676	575
266.061	575
266.446	582
266.831	557
267.217	582.8
267.602	572.6
267.987	571.4
268.373	557.6
268.759	576.4
269.144	564.4
269.53	560
269.916	557.8
270.302	552.2
270.688	566
271.074	559.8
271.46	571.8
271.846	582.4
272.232	561
272.618	554
273.004	560.6
273.391	575.8
273.777	580.8
274.164	566.2
274.55	576.4
274.937	565.8
275.324	562.6
275.71	566.6
276.097	572.2
276.484	553
276.871	565.8
277.258	575.2
277.645	550.6
278.032	563.2
278.419	564.4
278.807	559.6
279.194	555.8
279.581	556
279.969	566.8
280.356	571
280.744	558.8
281.131	581
281.519	571.8
281.907	561.2
282.295	557.8
282.682	578.2
283.07	562.4
283.458	567.2
283.846	577.2
284.235	572.2
284.623	572
285.011	551.8
285.399	564.2
285.788	565
286.176	554.2
286.565	576.8
286.953	557.2
287.342	554.8
287.731	552
288.119	552.6
288.508	560.6
288.897	569.4
289.286	550.6
289.675	567.4
290.064	567
290.453	560.4
290.821	573.2
291.21	572.2
291.599	562.6
291.989	565
292.378	571.8
292.768	584
293.157	572
293.547	571
293.936	560.6
294.326	569.2
294.716	569.4
295.106	561.6
295.496	570.8
295.886	566.4
296.276	568.2
296.666	554
297.056	561.4
297.446	550.2
297.836	579.2
298.227	559.6
298.617	570.8
299.008	577.4
299.398	558.8
299.789	553.8
300.179	574.2
300.57	581.8
300.961	567
301.352	551.4
301.742	570.8
302.133	567.6
302.524	569.6
302.915	561.8
303.307	543.4
303.698	574.2
304.089	565.6
304.48	563
304.872	561
305.263	564.4
305.655	559.4
306.046	575.8
306.438	566.6
306.829	564.2
307.221	576.4
307.613	567.4
308.005	567.6
308.397	578.4
308.789	573.8
309.181	580
309.573	575.4
309.965	566.8
310.357	559.6
310.749	563
311.142	551.2
311.534	553
311.926	573.4
312.319	566.4
312.711	556.8
313.104	574.6
313.497	569.8
313.889	604.2
314.282	575.2
314.675	581.2
315.068	560
315.461	564
315.854	585.8
316.247	575.4
316.64	570.6
317.033	568.2
317.405	569
317.798	570.2
318.192	570
318.585	564.6
318.979	566
319.372	558.6
319.766	561.6
320.16	575.4
320.553	581.8
320.947	575.6
321.341	558
321.735	562.8
322.129	546
322.523	579.6
322.917	558.8
323.311	577.6
323.705	568.6
324.099	566
324.494	574.4
324.888	575.8
325.282	556.8
325.677	575.4
326.071	569.4
326.466	577
326.861	561
327.255	575.4
327.65	583.2
328.045	582.8
328.44	562
328.835	566.4
329.23	562.8
329.625	583.2
330.02	556
330.415	579.6
330.81	569.8
331.206	566
331.601	555.6
331.996	571
332.37	580
332.766	557.6
333.161	583
333.557	562.2
333.953	563.8
334.348	838.8
334.744	559
335.14	547.6
335.536	553.8
335.932	572.8
336.328	560.4
336.724	571.8
337.12	563
337.516	567.6
337.913	566.8
338.309	569.6
338.705	555.4
339.102	578
339.498	555.2
339.895	570.8
340.291	564.4
340.688	577.8
341.085	557.2
341.481	552.4
341.878	560.8
342.275	582
342.672	553.4
343.069	561.2
343.466	552
343.842	577.8
344.239	555.4
344.636	558.4
345.033	557
345.431	555.6
345.828	561.2
346.225	556.4
346.623	595.8
347.02	559.2
347.418	571.4
347.816	574.6
348.213	549.8
348.611	559.2
349.009	558
349.407	558.6
349.805	560.2
350.203	545.4
350.601	572.4
350.999	562
351.397	620
351.795	561.4
352.193	565.6
352.57	563.4
352.969	569.8
353.367	547.2
353.766	560.2
354.164	566
354.563	568
354.961	557.8
355.36	559.6
355.759	556.8
356.158	554.8
356.557	555.2
356.956	554.2
357.355	551.8
357.754	566.6
358.153	566.6
358.552	581.2
358.951	564.2
359.35	575.8
359.75	553.2
360.149	556.4
360.527	550.4
360.926	548
361.326	553.4
361.726	558.6
362.125	550
362.525	568.8
362.925	561
363.325	561.6
363.724	557.8
364.124	548
364.524	554.2
364.924	558.4
365.324	568.6
365.725	543.4
366.125	556.4
366.525	557.4
366.904	547.6
367.304	542.2
367.705	567.2
368.105	570.6
368.506	557.8
368.906	554.8
369.307	553.4
369.708	559.2
370.108	549.8
370.509	562.4
370.91	554.8
371.311	560.2
371.712	562.6
372.113	559.4
372.514	549.2
372.894	563.6
373.295	553.6
373.696	559.4
374.097	555.2
374.499	583.6
374.9	555
375.301	551
375.703	556.4
376.105	544.6
376.506	559.2
376.908	565.8
377.309	558.2
377.711	552.8
378.113	555.2
378.493	563.2
378.895	546
379.297	570.8
379.699	536.6
380.102	559
380.504	553
380.906	540.8
381.308	588.2
381.71	557.2
382.113	568.2
382.515	554.8
382.918	552.8
383.299	559.4
383.701	570.8
384.104	556.2
384.507	533
384.909	551
385.312	548.2
385.715	544.2
386.118	558.4
386.521	542
386.924	562.4
387.327	553
387.709	540.8
388.112	543.6
388.515	556.4
388.918	546.4
389.322	561.2
389.725	542
390.129	577.8
390.532	555.6
390.936	550.4
391.339	548.8
391.743	554.2
392.125	550.4
392.529	559.8
392.933	571
393.337	557.2
393.74	553
394.144	552.8
394.548	547.4
394.953	550.6
395.357	553
395.761	550.6
396.144	558
396.548	549.8
396.952	554.6
397.357	558.2
397.761	550.4
398.166	545.8
398.57	548.6
398.975	543.6
399.379	556.4
399.763	587.8
400.168	548.6
400.572	554.6
400.977	542.4
401.382	566.2
401.787	563.6
402.192	572.4
402.597	570.6
403.002	547.8
403.386	564.2
403.791	576.2
404.197	546.4
404.602	551
405.007	551.6
405.413	546.6
405.818	552
406.224	547.4
406.608	549.8
407.014	546.6
407.42	565.2
407.825	543.8
408.231	558.8
408.637	557
409.043	562.6
409.449	553.2
409.834	544
410.24	552.2
410.646	559.2
411.052	561.4
411.458	552.6
411.865	560.8
412.271	557
412.677	559.2
413.062	563.4
413.469	546.2
413.875	578.4
414.282	561.4
414.689	558.6
415.095	553
415.502	556.4
415.888	547.6
416.294	537
416.701	589.6
417.108	545.2
417.515	563.8
417.923	549.8
418.33	562.8
418.715	558.6
419.123	551.4
419.53	555
419.937	553
420.345	565.6
420.752	547
421.16	574.2
421.546	553.2
421.953	567.6
422.361	546.4
422.769	555
423.177	551.4
423.585	581.8
423.992	583
424.379	571.4
424.787	561
425.195	570.4
425.603	560.8
426.011	565.2
426.419	573.8
426.806	565
427.214	560.2
427.623	567
428.031	575.4
428.44	565
428.848	573.6
429.235	576.4
429.644	562.6
430.053	566.8
430.461	574
430.87	577.6
431.279	564.4
431.666	550.6
432.075	564
432.484	564.6
432.893	558.4
433.302	576.8
433.711	590.8
434.099	560.4
434.508	553.2
434.918	545.8
435.327	562
435.737	559.4
436.125	561.8
436.534	556.8
436.944	565
437.353	556.6
437.763	575.6
438.173	558.4
438.561	563.6
438.971	545.2
439.381	550.8
439.791	559.6
440.201	537.2
440.589	562.8
440.999	557
441.409	558.8
441.819	543.6
442.23	572.2
442.619	571.2
443.029	559.8
443.439	561.4
443.85	572.8
444.26	566.8
444.649	556.4
445.06	558.8
445.471	554
445.881	557.8
446.292	567
446.682	580.4
447.092	545.6
447.503	594.8
447.914	562.6
448.325	553.4
448.715	558.8
449.126	547.6
449.537	544
449.948	555.6
450.338	553.6
450.75	567
451.161	548.6
451.572	569
451.984	543
452.374	543.8
452.786	553
453.197	554.2
453.609	563.4
453.999	548
454.411	547.2
454.823	565.4
455.235	554
455.647	546.4
456.037	557
456.449	538
456.862	554.8
457.274	547.4
457.665	540.8
458.077	557
458.489	577.8
458.902	544.4
459.293	554.6
459.705	551.6
460.118	555.8
460.53	549
460.921	553.4
461.334	555
461.747	550
462.16	561
462.551	560.6
462.964	553
463.377	543.2
463.79	546
464.182	559.8
464.595	545
465.008	555
465.421	549
465.813	540.8
466.226	555.6
466.64	540
467.053	593.8
467.445	555.6
467.859	569.4
468.272	550.4
468.686	560
469.078	545.6
469.492	534.6
469.906	550
470.298	553.8
470.712	546.6
471.126	567.2
471.54	545.4
471.933	544.2
472.347	551.4
472.761	547.6
473.175	548.6
473.568	542.6
473.982	535
474.397	543.6
474.79	548.4
475.204	556.6
475.619	545.2
476.033	555.6
476.426	546.2
476.841	545.4
477.256	566.2
477.649	542.4
478.064	539.2
478.479	544.6
478.872	542.2
479.287	533.4
479.702	544
480.118	548.6
