#lambda/nm	DC	C1
208.295	471	472.4
208.67	433.4	432.6
209.045	392	392.6
209.419	397.6	400.2
209.794	562.6	569.8
210.169	555.6	545.8
210.544	669.6	670
210.919	569.8	572.6
211.295	566	556.4
211.67	568.8	570.6
212.045	557.2	566.2
212.421	578.8	555.4
212.796	600	602.2
213.172	563.2	561.4
213.547	562.2	563.4
213.923	567.6	561.8
214.299	567	566.6
214.675	573.4	576.8
215.051	564.2	576
215.427	572.4	581.4
215.803	587.6	591.4
216.179	577.2	572
216.555	560.6	561.8
216.932	574.6	570.8
217.308	563.2	573
217.684	570	567.2
218.061	572.6	573.6
218.438	577	576.8
218.814	564.8	565.4
219.191	577	579.6
219.568	564.8	562
219.945	562.2	567.6
220.322	572.6	574.6
220.699	569.2	567.2
221.076	571.4	570.2
221.453	574.6	570
221.83	565.8	565.4
222.208	559	565
222.585	552.6	570.2
222.962	567.2	569.8
223.34	565.6	570.2
223.717	562.6	569
224.095	555	568
224.473	568.6	568.4
224.851	565.4	564.4
225.229	560	563
225.607	577.4	583.6
225.985	562.4	558.2
226.363	566.4	559.2
226.741	566.8	563.6
227.119	571.4	568.4
227.497	581.6	575.8
227.876	554.4	554.8
228.254	580.6	578.6
228.633	573.8	572
229.011	573.2	570
229.39	569.6	569.8
229.769	566.6	564
230.148	576.4	571.8
230.527	580.8	586
230.905	567.4	571.8
231.284	568.2	571.2
231.664	557.4	562
232.043	585	582.2
232.422	568.8	571.8
232.801	562.4	563
233.181	569.2	569
233.56	562.4	562.8
233.94	563	573.6
234.319	554.4	558.6
234.699	561.4	565.6
235.079	607	608
235.458	596.8	607.8
235.838	574.6	584.8
236.218	556.8	563
236.598	546.4	560.8
236.978	560.6	560.2
237.358	557	562
237.738	569.2	566.2
238.119	573.8	573.8
238.499	555.4	565.4
238.88	567.6	561.6
239.26	584	582.2
239.641	554.8	555.4
240.021	561.2	566.8
240.402	566	559
240.783	565.2	559.6
241.163	562.6	560.8
241.544	568	567.6
241.925	572.2	571
242.306	569.8	583.2
242.687	559.2	565.8
243.069	566	574
243.45	568.8	573
243.831	559	561.8
244.212	566.8	567.4
244.594	599.4	594.6
244.975	571.2	577.4
245.357	565.8	568.4
245.739	570.8	565.6
246.12	564.6	569.6
246.502	577.6	582.4
246.884	562.2	566.6
247.266	566.8	561.2
247.648	562	568.4
248.03	586	589
248.412	570.2	561.8
248.794	569	566.8
249.176	557.6	566.8
249.559	572.6	567.2
249.941	567	569.6
250.323	557.2	560.4
250.706	561.2	562.8
251.089	565	569.4
251.471	575.8	565.6
251.854	563.4	574
252.237	570.2	568.8
252.62	579.4	577.8
253.002	568.2	562.6
253.385	569.2	566.2
253.769	577.2	587.2
254.152	565.8	567.4
254.535	570	574.4
254.918	566.8	568
255.301	567.2	563.6
255.685	562.6	566.6
256.068	559.8	562.4
256.452	590	588.4
256.835	584.8	575
257.219	575	570.6
257.603	585.2	580.8
257.986	564.2	561.2
258.37	569.2	568.8
258.754	558.6	560.4
259.138	564.6	572.2
259.522	575.8	573.4
259.906	565.8	568
260.29	564.2	577
260.675	567	554
261.059	574	566.6
261.443	555.4	550.6
261.828	574.4	566.6
262.212	574.2	566.2
262.597	560.8	551.6
262.981	567.8	553.6
263.366	569.4	566.6
263.751	579.4	563.8
264.136	556.8	555
264.521	570.4	563
264.906	567	553.2
265.291	575.6	570.4
265.676	566.6	554.2
266.061	570	571
266.446	591.8	574.8
266.831	568.8	562
267.217	582.8	574.4
267.602	574.8	570.4
