#lambda/nm	DC	C1
208.295	471.8	472.2
208.67	430.2	434.4
209.045	392.6	395.2
209.419	397.4	398.4
209.794	565.4	563.2
210.169	571.2	560.4
210.544	700.2	698.6
210.919	607.6	602.6
211.295	598.8	597.8
211.67	604.4	604.2
212.045	599.2	594.6
212.421	606.2	612
212.796	645	641.4
213.172	590.2	600
213.547	603.2	613
213.923	600.6	601
214.299	601.6	598.2
214.675	613.8	620.2
215.051	607	617.8
215.427	623	610.8
215.803	625.2	636
216.179	626.4	612.8
216.555	611.6	603
216.932	630	636.6
217.308	621.6	627.4
217.684	617.4	622.4
218.061	625.6	632.8
218.438	630.4	625.6
218.814	627.4	624
219.191	645.4	644.8
219.568	628.2	639.2
219.945	638.8	629.2
220.322	649	640.6
220.699	642	649
221.076	652.4	639.2
221.453	654	647.2
221.83	640.6	649.8
222.208	652.4	642.6
222.585	653.8	650.4
222.962	657	641.2
223.34	659.2	662.4
223.717	646.2	651.4
224.095	646.4	651
224.473	665.6	660.6
224.851	654.2	647.2
225.229	655	662
225.607	672.8	677.4
225.985	655.8	651.2
226.363	664.8	667.2
226.741	670.6	664
227.119	668.8	668
227.497	692.4	682.6
227.876	670.6	669.2
228.254	690.2	684.4
228.633	675.6	680.2
229.011	683.2	682
229.39	682.6	684.8
229.769	686.4	691.8
230.148	692.4	695.6
230.527	715.6	708.8
230.905	683.2	697.8
231.284	697	699.4
231.664	695	696.4
232.043	709.6	711.8
232.422	705.8	711.6
232.801	700	707.8
233.181	711.2	714
233.56	708.8	715.2
233.94	716.2	721.8
234.319	710.8	711.2
234.699	725.8	719.4
235.079	767.2	776.2
235.458	775.8	774.4
235.838	755.6	753.4
236.218	741.2	743.2
236.598	744.6	745.2
236.978	749.2	748.8
237.358	745	743.4
237.738	749.2	744.2
238.119	774.6	774.8
238.499	742.8	751
238.88	770.6	768
239.26	783.6	778
239.641	761	750
240.021	764	774.6
240.402	780.8	793.4
240.783	772.8	784
241.163	788.4	780.8
241.544	790.4	799.2
241.925	780.4	779.4
242.306	792.2	804.6
242.687	791.4	788.2
243.069	780	774.6
243.45	779.6	788
243.831	775.6	771.4
244.212	773.2	784
244.594	809.2	804
244.975	780.6	789.4
245.357	774.2	765.6
245.739	758.8	755.8
246.12	747.2	752
246.502	761	749.4
246.884	726.2	735.4
247.266	720.2	725.2
247.648	722	724.2
248.03	734.6	736.4
248.412	716.2	709.6
248.794	715.6	712.4
249.176	701.2	698
249.559	699.6	700.8
249.941	681.2	675
250.323	676.4	679.2
250.706	678.4	673.6
251.089	673.4	668.2
251.471	672.6	669.8
251.854	662.8	664
252.237	657	661
252.62	665.2	665.8
253.002	647.4	652.2
253.385	637.2	644
253.769	655.6	661.6
254.152	643.6	629.6
254.535	641.8	643.2
254.918	613.6	616.6
255.301	630.4	627.2
255.685	626	625.6
256.068	620.2	610.4
256.452	641	638.6
256.835	620.8	628.6
257.219	620.6	620
257.603	628.4	625.4
257.986	610	607
258.37	612.8	613.8
258.754	603	603
259.138	615.8	620.8
259.522	620	620.2
259.906	608.6	616.8
260.29	610.8	612
260.675	606	598.6
261.059	615.8	610.4
261.443	603.8	606.8
261.828	615	611.6
262.212	613	620
262.597	607.6	597.8
262.981	607.8	608.6
263.366	615.8	605.4
263.751	612.8	607.6
264.136	602.4	602.8
264.521	610.4	603.6
264.906	596.4	602.2
265.291	618.4	613.8
265.676	604.6	602.4
266.061	626.4	616.4
266.446	620	623.8
266.831	605.2	603.2
267.217	626.6	633
267.602	607.8	612.6
267.987	606	611
268.373	601.2	603.4
268.759	616.8	619
269.144	615	611.6
269.53	609.8	602.4
269.916	602.6	605
270.302	612.4	595.6
270.688	613.2	609.4
271.074	613.6	612
271.46	618.2	616.4
271.846	636	639.2
272.232	608	607.6
272.618	601	611.2
273.004	607.4	604.4
273.391	620.2	622.8
273.777	622.4	621
274.164	611.4	611.8
274.55	627.2	619
274.937	604.8	613.6
275.324	608.2	612.8
275.71	612.2	619.2
276.097	614.2	602.6
276.484	592.2	607.4
276.871	606.4	609.4
277.258	607	604.4
277.645	603.2	597.4
278.032	605.4	608
278.419	603.4	600.6
278.807	612.8	599.8
279.194	604.2	601
279.581	599.6	614.2
279.969	615.2	623.4
280.356	606.4	605.8
280.744	606.6	610.6
281.131	641.4	622.4
281.519	613.4	625.4
281.907	602	619.2
282.295	609.4	611.6
282.682	617.8	621
283.07	614.4	616.8
283.458	619.8	609.2
283.846	611.6	619
284.235	622	622.2
284.623	625	613.4
285.011	597.4	598.8
285.399	615.2	622.6
285.788	618.4	605.4
286.176	606.6	604
286.565	625.6	622.6
286.953	609.2	598.2
287.342	605.6	607.2
287.731	606.6	597.8
288.119	592.4	592.2
288.508	610.6	602.4
288.897	605.4	609.6
289.286	592	598.4
289.675	612.2	607.6
290.064	615.6	619.6
290.453	607.8	598
290.821	603	606.4
291.21	618.2	624.8
291.599	611	610
291.989	607	606.8
292.378	618.8	619.4
292.768	627	639.4
293.157	606	616.6
293.547	611	616.4
293.936	605.2	609
