#lambda/nm	C1
208.295	479.2
208.67	433.8
209.045	396.8
209.419	402.2
209.794	562.8
210.169	553.4
210.544	676.2
210.919	568
211.295	570.6
211.67	573.6
212.045	566
212.421	567.8
212.796	608.8
213.172	563.4
213.547	561.6
213.923	560.8
214.299	565.4
214.675	580.4
215.051	577.4
215.427	579.4
215.803	585.6
216.179	573
216.555	562.4
216.932	571.8
217.308	571.2
217.684	571.2
218.061	580.4
218.438	577
218.814	563.6
219.191	577
219.568	563.4
219.945	562.2
220.322	568
220.699	574.8
221.076	580.8
221.453	576.8
221.83	576.8
222.208	568.8
222.585	573
222.962	566.6
223.34	574.4
223.717	576.2
224.095	564.4
224.473	570.8
224.851	561.2
225.229	562.6
225.607	582.8
225.985	557.8
226.363	573
226.741	565.6
227.119	571.6
227.497	578.8
227.876	552
228.254	578.2
228.633	576.4
229.011	572.4
229.39	575.6
229.769	574
230.148	571.2
230.527	588
230.905	573.2
231.284	571.6
231.664	566
232.043	588.4
232.422	581
232.801	566
233.181	575.2
233.56	565.8
233.94	572.4
234.319	550.4
234.699	568.4
235.079	602.6
235.458	608.6
235.838	585
236.218	564.6
236.598	550.8
236.978	559
237.358	560
237.738	563.8
238.119	568.8
238.499	556
238.88	575.6
239.26	584.4
239.641	562.6
240.021	563
240.402	570.4
240.783	567.8
241.163	575.6
241.544	574.6
241.925	572.4
242.306	582.6
242.687	570
243.069	576.8
243.45	579.4
243.831	572.4
244.212	566.8
244.594	611.6
244.975	583.2
245.357	580.8
245.739	564
246.12	572
246.502	587.2
246.884	564.8
247.266	570.6
247.648	579.2
248.03	589
248.412	583.2
248.794	574.4
249.176	566.2
249.559	580.2
249.941	567.2
250.323	565.2
250.706	564.2
251.089	572.2
251.471	573
251.854	568.8
252.237	569.2
252.62	574.4
253.002	566.8
253.385	575.8
253.769	585.6
254.152	562.8
254.535	580
254.918	559
255.301	570.6
255.685	565.2
256.068	559.2
256.452	590.4
256.835	581
257.219	574.6
257.603	576.2
257.986	562.2
258.37	575.4
258.754	557.2
259.138	582.4
259.522	583.4
259.906	569.2
260.29	572.6
260.675	564.8
261.059	576.6
261.443	559.6
261.828	573.2
262.212	579
262.597	564.6
262.981	575
263.366	573.4
263.751	576.8
264.136	565.8
264.521	567
264.906	566.2
265.291	587.4
265.676	570.2
266.061	584.8
266.446	591.8
266.831	570.8
267.217	582
267.602	577.6
267.987	579.6
268.373	564.6
268.759	583.6
269.144	575.8
269.53	568.6
269.916	567.4
270.302	573
270.688	576.6
271.074	572
271.46	581.4
271.846	605.4
272.232	567.4
272.618	559.6
273.004	568.2
273.391	581
273.777	584.8
274.164	574.8
274.55	582
274.937	571
275.324	566.2
275.71	578.8
276.097	572.4
276.484	564.8
276.871	572.6
277.258	573.8
277.645	561.8
278.032	576
278.419	562.8
278.807	577.2
279.194	560.6
279.581	563.8
279.969	570.8
280.356	577.2
280.744	570
281.131	597.2
281.519	592.4
281.907	565.8
282.295	570.2
282.682	579.8
283.07	574.6
283.458	569.8
283.846	584
284.235	581.6
284.623	579.8
285.011	565.2
285.399	582.2
285.788	573.4
286.176	563.2
286.565	585
286.953	567.8
287.342	567.8
287.731	564.8
288.119	565.6
288.508	563.8
288.897	571.8
289.286	564.2
289.675	574.8
290.064	580.2
290.453	572.4
290.821	577.6
291.21	586.8
291.599	565
291.989	568.6
292.378	572.4
292.768	587.8
293.157	566.2
293.547	581
293.936	568.8
294.326	563.4
294.716	576.8
295.106	563
295.496	579
295.886	574
296.276	557.8
296.666	557
297.056	570
297.446	562.4
297.836	581.2
298.227	563.6
298.617	574
299.008	580.8
299.398	569.4
299.789	568.6
300.179	575.8
300.57	584
300.961	561.2
301.352	557.2
301.742	577.4
302.133	574.8
302.524	574.4
302.915	576.4
303.307	567.2
303.698	586.8
304.089	585.6
304.48	564.2
304.872	572.4
305.263	566
305.655	566.4
306.046	581.2
306.438	572.8
306.829	561.4
307.221	587.4
307.613	577.6
308.005	583.4
308.397	582.2
308.789	591
309.181	602.6
309.573	587.4
309.965	588.8
310.357	574.4
310.749	580.6
311.142	567.2
311.534	578.8
311.926	572.4
312.319	574.8
312.711	571.2
313.104	587.2
313.497	570.8
313.889	613
314.282	589.8
314.675	602
315.068	567.6
315.461	570.4
315.854	602.2
316.247	581.2
316.64	569.6
317.033	570.2
317.405	572
317.798	572.4
318.192	576
318.585	567
318.979	584.2
319.372	564.4
319.766	580
320.16	582.4
320.553	581
320.947	593.4
321.341	568.4
321.735	575
322.129	564.6
322.523	591.6
322.917	561.8
323.311	582.8
323.705	555.4
324.099	582.4
324.494	584.4
324.888	584.8
325.282	562.8
325.677	585.6
326.071	575.4
326.466	585.6
326.861	571.4
327.255	580.4
327.65	583.8
328.045	586.2
328.44	571.8
328.835	569.4
329.23	572
329.625	597.4
330.02	569.8
330.415	601.6
330.81	571.4
331.206	569.4
331.601	565.2
331.996	576.4
332.37	589.4
332.766	566.8
333.161	589
333.557	574.4
333.953	575
334.348	844.6
334.744	563.2
335.14	569.6
335.536	570.2
335.932	584.4
336.328	571
336.724	583.4
337.12	572.2
337.516	575.8
337.913	567.4
338.309	588.4
338.705	568.8
339.102	579.8
339.498	574.6
339.895	586
340.291	566.2
340.688	581.8
341.085	567.2
341.481	572.6
341.878	573.2
342.275	587.2
342.672	566.6
343.069	565.6
343.466	557
343.842	584.8
344.239	561
344.636	579.8
345.033	565.8
345.431	563.8
345.828	565.4
346.225	566.6
346.623	606.6
347.02	563.6
347.418	583.6
347.816	587.6
348.213	562.6
348.611	572.6
349.009	572.4
349.407	583.4
349.805	553.6
350.203	557.2
350.601	576.8
350.999	563.8
351.397	617.2
351.795	564.8
352.193	572.6
352.57	575.2
352.969	588.6
353.367	560
353.766	560
354.164	565
354.563	573.8
354.961	563.4
355.36	566.2
355.759	568.6
356.158	562
356.557	557.2
356.956	561
357.355	560.4
357.754	576
358.153	572.2
358.552	594.6
358.951	559.8
359.35	577.6
359.75	568.4
360.149	570.8
360.527	556
360.926	558.6
361.326	570
361.726	561.8
362.125	569.2
362.525	574.4
362.925	564
363.325	568.2
363.724	567.6
364.124	564.6
364.524	562.2
364.924	568.2
365.324	575.4
365.725	554.8
366.125	568.4
366.525	568.4
366.904	564
367.304	552
367.705	578.8
368.105	571.8
368.506	562
368.906	571.6
369.307	560
369.708	571.8
370.108	550.2
370.509	574.2
370.91	556.4
371.311	568.4
371.712	561.8
372.113	567
372.514	558
372.894	559.2
373.295	563.6
373.696	578.8
374.097	574.8
374.499	594.6
374.9	567.4
375.301	560.4
375.703	570.4
376.105	561
376.506	573.2
376.908	570
377.309	566.2
377.711	570.4
378.113	562.4
378.493	565
378.895	562
379.297	580.8
379.699	552.8
380.102	565.2
380.504	567.2
380.906	559.4
381.308	597.6
381.71	565.6
382.113	570.6
382.515	558.6
382.918	559.6
383.299	567.8
383.701	568.2
384.104	570.4
384.507	546.8
384.909	562.2
385.312	558.2
385.715	558.2
386.118	562.8
386.521	551.8
386.924	567
387.327	554.4
387.709	548
388.112	548.8
388.515	561.4
388.918	573.8
389.322	567.4
389.725	554
390.129	587.2
390.532	571.4
390.936	565.2
391.339	554.4
391.743	565
392.125	565.8
392.529	572.8
392.933	574
393.337	566.6
393.74	562.4
394.144	560.6
394.548	558.6
394.953	565.6
395.357	567.4
395.761	556.6
396.144	568
396.548	559.8
396.952	561.8
397.357	573.6
397.761	551.6
398.166	558.2
398.57	562.2
398.975	559.2
399.379	562.4
399.763	618
400.168	565.8
400.572	570.4
400.977	567.4
401.382	577.4
401.787	574.8
402.192	579
402.597	577.8
403.002	553.8
403.386	582.4
403.791	574
404.197	559
404.602	558.6
405.007	568.4
405.413	558.8
405.818	564.8
406.224	558.2
406.608	567.4
407.014	564.6
407.42	576.8
407.825	560.6
408.231	567.4
408.637	575.6
409.043	577.4
409.449	566
409.834	557
410.24	566.4
410.646	572.8
411.052	573
411.458	564.6
411.865	571.8
412.271	568.6
412.677	568.4
413.062	564
413.469	556
413.875	587.6
414.282	580.2
414.689	573.8
415.095	571.4
415.502	567.6
415.888	562.4
416.294	547.8
416.701	605
417.108	553.4
417.515	563.2
417.923	559.2
418.33	588
418.715	572.6
419.123	562.6
419.53	556.4
419.937	566.4
420.345	576.2
420.752	555.4
421.16	580
421.546	562.4
421.953	581.6
422.361	559.8
422.769	563.2
423.177	553.8
423.585	579.8
423.992	586.4
424.379	573.4
424.787	580.2
425.195	588
425.603	560.4
426.011	583
426.419	579.4
426.806	573.6
427.214	570
427.623	579.4
428.031	585.6
428.44	574.8
428.848	573.2
429.235	578
429.644	578.2
430.053	571
430.461	593.6
430.87	599.6
431.279	592.6
431.666	581.8
432.075	584
432.484	585.8
432.893	589.6
433.302	610.6
433.711	629
434.099	606
434.508	614.4
434.918	609.8
435.327	638.4
435.737	640.2
436.125	649.2
436.534	651.2
436.944	658.6
437.353	674
437.763	687.2
438.173	661
438.561	686.2
438.971	669.4
439.381	712
439.791	698.8
440.201	685
440.589	703.6
440.999	724.8
441.409	711.8
441.819	717.4
442.23	735.2
442.619	739
443.029	742.8
443.439	736.8
443.85	749
444.26	764.4
444.649	765.2
445.06	767.2
445.471	761.6
445.881	766.2
446.292	780.6
446.682	785.8
447.092	751.2
447.503	819.6
447.914	779.2
448.325	781.6
448.715	785.4
449.126	773.2
449.537	786.6
449.948	781.2
450.338	784.2
450.75	793.4
451.161	790.8
451.572	796.8
451.984	784.4
452.374	774.4
452.786	788.2
453.197	790.6
453.609	801.4
453.999	786.6
454.411	790.4
454.823	799.2
455.235	795.2
455.647	783.4
456.037	806
456.449	782.6
456.862	810.4
457.274	799.2
457.665	789.8
458.077	812
458.489	819.8
458.902	802
459.293	806.6
459.705	797.6
460.118	793.4
460.53	806
460.921	806.8
461.334	811.4
461.747	810
462.16	824
462.551	825.2
462.964	810.4
463.377	793.8
