#lambda/nm	C1
208.295	478.8
208.67	435.8
209.045	395.8
209.419	392.4
209.794	566.6
210.169	546.2
210.544	666.4
210.919	574.8
211.295	567
211.67	578.8
212.045	573.6
212.421	569.6
212.796	604.8
213.172	573
213.547	568.2
213.923	570.6
214.299	564.6
214.675	573.6
215.051	576.2
215.427	582
215.803	590.8
216.179	579.4
216.555	563.8
216.932	577.8
217.308	578.2
217.684	579.2
218.061	581
218.438	574.4
218.814	569
219.191	580.4
219.568	568.2
219.945	562.6
220.322	580.4
220.699	569.4
221.076	583
221.453	574
221.83	572
222.208	572.4
222.585	563.2
222.962	575
223.34	582.2
223.717	570.8
224.095	565
224.473	578.2
224.851	567.8
225.229	566.6
225.607	589.6
225.985	566.4
226.363	585.4
226.741	577.4
227.119	566.6
227.497	587.6
227.876	568
228.254	581.2
228.633	568.8
229.011	579.2
229.39	582.8
229.769	581
230.148	574.2
230.527	592.4
230.905	572.4
231.284	575.2
231.664	566.2
232.043	577.6
232.422	588
232.801	569
233.181	574.8
233.56	584.8
233.94	568.6
234.319	564
234.699	569.6
235.079	604.2
235.458	604.8
235.838	584.6
236.218	561.8
236.598	563.6
236.978	566.8
237.358	569
237.738	570.8
238.119	579.8
238.499	569
238.88	566.6
239.26	589.6
239.641	566
240.021	569.2
240.402	573.8
240.783	567.2
241.163	572
241.544	580
241.925	570.4
242.306	583.8
242.687	579.6
243.069	575.8
243.45	587.2
243.831	572.2
244.212	573.4
244.594	600.2
244.975	576.4
245.357	578.4
245.739	568.2
246.12	576.2
246.502	594
246.884	570.4
247.266	569
247.648	571.8
248.03	589.2
248.412	571.6
248.794	586.2
249.176	570.2
249.559	583.8
249.941	565.2
250.323	568.2
250.706	568.6
251.089	576
251.471	569
251.854	572.4
252.237	576.2
252.62	572
253.002	580
253.385	578.4
253.769	591.6
254.152	575.8
254.535	576.8
254.918	561.8
255.301	569.8
255.685	568.4
256.068	562.2
256.452	599.6
256.835	586.6
257.219	581.8
257.603	586
257.986	566
258.37	577.2
258.754	560.6
259.138	580.2
259.522	574.2
259.906	572.8
260.29	570.6
260.675	563.6
261.059	576
261.443	561.4
261.828	579
262.212	577.6
262.597	565.8
262.981	574.8
263.366	577.6
263.751	569.4
264.136	562.6
264.521	568.8
264.906	572
265.291	571.8
265.676	574.8
266.061	575.2
266.446	584.4
266.831	575.8
267.217	592.4
267.602	574
267.987	577
268.373	567.4
268.759	584.8
269.144	572.4
269.53	583.8
269.916	573.4
270.302	575.8
270.688	580.6
271.074	576
271.46	587.8
271.846	590.6
272.232	577.4
272.618	570.4
273.004	571
273.391	583
273.777	588.4
274.164	576.8
274.55	580.2
274.937	576
275.324	568.8
275.71	572
276.097	580
276.484	560.8
276.871	578.4
277.258	568.4
277.645	568.6
278.032	570.4
278.419	564.6
278.807	573
279.194	557.2
279.581	557.4
279.969	572.4
280.356	567.6
280.744	567.4
281.131	596.4
281.519	576
281.907	565
282.295	564.6
282.682	579.8
283.07	573.4
283.458	584
283.846	579.2
284.235	574.2
284.623	573
285.011	556.4
285.399	574
285.788	573
286.176	565.8
286.565	576
286.953	559.4
287.342	570
287.731	566.8
288.119	560
288.508	568
288.897	573.4
289.286	560.2
289.675	566.4
290.064	584.4
290.453	565.2
290.821	569.2
291.21	583.8
291.599	574
291.989	574
292.378	579.6
292.768	590.6
293.157	577.6
293.547	580.2
293.936	573.4
294.326	568.4
294.716	572.4
295.106	570.6
295.496	577.8
295.886	585
296.276	574.4
296.666	567.2
297.056	572
297.446	565.4
297.836	587.4
298.227	569.4
298.617	579.8
299.008	586.8
299.398	564.2
299.789	570.2
300.179	574
300.57	591.4
300.961	570.6
301.352	575
301.742	579.4
302.133	581
302.524	574.8
302.915	580.8
303.307	567.6
303.698	583.8
304.089	578
304.48	566.4
304.872	585.2
305.263	574.6
305.655	579.4
306.046	580.4
306.438	577.6
306.829	569
307.221	585.4
307.613	581.2
308.005	585.4
308.397	584.6
308.789	593.2
309.181	595.4
309.573	593.2
309.965	588.8
310.357	569.2
310.749	575.6
311.142	561.2
311.534	560.6
311.926	575.6
312.319	574.6
312.711	558
313.104	582.8
313.497	571.4
313.889	615.2
314.282	586.2
314.675	592.2
315.068	580
315.461	593.6
315.854	597
316.247	579.6
316.64	577.4
317.033	573.2
317.405	579
317.798	574
318.192	582.8
318.585	573
318.979	575.8
319.372	566.4
319.766	569
320.16	583
320.553	594.8
320.947	598.2
321.341	580.2
321.735	572.8
322.129	562.4
322.523	595.6
322.917	565
323.311	583.4
323.705	579.4
324.099	584.6
324.494	591.6
324.888	592.6
325.282	568.4
325.677	589.4
326.071	578
326.466	588.8
326.861	584.4
327.255	591.8
327.65	593.4
328.045	597
328.44	577.4
328.835	579.2
329.23	574.4
329.625	592.4
330.02	568
330.415	596.2
330.81	580.8
331.206	583.6
331.601	575
331.996	583.6
332.37	592.6
332.766	569.2
333.161	597.2
333.557	576.6
333.953	580
334.348	863.2
334.744	578.8
335.14	564.2
335.536	571.2
335.932	584.4
336.328	574.6
336.724	580.6
337.12	575.8
337.516	578.4
337.913	574.6
338.309	594.6
338.705	579
