#lambda/nm	C1
208.295	475.6
208.67	438.2
209.045	398.6
209.419	406.6
209.794	571.4
210.169	552.2
210.544	667.6
210.919	575.2
211.295	559.6
211.67	569.8
212.045	569.6
212.421	566.4
212.796	600
213.172	566
213.547	570
213.923	564.8
214.299	564.4
214.675	572.8
215.051	564
215.427	575
215.803	592.2
216.179	580.6
216.555	567.2
216.932	584.8
217.308	575
217.684	569.8
218.061	578
218.438	575.2
218.814	564.8
219.191	579
219.568	566
219.945	566.8
220.322	583
220.699	576.8
221.076	577.4
221.453	575.4
221.83	566.8
222.208	566.6
222.585	569.2
222.962	577.8
223.34	583
223.717	569.6
224.095	566.4
224.473	568
224.851	559.6
225.229	563.2
225.607	596.6
225.985	556.8
226.363	573.8
226.741	572.8
227.119	574.4
227.497	583.6
227.876	568.4
228.254	574.8
228.633	579.8
229.011	581.2
229.39	576.2
229.769	572.2
230.148	581.8
230.527	583.2
230.905	561
231.284	564
231.664	560.2
232.043	577.2
232.422	566.4
232.801	567
233.181	570.2
233.56	562.2
233.94	563.2
234.319	558.6
234.699	560.6
235.079	605.8
235.458	599.4
235.838	583.8
236.218	556.8
236.598	552.6
236.978	565.4
237.358	565.2
237.738	561
238.119	573.8
238.499	556
238.88	569
239.26	589
239.641	557.8
240.021	562.8
240.402	575.4
240.783	569.8
241.163	569.8
241.544	569.6
241.925	573
242.306	580.2
242.687	572.6
243.069	570.2
243.45	573
243.831	569.2
244.212	569
244.594	610.4
244.975	576
245.357	576.4
245.739	567.8
246.12	572.2
246.502	577.6
246.884	562.6
247.266	570
247.648	577
248.03	588.4
248.412	575.8
248.794	576.6
249.176	558.8
249.559	578
249.941	552.6
250.323	560.8
250.706	563.4
251.089	572.4
251.471	574.8
251.854	577
252.237	577.2
252.62	572.4
253.002	566.8
253.385	570.6
253.769	586.6
254.152	575.8
254.535	578.8
254.918	561.2
255.301	576.4
255.685	573
256.068	564.2
256.452	591.4
256.835	569.6
257.219	585.8
257.603	584.6
257.986	563.8
258.37	572.8
258.754	558.2
259.138	586.2
259.522	578.8
259.906	565.4
260.29	573.8
260.675	569.2
261.059	569.2
261.443	563.6
261.828	572.8
262.212	570.6
262.597	560.6
262.981	557.2
263.366	572.6
263.751	569.2
264.136	563.2
264.521	563.4
264.906	563.8
265.291	578.2
265.676	566.4
266.061	570
266.446	590.6
266.831	572.6
267.217	588
267.602	576
267.987	565
268.373	565.6
268.759	582.2
269.144	579.2
269.53	572.4
269.916	571
270.302	564.4
270.688	575.4
271.074	573.6
271.46	576.6
271.846	597.2
272.232	574.6
272.618	564.4
273.004	576.8
273.391	585.2
273.777	591
274.164	580.4
274.55	580.6
274.937	577.8
275.324	565.8
275.71	583.4
276.097	582
276.484	565.8
276.871	574.6
277.258	568
277.645	566.6
278.032	569.2
278.419	564
278.807	574
279.194	564.4
279.581	557.2
279.969	568.2
280.356	565
280.744	573.2
281.131	591.6
281.519	574.4
281.907	571.2
282.295	569.2
282.682	580.4
283.07	576
283.458	577.2
283.846	576
284.235	580
284.623	573.6
285.011	568
285.399	569.6
285.788	566.4
286.176	558.4
286.565	578.4
286.953	562.2
287.342	570.2
287.731	557.4
288.119	569.4
288.508	564.2
288.897	566.8
289.286	559.8
289.675	573
290.064	578.6
290.453	563.8
290.821	562.4
291.21	586.8
291.599	563.8
291.989	569.2
292.378	581.6
292.768	588.6
293.157	576.6
293.547	577.4
293.936	567
294.326	569.8
294.716	568.2
295.106	569.8
295.496	574.2
295.886	576.8
296.276	573
296.666	564.2
297.056	567.2
297.446	558.4
297.836	590.6
298.227	564.2
298.617	570.4
299.008	583.8
299.398	563.6
299.789	574.8
300.179	578.4
300.57	587.4
300.961	564.6
301.352	568.4
301.742	576
302.133	574.4
302.524	570.6
302.915	569
303.307	562.4
303.698	573.6
304.089	583.2
304.48	572
304.872	584.2
305.263	575.8
305.655	560.8
306.046	573.4
306.438	584.8
306.829	570.2
307.221	585.4
307.613	577
308.005	577.2
308.397	579
308.789	585.2
309.181	595.8
309.573	590.6
309.965	583
310.357	569.8
310.749	575.6
311.142	560.8
311.534	572
311.926	573.8
312.319	576.4
312.711	569.4
313.104	582.8
313.497	569.2
313.889	606.8
314.282	587.4
314.675	600.6
315.068	575.4
315.461	579.2
315.854	600.2
316.247	570
316.64	565.2
317.033	570.8
317.405	569
317.798	571.8
318.192	576.4
318.585	564
318.979	575.4
319.372	574.8
319.766	575.8
320.16	587.2
320.553	587.2
320.947	586.6
321.341	566.4
321.735	571.4
322.129	560
322.523	596.4
322.917	568.6
323.311	577.6
323.705	576.6
324.099	578
324.494	586.6
324.888	581.4
325.282	571.6
325.677	583.8
326.071	588.8
326.466	587
326.861	578.2
327.255	584.2
327.65	585.2
328.045	588.8
328.44	576.4
328.835	566.8
329.23	559.6
329.625	589.6
330.02	562.6
330.415	586.6
330.81	566
331.206	568.2
331.601	561
331.996	571.6
332.37	586.2
332.766	558.6
333.161	591
333.557	569.2
333.953	561.8
334.348	898.4
334.744	575.4
335.14	565
335.536	563.2
335.932	581.8
