#lambda/nm	C1
208.295	473.4
208.67	433.4
209.045	403
209.419	396.6
209.794	568.4
210.169	549.8
210.544	675.2
210.919	575
211.295	564.4
211.67	572.8
212.045	560.4
212.421	560.2
212.796	605.4
213.172	561.2
213.547	565
213.923	570.2
214.299	556.4
214.675	570
215.051	568.4
215.427	577.8
215.803	590.4
216.179	572.2
216.555	551.8
216.932	571.8
217.308	563.8
217.684	565.2
218.061	571.6
218.438	563
218.814	564.2
219.191	571
219.568	564.2
219.945	556.8
220.322	575.2
220.699	563.2
221.076	571.2
221.453	564.2
221.83	557.2
222.208	564
222.585	566
222.962	569.6
223.34	569
223.717	568.6
224.095	563.8
224.473	568.4
224.851	560.8
225.229	554.4
225.607	576.4
225.985	559.6
226.363	576.2
226.741	566.4
227.119	567.2
227.497	578.4
227.876	558.8
228.254	582
228.633	569.6
229.011	564.8
229.39	565.6
229.769	571.4
230.148	573.8
230.527	592.2
230.905	553.8
231.284	572.6
231.664	564.4
232.043	580.8
232.422	571
232.801	566.2
233.181	575.4
233.56	570.2
233.94	563
234.319	560.6
234.699	564.2
235.079	604
235.458	600.2
235.838	592.2
236.218	566.2
236.598	558.8
236.978	558
237.358	569.2
237.738	565.4
238.119	574.4
238.499	560.4
238.88	566.6
239.26	577.6
239.641	558.2
240.021	556.2
240.402	566
240.783	566.2
241.163	569.6
241.544	574.4
241.925	568.4
242.306	583.8
242.687	568.8
243.069	566
243.45	585.4
243.831	575
244.212	570.4
244.594	604
244.975	580.6
245.357	575.8
245.739	566.2
246.12	573.6
246.502	585
246.884	577.6
247.266	567.6
247.648	571.2
248.03	584.6
248.412	569
248.794	571.2
249.176	577.2
249.559	575.8
249.941	557.8
250.323	562.8
250.706	564.6
251.089	564.6
251.471	571.6
251.854	572
252.237	572.6
252.62	575.2
253.002	567.6
253.385	575.6
253.769	592.6
254.152	569
254.535	576.6
254.918	559.2
255.301	559.8
255.685	564
256.068	563
256.452	589.6
256.835	581.2
257.219	574.8
257.603	582
257.986	566.2
258.37	567.2
258.754	561.4
259.138	579.6
259.522	578
259.906	572.2
260.29	570.6
260.675	570.4
261.059	563.8
261.443	560.6
261.828	576.4
262.212	574.6
262.597	556.8
262.981	567
263.366	570.8
263.751	568.4
264.136	561
264.521	569.8
264.906	553.6
265.291	577.4
265.676	564.4
266.061	572
266.446	584.4
266.831	572
267.217	582.8
267.602	572.4
267.987	565.4
268.373	569.6
268.759	575.4
269.144	573
269.53	570
269.916	560.2
270.302	559.2
270.688	569.8
271.074	567.2
271.46	567.2
271.846	589.8
272.232	563
272.618	559.6
273.004	564.2
273.391	577.8
273.777	574.6
274.164	566.4
274.55	575.8
274.937	567
275.324	557
275.71	568.8
276.097	579.4
276.484	558
276.871	570
277.258	573.2
277.645	557.8
278.032	573.2
278.419	569.2
278.807	571.4
279.194	566.4
279.581	571
279.969	566.4
280.356	567.4
280.744	572.6
281.131	583.2
281.519	577.4
281.907	560.6
282.295	571.2
282.682	585.4
283.07	570.4
283.458	578.6
283.846	576.6
284.235	577
284.623	573.8
285.011	560.6
285.399	570.6
285.788	575.6
286.176	568.8
286.565	584.4
286.953	564.4
287.342	566.8
287.731	567.6
288.119	563.6
288.508	561.6
288.897	567.6
289.286	560.8
289.675	572.8
290.064	585.8
290.453	568.6
290.821	568.6
291.21	590.8
291.599	576
291.989	568
292.378	573.6
292.768	586.8
293.157	571
293.547	576.8
293.936	573.4
294.326	562.2
294.716	573
295.106	566.6
295.496	578.6
295.886	577.8
296.276	572.4
296.666	567.2
297.056	569.4
297.446	562.2
297.836	587.2
