#lambda/nm	C1
208.295	476.8
208.67	433.2
209.045	392.8
209.419	395.6
209.794	568.6
210.169	546.8
210.544	658.2
210.919	575.6
211.295	554.8
211.67	574.4
212.045	568
212.421	567
212.796	602.6
213.172	566
213.547	567.6
213.923	575
214.299	563.8
214.675	578.4
215.051	573
215.427	579.2
215.803	596.6
216.179	580.8
216.555	567
216.932	577.2
217.308	572.6
217.684	573.8
218.061	582
218.438	576.2
218.814	568.2
219.191	583.6
219.568	570.4
219.945	559.8
220.322	577.4
220.699	575.8
221.076	577.4
221.453	574
221.83	569.4
222.208	572.6
222.585	572.4
222.962	574.6
223.34	578.2
223.717	571.2
224.095	567.2
224.473	574.2
224.851	563.6
225.229	561.4
225.607	587
225.985	553.8
226.363	569.8
226.741	571.6
227.119	564
227.497	588
227.876	566.6
228.254	578.6
228.633	572.4
229.011	570.8
229.39	580.2
229.769	573.2
230.148	575.8
230.527	587.8
230.905	573
231.284	572.4
231.664	563.6
232.043	587.4
232.422	573.4
232.801	563.8
233.181	583.2
233.56	568
233.94	570.6
234.319	562
234.699	573.6
235.079	608.4
235.458	600.8
235.838	579.8
236.218	565.6
236.598	562
236.978	567
237.358	567
237.738	572.6
238.119	565.6
238.499	560.2
238.88	572.8
239.26	586.2
239.641	553.4
240.021	565.2
240.402	569.4
240.783	566.8
241.163	568.8
241.544	567.2
241.925	572.8
242.306	581.4
242.687	567.6
243.069	582.6
243.45	566.8
243.831	562.2
244.212	569
244.594	601.8
244.975	572.4
245.357	575
245.739	572.4
246.12	577
246.502	585.4
246.884	573.2
247.266	564.8
247.648	572.8
248.03	585.8
248.412	569.2
248.794	575.4
249.176	568.2
249.559	568.6
249.941	565.4
250.323	566
250.706	558
251.089	567.8
251.471	566.8
251.854	577.6
252.237	569.4
252.62	577.2
253.002	568.6
253.385	570.6
253.769	568.8
254.152	577.8
254.535	582.8
254.918	559.6
255.301	568.6
255.685	565
256.068	571.4
256.452	590.8
256.835	586.4
257.219	584.4
257.603	582.4
257.986	561.4
258.37	573.2
258.754	564.8
259.138	574.8
259.522	580
259.906	566
260.29	566.8
260.675	573.4
261.059	569.4
261.443	569.2
261.828	577.6
262.212	574
262.597	556.6
262.981	569.2
263.366	573.4
263.751	571
264.136	566
264.521	571.8
264.906	563.2
265.291	576.4
265.676	558.4
266.061	580.4
266.446	588.2
266.831	577.2
267.217	585.2
267.602	570.8
267.987	570.6
268.373	567.2
268.759	583.4
269.144	574.8
269.53	574
269.916	569.2
270.302	563
270.688	578.2
271.074	567.8
271.46	580.6
271.846	603.4
272.232	570.2
272.618	567.8
273.004	570.6
273.391	578
273.777	582.4
274.164	571.8
274.55	580
274.937	571.8
275.324	573.2
275.71	569.6
276.097	581.8
276.484	566
276.871	572.2
277.258	577.6
277.645	559
278.032	570
278.419	569
278.807	581
279.194	572.8
279.581	558.2
279.969	581.4
280.356	574.4
280.744	570.8
281.131	588
281.519	584.4
281.907	561.4
282.295	560.6
282.682	584.6
283.07	570.4
283.458	582.2
283.846	582.4
284.235	576.2
284.623	581
285.011	567
285.399	575.6
285.788	571.2
286.176	561.8
286.565	581.4
286.953	567
287.342	563.8
287.731	560
288.119	559.8
288.508	567.4
288.897	565.4
289.286	566
289.675	571.6
290.064	583.6
290.453	568.6
290.821	574
291.21	587.8
291.599	569
291.989	563.6
292.378	579.6
292.768	583.8
293.157	582.4
293.547	575.8
293.936	569
294.326	564.8
294.716	580.8
295.106	564.6
295.496	577.6
295.886	574.8
296.276	569.2
296.666	563.6
297.056	576.4
297.446	565
297.836	581
298.227	567.8
298.617	570.6
299.008	577
299.398	570.6
299.789	561.4
300.179	572.6
300.57	592.2
300.961	559
301.352	561
301.742	571.8
302.133	566.6
302.524	566
302.915	573.8
303.307	558.8
303.698	582
304.089	575.6
304.48	561
304.872	571.8
305.263	560.4
305.655	573.8
306.046	576.2
306.438	580.4
306.829	568.4
307.221	578.6
307.613	570.4
308.005	582.8
308.397	584.8
308.789	590.2
