#lambda/nm	C1
208.295	468
208.67	429.6
209.045	395.8
209.419	402.6
209.794	569.2
210.169	557.4
210.544	674.6
210.919	575.6
211.295	568.2
211.67	573.4
212.045	564.2
212.421	571.4
212.796	604.6
213.172	565.6
213.547	566.4
213.923	566
214.299	564.4
214.675	571.8
215.051	571.4
215.427	580.4
215.803	585.8
216.179	575.6
216.555	566.2
216.932	575.4
217.308	569.6
217.684	576.6
218.061	573.8
218.438	572.8
218.814	558.8
219.191	581.2
219.568	568
219.945	568.6
220.322	573.6
220.699	576.4
221.076	583.6
221.453	574.8
221.83	575.2
222.208	570.2
222.585	567.2
222.962	572
223.34	571.4
223.717	566
224.095	560.6
224.473	571.6
224.851	568.2
225.229	562.2
225.607	581.8
225.985	574
226.363	571.6
226.741	574.6
227.119	578.2
227.497	591.2
227.876	557.8
228.254	579.6
228.633	570.6
229.011	573.8
229.39	581.8
229.769	574
230.148	578
230.527	590
230.905	573
231.284	571.2
231.664	566
232.043	576
232.422	580.8
232.801	566
233.181	573.2
233.56	578.2
233.94	577.4
234.319	566.2
234.699	575.6
235.079	605.2
235.458	601.4
235.838	594.2
236.218	577.6
236.598	566.2
236.978	561.6
237.358	564
237.738	566.4
238.119	573.8
238.499	566
238.88	574
239.26	585.8
239.641	559.6
240.021	571.8
240.402	573.4
240.783	569.4
241.163	565.8
241.544	570.2
241.925	570.6
242.306	586.4
242.687	573.6
243.069	575
243.45	577.4
243.831	568.2
244.212	568
244.594	601
244.975	570.6
245.357	578.4
245.739	569
246.12	576.8
246.502	581.8
246.884	564
247.266	569.6
247.648	571
248.03	588
248.412	583.4
248.794	580.2
249.176	574.2
249.559	577.6
249.941	561.4
250.323	564.2
250.706	566.2
251.089	571.4
251.471	576.8
251.854	576.2
252.237	567
252.62	574.6
253.002	570.8
253.385	561.2
253.769	581.6
254.152	571.6
254.535	575.6
254.918	559
255.301	566.8
255.685	566.4
256.068	564.6
256.452	592
256.835	580.6
257.219	578.4
257.603	583.2
257.986	565.8
258.37	575.2
258.754	552.6
259.138	573.6
259.522	576
259.906	565
260.29	572.2
260.675	570
261.059	565.8
261.443	561.8
261.828	571.4
262.212	574.4
262.597	558.2
262.981	564.6
263.366	575.8
263.751	570.6
264.136	562.2
264.521	574.2
264.906	562.6
265.291	571.8
265.676	559.6
266.061	574.6
266.446	585.2
266.831	571
267.217	584.6
267.602	571.4
267.987	574.4
268.373	563.8
268.759	585.6
269.144	584.2
269.53	577.2
269.916	568
270.302	566.4
270.688	577.2
271.074	576
271.46	579.4
271.846	607.2
272.232	571
272.618	569.8
273.004	570.6
273.391	575.6
273.777	584.6
274.164	578.6
274.55	589.6
274.937	570.2
275.324	567.8
275.71	580.8
276.097	581.4
276.484	555.2
276.871	568
277.258	570.2
277.645	559.8
278.032	578.4
278.419	573.8
278.807	575
279.194	555
279.581	562.4
279.969	574.6
280.356	580.4
280.744	576.6
281.131	592.4
281.519	578.8
