#lambda/nm	C1
208.295	472
208.67	435.8
209.045	395.4
209.419	398.4
209.794	561
210.169	553.2
210.544	671.8
210.919	568.4
211.295	558.2
211.67	578.6
212.045	569.6
212.421	562
212.796	607.8
213.172	570.2
213.547	563
213.923	563.2
214.299	572
214.675	570.2
215.051	574
215.427	575
215.803	590.4
216.179	573.8
216.555	569.2
216.932	573.4
217.308	569.6
217.684	568.2
218.061	577.4
218.438	569
218.814	577
219.191	580.2
219.568	563.8
219.945	561.6
220.322	571.2
220.699	576.8
221.076	573.6
221.453	564.2
221.83	569
222.208	564.8
222.585	568.6
222.962	566.4
223.34	576.6
223.717	574.2
224.095	570.6
224.473	566.8
224.851	568.8
225.229	568.2
225.607	582.8
225.985	565
226.363	574.4
226.741	570.8
227.119	569.8
227.497	581.8
227.876	554.8
228.254	574.6
228.633	581.6
229.011	572.4
229.39	579
229.769	578.4
230.148	570.6
230.527	586
230.905	567.6
231.284	577.8
231.664	563.4
232.043	589.2
232.422	580.4
232.801	570.4
233.181	570
233.56	568.2
233.94	567.4
234.319	557.8
234.699	571
235.079	612.4
235.458	609.8
235.838	584.4
236.218	561.2
236.598	563.4
236.978	555.4
237.358	557.4
237.738	562.6
238.119	566
238.499	558.2
238.88	571.6
239.26	579.2
239.641	550.6
240.021	562.2
240.402	567.8
240.783	569.8
241.163	567
241.544	574.4
241.925	575.4
242.306	575
242.687	575.6
243.069	570
243.45	578.2
243.831	562.4
244.212	574
244.594	601.2
244.975	581.8
245.357	576
245.739	568.4
246.12	573.2
246.502	579.2
246.884	562.4
247.266	563.4
247.648	575.4
248.03	595.6
248.412	567
248.794	576
249.176	566.2
249.559	585
249.941	562
250.323	557.2
250.706	562.6
251.089	573
251.471	568.2
251.854	560
252.237	568.6
252.62	575.4
253.002	564
253.385	572.4
253.769	578
254.152	564.6
254.535	581.6
254.918	566.4
255.301	563
255.685	571
256.068	565.2
256.452	592
256.835	578.2
257.219	571.8
257.603	582.6
257.986	558.8
258.37	569.8
258.754	555.6
259.138	567.8
259.522	574.6
259.906	575
260.29	576.2
260.675	571
261.059	570
261.443	559.2
261.828	576.6
262.212	570.8
262.597	560
262.981	574.8
263.366	582
263.751	570.8
264.136	565.4
264.521	564.2
264.906	567.4
265.291	573
265.676	566
266.061	575.6
266.446	590.2
266.831	570.2
267.217	589
267.602	575.8
267.987	573.8
268.373	558.8
268.759	576.6
269.144	572
269.53	565.4
269.916	569.4
270.302	569.8
270.688	574.8
271.074	563
271.46	581.2
271.846	597.6
272.232	570.4
272.618	561.6
273.004	561.4
273.391	581
273.777	579
274.164	573
274.55	580
274.937	573.8
275.324	564
275.71	575.8
276.097	570.4
276.484	559.8
276.871	579
277.258	574.8
277.645	558.6
278.032	564
278.419	569.2
278.807	574
279.194	572.8
279.581	560.8
279.969	572.8
280.356	571.8
280.744	570.2
281.131	585
281.519	571.8
281.907	566.2
282.295	557.4
282.682	575.8
283.07	568.8
283.458	569
283.846	579.6
284.235	578.4
284.623	583.4
285.011	567.8
285.399	573.2
285.788	567.6
286.176	561
286.565	580
286.953	559.2
287.342	563.6
287.731	556
288.119	560.4
288.508	561.6
288.897	562
289.286	550.8
289.675	568.4
290.064	574.4
290.453	565.6
290.821	573.6
291.21	585.8
291.599	566.2
291.989	579.4
292.378	577.6
292.768	585
293.157	571.6
293.547	580.2
293.936	565.4
294.326	569
294.716	573.4
295.106	562.2
295.496	574.8
295.886	574
296.276	574.6
296.666	558.4
297.056	565.8
297.446	556.6
297.836	586
298.227	565
298.617	575.8
299.008	574.8
299.398	564.6
299.789	568.4
300.179	573
300.57	582.2
300.961	564.4
301.352	571.6
301.742	574.4
302.133	569.2
302.524	571.8
302.915	577
303.307	567
303.698	582.4
304.089	576.4
304.48	565.2
304.872	584
305.263	585.4
305.655	562.4
306.046	570
306.438	575.2
306.829	563.6
307.221	581.6
307.613	575.2
308.005	587.8
308.397	587
308.789	596.2
309.181	591.6
