#lambda/nm	C1
208.295	468.4
208.67	428.2
209.045	396.8
209.419	393.2
209.794	564.8
210.169	546
210.544	666
210.919	567.6
211.295	561.6
211.67	569.2
212.045	562
212.421	567.6
212.796	600
213.172	561.2
213.547	558
213.923	565.8
214.299	563.2
214.675	567.6
215.051	570.8
215.427	570
215.803	588.6
216.179	572.2
216.555	561.4
216.932	577.2
217.308	572.2
217.684	563.2
218.061	576.8
218.438	572.6
218.814	571.8
219.191	566.4
219.568	561
219.945	563
220.322	573.2
220.699	572.4
221.076	575.8
221.453	571
221.83	560.2
222.208	557.6
222.585	563.8
222.962	568
223.34	573.2
223.717	560.8
224.095	563.2
224.473	570.2
224.851	566
225.229	553.2
225.607	576.6
225.985	554.2
226.363	561
226.741	563.4
227.119	569.6
227.497	579
227.876	558.2
228.254	572.8
228.633	571.4
229.011	573.8
229.39	568.6
229.769	568.6
230.148	574
230.527	593.8
230.905	572.8
231.284	575.4
231.664	568.8
232.043	581
232.422	578.4
232.801	562.8
233.181	569.2
233.56	560.6
233.94	564.6
234.319	550.6
234.699	565
235.079	604
235.458	599.8
235.838	583
236.218	559.4
236.598	552.4
236.978	555.2
237.358	555.4
237.738	553.8
238.119	573.8
238.499	559.2
238.88	571.2
239.26	577.2
239.641	573.8
240.021	568.8
240.402	568
240.783	568.2
241.163	562.4
241.544	566.2
241.925	575.4
242.306	582
242.687	573
243.069	563.6
243.45	568.8
243.831	560.4
244.212	569
244.594	604
244.975	578.6
245.357	571.6
245.739	560.2
246.12	564.6
246.502	578.2
246.884	558.4
247.266	560.2
247.648	574.8
248.03	584.6
248.412	573.2
248.794	572.4
249.176	554.4
249.559	570.6
249.941	558.4
250.323	554.2
250.706	570
251.089	568.4
251.471	561.6
251.854	561.8
252.237	564.4
252.62	576.8
253.002	559
253.385	569
253.769	579.6
254.152	566
254.535	575.8
254.918	561.4
255.301	568.4
255.685	571.8
256.068	566.4
256.452	586.6
256.835	580
257.219	573
257.603	574.2
257.986	558.8
258.37	578.4
258.754	561.4
259.138	563.8
259.522	583
259.906	561.4
260.29	575.4
260.675	559
261.059	570.2
261.443	560
261.828	568.2
262.212	560
262.597	557.6
262.981	563
