#lambda/nm	C1
208.295	475.2
208.67	432.6
209.045	399.8
209.419	400
209.794	567
210.169	553.6
210.544	663
210.919	574.6
211.295	558
211.67	567.2
212.045	562.8
212.421	557.2
212.796	598.6
213.172	559.8
213.547	560.6
213.923	559
214.299	556.8
214.675	580.2
215.051	569.8
215.427	576
215.803	590.4
216.179	570.2
216.555	563.8
216.932	576
217.308	573
217.684	573.4
218.061	570.4
218.438	571.6
218.814	570
219.191	569.2
219.568	564
219.945	561.8
220.322	577.6
220.699	569
221.076	569
221.453	569.8
221.83	567.4
222.208	559
222.585	565
222.962	569.2
223.34	569.6
223.717	571
224.095	556.8
224.473	569.8
224.851	571.8
225.229	561.6
225.607	587.6
225.985	555.2
226.363	568.4
226.741	572.2
227.119	568
227.497	578.2
227.876	553.2
228.254	570.4
228.633	568.6
229.011	574.6
229.39	558.6
229.769	570.4
230.148	575
230.527	578.6
230.905	568
231.284	564.2
231.664	556.2
232.043	579.8
232.422	576.2
232.801	560
233.181	574.2
233.56	562.2
233.94	568
234.319	556.8
234.699	568.2
235.079	594.4
235.458	597
235.838	584.4
236.218	559.2
236.598	557.2
236.978	558.8
237.358	568.6
237.738	563.4
238.119	570
238.499	561.8
238.88	557.6
239.26	582
239.641	555.2
240.021	571
240.402	566
240.783	563.4
241.163	569.8
241.544	574.8
241.925	569.4
242.306	582.6
242.687	572
243.069	572.6
243.45	581
243.831	566.4
244.212	570.4
244.594	603.8
244.975	574.8
245.357	581.8
245.739	557
246.12	576.4
246.502	588.4
246.884	571.4
247.266	574
247.648	563.2
248.03	585
248.412	567
248.794	581.2
249.176	560.8
249.559	579.4
249.941	559.4
250.323	559.6
250.706	564.6
251.089	567
251.471	571.2
251.854	562.6
252.237	568.2
252.62	576.4
253.002	568.4
253.385	566.2
253.769	588.8
254.152	575.6
254.535	575.6
254.918	560
255.301	559.2
255.685	570.4
256.068	563
256.452	588
256.835	574.6
257.219	584
257.603	582.2
257.986	557.8
258.37	575.6
258.754	563
259.138	568
259.522	581.2
259.906	564.4
260.29	571.2
260.675	566.4
261.059	571.6
261.443	559.6
261.828	563
262.212	575
262.597	561.6
262.981	566.2
263.366	575.8
263.751	573.4
264.136	567.4
264.521	567
264.906	567.8
265.291	578.8
265.676	557.6
266.061	572.4
266.446	587
266.831	566.4
267.217	588.2
267.602	564.8
267.987	564
268.373	571.8
268.759	570.8
269.144	567.2
269.53	571.2
269.916	563.2
270.302	564.2
270.688	570.8
271.074	563.4
271.46	579.4
271.846	599.4
272.232	571
272.618	561.4
273.004	570.4
273.391	579.8
273.777	579.4
274.164	571.2
274.55	584.8
274.937	572.8
275.324	563.8
275.71	581
276.097	567.2
276.484	567.4
276.871	575.2
277.258	578
277.645	563.2
278.032	565.8
278.419	561.8
278.807	570.2
279.194	561.2
279.581	557.8
279.969	581.4
280.356	573.4
280.744	572.8
281.131	586.4
281.519	578.4
281.907	566
282.295	563.2
282.682	584.6
283.07	567.8
283.458	582.8
283.846	578.2
284.235	584.4
284.623	574.6
285.011	562.4
285.399	574.6
285.788	570.2
286.176	566.6
286.565	579
286.953	559.2
287.342	564.4
287.731	560.4
288.119	558.2
288.508	560.4
288.897	569.6
289.286	554.4
289.675	562.2
290.064	577.2
290.453	567.8
290.821	565.6
291.21	580.8
291.599	558.4
291.989	569.2
292.378	570.8
292.768	590.6
293.157	574.4
293.547	572.4
293.936	565
294.326	561.8
294.716	566.6
295.106	566.2
295.496	569.6
295.886	577.4
296.276	567
296.666	564.2
297.056	560
297.446	556.2
297.836	583.4
298.227	564.2
298.617	568.8
299.008	587.6
299.398	560.6
299.789	562.6
300.179	576
300.57	582.2
300.961	561.2
301.352	567
301.742	579
302.133	569
302.524	571
302.915	572.8
303.307	561.2
303.698	571.6
304.089	577.8
304.48	569
304.872	569.4
305.263	565.6
305.655	566.4
306.046	577.2
306.438	576.4
306.829	565.4
307.221	582.6
307.613	573.6
308.005	582.2
308.397	587.2
308.789	584.8
309.181	591.6
309.573	589.8
309.965	583.4
310.357	566.2
310.749	575.6
311.142	567.4
311.534	561
311.926	577.2
312.319	564.8
312.711	558.6
313.104	581.2
313.497	567.8
313.889	607.6
314.282	579.4
314.675	589.8
315.068	575.8
315.461	577.8
315.854	598.4
316.247	577.2
316.64	566.6
317.033	571.4
317.405	579.4
317.798	565.8
318.192	580.2
318.585	565.4
318.979	575.6
319.372	565.4
319.766	561.8
320.16	574.6
320.553	588.6
320.947	581.2
321.341	567
321.735	561.6
322.129	556.4
322.523	590.6
322.917	565
323.311	579.6
323.705	573.2
324.099	570.8
324.494	578.8
324.888	570.2
325.282	566.2
325.677	582.6
326.071	576
326.466	580
326.861	561.4
327.255	579.6
327.65	584.6
328.045	577.4
328.44	570.8
328.835	570.6
329.23	562.6
329.625	589.6
330.02	558.6
330.415	582.2
330.81	570.8
331.206	559.6
331.601	565
331.996	571.4
332.37	591
332.766	554.8
333.161	585.4
333.557	564.4
333.953	570
334.348	860.6
334.744	558.8
335.14	579.6
335.536	565.2
335.932	574.4
336.328	563.6
336.724	569.2
337.12	566.4
337.516	573.8
337.913	566.6
338.309	587.8
338.705	565.6
339.102	571.6
339.498	565.4
339.895	577.6
340.291	561.8
340.688	573
341.085	559.2
341.481	567.8
341.878	570.6
342.275	591.8
342.672	565
343.069	564.4
343.466	563
343.842	582.2
344.239	560.8
344.636	565.4
345.033	562
345.431	558.4
345.828	572.4
346.225	564.8
346.623	603.8
347.02	566.2
347.418	570.8
347.816	576.8
348.213	565.2
348.611	574.4
349.009	558.2
349.407	579.8
349.805	560.4
350.203	559.8
350.601	578.4
350.999	563
351.397	618.8
351.795	560.8
352.193	576
352.57	575.4
352.969	579.6
353.367	556
353.766	561.4
354.164	570.4
354.563	572.8
354.961	567.4
355.36	559.6
355.759	559.2
356.158	558
356.557	557.4
356.956	556.2
357.355	552.6
357.754	574.2
358.153	565.8
358.552	588.6
358.951	563.6
359.35	577.4
359.75	561.6
360.149	562.8
360.527	552.6
360.926	566
361.326	568.6
361.726	564.6
362.125	559.4
362.525	567.8
362.925	568.6
363.325	559.8
363.724	562.2
