#lambda/nm	C1
208.295	468.2
208.67	431.4
209.045	399
209.419	401.2
209.794	569
210.169	551.4
210.544	670.2
210.919	570
211.295	565
211.67	561.4
212.045	557.8
212.421	559
212.796	598.2
213.172	559
213.547	557.6
213.923	562.8
214.299	557.2
214.675	574.4
215.051	571.2
215.427	575.8
215.803	588.2
216.179	570.6
216.555	557.2
216.932	570.8
217.308	565.8
217.684	566.4
218.061	568.4
218.438	570.2
218.814	567.4
219.191	575.4
219.568	558
219.945	565.6
220.322	569.6
220.699	579.8
221.076	571.4
221.453	572
221.83	569
222.208	564.4
222.585	563.2
222.962	569.2
223.34	568.6
223.717	570.2
224.095	559.8
224.473	569
224.851	558.2
225.229	568.6
225.607	585.8
225.985	563.8
226.363	569
226.741	569.8
227.119	572.8
227.497	582.6
227.876	558.8
228.254	571.2
228.633	573.2
229.011	571.6
229.39	576.4
229.769	568.6
230.148	580.8
230.527	581.6
230.905	572.4
231.284	563.4
231.664	561.8
232.043	576.8
232.422	575.4
232.801	569.4
233.181	579.4
233.56	558.6
233.94	569.2
234.319	556.8
234.699	566.6
235.079	604.6
235.458	606.4
235.838	580.2
236.218	561
236.598	559.6
236.978	560.6
237.358	565.4
237.738	558.8
238.119	569.6
238.499	563.4
238.88	565.4
239.26	588.2
239.641	552.8
240.021	563.8
240.402	564.8
240.783	564
241.163	569.6
241.544	570.2
241.925	572.4
242.306	584.8
242.687	569
243.069	572
243.45	580.2
243.831	564.8
244.212	568.6
244.594	596.4
244.975	578
245.357	572.6
245.739	563.6
246.12	568.2
246.502	581.4
246.884	567
247.266	567
247.648	565
248.03	580.4
248.412	568.2
248.794	573
249.176	556.4
249.559	575.8
249.941	565
250.323	564.6
250.706	556.2
251.089	569
251.471	572.2
251.854	575.4
252.237	560.6
252.62	577.2
253.002	562.8
253.385	568.8
253.769	577.4
254.152	566.6
254.535	564.2
254.918	566.8
255.301	561.8
255.685	566.8
256.068	560.2
256.452	587.4
256.835	574.6
257.219	577.2
257.603	576.4
257.986	561.4
258.37	570.8
258.754	555.4
259.138	574.6
259.522	580
259.906	564
260.29	577.4
260.675	571.8
261.059	569.8
261.443	558
261.828	580
262.212	574.6
262.597	559.2
262.981	559.4
263.366	574
263.751	566.8
264.136	569.4
264.521	571.6
264.906	552.6
265.291	578.6
265.676	559.6
266.061	573.8
266.446	588.4
266.831	565
267.217	586.4
267.602	570
267.987	568
268.373	564.6
268.759	579.4
269.144	578
269.53	562.2
269.916	564
270.302	558.8
270.688	573
271.074	571.4
271.46	576
271.846	599.6
272.232	567.8
272.618	562.8
273.004	566.8
273.391	573.4
273.777	587.2
274.164	581.8
274.55	575
274.937	572.6
275.324	562.6
275.71	570.2
276.097	575.2
276.484	557.8
276.871	576.2
277.258	574
277.645	560.6
278.032	566.8
278.419	569.4
278.807	576.4
279.194	563.4
279.581	559.8
