#lambda/nm	C1
208.295	474
208.67	434.2
209.045	396.6
209.419	394.8
209.794	563.8
210.169	563.2
210.544	671.2
210.919	574.6
211.295	562.4
211.67	572.8
212.045	555.4
212.421	564.2
212.796	598.6
213.172	566.2
213.547	565
213.923	566.4
214.299	565
214.675	571.6
215.051	571.2
215.427	570.2
215.803	582.2
216.179	569.4
216.555	558.2
216.932	576
217.308	565.8
217.684	572.8
218.061	584.4
218.438	569.6
218.814	552.6
219.191	578.8
219.568	570
219.945	569.2
220.322	572.8
220.699	576.6
221.076	575.8
221.453	571
221.83	569.2
222.208	567.4
222.585	569.2
222.962	572.6
223.34	580
223.717	576.6
224.095	564.4
224.473	567.8
224.851	560.6
225.229	550.6
225.607	582.2
225.985	560
226.363	568.6
226.741	565.2
227.119	574.2
227.497	579.8
227.876	557.6
228.254	574.4
228.633	567.8
229.011	569.6
229.39	569.6
229.769	569
230.148	582.6
230.527	588
230.905	573
231.284	571.4
231.664	570.6
232.043	579.8
232.422	577.4
232.801	568.2
233.181	576
233.56	567.4
233.94	572
234.319	561.8
234.699	563.4
235.079	602.8
235.458	608.6
235.838	583.6
236.218	562.4
236.598	551
236.978	561.2
237.358	563.8
237.738	557.6
238.119	563
238.499	555.4
238.88	566.6
239.26	579.4
239.641	563.8
240.021	562.4
240.402	568.6
240.783	564.6
241.163	560
241.544	571.2
241.925	565.2
242.306	584.8
242.687	567
243.069	564.4
243.45	578.2
243.831	563.2
244.212	566.8
244.594	592
244.975	573
245.357	574.2
245.739	560.2
246.12	567.6
246.502	575.6
246.884	563.4
247.266	557.4
247.648	566
248.03	585.6
248.412	573.8
248.794	572
249.176	564.6
249.559	579.4
249.941	567.4
250.323	559
250.706	561.6
251.089	566.4
251.471	565.4
251.854	567.8
252.237	567.6
252.62	577
253.002	577.6
253.385	569.2
253.769	580
254.152	559.6
254.535	584.8
254.918	564.8
255.301	573
255.685	567
256.068	561.6
256.452	592.6
256.835	573.2
257.219	580.8
257.603	584.8
257.986	567.8
258.37	570.8
258.754	559.8
259.138	573.2
259.522	577.8
259.906	564
260.29	566
260.675	564
261.059	575.4
261.443	561
261.828	587.6
262.212	575.4
262.597	565.4
262.981	569.6
263.366	568.2
263.751	565.6
264.136	565
264.521	562.2
264.906	568.6
265.291	580.6
265.676	556.4
266.061	572.4
266.446	585
266.831	579.4
267.217	589
267.602	577.8
267.987	569.6
268.373	566.2
268.759	576.2
269.144	580.2
269.53	575
269.916	560.8
270.302	571.2
270.688	568
271.074	568.2
271.46	581
271.846	600.2
272.232	561.6
272.618	567.2
273.004	570
273.391	576.4
273.777	582
274.164	566.8
274.55	579.4
274.937	567.6
275.324	566.8
275.71	577.8
276.097	573.2
276.484	568.4
276.871	576.2
277.258	573
277.645	557.8
278.032	576.4
278.419	568.6
278.807	572
279.194	559.4
279.581	567.4
279.969	582.4
280.356	575.4
280.744	573.4
281.131	592.2
281.519	575.4
281.907	561.4
282.295	564.6
282.682	583.6
283.07	575.6
283.458	579.2
283.846	581
284.235	581
284.623	581.8
285.011	559.2
285.399	568.4
285.788	569.6
286.176	560.6
286.565	575.2
286.953	562.2
287.342	571.2
287.731	561.4
288.119	560.2
288.508	560.4
288.897	566.6
289.286	554.8
289.675	572.4
290.064	580.2
290.453	561.4
290.821	575.2
291.21	579.4
291.599	567.6
291.989	575.4
292.378	582
292.768	583
293.157	571.4
293.547	576.6
293.936	560.4
294.326	570.4
294.716	582.2
295.106	565.6
295.496	570.6
295.886	576.4
296.276	568.8
296.666	562.6
297.056	569.4
297.446	560.6
297.836	589.8
298.227	567.4
298.617	573.4
299.008	574.8
299.398	573.4
299.789	565.6
300.179	568.6
300.57	582.2
300.961	568.8
301.352	563.8
301.742	576.2
302.133	572.4
302.524	567.6
302.915	569.2
303.307	561.6
303.698	577.2
304.089	567.2
304.48	567.2
304.872	573.6
305.263	577
305.655	563.8
306.046	573.2
306.438	576.6
306.829	568.6
307.221	581.6
307.613	574.8
308.005	580.2
308.397	582.4
308.789	590
309.181	587.6
309.573	580.6
309.965	581.6
310.357	567.8
310.749	569.6
311.142	563.4
311.534	573.2
311.926	570.2
312.319	577.2
312.711	567.2
313.104	587.4
313.497	569.2
313.889	607.8
314.282	589.6
314.675	594.8
315.068	564
315.461	575.6
315.854	600.6
316.247	580.2
316.64	569.8
317.033	572.6
317.405	580.6
317.798	576.4
318.192	578.6
318.585	562.2
318.979	576.4
319.372	562.4
319.766	561.8
320.16	580.2
320.553	584
320.947	590
321.341	565.2
321.735	580
322.129	558.2
322.523	595.4
322.917	559.6
323.311	584.6
323.705	573.8
324.099	570.8
324.494	583.2
324.888	580.6
325.282	568.4
325.677	582
326.071	579.2
326.466	581.8
326.861	577.8
327.255	586.4
327.65	590
328.045	590.6
328.44	577.6
328.835	568.2
329.23	565.4
329.625	583.4
330.02	573.6
330.415	593.8
330.81	567.6
331.206	569.8
331.601	567.8
331.996	578.6
332.37	583.2
332.766	563.2
333.161	584.8
333.557	571
333.953	573.6
334.348	845.6
334.744	573.2
335.14	565.6
335.536	564
335.932	580.2
336.328	572
336.724	571.6
337.12	564
337.516	572
337.913	563.4
338.309	585.4
338.705	570
339.102	568.8
339.498	561.8
339.895	584.6
340.291	561.8
340.688	576.6
341.085	560.4
341.481	561.8
341.878	560.4
342.275	585.8
342.672	562.6
343.069	562.4
343.466	549.4
343.842	578.8
344.239	559.2
344.636	573.8
345.033	565.8
345.431	561
345.828	563.4
346.225	561.4
346.623	611.2
347.02	573.6
347.418	568.2
347.816	577
348.213	561.2
348.611	571
349.009	563.4
349.407	580.8
349.805	555.4
350.203	559.6
350.601	580.6
350.999	565.6
351.397	614
351.795	570.2
352.193	578.6
352.57	582.2
