#lambda/nm	C1
208.295	465
208.67	434.8
209.045	395.4
209.419	402
209.794	565
210.169	551.4
210.544	661.2
210.919	568.8
211.295	559.8
211.67	565.4
212.045	565.8
212.421	571.6
212.796	602
213.172	560.6
213.547	568.4
213.923	561.2
214.299	569
214.675	571.2
215.051	574.6
215.427	578
215.803	586.6
216.179	566.6
216.555	568.8
216.932	575
217.308	566.8
217.684	562.6
218.061	585.6
218.438	571.6
218.814	565.6
219.191	577.6
219.568	563.6
219.945	562.8
220.322	576.8
220.699	568.6
221.076	574.6
221.453	573.4
221.83	573.8
222.208	570.4
222.585	572.6
222.962	568.8
223.34	576.2
223.717	569.6
224.095	566
224.473	569
224.851	561.2
225.229	569.6
225.607	585.6
225.985	557.8
226.363	572.2
226.741	569.4
227.119	570.6
227.497	579.2
227.876	563.6
228.254	578.2
228.633	566.2
229.011	574.6
229.39	570.4
229.769	564.6
230.148	574.4
230.527	587.6
230.905	565
231.284	565.8
231.664	565.2
232.043	582.4
232.422	573.8
232.801	564.6
233.181	573.8
233.56	559.8
233.94	568.2
234.319	552.8
234.699	570.2
235.079	602
235.458	603
235.838	585.4
236.218	563
236.598	559.8
236.978	556.4
237.358	568.2
237.738	570
238.119	578.8
238.499	564.6
238.88	563.2
239.26	576.6
239.641	561.4
240.021	561
240.402	565.8
240.783	562.6
241.163	568.6
241.544	571.2
241.925	565.4
242.306	581.6
242.687	573.4
243.069	569
243.45	582
243.831	554
244.212	564.6
244.594	595.6
244.975	577.2
245.357	576.8
245.739	566.6
246.12	577.8
246.502	574.2
246.884	561.6
247.266	562
247.648	567
248.03	590.4
248.412	567
248.794	572
249.176	565
249.559	574.4
249.941	557
250.323	560.8
250.706	567.4
251.089	571
251.471	576.4
251.854	570.4
252.237	565.2
252.62	575.4
253.002	556.2
253.385	576.6
253.769	582.6
254.152	577
254.535	570.8
254.918	560.8
255.301	570.6
255.685	568.2
256.068	567.6
256.452	587.8
256.835	576
257.219	575.2
257.603	580.8
257.986	561
258.37	576.6
258.754	556
259.138	569.8
259.522	578.8
259.906	564
260.29	568.2
260.675	571.8
261.059	570.6
261.443	560.6
261.828	582.4
262.212	572.4
262.597	557.6
262.981	572.8
263.366	576.8
263.751	573
264.136	567.6
264.521	570
264.906	558.6
265.291	576.8
265.676	569.8
266.061	576.4
266.446	593.6
266.831	560
267.217	591.4
267.602	573.2
267.987	570.6
268.373	568.6
268.759	584.4
269.144	577.6
269.53	565
269.916	560
270.302	565.8
270.688	570
271.074	576.4
271.46	585.8
271.846	593.2
272.232	578.6
272.618	559.6
273.004	561.8
273.391	579.6
273.777	574.8
274.164	575.4
274.55	577.6
274.937	575
275.324	570.6
275.71	583.6
276.097	577.4
276.484	562.6
276.871	568
277.258	579.8
277.645	550.2
278.032	567.8
278.419	573
278.807	573.6
279.194	558.4
279.581	567.4
279.969	576
280.356	569.6
280.744	570.6
281.131	591.4
281.519	580.8
281.907	568
282.295	565.6
282.682	583.4
283.07	574.8
283.458	579.8
283.846	578.6
284.235	578.4
284.623	584
285.011	563.4
285.399	572.4
285.788	564.4
286.176	552.8
286.565	575
286.953	572
287.342	573.2
287.731	556
288.119	562.2
288.508	565.6
288.897	566.4
289.286	551.4
289.675	568.8
290.064	575.4
290.453	557.8
290.821	564.6
291.21	582
291.599	564.2
291.989	576
292.378	579.6
292.768	578.8
293.157	573.8
293.547	575.8
293.936	568.4
294.326	571.4
294.716	575
295.106	563
295.496	574.4
295.886	571
296.276	570.4
296.666	564.2
297.056	557
297.446	556.6
297.836	590.8
298.227	566.2
298.617	560
299.008	580
299.398	566.2
299.789	569.8
300.179	574
300.57	590.6
300.961	560.4
301.352	567
301.742	583.8
302.133	569
302.524	566
302.915	571.8
303.307	559.8
303.698	579.8
304.089	574.8
304.48	569.8
304.872	571.6
305.263	568.6
305.655	567.8
306.046	577.8
306.438	566
306.829	561.6
307.221	578.6
307.613	566.8
308.005	582.2
308.397	578
308.789	591.6
309.181	591
309.573	584.2
309.965	578.2
310.357	572.2
310.749	581.6
311.142	565
311.534	565.4
311.926	581.6
312.319	573.8
312.711	575.2
313.104	578.4
313.497	571.6
313.889	604.4
314.282	580.6
314.675	594.8
315.068	573.6
315.461	578.8
315.854	604
316.247	576.8
316.64	566.6
317.033	561.2
317.405	572.2
317.798	573.6
318.192	582
318.585	570
318.979	578.4
319.372	570.8
319.766	562.6
320.16	584.4
320.553	586.8
320.947	594
321.341	565
321.735	573.6
322.129	568.2
322.523	592.8
322.917	567.2
323.311	583.4
323.705	574.6
324.099	578.8
324.494	585.8
324.888	579.6
325.282	566.8
325.677	579.8
326.071	576.6
326.466	582.8
326.861	579
327.255	586
327.65	587
328.045	584.4
328.44	570.4
328.835	568.6
329.23	563.6
329.625	590.4
330.02	566
330.415	587.2
330.81	574.4
331.206	571.8
331.601	564
331.996	575
332.37	586.8
332.766	572
333.161	592.6
333.557	565.6
333.953	575
334.348	817.4
334.744	567.4
335.14	560.4
335.536	571.4
335.932	589
336.328	570.8
336.724	572.6
337.12	569.2
337.516	568.6
337.913	575.8
338.309	584.4
338.705	574.2
339.102	578.2
339.498	566.4
339.895	586.2
340.291	567
340.688	577
341.085	565
341.481	569.8
341.878	567.6
342.275	585.6
342.672	565.4
343.069	558
343.466	552.6
343.842	580.2
344.239	563.2
344.636	563.4
345.033	560.6
345.431	569.2
345.828	570.6
346.225	565.6
346.623	603.8
347.02	573.2
347.418	575.8
347.816	589.8
348.213	565.6
348.611	578.2
349.009	567.6
349.407	570.8
349.805	550.6
350.203	561.4
350.601	579.8
350.999	561
351.397	620.2
351.795	561.6
352.193	575.8
352.57	579
352.969	575.4
353.367	556.2
353.766	563
354.164	563
354.563	574
354.961	564.6
355.36	560.8
355.759	565.8
356.158	560.6
356.557	564
356.956	551.8
357.355	553.4
357.754	562.6
358.153	567
358.552	590
358.951	571.4
359.35	586.8
359.75	560.8
360.149	561.6
360.527	553.4
360.926	554.2
361.326	565.6
361.726	561.6
362.125	552.8
362.525	580.2
362.925	562.8
363.325	564.4
363.724	571.4
364.124	561.8
364.524	556.6
364.924	556.4
365.324	581
365.725	546.4
366.125	560.6
366.525	561.6
366.904	556.2
367.304	551.6
367.705	581.8
368.105	578
368.506	564.8
368.906	561.8
369.307	562.2
369.708	565.6
370.108	549
370.509	571.2
370.91	558.8
371.311	565.8
371.712	573.6
372.113	557.8
372.514	558.6
372.894	550
373.295	560
373.696	575.8
374.097	563.8
374.499	590.4
374.9	565.4
375.301	553.4
375.703	568.2
376.105	548.4
376.506	567.6
376.908	562.6
377.309	568.8
377.711	558.4
378.113	558.8
378.493	564.4
378.895	559.4
379.297	581.8
379.699	553.8
380.102	576.2
380.504	557.6
380.906	566
381.308	587.4
381.71	564.6
382.113	566.8
382.515	565.4
382.918	561.6
383.299	562
383.701	563.4
384.104	560.4
384.507	538.4
384.909	557.6
385.312	548.8
385.715	550.8
386.118	563.2
386.521	552.2
386.924	569.4
387.327	553
387.709	548.2
388.112	545.2
388.515	559.6
388.918	554.4
389.322	559
389.725	557.4
390.129	581.6
390.532	561
390.936	549.8
391.339	552
391.743	562.4
392.125	552
392.529	569.4
392.933	572.6
393.337	560
393.74	563.4
394.144	570
394.548	551.4
394.953	560.2
395.357	570
395.761	572.4
396.144	558.6
396.548	568.8
396.952	554.6
397.357	556
397.761	558
398.166	561.2
398.57	556.6
398.975	560.8
399.379	568.6
399.763	610
400.168	561.8
400.572	564.4
400.977	559
401.382	577.6
401.787	573.2
402.192	574.4
402.597	572.8
403.002	550.8
403.386	573.4
403.791	579.4
404.197	553.4
404.602	558.8
405.007	559.6
405.413	557.6
405.818	561.6
406.224	555.2
406.608	562.2
407.014	557
407.42	572.6
407.825	562.8
408.231	568.2
408.637	575
409.043	580.6
409.449	558.6
409.834	551.6
410.24	567.6
410.646	577
411.052	568.8
411.458	573.6
411.865	573.4
412.271	569.8
412.677	571.2
413.062	561.4
413.469	554
413.875	582.2
414.282	572.8
414.689	562
415.095	566.4
415.502	558
415.888	562.6
416.294	551.6
416.701	599.2
417.108	564.2
417.515	574.2
417.923	564.2
418.33	574.6
418.715	567.6
419.123	562.4
419.53	553.8
419.937	561.2
420.345	583.6
420.752	556.4
421.16	581.2
421.546	559
421.953	573.2
422.361	553.6
422.769	563.8
423.177	557.6
423.585	580.2
423.992	590.8
424.379	569
424.787	575.2
425.195	575.2
425.603	557
426.011	576.6
426.419	576.8
426.806	559.8
427.214	565.4
427.623	573.8
428.031	584
428.44	566.2
428.848	572.8
429.235	586.8
429.644	574.2
430.053	578
430.461	586.8
430.87	611
431.279	598.2
431.666	588
432.075	594.2
432.484	609.6
432.893	602.4
433.302	630.6
433.711	651.4
434.099	638.8
434.508	626.2
434.918	624.6
435.327	648.6
435.737	658
436.125	670.8
436.534	669.4
436.944	682.4
437.353	693.2
437.763	711
438.173	692
438.561	720.4
438.971	704.6
439.381	721.8
439.791	736.4
440.201	724.8
440.589	752.6
440.999	758.4
441.409	772.8
441.819	754.8
442.23	789.2
442.619	795.2
443.029	791.6
443.439	790
443.85	803.4
444.26	800.6
444.649	811.2
445.06	815.8
445.471	823.8
445.881	829.4
446.292	840.4
446.682	836.6
447.092	810
447.503	888.8
447.914	840.6
448.325	846.2
448.715	848.6
449.126	842.4
449.537	852.6
449.948	848
450.338	856.8
450.75	867.4
451.161	864
451.572	866.2
451.984	849
452.374	853.2
452.786	866.6
453.197	871.4
453.609	867
453.999	857.2
454.411	855
454.823	874.4
455.235	869.2
455.647	873.8
456.037	867
456.449	849
456.862	866.4
457.274	872.2
457.665	861.6
458.077	871.2
458.489	896.2
458.902	870.4
459.293	866.6
459.705	875.2
460.118	864.6
460.53	864
460.921	886.6
461.334	860.6
461.747	873.4
462.16	883.2
462.551	886.4
462.964	879.8
463.377	858.2
463.79	883.6
464.182	892.2
464.595	873.4
465.008	868.2
465.421	880.2
465.813	867.8
466.226	879.8
466.64	868.4
467.053	908
467.445	884.4
467.859	889.2
468.272	876.4
468.686	877.4
469.078	878.2
469.492	859.8
469.906	862.4
470.298	869
470.712	854
471.126	885.6
471.54	849.6
471.933	852.2
472.347	849.8
472.761	853
473.175	850.8
473.568	856.4
473.982	859.8
474.397	848.6
474.79	861.2
475.204	850.8
475.619	851.8
476.033	863.8
476.426	852
476.841	834.8
477.256	858.6
477.649	817
478.064	833.2
478.479	830
478.872	837
479.287	835.4
479.702	824
480.118	842
480.511	828.6
480.927	828.6
481.342	815.8
481.736	822.8
482.151	819.2
482.566	830
482.96	819.6
483.376	831.4
483.792	805.6
484.186	823
484.602	813.8
485.017	814.8
485.412	808.8
485.827	810
486.243	820.8
486.638	822
487.054	816
487.47	821.6
487.865	804.2
488.281	793.2
488.697	780.8
489.092	796.8
489.508	800
489.925	803.4
490.32	786.6
490.736	797.4
