#lambda/nm	C1
208.295	464.6
208.67	431.4
209.045	396.6
209.419	400.4
209.794	568.2
210.169	551.2
210.544	674.6
210.919	571.2
211.295	563.8
211.67	565.2
212.045	557
212.421	568.4
212.796	600.2
213.172	553
213.547	567.6
213.923	569.4
214.299	566.8
214.675	575.4
215.051	572.6
215.427	577.6
215.803	584.4
216.179	578
216.555	565.8
216.932	583
217.308	575
217.684	570.8
218.061	577
218.438	569
218.814	568
219.191	574.6
219.568	559.4
219.945	563.8
220.322	582
220.699	563.8
221.076	583
221.453	574.8
221.83	567.4
222.208	568
222.585	566.6
222.962	576
223.34	577.6
223.717	567
224.095	568.2
224.473	569.4
224.851	565
225.229	554.6
225.607	577.4
225.985	560.4
226.363	565.2
226.741	574.6
227.119	566.8
227.497	579.4
227.876	561
228.254	569.6
228.633	575
229.011	567
229.39	568.8
229.769	570.4
230.148	577.4
230.527	582.2
230.905	573
231.284	575.4
231.664	569
232.043	579.6
232.422	583
232.801	559.6
233.181	578.8
233.56	571.6
233.94	570.2
234.319	559.4
234.699	563.2
235.079	612.6
235.458	602.4
235.838	584.6
236.218	564.6
236.598	561.8
236.978	555.6
237.358	567
237.738	564.8
238.119	582.4
238.499	561.8
238.88	573.6
239.26	593.6
239.641	560
240.021	567.6
240.402	564.2
240.783	563.4
241.163	565.8
241.544	564.4
241.925	569
242.306	577.2
242.687	569.4
243.069	571.8
243.45	572
243.831	562.6
244.212	566.6
244.594	595.8
244.975	585
245.357	578.4
245.739	560.2
246.12	559.2
246.502	579.8
246.884	567.6
247.266	564.8
247.648	571.2
248.03	582.6
248.412	563.6
248.794	573.2
249.176	569
249.559	578.6
249.941	566.6
250.323	556.2
250.706	566.2
251.089	570.4
251.471	569.2
251.854	566.4
252.237	572.4
252.62	570
253.002	563.4
253.385	562
253.769	590.2
254.152	570.6
254.535	575.2
254.918	552.8
255.301	564.8
255.685	560.8
256.068	560.2
256.452	585.8
256.835	574.8
257.219	575.2
257.603	578.4
257.986	563
258.37	578.8
258.754	551.8
259.138	576
259.522	578.4
259.906	567.4
260.29	567.6
260.675	570.8
261.059	565.6
261.443	558.8
261.828	565.6
262.212	570.6
262.597	550.6
262.981	567.2
263.366	574.2
263.751	568.8
264.136	558.8
264.521	566.8
264.906	553.4
265.291	576
265.676	574.8
266.061	577.6
266.446	580.2
266.831	573
267.217	588.8
267.602	576.2
267.987	570.2
