#lambda/nm	C1
208.295	476.6
208.67	432.2
209.045	398.8
209.419	402.2
209.794	566.2
210.169	554.6
210.544	676
210.919	569.6
211.295	562
211.67	568.8
212.045	564.2
212.421	567.6
212.796	596.4
213.172	566.4
213.547	566.6
213.923	559.2
214.299	561.4
214.675	578.8
215.051	568.6
215.427	573.4
215.803	585.6
216.179	568.2
216.555	563.4
216.932	580.4
217.308	568.8
217.684	561
218.061	577.2
218.438	567.6
218.814	568.6
219.191	574.8
219.568	563.4
219.945	560.4
220.322	574.4
220.699	570.6
221.076	579.2
221.453	570.8
221.83	569.6
222.208	564.6
222.585	552.2
222.962	569.4
223.34	571.4
223.717	561.4
224.095	570.6
224.473	577.6
224.851	560.4
225.229	563.4
225.607	591.2
225.985	563.2
226.363	562.4
226.741	567.2
227.119	570
227.497	585.2
227.876	561.2
228.254	574.4
228.633	564.6
229.011	578.4
229.39	573.8
229.769	577
230.148	578.6
230.527	582.8
230.905	564
231.284	568.2
231.664	567.6
232.043	578.2
232.422	579
232.801	559.6
233.181	570.2
233.56	564.2
233.94	571.2
234.319	552.8
234.699	561.4
235.079	610.2
235.458	602.2
235.838	579.4
236.218	556.8
236.598	559.6
236.978	564.8
237.358	558.2
237.738	563.2
238.119	578.4
238.499	559.2
238.88	575.8
239.26	584.2
239.641	560.6
240.021	564.2
240.402	562.6
240.783	562.8
241.163	567
241.544	565.6
241.925	564.8
242.306	584.2
242.687	571
243.069	577.6
243.45	567.6
243.831	564.2
244.212	565
244.594	604.4
244.975	582.2
245.357	569.8
245.739	564.4
246.12	573
246.502	581
246.884	578.6
247.266	569.8
247.648	582.8
248.03	580.4
248.412	573.6
248.794	572.4
249.176	568.8
249.559	578.2
249.941	562.8
250.323	550.4
250.706	558
251.089	571
251.471	581.4
251.854	569.4
252.237	575.4
252.62	582.8
253.002	566.6
253.385	570.8
253.769	580.2
254.152	573.2
254.535	577.6
254.918	557.2
255.301	562.8
255.685	557.2
256.068	556.4
256.452	586
256.835	570.8
257.219	568.2
257.603	582.2
257.986	555.2
258.37	571
258.754	549.4
259.138	573
259.522	571.6
259.906	564.6
260.29	572.2
260.675	566.4
261.059	557.6
261.443	556.6
261.828	573.8
262.212	569.6
262.597	561.6
262.981	562
263.366	574.6
263.751	571.2
264.136	563.2
264.521	565.6
264.906	558.8
265.291	574.8
265.676	569.4
266.061	569.4
266.446	587.8
266.831	571.6
267.217	589.6
267.602	569.2
267.987	566.6
268.373	565.2
268.759	574.8
269.144	570
269.53	563
269.916	569.8
270.302	563.2
270.688	571
271.074	570.6
271.46	573
271.846	597.8
272.232	570.8
272.618	564.4
273.004	561
273.391	571.2
273.777	581.2
274.164	571.6
274.55	573.4
274.937	570
275.324	560.8
275.71	560.2
276.097	572.6
276.484	549.6
276.871	566.6
277.258	576
277.645	556.4
278.032	563.8
278.419	562.6
278.807	570.2
279.194	562.2
279.581	562.6
279.969	573.4
280.356	579.4
280.744	566.2
281.131	594.2
281.519	580.4
281.907	567.2
282.295	568.4
282.682	580.6
283.07	568.6
283.458	582.2
283.846	586.4
284.235	587.4
284.623	574.8
285.011	562.2
285.399	571.8
285.788	574.8
286.176	555.8
286.565	577.4
286.953	561.4
287.342	554
287.731	563.8
288.119	567.2
288.508	561.4
288.897	569.6
289.286	555
289.675	577.8
290.064	584.8
290.453	565.8
290.821	573.6
291.21	585.4
291.599	564.4
291.989	570.4
292.378	584.6
292.768	587.6
293.157	579
293.547	576.8
293.936	568.4
294.326	569.8
294.716	572
295.106	566.8
295.496	573.8
295.886	581.2
296.276	563
296.666	558.6
297.056	559
297.446	553
297.836	589.2
298.227	563.2
298.617	579.8
299.008	582.2
299.398	571
299.789	565.4
300.179	582.6
300.57	581.6
300.961	575
301.352	568.8
301.742	582.2
302.133	577.2
302.524	570.6
302.915	574
303.307	562
303.698	574.4
304.089	575
304.48	573
304.872	573.6
305.263	577.2
305.655	566.6
306.046	575.2
306.438	573
306.829	564.8
307.221	584.2
307.613	567.6
308.005	578.6
308.397	576.2
308.789	589.4
309.181	596.6
309.573	590.6
309.965	573.8
310.357	566.8
310.749	570
311.142	563.4
311.534	568
311.926	576.4
312.319	571
312.711	563.2
313.104	584.4
313.497	559.2
313.889	602.8
314.282	580.2
314.675	595
315.068	571.2
315.461	578.6
315.854	606
316.247	579.2
316.64	574
317.033	567.6
317.405	570.8
317.798	569
318.192	578.2
318.585	570.6
318.979	572.2
319.372	564
319.766	570.2
320.16	578.4
320.553	585.4
320.947	583.8
321.341	561
321.735	570.6
322.129	554.2
322.523	595.8
322.917	557.4
323.311	575
323.705	569.2
324.099	565.4
324.494	582
324.888	573.6
325.282	574
325.677	569.4
326.071	567.8
326.466	583.2
326.861	573.4
327.255	582.4
327.65	580
328.045	580.4
328.44	576.8
328.835	578.8
329.23	567
329.625	590.2
330.02	563
330.415	589.4
330.81	568
331.206	571.8
331.601	571.4
331.996	578.6
332.37	593.6
332.766	567.6
333.161	593.4
333.557	564.2
333.953	567.8
334.348	768
334.744	567.2
335.14	560.6
335.536	563
335.932	575.6
336.328	572.6
336.724	580.6
337.12	567.2
337.516	580
337.913	568.2
338.309	588.8
338.705	571.8
339.102	581.4
339.498	562.6
339.895	583.2
340.291	569.8
340.688	578.2
341.085	565.2
341.481	570
341.878	563
342.275	582.8
342.672	559.6
343.069	568
343.466	558.2
343.842	580.8
344.239	561.8
344.636	576.8
345.033	562.4
345.431	558
345.828	571
346.225	566.4
346.623	609
347.02	567.2
347.418	579.8
347.816	586.8
348.213	556.6
348.611	575.6
349.009	557.4
349.407	585
349.805	561.8
350.203	557.6
350.601	579.6
350.999	563.8
351.397	621
351.795	574
352.193	577.2
352.57	572.4
352.969	573.4
353.367	555.8
353.766	550.4
354.164	562.6
354.563	568
354.961	560.8
355.36	568
355.759	563.2
356.158	559.2
356.557	557
356.956	558.2
357.355	554.4
357.754	569.6
358.153	573.6
358.552	584.4
358.951	560.8
359.35	572.2
359.75	561.8
360.149	552.4
360.527	555.2
360.926	565.8
361.326	569.6
361.726	559
362.125	556.4
362.525	568.6
362.925	563.4
363.325	565
363.724	566.4
364.124	564.6
364.524	554.4
364.924	565.4
365.324	574.4
365.725	546.8
366.125	565.2
366.525	560.2
366.904	558.8
367.304	549.8
367.705	580
368.105	573.6
368.506	563.8
368.906	568.8
369.307	563
369.708	566.4
370.108	559
370.509	571.8
370.91	551
371.311	563.2
371.712	562
372.113	554.8
372.514	552.6
372.894	563.8
373.295	562.4
373.696	567.6
374.097	564.8
374.499	582.6
374.9	555.4
375.301	556.6
375.703	567.2
376.105	550.6
376.506	569.2
376.908	572
377.309	569.6
377.711	557
378.113	557
378.493	566
378.895	554.4
379.297	567.4
379.699	547.8
380.102	558.2
380.504	567.4
380.906	560.2
381.308	587.8
381.71	563.6
382.113	566.6
382.515	558.6
382.918	572.4
383.299	558.2
383.701	565.4
384.104	564.4
384.507	547.4
384.909	564.2
385.312	552.6
385.715	552.6
386.118	562.2
386.521	546.6
386.924	571
387.327	561.8
387.709	549
388.112	544.6
388.515	555.4
388.918	561.4
389.322	567.8
389.725	559.4
390.129	582
390.532	570.4
390.936	558.2
391.339	550
391.743	570
392.125	558.4
392.529	566.4
392.933	579.4
393.337	566.2
393.74	563.4
394.144	555.2
394.548	560.4
394.953	559.2
395.357	572.2
395.761	559.2
396.144	562.8
396.548	564
396.952	558.6
397.357	569.2
397.761	558
398.166	561
398.57	556.6
398.975	549
399.379	567.2
399.763	608.8
400.168	558.4
400.572	559
400.977	556.8
401.382	576.4
401.787	572.4
402.192	585.8
402.597	582.6
403.002	556.8
403.386	569.4
403.791	579.6
404.197	562.8
404.602	559
405.007	561.6
405.413	560
405.818	557.6
406.224	558.8
406.608	561.4
407.014	557
407.42	575.4
407.825	553.2
408.231	573
408.637	567.8
409.043	567.4
409.449	557.4
409.834	552.8
410.24	566.4
410.646	571.2
411.052	571
411.458	565.8
411.865	572.2
