#lambda/nm	C1
208.295	465
208.67	429.8
209.045	393.4
209.419	396.8
209.794	558
210.169	551.8
210.544	671.4
210.919	566.8
211.295	560.2
211.67	574.6
212.045	563.4
212.421	567.2
212.796	603.2
213.172	558.6
213.547	561.6
213.923	562.6
214.299	554.8
214.675	573
215.051	575.2
215.427	572.2
215.803	579.4
216.179	571.6
216.555	559.6
216.932	573.6
217.308	562
217.684	558.2
218.061	581.4
218.438	564
218.814	567.8
219.191	572.4
219.568	568.8
219.945	566.2
220.322	565.2
220.699	566.8
221.076	576.6
221.453	572.2
221.83	558.8
222.208	563.6
222.585	560
222.962	563.8
223.34	569.6
223.717	566.2
224.095	572.4
224.473	569.4
224.851	566.8
225.229	558
225.607	579
225.985	558.6
226.363	577.2
226.741	563.6
227.119	568
227.497	579.8
227.876	558
228.254	569.8
228.633	572
229.011	569
229.39	577.8
229.769	573.2
230.148	570.8
230.527	583.6
230.905	568.4
231.284	579
231.664	567.2
232.043	584.4
232.422	576.4
232.801	562.4
233.181	571.2
233.56	558.8
233.94	565.8
234.319	558.2
234.699	567.2
235.079	608
235.458	599.8
235.838	587.2
236.218	560.6
236.598	562.8
236.978	556.4
237.358	558.4
237.738	565.8
238.119	576.6
238.499	560
238.88	569.8
239.26	581.6
239.641	559.4
240.021	557.8
240.402	559.2
240.783	563
241.163	558.6
241.544	565
241.925	571
242.306	571
242.687	574.6
243.069	573
243.45	568.2
243.831	566.8
244.212	567.2
244.594	605.8
244.975	570.8
245.357	571.6
245.739	560.2
246.12	568.4
246.502	573.4
246.884	558.2
247.266	573.8
247.648	564.8
248.03	579.2
248.412	569.4
248.794	568.4
249.176	565.6
249.559	566.2
249.941	554.8
250.323	557
250.706	560.8
251.089	566.2
251.471	569
251.854	572.2
252.237	560.2
252.62	581.6
253.002	564.6
253.385	570
253.769	585
254.152	570
254.535	581
254.918	564.4
255.301	567.8
255.685	568.4
256.068	553.6
256.452	583
256.835	568
257.219	574.4
257.603	573.8
257.986	555.8
258.37	562.8
258.754	559.4
259.138	573.6
259.522	578.4
259.906	562.4
260.29	569.4
260.675	567.2
261.059	571.2
261.443	556.6
261.828	574.2
262.212	577.2
262.597	566.8
262.981	556.6
263.366	577.4
263.751	571
264.136	558.6
264.521	564.8
264.906	561
265.291	580.8
265.676	567.2
266.061	570.4
266.446	581.8
266.831	570.4
267.217	583.4
267.602	570
267.987	564.4
268.373	563.8
268.759	570
269.144	578.4
269.53	564.4
269.916	566.2
270.302	565.2
270.688	569.2
271.074	571.4
271.46	587.8
271.846	591.4
272.232	572
272.618	566.2
273.004	571
273.391	575.4
273.777	574
274.164	565
274.55	585.6
274.937	572.6
275.324	564.8
275.71	575
276.097	574.4
276.484	560.2
276.871	572.6
277.258	573.4
277.645	552.2
278.032	568.8
278.419	561.8
278.807	576.2
279.194	557.4
279.581	565.4
279.969	574
280.356	573.4
280.744	571
281.131	588.4
281.519	578.2
281.907	563.4
282.295	571.4
282.682	579
283.07	570.2
283.458	572.4
283.846	580.6
284.235	582.2
284.623	578.8
285.011	565.8
285.399	575.4
285.788	564.8
286.176	563.4
286.565	585.4
286.953	561.4
287.342	567.8
287.731	564.8
288.119	556.6
288.508	560
288.897	580.4
289.286	555
289.675	570.8
290.064	583.8
290.453	567
290.821	569.2
291.21	591.2
291.599	566.4
291.989	569
292.378	575
292.768	584.2
293.157	577
293.547	577.4
293.936	568
294.326	561.4
294.716	565.2
295.106	568.2
295.496	573.6
295.886	567.8
296.276	562.8
296.666	560.6
297.056	564.6
297.446	558.8
297.836	586.2
298.227	573.6
298.617	563.6
299.008	587.2
299.398	568.2
299.789	556.6
300.179	565.4
300.57	585
300.961	565.6
301.352	566.4
301.742	575.4
302.133	570.6
302.524	567.2
302.915	572.6
303.307	558.6
303.698	577.8
304.089	575.6
304.48	576
304.872	573.2
305.263	570.4
305.655	561.2
306.046	576.8
306.438	578.2
306.829	569
307.221	577
307.613	575
308.005	572.2
308.397	587
308.789	596.6
309.181	594.4
309.573	577.6
309.965	577.4
310.357	564
310.749	570.6
311.142	558.6
311.534	557.2
311.926	577.4
312.319	566.8
312.711	558.2
313.104	585.2
313.497	568.8
313.889	612.2
314.282	586.4
314.675	593.2
315.068	577.6
315.461	581.2
315.854	598.6
316.247	566.6
316.64	567.2
317.033	567.6
317.405	576.4
317.798	563.4
318.192	566.6
318.585	564.4
318.979	574
319.372	567
319.766	562.6
320.16	576
320.553	580.4
320.947	584.4
321.341	564.6
321.735	565.8
322.129	556
322.523	597
322.917	558
323.311	574.6
323.705	572.8
324.099	574.4
324.494	584.6
324.888	581.8
325.282	570
325.677	577
326.071	577.4
326.466	579.8
326.861	571.6
327.255	577.6
327.65	587.2
328.045	587.2
328.44	573
328.835	573.2
329.23	561.8
329.625	598.4
330.02	566
330.415	601.2
330.81	577.4
331.206	569.2
331.601	567
331.996	582
332.37	590
332.766	565
333.161	587
333.557	572.2
333.953	579
334.348	901.6
334.744	572.6
335.14	569
335.536	566.4
335.932	583.4
336.328	575.4
336.724	570
337.12	564.6
337.516	570
337.913	570.4
338.309	581
338.705	570.4
339.102	572.2
339.498	561.2
339.895	577.4
340.291	565.2
340.688	578
341.085	569.4
341.481	568.4
341.878	570.8
342.275	587.2
342.672	560.6
343.069	558
343.466	544.4
343.842	582.4
344.239	565.6
344.636	570.6
345.033	561.2
345.431	554.6
345.828	569.4
346.225	557.4
346.623	594.4
347.02	563.8
347.418	578.6
347.816	582.6
348.213	560.2
348.611	566.6
349.009	566.6
349.407	578.4
349.805	553.8
350.203	557.8
350.601	574.4
350.999	560.2
351.397	603.6
351.795	565.4
352.193	566.4
352.57	575.2
352.969	569.2
353.367	557.8
353.766	560.8
354.164	558.8
354.563	570.6
354.961	563.6
355.36	562.4
355.759	571.6
356.158	545.2
356.557	559.6
356.956	561.8
357.355	554.2
357.754	567
358.153	572.2
358.552	579.6
358.951	563
359.35	571.8
359.75	563.2
360.149	564.8
360.527	546.2
360.926	549
361.326	567.4
361.726	560
362.125	558.6
362.525	569.4
362.925	566.2
363.325	562.6
363.724	559.2
364.124	554.4
364.524	557.4
364.924	554.6
365.324	582.2
365.725	547.4
366.125	567
366.525	556.8
366.904	551
367.304	551
367.705	575
368.105	576.4
368.506	567.8
368.906	563.4
369.307	555.6
369.708	568.2
370.108	549
370.509	565.4
370.91	551
371.311	570.2
371.712	563.2
372.113	558.6
372.514	554
372.894	560.4
373.295	561.6
373.696	574.8
374.097	571.2
374.499	583.8
374.9	563.6
375.301	552.4
375.703	568.2
376.105	555
376.506	569
376.908	572.6
377.309	559.6
377.711	562
378.113	555.8
378.493	556.2
378.895	560.6
379.297	564.8
379.699	548
380.102	566.2
380.504	557.6
380.906	565.2
381.308	586.4
381.71	556.2
382.113	567.6
382.515	563
382.918	565.8
383.299	562.6
383.701	568.6
384.104	558.2
384.507	541.8
384.909	563
385.312	542.8
385.715	545.4
386.118	554.4
386.521	561.6
386.924	574.4
387.327	557.6
387.709	550.8
388.112	545.2
388.515	563.2
388.918	563.4
389.322	568
389.725	560.6
390.129	586.6
390.532	561
390.936	557.2
391.339	554
391.743	561.8
392.125	553.6
392.529	576
392.933	572.6
393.337	567.2
393.74	554.4
394.144	556.2
394.548	556.8
394.953	547.6
395.357	562.2
395.761	556.4
396.144	563.4
396.548	550.6
396.952	561.2
397.357	550.2
397.761	550.8
398.166	553.4
398.57	555
398.975	560.8
399.379	563.8
399.763	606.2
400.168	562
400.572	564.8
400.977	553.4
401.382	579
401.787	563.2
402.192	568.2
402.597	576.8
403.002	546.4
403.386	569.6
403.791	573.4
404.197	556.2
404.602	565.8
405.007	560
405.413	560.4
405.818	560.2
406.224	553.2
406.608	559
407.014	550
407.42	572.8
407.825	550.4
408.231	565.6
408.637	567.2
409.043	580
409.449	555.8
409.834	547
410.24	557.4
410.646	561
411.052	557.4
411.458	560
411.865	571.2
412.271	570
412.677	563.6
413.062	561.6
413.469	554.2
413.875	577.6
414.282	562.8
414.689	564.2
415.095	570.2
415.502	555.4
415.888	558.8
416.294	546
416.701	604.8
417.108	560.2
417.515	560.4
417.923	562.8
418.33	578.2
418.715	570.4
419.123	554.8
419.53	558
419.937	562.8
420.345	573.8
420.752	549.4
421.16	569.4
421.546	562
421.953	578.4
422.361	555.6
422.769	562.2
423.177	556.4
423.585	586.8
423.992	575.2
424.379	566.6
424.787	568.6
425.195	577
425.603	564.8
426.011	573.4
426.419	579.6
426.806	564.4
427.214	560.6
427.623	581.8
428.031	577
428.44	565.2
428.848	575.2
429.235	583
429.644	575.8
430.053	576.4
430.461	592.4
430.87	609
431.279	598.2
431.666	581.6
432.075	594.6
432.484	611.6
432.893	613
433.302	631.6
433.711	656.2
434.099	641.4
434.508	640.6
434.918	633.6
435.327	661.2
435.737	676
436.125	676.2
436.534	686
436.944	688.6
437.353	704
437.763	730.6
438.173	708.8
438.561	730.2
438.971	718.2
439.381	739
439.791	752.6
440.201	728.6
440.589	760.4
440.999	771.2
441.409	777
441.819	767.2
442.23	805.4
442.619	808.4
443.029	801.8
443.439	808.2
443.85	824.6
444.26	833.4
444.649	829.8
445.06	822.6
445.471	811.8
445.881	827.4
446.292	846.8
446.682	862.2
447.092	829.8
447.503	881.8
447.914	842.4
448.325	840.2
448.715	853.4
449.126	844.2
449.537	848.8
449.948	844.8
450.338	853.8
450.75	866.6
451.161	859.6
451.572	879.4
451.984	859.6
452.374	847.8
452.786	870.8
453.197	866.8
453.609	874.8
453.999	861.6
454.411	866
454.823	883.4
455.235	869
455.647	874
456.037	883.8
456.449	869
456.862	876
457.274	873.8
457.665	873.6
458.077	870.6
458.489	906
458.902	876.4
459.293	879.6
459.705	884.4
460.118	873.4
460.53	885
460.921	875.8
461.334	882.6
461.747	879
462.16	899.8
462.551	895.8
462.964	897
463.377	876
463.79	883.2
464.182	881.8
464.595	868.6
465.008	877.8
465.421	884
465.813	879.4
466.226	881.2
466.64	873.6
467.053	911.8
467.445	879.4
467.859	882
468.272	868.4
468.686	892
469.078	880
469.492	870.2
469.906	881.4
470.298	883
470.712	866.6
471.126	880
471.54	862.4
471.933	866
472.347	877
472.761	871.4
473.175	869.6
473.568	867.6
473.982	853.8
474.397	864.4
474.79	858.6
475.204	875.8
475.619	876
476.033	862.4
476.426	859
476.841	853.6
477.256	868.8
477.649	837.8
478.064	853.4
478.479	834
478.872	844.4
479.287	841.4
479.702	833.2
480.118	837.4
480.511	840.2
480.927	842.8
481.342	834.4
481.736	843.2
482.151	827.2
482.566	849.4
482.96	846
483.376	856.2
483.792	829.8
484.186	834
484.602	824.8
485.017	829.2
485.412	826.6
485.827	830.4
486.243	827.2
486.638	843.4
487.054	820.6
487.47	838.2
487.865	809.8
488.281	803.6
488.697	809.4
489.092	807.2
489.508	797.4
489.925	812
490.32	790.6
490.736	807.8
491.153	797.2
491.548	797.8
491.964	796.6
492.381	781.4
492.776	796.6
493.193	793.6
493.61	803.6
494.006	783.8
494.422	783.8
494.84	777.8
495.235	792.6
495.652	778
496.069	780.8
496.465	771.6
496.883	765.4
497.3	794.4
497.696	763.8
498.113	769.8
498.509	760.2
498.927	752.4
499.344	752.6
499.741	758.6
500.158	756
500.576	766.2
500.973	747.4
501.39	739.4
501.787	745
502.205	750.6
502.623	738.8
503.02	738
503.438	735.8
503.856	726
504.253	748.6
504.671	735
505.068	730.6
505.486	723.6
505.905	748.6
506.302	740.4
506.72	735.4
507.118	720
507.536	723.8
507.955	717.4
508.352	723.2
508.771	719
509.169	705.6
509.587	702.4
510.006	714.2
510.404	701.8
510.823	701.4
511.221	708.2
511.64	701.4
512.038	720.2
512.457	705.4
512.877	703.2
513.275	695.4
513.694	699.2
514.092	692.2
514.512	692.4
514.91	697.8
515.33	686.4
515.749	693.2
516.148	695.2
516.568	697
516.966	693
517.386	679.2
517.785	688.2
518.205	679.8
518.603	683.2
519.024	669.2
519.444	671.4
519.843	688.4
520.263	683.2
520.662	684.2
521.082	676.4
521.481	678.6
521.902	674.8
522.301	665
522.722	681.4
523.121	664.4
523.542	659.6
523.963	668.4
524.362	662.8
524.783	656
525.183	651.2
525.604	661
526.003	661.2
526.425	651
526.824	662
527.246	662.6
527.646	651.6
528.067	657.8
528.467	650.6
528.888	657.2
529.289	644.4
529.71	647.6
530.11	643.6
530.532	644.8
530.932	644
531.354	627.4
531.755	673
532.176	644
532.577	641.2
532.999	635.6
533.4	632.2
533.822	647.4
534.223	638.2
534.645	626.4
535.046	629.8
535.468	627
535.869	633
536.292	632.6
536.693	660.2
537.115	630.8
537.516	624
537.939	621
538.34	641.6
538.742	630
539.165	621
539.566	634.8
539.989	619.8
540.391	614
540.814	619.8
541.216	627
541.639	615.4
542.041	629.8
542.464	609.6
542.866	612.6
543.268	608.2
543.691	616
544.093	620.4
544.517	623.4
544.919	604.2
545.343	639.2
545.745	606.6
546.147	615
546.571	602.4
546.974	602.2
547.398	610.6
547.8	623.6
548.224	599.8
548.627	596.8
549.03	604.2
549.454	593.6
549.857	595.2
550.281	598.8
550.684	597.4
551.087	612
551.512	603.8
551.915	609.2
552.34	598.4
552.743	599.6
553.146	601.6
553.571	607.2
553.975	614.6
554.399	599.2
554.803	633.4
555.207	593.4
555.632	587.2
556.036	596.6
556.461	584.6
556.865	599.4
557.268	597.8
557.694	595.4
558.098	600.6
558.502	603.2
558.927	578.6
559.332	591.8
559.736	587.2
560.162	588.4
560.566	594.4
560.992	597.8
561.396	585
561.801	584.6
562.227	589
562.631	587.4
563.036	594.6
563.462	592.2
563.867	587.8
564.272	577.6
564.698	583
565.103	571.8
565.508	596.6
565.935	582.6
566.34	580.4
566.745	595.6
567.172	578.4
567.577	593.6
567.982	592.6
568.409	583.8
568.815	576.4
569.22	573.4
569.626	587.4
570.053	568.4
570.459	590.2
570.865	580.8
571.292	587.4
571.698	586.2
572.104	564.6
572.531	581.8
572.937	580
573.343	576
573.75	572.2
574.177	580.2
574.583	576.6
574.99	571.4
575.396	578.6
575.824	571.4
576.231	588.4
576.637	563.4
577.065	600.4
577.472	568.2
577.879	567.2
578.286	587.8
578.714	564.4
579.121	574.2
579.528	575.6
579.935	578
580.364	568.2
580.771	556.2
581.178	565
581.585	568.2
582.014	574.6
582.421	561.8
582.829	560.8
583.236	576.8
583.644	562
584.073	561.4
584.481	576.6
584.889	562
585.296	569
585.726	570.6
586.134	558
586.542	559.4
586.95	575
587.358	553.8
587.787	566.2
588.196	572
588.604	566.2
589.012	568.8
589.421	551.4
589.851	561.4
590.259	569.4
590.668	555.6
591.076	591.8
591.485	563.4
591.894	561.8
592.324	568.2
592.733	565.4
593.142	550.2
593.551	559
593.96	585.2
594.369	549.4
594.8	551.6
595.209	559.6
595.618	551.4
596.028	550
596.437	548
596.847	551.8
597.256	558.2
597.687	560
598.097	554.2
598.507	548.6
598.917	566.4
599.327	560.4
599.736	561.8
600.146	557.4
600.556	555
600.988	560.4
601.398	548.6
601.808	553.4
602.219	549
602.629	551.4
603.039	560.2
603.45	579
603.86	549.6
604.271	565.6
604.703	558.6
605.114	548.4
605.525	549.8
605.935	559.2
606.346	569.4
606.757	555.2
607.168	553.8
607.579	552.2
607.99	562.2
608.402	560.4
608.813	553.4
609.224	552.8
609.636	553.2
610.047	552.2
610.48	552.4
610.892	567.4
611.303	572.2
611.715	559.8
612.127	553.4
612.539	555.6
612.95	553.4
613.362	547.8
613.774	545.8
614.186	547.8
614.599	548.2
615.011	566
615.423	555.6
615.835	552.6
616.248	539.8
616.66	557
617.073	547
617.485	547.4
617.898	561
618.311	552
618.723	559.4
619.136	571.6
619.549	570.2
619.962	580.4
620.375	554
620.788	562.6
621.201	554
621.614	568.4
622.028	553.6
622.441	559.4
622.854	572.6
623.268	551.6
623.681	561.8
624.095	554.4
624.509	570.4
624.922	560.8
625.336	556.4
625.728	559.4
626.142	557.8
626.556	574.6
626.97	560.2
627.384	546.2
627.799	558.2
628.213	567.8
628.627	547
629.041	556.4
629.456	547.6
629.87	562.6
630.285	562.4
630.699	565.6
631.093	556
631.507	564.6
631.922	560
632.337	569.6
632.752	548
633.167	555.8
633.582	548.6
633.997	552.4
634.412	552
634.806	560.2
635.221	543.6
635.637	566
636.052	545
636.468	550.8
636.883	573.8
637.299	553.2
637.715	548
638.109	559
638.525	544
638.941	562.6
639.357	559
639.773	564.8
640.189	544.8
640.584	550.8
641	551.4
641.416	542
641.832	546
642.249	541.6
642.665	542
643.06	549.4
643.477	551.4
643.894	541.2
644.31	549
644.727	550.8
645.123	546.4
645.54	539
645.957	556
646.374	561
646.77	549.6
647.187	579.2
647.604	555.2
648.021	533.8
648.439	542.2
648.835	549.4
649.252	551.2
649.67	544.6
650.088	557.2
650.484	553.4
650.902	548.2
651.32	559.6
651.738	546.8
652.134	545.8
652.552	571.6
652.971	554
653.389	552
653.786	561.6
654.204	573.4
654.622	542
655.019	549
655.438	550.8
655.857	550.4
656.275	548.8
656.673	541.2
657.091	555.2
657.51	542.2
657.908	551.6
658.327	561
658.746	533.4
659.144	557.8
659.563	564.2
659.982	549
660.38	546.6
660.8	544.4
661.219	559.2
661.617	555.8
662.037	548.4
662.457	566.4
662.855	536.2
663.275	574
663.695	541.4
664.094	544
664.514	552
664.934	537.4
665.333	550.6
665.753	542.6
666.152	535.2
666.572	538
666.993	555.4
667.392	543
667.812	539.4
668.212	545
668.632	553.8
669.053	542
669.453	542.8
669.874	543.6
670.273	542.4
670.694	538.4
671.116	555
671.515	561.2
671.937	542.6
672.337	543.6
672.758	539
673.158	550
673.58	529
673.98	544.8
674.402	560.6
674.824	547.6
675.224	537.2
675.646	532.8
676.047	537
676.469	544.8
676.869	547
677.292	549.6
677.693	539
678.115	532
678.516	545.8
678.939	542.8
679.34	538.8
679.762	551.8
680.164	543.6
680.586	533
680.988	551.2
681.411	558.8
681.812	546
682.236	541.6
682.637	522
683.061	528
683.462	547.2
683.864	538.2
684.288	552.6
684.69	532
685.114	552
685.516	552.6
685.94	529.8
686.342	537.4
686.766	533.6
687.168	537
687.571	554.8
687.995	536.2
688.398	536
688.822	536.8
689.225	554
689.628	556.2
690.052	537
690.456	543
690.88	539.8
691.284	535
691.687	541.8
692.112	525.8
692.515	529.2
692.919	549.6
693.344	546.2
693.747	535
694.173	530.4
694.577	550.6
694.98	533.4
695.406	538.6
695.81	535.4
696.214	542.4
696.64	545
697.044	537
697.448	551
697.874	534.8
698.279	540.4
698.684	526.4
699.11	532
699.514	541.4
699.919	525.6
700.324	517.2
700.75	542.2
701.156	533.4
701.561	552
701.987	544
702.393	544.8
702.798	539.2
703.203	534.4
703.63	533.2
704.036	535
704.442	541.8
704.847	533
705.274	543.2
705.68	545
706.086	550
706.492	531.6
706.92	536.6
707.326	549.4
707.732	533.2
708.139	530.8
708.545	529.6
708.973	537.8
709.38	533.8
709.786	524.2
710.193	555.2
710.6	534.2
711.028	534.4
711.435	538.6
711.842	539.2
712.249	536.4
712.656	542
713.064	543.2
713.492	532.8
713.9	533.2
714.307	545.2
714.715	545.6
715.123	538.2
715.53	545
715.938	549.4
716.367	535.8
716.775	535.6
717.184	534.6
717.592	528
718	544
718.408	569.6
