#lambda/nm	C1
208.295	471.4
208.67	430.6
209.045	397.2
209.419	402.8
209.794	563.2
210.169	550.6
210.544	666.2
210.919	569.6
211.295	559.2
211.67	568.2
212.045	564.8
212.421	572.6
212.796	592.2
213.172	568
213.547	569.2
213.923	564.8
214.299	560.2
214.675	577
215.051	576.8
215.427	581.8
215.803	593.4
216.179	574.2
216.555	562.8
216.932	578.8
217.308	570
217.684	569
218.061	582
218.438	566.6
218.814	560.8
219.191	577.8
219.568	561.6
219.945	561.8
220.322	572.4
220.699	576.4
221.076	574
221.453	576
221.83	568
222.208	565.2
222.585	561.8
222.962	568
223.34	571
223.717	572.6
224.095	571.6
224.473	569
224.851	559
225.229	560.6
225.607	583
225.985	561.6
226.363	575.2
226.741	567.8
227.119	562.8
227.497	576.6
227.876	560.2
228.254	578
228.633	570.8
229.011	570
229.39	567.6
229.769	573.4
230.148	576.2
230.527	582.2
230.905	571.8
231.284	577
231.664	561.4
232.043	580.8
232.422	576.2
232.801	561.8
233.181	574.2
233.56	571
233.94	569.2
234.319	560
234.699	570.4
235.079	600.2
235.458	601
235.838	582.8
236.218	571.4
236.598	561.2
236.978	565.6
237.358	559.4
237.738	562.2
238.119	581.2
238.499	559.4
238.88	567
239.26	586.2
239.641	562.2
240.021	558.4
240.402	569.8
240.783	561.2
241.163	573.4
241.544	573.6
241.925	565.6
242.306	578.8
242.687	577.8
243.069	568.8
243.45	584
243.831	565
244.212	569.2
244.594	602.8
244.975	582.2
245.357	572
245.739	564.4
246.12	568
246.502	578.6
246.884	566.6
247.266	572
247.648	571.6
248.03	583.2
248.412	574.6
248.794	571.2
249.176	566.6
249.559	591.2
249.941	566
250.323	563.2
250.706	564.6
251.089	572.6
251.471	570.4
251.854	567.6
252.237	568.6
252.62	583.4
253.002	568.6
253.385	568
253.769	585.6
254.152	573
254.535	583.4
254.918	562.8
255.301	566
255.685	568.6
256.068	563.4
256.452	594.4
256.835	580
257.219	577.6
257.603	582.8
257.986	561.6
258.37	582.2
258.754	560.6
259.138	574
259.522	574.4
259.906	568.2
260.29	565.4
260.675	568.8
261.059	565.6
261.443	554.4
261.828	568
262.212	574.8
262.597	551
262.981	560.6
263.366	575
263.751	566
264.136	558.2
264.521	561.6
264.906	561
265.291	581.2
265.676	565
266.061	571
266.446	584.6
266.831	566.6
267.217	593.2
267.602	576.2
267.987	571.4
268.373	566.8
268.759	584.6
269.144	571.6
269.53	571.8
269.916	570.8
270.302	567.8
270.688	578
271.074	569
271.46	582.8
271.846	601.2
272.232	574.6
272.618	570.2
273.004	564.8
273.391	577.8
273.777	584
274.164	577.6
274.55	586.6
274.937	577.2
275.324	569.4
275.71	569.6
276.097	571.8
276.484	573.4
276.871	571
277.258	577.4
277.645	561.4
278.032	568
278.419	562.6
278.807	575.4
279.194	563.8
279.581	565.2
279.969	578.2
280.356	567.8
280.744	567.8
281.131	587.6
281.519	581
281.907	576.6
282.295	567.2
282.682	585
283.07	572.6
283.458	572.4
