#lambda/nm	C1
208.295	474.2
208.67	434.6
209.045	394.8
209.419	396.6
209.794	566.4
210.169	548.8
210.544	666.8
210.919	568.8
211.295	568
211.67	572.6
212.045	568
212.421	565.4
212.796	597
213.172	558.6
213.547	566.4
213.923	568.8
214.299	562
214.675	572
215.051	569.6
215.427	576.8
215.803	582.4
216.179	570.4
216.555	562.2
216.932	571.4
217.308	565.2
217.684	566.2
218.061	572
218.438	566.2
218.814	557
219.191	573.8
219.568	566
219.945	570.4
220.322	568.4
220.699	571
221.076	574.2
221.453	574.8
221.83	570.6
222.208	566
222.585	566.2
222.962	568.2
223.34	570.2
223.717	565.6
224.095	561.8
224.473	574.6
224.851	558.8
225.229	559
225.607	577.8
225.985	561.8
226.363	572.6
226.741	570.8
227.119	565.4
227.497	579.4
227.876	549.6
228.254	576.4
228.633	576
229.011	573.6
229.39	579.2
229.769	575.6
230.148	574.2
230.527	591.6
230.905	569.6
231.284	569
231.664	557.6
232.043	582
232.422	581.4
232.801	563.4
233.181	571.6
233.56	568.2
233.94	568.4
234.319	556.8
234.699	567.4
235.079	607.2
235.458	603.2
235.838	582.8
236.218	562
236.598	565.4
236.978	564.2
237.358	565.8
237.738	552.4
238.119	571.2
238.499	554.4
238.88	568.8
239.26	583.6
239.641	559
240.021	560.4
240.402	568
240.783	566.4
241.163	574.6
241.544	568.8
241.925	571.8
242.306	589.4
242.687	570.4
243.069	574.8
243.45	581
243.831	558.4
244.212	561.2
244.594	606.2
244.975	569
245.357	569.6
245.739	565.8
246.12	561.6
246.502	581.4
246.884	573.6
247.266	565.4
247.648	566
248.03	585.2
248.412	573
248.794	580
249.176	558.4
249.559	576
249.941	559.6
250.323	560.8
250.706	564
251.089	566.6
251.471	570.6
251.854	568.8
252.237	570.8
252.62	581
253.002	566.8
253.385	565.4
253.769	579.2
254.152	573
254.535	575.6
254.918	556.8
255.301	563
255.685	565.6
256.068	553.8
256.452	582.8
256.835	570
257.219	574
257.603	582.4
257.986	562.8
258.37	567.4
258.754	556.8
259.138	575
259.522	583.2
259.906	570
260.29	573.8
260.675	568
261.059	567.2
261.443	557
261.828	572.6
262.212	573
262.597	563.4
262.981	563
263.366	577.4
263.751	572.6
264.136	562.6
264.521	574.6
264.906	560.4
265.291	578.2
265.676	559.4
266.061	576.8
266.446	586.6
266.831	571.6
267.217	585
267.602	574.6
267.987	574.2
268.373	563
268.759	573.2
269.144	571
269.53	565.8
269.916	565.8
270.302	564.8
270.688	573
271.074	566.6
271.46	582.2
271.846	596.2
272.232	566.2
272.618	565
273.004	563.2
273.391	578.6
273.777	572.2
274.164	569.8
274.55	574.2
274.937	566.6
275.324	565.6
275.71	576.8
276.097	570.8
276.484	560.2
276.871	576.8
277.258	577.2
277.645	554
278.032	564
278.419	570.6
278.807	574.2
279.194	562.2
279.581	557.2
279.969	575.4
280.356	573.8
280.744	565.8
281.131	584.4
281.519	582.6
281.907	569.6
282.295	566.8
282.682	578.6
283.07	575.4
283.458	579
283.846	583
284.235	585
284.623	586.6
285.011	564
285.399	577
285.788	563.2
286.176	565.8
286.565	591.2
286.953	569.6
287.342	567.4
287.731	566.4
288.119	554.8
288.508	562.2
288.897	565
289.286	555.6
289.675	573.2
290.064	572
290.453	566
290.821	567.8
291.21	577.6
291.599	567.6
291.989	574.4
292.378	571.2
292.768	594
293.157	569
293.547	575.8
293.936	563.8
294.326	564.6
294.716	573.2
295.106	574
295.496	572.4
295.886	577.2
296.276	571.2
296.666	559
297.056	561.6
297.446	555.4
297.836	583.2
298.227	567.8
298.617	567.4
299.008	578.8
299.398	575.8
299.789	557
300.179	569.4
300.57	585.4
300.961	567.8
301.352	569.6
301.742	578.8
302.133	574
302.524	574.6
302.915	564.6
303.307	561
303.698	571.4
