#lambda/nm	C1
208.295	469.8
208.67	433.8
209.045	391.4
209.419	398
209.794	567.6
210.169	549.6
210.544	671.4
210.919	573.2
211.295	562.8
211.67	569.2
212.045	561.4
212.421	566.8
212.796	594.2
213.172	557.6
213.547	561.2
213.923	564.2
214.299	564.8
214.675	582.4
215.051	571.8
215.427	577.4
215.803	580.6
216.179	572.8
216.555	560.4
216.932	583.8
217.308	560.8
217.684	567.2
218.061	572.4
218.438	574.6
218.814	556
219.191	572.2
219.568	563.2
219.945	571.2
220.322	573.4
220.699	570
221.076	580.6
221.453	572.6
221.83	561.4
222.208	563
222.585	563.4
222.962	569.8
223.34	568.4
223.717	561.6
224.095	561.8
224.473	560.2
224.851	560.2
225.229	554.2
225.607	578.4
225.985	552.2
226.363	566.6
226.741	564.2
227.119	560.2
227.497	565.2
227.876	555
228.254	572.2
228.633	572.8
229.011	564.6
229.39	567
229.769	570.8
230.148	569
230.527	586.2
230.905	557.4
231.284	566.6
231.664	565
232.043	576.2
232.422	575
232.801	559.4
233.181	570.2
233.56	562
233.94	570.6
234.319	556.4
234.699	561.4
235.079	607.6
235.458	598
235.838	585.8
236.218	561.6
236.598	560
236.978	557.8
237.358	561
237.738	561
238.119	570
238.499	556.8
238.88	570.8
239.26	582.4
239.641	561.6
240.021	559.8
240.402	565.6
240.783	576
241.163	570
241.544	569.4
241.925	568
242.306	577.8
242.687	566.4
243.069	574
243.45	580.6
243.831	566
244.212	562.2
244.594	601.8
244.975	571.8
245.357	579
245.739	566.2
246.12	567
246.502	578.6
246.884	566.8
247.266	566.6
247.648	568.4
248.03	592.2
248.412	572.2
248.794	565.2
249.176	563.2
249.559	571.8
249.941	559.4
250.323	563.8
250.706	563.2
251.089	571.2
251.471	570.8
251.854	568.2
252.237	564
252.62	578.6
253.002	565.2
253.385	566.6
253.769	581.2
254.152	564.4
254.535	572.2
254.918	559.2
255.301	562.4
255.685	570.6
256.068	557.8
256.452	600.4
256.835	579
257.219	575.6
257.603	582.6
257.986	559.6
258.37	577.4
258.754	550
259.138	571.2
259.522	571
259.906	564
260.29	567.4
260.675	563.2
261.059	575
261.443	561.6
261.828	577.8
262.212	574
262.597	560.4
262.981	562.2
263.366	571.2
263.751	573.4
264.136	565.2
264.521	565.2
264.906	572
265.291	575.4
265.676	571.8
266.061	580.4
266.446	587
266.831	570
267.217	592.4
267.602	573
267.987	570.8
268.373	577.4
268.759	582.8
269.144	576.8
269.53	567.4
269.916	569
270.302	565.2
270.688	580.8
271.074	586
271.46	582
271.846	597.8
272.232	571.2
272.618	561
273.004	576
273.391	576.2
273.777	574.4
274.164	573.6
274.55	583.6
274.937	561
275.324	566
275.71	574.2
276.097	577.4
276.484	569.4
276.871	572.2
277.258	571.2
277.645	557.6
278.032	571.2
278.419	568.6
278.807	574.6
279.194	565.6
279.581	566.8
279.969	568
280.356	570.8
280.744	576.8
281.131	587.6
281.519	587.8
281.907	564
282.295	567
282.682	583
283.07	563.8
283.458	576.2
283.846	574.6
284.235	585.6
284.623	574.6
285.011	559.2
285.399	579.2
285.788	575.4
286.176	563.4
286.565	577.4
286.953	571.4
287.342	561.2
287.731	566
288.119	561.8
288.508	565.6
288.897	568.4
289.286	559.8
289.675	567
290.064	579.6
290.453	563.4
290.821	565.8
291.21	579.6
291.599	562
291.989	571.2
292.378	577.2
292.768	592
293.157	570.4
293.547	570.8
293.936	566
294.326	562
294.716	565.8
295.106	562.4
295.496	568.8
295.886	570
296.276	572.8
296.666	557.8
297.056	562
297.446	558.8
297.836	576.8
298.227	558.4
298.617	565.6
299.008	578
299.398	560.2
299.789	560.2
300.179	574.6
300.57	580.8
300.961	566.6
301.352	569.4
301.742	569.8
302.133	567.4
302.524	569.6
302.915	563.4
303.307	566
303.698	575.2
304.089	570.4
304.48	567.4
304.872	567.6
305.263	571.6
305.655	560.4
306.046	576.4
306.438	570
306.829	559
307.221	588.4
307.613	574.8
308.005	580
308.397	577.4
308.789	579.2
309.181	587.8
309.573	581.8
309.965	578.8
310.357	565.8
310.749	570
311.142	562.6
311.534	565.6
311.926	570.4
312.319	564.2
312.711	562
313.104	575.2
313.497	568.8
313.889	607.2
314.282	586
314.675	600.8
315.068	573.8
315.461	577.6
315.854	601.4
316.247	577.6
316.64	562.6
317.033	568.8
317.405	577.4
317.798	563.8
318.192	571.8
318.585	568.8
318.979	567.8
319.372	567.2
319.766	570.2
320.16	586.2
320.553	580.6
320.947	583
321.341	566.6
321.735	561.2
322.129	553.8
322.523	599
322.917	562.2
323.311	576.6
323.705	569
324.099	568.4
324.494	575.4
324.888	567.4
325.282	566
325.677	579.4
326.071	580.4
326.466	575.8
326.861	566.2
327.255	581
327.65	588
328.045	580.8
328.44	567.2
328.835	568.4
329.23	557
329.625	590
330.02	563.8
330.415	586.2
330.81	569.6
331.206	566.2
331.601	564.4
331.996	577.6
332.37	581.8
332.766	558.8
333.161	588
333.557	565.8
333.953	565.4
334.348	854.8
334.744	567.6
335.14	560.2
335.536	566.4
335.932	576
336.328	566.6
336.724	578.8
337.12	571.2
337.516	574.2
337.913	570.8
338.309	590
338.705	568
339.102	577.8
339.498	560.6
339.895	588.2
340.291	561.4
340.688	574.4
341.085	563.2
341.481	569
341.878	574.2
342.275	585.6
342.672	555.6
343.069	566
343.466	555.8
343.842	574.4
344.239	564
344.636	567.6
345.033	566.4
345.431	558.4
345.828	568.6
346.225	562.4
346.623	591.4
347.02	560.8
347.418	577.4
347.816	583.8
348.213	570.6
348.611	575.8
349.009	564.4
349.407	581
349.805	549
350.203	557.8
350.601	574.8
350.999	559.6
351.397	604.8
351.795	558
352.193	567.4
