#lambda/nm	C1
208.295	474.2
208.67	433.2
209.045	400
209.419	399.2
209.794	566.6
210.169	549.8
210.544	674.6
210.919	575.2
211.295	565.2
211.67	570.8
212.045	568.4
212.421	574.8
212.796	606.4
213.172	558.6
213.547	570.2
213.923	563.6
214.299	569.6
214.675	575
215.051	569.8
215.427	584.4
215.803	587.2
216.179	574.2
216.555	557.8
216.932	586.2
217.308	565.6
217.684	570.6
218.061	580.2
218.438	577.2
218.814	557.2
219.191	579.8
219.568	562
219.945	566.2
220.322	564.8
220.699	576.6
221.076	582.8
221.453	579
221.83	573.2
222.208	571.2
222.585	567.2
222.962	568.2
223.34	569.4
223.717	569.2
224.095	564.2
224.473	572.6
224.851	567
225.229	561.6
225.607	583.4
225.985	555.8
226.363	567.6
226.741	566.6
227.119	562.6
227.497	582.6
227.876	553.6
228.254	580
228.633	572.2
229.011	578
229.39	567.8
229.769	575.8
230.148	586
230.527	586.8
230.905	573
231.284	578
231.664	568.6
232.043	584.8
232.422	574.4
232.801	559.6
233.181	579.2
233.56	568.6
233.94	571.2
234.319	555.2
234.699	565.6
235.079	603.6
235.458	598.4
235.838	586.2
236.218	565.8
236.598	556.2
236.978	562.2
237.358	556.4
237.738	566.2
238.119	572.2
238.499	555.4
238.88	574.4
239.26	587
239.641	557
240.021	566.8
240.402	567
240.783	562.8
241.163	567.4
241.544	581
241.925	572
242.306	576.4
242.687	573.4
243.069	571.8
243.45	577.4
243.831	572.4
244.212	571
244.594	608.4
244.975	575.6
245.357	570.8
245.739	564.6
246.12	577.2
246.502	589.8
246.884	570
247.266	568
247.648	578
248.03	599.8
248.412	577.4
248.794	569.8
249.176	567.4
249.559	568.2
249.941	566.6
250.323	566.6
250.706	566.8
251.089	578
251.471	566
251.854	573
252.237	574.2
252.62	572.4
253.002	565.4
253.385	566.4
253.769	583.6
254.152	568.6
254.535	574.6
254.918	568
255.301	571.8
255.685	565.2
256.068	559
256.452	590.6
256.835	576.6
257.219	581
257.603	578.4
257.986	563.4
258.37	581.8
258.754	557.4
259.138	565
259.522	580.6
259.906	566.2
260.29	571
260.675	557.4
261.059	574.6
261.443	560.6
261.828	576.6
262.212	572.4
262.597	558.8
262.981	562.2
263.366	580.6
263.751	572.8
264.136	559.8
264.521	561
264.906	565.6
265.291	576.2
265.676	571.6
266.061	581.6
266.446	589.2
266.831	568.8
267.217	598
267.602	573.8
267.987	574.4
268.373	562.6
268.759	582.8
269.144	576
269.53	561
269.916	564.4
270.302	569.8
270.688	573.4
271.074	577.2
271.46	582.4
271.846	606.8
272.232	574
272.618	565.4
273.004	568.6
273.391	581.6
273.777	586.2
274.164	571.4
274.55	587.6
274.937	578.6
275.324	566.6
275.71	573.2
276.097	577.4
276.484	572.4
276.871	578.4
277.258	573.2
277.645	560.2
278.032	573.2
278.419	571.8
278.807	574.4
279.194	562.8
279.581	568.6
279.969	572.8
280.356	573.4
280.744	573.2
281.131	586.6
281.519	574.6
281.907	562
282.295	563.4
282.682	581.4
283.07	575
283.458	570.6
283.846	583.4
284.235	579.2
284.623	577.6
285.011	560.4
285.399	571.2
285.788	569.8
286.176	563.8
286.565	562.8
286.953	563.8
287.342	563
287.731	558.6
288.119	559.2
288.508	568.4
288.897	564
289.286	561.2
289.675	574
290.064	583
290.453	560
290.821	573.8
291.21	585.8
291.599	570.8
291.989	571.6
292.378	574.4
292.768	586
293.157	566.8
293.547	587
293.936	573.4
294.326	563.2
294.716	575
295.106	567.8
295.496	584.2
295.886	582.6
296.276	570.4
296.666	566.6
297.056	571
297.446	561
297.836	594.2
298.227	572.6
298.617	572.2
299.008	576
299.398	565.4
299.789	574.4
300.179	568.2
300.57	583.2
300.961	572
301.352	568.6
301.742	586.4
302.133	583.6
302.524	574.4
302.915	571.4
303.307	556.2
303.698	581.2
304.089	578.4
304.48	569.4
304.872	575.4
305.263	574.4
305.655	565.4
306.046	575
306.438	578
306.829	569.2
307.221	588.4
307.613	569.6
308.005	578
308.397	582
308.789	585.4
309.181	587.8
309.573	584.6
309.965	581.2
310.357	569.6
310.749	569.8
311.142	562.8
311.534	561.8
311.926	577.2
312.319	573.8
312.711	565.4
313.104	586.6
313.497	568.4
313.889	612.6
314.282	584.6
314.675	600.8
315.068	573.6
315.461	585.4
315.854	606.4
316.247	578.6
316.64	566.2
317.033	572.8
317.405	573.4
317.798	565.2
318.192	581.6
318.585	566.4
318.979	576.4
319.372	565.6
319.766	577.2
320.16	581.6
320.553	588
320.947	591
321.341	569.2
321.735	575.2
322.129	568.4
322.523	598.4
322.917	568.8
323.311	576.4
323.705	571.4
324.099	576.2
324.494	581.8
324.888	578
325.282	568.4
325.677	582.4
326.071	574.6
326.466	585.6
326.861	568.4
327.255	573.8
327.65	582.8
328.045	593.6
328.44	580
328.835	569.4
329.23	569
329.625	593
330.02	566.6
330.415	587.2
330.81	577.2
331.206	580.6
331.601	569.4
331.996	577
332.37	590.6
332.766	563.8
333.161	588.4
333.557	570.8
333.953	563
334.348	852.8
334.744	576.8
335.14	567.2
335.536	562.2
335.932	579
336.328	570.8
336.724	582.4
337.12	581.4
337.516	572.4
337.913	569.4
338.309	584.4
338.705	565.4
339.102	582
339.498	559.4
339.895	590.2
340.291	569.8
340.688	579.8
341.085	566.6
341.481	570.4
341.878	577.4
342.275	593.6
342.672	558.4
343.069	563.4
343.466	556.8
343.842	576
344.239	560.6
344.636	570.2
345.033	568.6
345.431	564
345.828	567.4
346.225	573
346.623	607.4
347.02	577.8
347.418	572.4
347.816	580.2
348.213	561.2
348.611	579
349.009	562.4
349.407	581.8
349.805	558.4
