#lambda/nm	C1
208.295	475.2
208.67	440.6
209.045	401
209.419	403.2
209.794	566.2
210.169	550.4
210.544	674
210.919	576
211.295	576.8
211.67	574.4
212.045	567.4
212.421	560
212.796	600.6
213.172	566.6
213.547	573.8
213.923	564.6
214.299	563.8
214.675	578
215.051	574.6
215.427	575
215.803	591.8
216.179	581
216.555	566.6
216.932	581.2
217.308	578.4
217.684	567
218.061	579
218.438	576.6
218.814	571.4
219.191	585.8
219.568	562
219.945	570.6
220.322	585.2
220.699	579.4
221.076	585.6
221.453	570.4
221.83	570
222.208	570.6
222.585	576.2
222.962	574.4
223.34	573.2
223.717	570
224.095	581.2
224.473	570.8
224.851	574.6
225.229	571
225.607	584
225.985	573.2
226.363	576.2
226.741	573.2
227.119	573.6
227.497	588.6
227.876	566.6
228.254	579.6
228.633	570.2
229.011	573
229.39	574.6
229.769	564.6
230.148	577.4
230.527	586.8
230.905	568.2
231.284	573.2
231.664	568.8
232.043	585.4
232.422	574.2
232.801	570.6
233.181	582.2
233.56	575
233.94	572.6
234.319	558
234.699	569
235.079	597.6
235.458	604.8
235.838	585
236.218	563
236.598	566.4
236.978	564
237.358	567.2
237.738	568
238.119	577
238.499	566.2
238.88	581.8
239.26	590.8
239.641	563.4
240.021	576
240.402	573.8
240.783	573.4
241.163	560
241.544	578.6
241.925	576.8
242.306	588.6
242.687	578.4
243.069	567.2
243.45	574.8
243.831	567.8
244.212	569
244.594	607.4
244.975	581
245.357	572.8
245.739	568.4
246.12	570.6
246.502	585.6
246.884	576.2
247.266	573.4
247.648	574.8
248.03	589
248.412	568.2
248.794	568.4
249.176	568.4
249.559	583.4
249.941	571.4
250.323	557.6
250.706	563
251.089	576.4
251.471	568.4
251.854	568.6
252.237	564.6
252.62	580.4
253.002	574.4
253.385	565
253.769	590
254.152	574.2
254.535	572.6
254.918	562.4
255.301	566.4
255.685	576.6
256.068	566
256.452	593.6
256.835	582.4
257.219	570.4
257.603	583
257.986	561.4
258.37	583.6
258.754	559
259.138	579.4
259.522	579.2
259.906	571.2
260.29	578.6
260.675	570
261.059	573.2
261.443	564.2
261.828	576
262.212	567.2
262.597	554.4
262.981	568
263.366	573
263.751	570.4
264.136	564.6
264.521	566.8
264.906	552.6
265.291	589.6
265.676	572.2
266.061	585
266.446	590.6
266.831	580
267.217	583.6
267.602	581.2
267.987	577.4
268.373	569.6
268.759	586.8
269.144	578.6
269.53	577.6
269.916	572.4
270.302	571.2
270.688	587.4
271.074	568.4
271.46	585.2
271.846	608
272.232	578.6
272.618	571
273.004	573.4
273.391	579
273.777	584.4
274.164	577.2
274.55	583.4
274.937	570.6
275.324	568.4
275.71	577.6
276.097	573.2
276.484	565.4
276.871	573.8
277.258	583
277.645	559
278.032	563.6
278.419	571.6
278.807	575.6
279.194	564.4
279.581	564.2
279.969	575.4
280.356	576.8
280.744	576.8
281.131	598
281.519	581.4
281.907	574.6
282.295	569
282.682	584.6
283.07	581.4
283.458	584.4
283.846	585.4
284.235	576.8
284.623	579.8
285.011	564.6
285.399	573.8
285.788	563.6
286.176	556.8
286.565	586.8
286.953	566
287.342	566.6
287.731	573.4
288.119	552.8
288.508	570.4
288.897	575.2
289.286	564.2
289.675	567.6
290.064	577.6
290.453	562.6
290.821	568.6
291.21	590.2
291.599	565.6
291.989	566.4
292.378	573.4
292.768	586.4
293.157	573.4
293.547	580.4
293.936	564.8
294.326	560.2
294.716	569
295.106	566.2
295.496	573.4
295.886	577.8
296.276	574.6
296.666	565.4
297.056	566
297.446	565
297.836	592.8
298.227	567.2
298.617	577.4
299.008	584
299.398	567
299.789	570
300.179	578.8
300.57	581.2
300.961	567.2
301.352	564.6
301.742	578.6
302.133	567.6
302.524	571.2
302.915	570.4
303.307	560.8
303.698	589.8
304.089	577.8
304.48	567.2
304.872	577.4
305.263	576.4
305.655	572
306.046	574.8
306.438	576.4
306.829	571.8
307.221	573.6
307.613	581
308.005	587.6
308.397	588.2
308.789	599.8
309.181	605.6
309.573	587.6
309.965	591.4
310.357	567.4
310.749	566.4
311.142	565.2
311.534	567
311.926	572.2
312.319	569.8
312.711	567.6
313.104	595
313.497	579.8
313.889	606.8
314.282	597.6
314.675	600.6
315.068	570.6
315.461	585.4
315.854	603.6
316.247	587.4
316.64	574.6
317.033	580.4
317.405	578
317.798	575.2
318.192	580
318.585	568.2
318.979	578.4
319.372	567.2
319.766	571
320.16	588.2
320.553	581.8
320.947	597
321.341	566.4
321.735	573.6
322.129	562
322.523	595.4
322.917	559.6
323.311	589.2
323.705	581.6
324.099	570.8
324.494	591.2
324.888	578.4
325.282	570
325.677	577
326.071	578.2
326.466	584.2
326.861	580.2
327.255	582.2
