#lambda/nm	C1
208.295	473.6
208.67	438.2
209.045	400.6
209.419	399.2
209.794	571
210.169	555.8
210.544	682.4
210.919	580.4
211.295	562
211.67	570
212.045	566.2
212.421	567.6
212.796	600.6
213.172	563.6
213.547	561
213.923	566.4
214.299	567.6
214.675	577
215.051	568.8
215.427	579.8
215.803	592.2
216.179	570.6
216.555	560
216.932	566.6
217.308	568.2
217.684	571.8
218.061	576.4
218.438	578.4
218.814	558.6
219.191	583
219.568	557.4
219.945	569.4
220.322	571.2
220.699	575
221.076	580.8
221.453	574.8
221.83	567.2
222.208	564.6
222.585	565.8
222.962	574.2
223.34	573.8
223.717	566.2
224.095	572.2
224.473	569.8
224.851	561.6
225.229	555.2
225.607	587.8
225.985	565.4
226.363	576.6
226.741	575.2
227.119	569.4
227.497	583.2
227.876	565.4
228.254	578
228.633	573.2
229.011	571.4
229.39	570.4
229.769	576.4
230.148	576
230.527	591.4
230.905	572.2
231.284	571
231.664	568.4
232.043	579.2
232.422	575.6
232.801	564.6
233.181	584
233.56	566
233.94	574.4
234.319	563.2
234.699	567.8
235.079	605.8
235.458	608.6
235.838	585
236.218	563.8
236.598	558.4
236.978	564.8
237.358	569.2
237.738	565
238.119	568.2
238.499	561.2
238.88	577
239.26	588.2
239.641	565.2
240.021	565.6
240.402	571.4
240.783	570.4
241.163	575.2
241.544	574.4
241.925	580.2
242.306	581.4
242.687	577.6
243.069	573.2
243.45	583.4
243.831	568.8
244.212	567.6
244.594	603
244.975	577.2
245.357	580.8
245.739	569.2
246.12	573.2
246.502	578.8
246.884	566
247.266	569.8
247.648	570.4
248.03	600.2
248.412	571.4
248.794	578.4
249.176	573.4
249.559	576.4
249.941	570
250.323	566.2
250.706	574.8
251.089	572.6
251.471	573.6
251.854	567
252.237	561.6
252.62	576.4
253.002	560.2
253.385	567
253.769	579.8
254.152	575.4
254.535	575.4
254.918	567.2
255.301	565.4
255.685	571.2
256.068	567.2
256.452	591.6
256.835	578
257.219	577.2
257.603	583.6
257.986	564.8
258.37	576.6
258.754	561
259.138	573
259.522	583.6
259.906	572
260.29	567.6
260.675	562.4
261.059	573.4
261.443	563
261.828	577.4
262.212	574.6
262.597	567.6
262.981	569
263.366	586.4
263.751	571.8
264.136	566
264.521	574
264.906	563.6
265.291	588.6
265.676	571.4
266.061	579.8
266.446	582.4
266.831	570.2
267.217	591.2
267.602	572
267.987	573.6
268.373	582.8
268.759	588.8
269.144	570.2
269.53	575.2
269.916	566.2
270.302	564.8
270.688	580.4
271.074	574.6
271.46	592.8
271.846	600
272.232	573.6
272.618	571.2
273.004	571.4
273.391	583.6
273.777	579.8
274.164	582.8
274.55	587.6
274.937	575.6
275.324	572.8
275.71	576.4
276.097	574.2
276.484	562
276.871	579.4
