#lambda/nm	C1
208.295	474.2
208.67	439.2
209.045	399.2
209.419	393.6
209.794	570
210.169	549.6
210.544	668.2
210.919	574.6
211.295	563.8
211.67	578.2
212.045	556.6
212.421	560.8
212.796	595.6
213.172	565.2
213.547	566
213.923	564.8
214.299	563
214.675	569.8
215.051	568.6
215.427	575.2
215.803	587.2
216.179	572.4
216.555	575.2
216.932	582.2
217.308	566
217.684	568.4
218.061	576.8
218.438	573.8
218.814	561.8
219.191	578.4
219.568	569.2
219.945	563.6
220.322	573.4
220.699	565
221.076	576.4
221.453	571.8
221.83	565
222.208	561.2
222.585	556
222.962	570.8
223.34	572.8
223.717	568.8
224.095	560.2
224.473	573
224.851	564.8
225.229	560
225.607	577.2
225.985	559.8
226.363	561.8
226.741	564.2
227.119	567.2
227.497	580.2
227.876	561.8
228.254	578
228.633	571.2
229.011	572.8
229.39	573.2
229.769	567.6
230.148	581.2
230.527	586
230.905	565
231.284	567.6
231.664	566.4
232.043	573.2
232.422	580
232.801	561.4
233.181	567.8
233.56	570
233.94	576.2
234.319	553.6
234.699	565.4
235.079	604.6
235.458	613.8
235.838	586.4
236.218	559.4
236.598	555.4
236.978	552.8
237.358	557.8
237.738	568
238.119	574.8
238.499	553.2
238.88	580.2
239.26	577.6
239.641	558.4
240.021	558.4
240.402	559.6
240.783	569
241.163	563.8
241.544	568.2
241.925	561.4
242.306	581.6
242.687	570.4
243.069	569.4
243.45	569.2
243.831	551
244.212	563.8
244.594	598
244.975	579.4
245.357	574
245.739	569.6
246.12	571.2
246.502	584
246.884	564.8
247.266	562.8
247.648	568.4
248.03	598.2
248.412	569.2
248.794	571.4
249.176	568.8
249.559	575.6
249.941	568.8
250.323	562.8
250.706	560.8
251.089	572.4
251.471	569.2
251.854	573.2
252.237	569.4
252.62	575
253.002	575.2
253.385	570.2
253.769	579.8
254.152	571.4
254.535	574
254.918	562
255.301	567.8
255.685	573.8
256.068	562
256.452	590
256.835	586.2
257.219	583.8
257.603	587.6
257.986	556.4
258.37	573.2
258.754	566
259.138	578.2
259.522	583.4
259.906	572
260.29	561
260.675	568.2
261.059	570.8
261.443	560.2
261.828	576.2
262.212	570.4
262.597	556.2
262.981	572.6
263.366	578.4
263.751	568.6
264.136	570.2
264.521	569.8
264.906	570.6
265.291	582.2
265.676	564.4
266.061	577
266.446	591.8
266.831	574.8
267.217	597
267.602	571.8
267.987	570.2
268.373	568.8
268.759	580.6
269.144	573
269.53	573.8
269.916	565.8
270.302	569.6
270.688	582.2
271.074	570.2
271.46	580.4
271.846	602.6
272.232	570.8
272.618	570.4
273.004	568.8
273.391	579
273.777	586.8
274.164	575
274.55	584
274.937	568.6
275.324	570.2
275.71	576.6
276.097	569.6
276.484	561.2
276.871	575.4
277.258	575.8
277.645	549.4
278.032	572.2
278.419	560.2
278.807	573.8
279.194	558.6
279.581	563.2
279.969	578.6
280.356	570.8
280.744	568.4
281.131	591.6
281.519	573.6
281.907	564.8
282.295	562.8
282.682	578.4
283.07	571.2
283.458	582.4
283.846	578.6
284.235	575.8
284.623	582.2
285.011	556.8
285.399	574.8
285.788	571.4
286.176	552.2
286.565	576
286.953	570.6
287.342	567.4
287.731	568
288.119	569.6
288.508	565.4
288.897	580.2
289.286	565.4
289.675	571.6
290.064	583.6
290.453	566.2
290.821	570.8
291.21	588
291.599	566
291.989	572.4
292.378	572
292.768	584.6
293.157	581.6
293.547	574.4
293.936	566.4
294.326	571.4
294.716	580.4
295.106	571.8
295.496	575.4
295.886	581.2
296.276	561.2
296.666	563.8
297.056	565.4
297.446	562.4
297.836	587
298.227	570.4
298.617	567.6
299.008	581.2
299.398	563.8
299.789	562.6
300.179	572.4
300.57	598.8
300.961	565.2
301.352	569.6
301.742	573.8
302.133	579.6
302.524	563.2
302.915	577.4
303.307	571.6
303.698	575.4
304.089	574
304.48	563.2
304.872	575.8
305.263	567.2
305.655	563.8
306.046	582.8
306.438	582.4
306.829	567
307.221	583.6
307.613	581
308.005	578.6
308.397	580.8
308.789	586.2
309.181	590.2
309.573	586.4
309.965	585.8
310.357	562
310.749	574.4
311.142	563.4
311.534	568.2
311.926	575.4
312.319	571.4
312.711	565.8
313.104	580.6
313.497	574.6
313.889	609.6
314.282	590.6
314.675	597.4
315.068	580
315.461	579.2
315.854	606.2
316.247	566.2
316.64	575
317.033	574.2
317.405	580.6
317.798	573
318.192	579.2
318.585	569.4
318.979	578.8
319.372	558.6
319.766	567.4
320.16	578.2
320.553	583
320.947	577
321.341	564.8
321.735	559.8
322.129	551.8
322.523	593.6
322.917	564.2
323.311	580.8
323.705	576.2
324.099	573.4
324.494	579.2
324.888	583
325.282	573.4
325.677	576.8
326.071	566.8
326.466	578.8
326.861	571
327.255	581.4
327.65	581.4
328.045	581.4
328.44	568.8
328.835	570.6
329.23	566.6
329.625	597.4
330.02	572.4
330.415	589
330.81	568.4
331.206	572.4
331.601	577.2
331.996	579.6
332.37	589.6
332.766	566.4
333.161	598.8
333.557	564.8
333.953	581
334.348	906
334.744	572.8
335.14	572
335.536	560.2
335.932	581.6
336.328	569.4
336.724	573
337.12	564.8
337.516	565.8
337.913	563.2
338.309	575.8
338.705	565.6
339.102	576
339.498	570.4
339.895	579.2
340.291	565.2
340.688	581.8
341.085	565
341.481	559.4
341.878	569.6
342.275	594.6
342.672	562.4
343.069	564.4
343.466	560
343.842	585
344.239	569.8
344.636	566.6
345.033	566.8
345.431	564.6
345.828	568
346.225	557.8
346.623	594.8
347.02	559.2
347.418	578
347.816	582.2
348.213	560
348.611	573.4
349.009	562.6
349.407	580
349.805	557.6
350.203	559
350.601	576.6
350.999	567
351.397	620.8
351.795	567.2
352.193	577.6
352.57	575.2
352.969	585.4
353.367	560.4
353.766	554.6
354.164	567.2
354.563	581
354.961	571.2
355.36	562.8
355.759	561.6
356.158	556.2
356.557	565
356.956	561
357.355	560.6
357.754	567.4
358.153	579.6
358.552	587
358.951	570
359.35	581
359.75	557.4
360.149	551.8
360.527	558.4
360.926	552
361.326	565.2
361.726	560.2
362.125	557.2
362.525	567.4
362.925	572.8
363.325	559.6
363.724	570
364.124	558.4
364.524	558
364.924	557.8
365.324	579.4
365.725	554
366.125	568.4
366.525	567.4
366.904	559.8
367.304	551.4
367.705	585.2
368.105	577.8
368.506	563.4
368.906	565
369.307	564.4
369.708	559
370.108	548.4
370.509	577.6
370.91	553.4
371.311	568.2
371.712	563.6
372.113	556
372.514	560.4
372.894	560.8
373.295	553.2
373.696	570.6
374.097	566.8
374.499	592.6
374.9	567.2
375.301	560.8
375.703	559.2
376.105	548.8
376.506	565
376.908	559.8
377.309	560.2
377.711	563.4
378.113	559.2
378.493	562.6
378.895	551.6
379.297	576.4
379.699	559.2
380.102	566.6
380.504	571.6
380.906	558.2
381.308	591.8
381.71	562
382.113	569.6
382.515	565.6
382.918	561.6
383.299	560.8
383.701	571.8
384.104	563.8
384.507	545.4
384.909	561.4
385.312	558.6
385.715	558.8
386.118	569.2
386.521	549.8
386.924	569.4
387.327	562.8
387.709	551.8
388.112	550.6
388.515	557.8
388.918	557.4
389.322	566.8
389.725	555.4
390.129	583.8
390.532	567.6
390.936	563.8
391.339	553.2
391.743	560.4
392.125	550.4
392.529	565
392.933	574.2
393.337	558.8
393.74	555.8
394.144	562
394.548	549.4
394.953	553.4
395.357	566.2
395.761	557.6
396.144	564
396.548	557.8
396.952	562
397.357	560.6
397.761	557.2
398.166	555.8
398.57	555.8
398.975	557.8
399.379	569
399.763	601.8
400.168	569.4
400.572	562.6
400.977	570.6
401.382	574.8
401.787	563
402.192	574.6
402.597	572.4
403.002	552.6
403.386	575
403.791	580.2
404.197	554.4
404.602	565.4
405.007	561.6
405.413	552.4
405.818	569.8
406.224	558.6
406.608	557.8
407.014	559.2
407.42	583.2
407.825	553.4
408.231	564.2
408.637	559.4
409.043	577.2
409.449	555.2
409.834	563.6
410.24	571.8
410.646	573.8
411.052	571
411.458	565.6
411.865	564.6
412.271	572.4
412.677	563.8
413.062	570.2
413.469	551.2
413.875	581.4
414.282	576
414.689	573.6
415.095	564.6
415.502	557.4
415.888	553.8
416.294	555.2
416.701	600
417.108	550.4
417.515	559.8
417.923	562.2
418.33	569.8
418.715	563.8
419.123	548.8
419.53	565.6
419.937	558.2
420.345	568.2
420.752	557.4
421.16	576.8
421.546	559.4
421.953	576.2
422.361	550.6
422.769	561.8
423.177	557.2
423.585	583.8
423.992	586.6
424.379	576
424.787	574.6
425.195	582
425.603	559.4
426.011	580.2
426.419	574.2
426.806	565.4
427.214	564.6
427.623	574.8
428.031	577.6
428.44	567.8
428.848	578.8
429.235	585.8
429.644	569.6
430.053	568.2
430.461	579
430.87	581.8
431.279	581.4
431.666	564
432.075	563.4
432.484	565.8
432.893	573.8
433.302	580.4
433.711	594.2
434.099	571.8
434.508	559
434.918	553
435.327	567.6
435.737	565.4
436.125	556.4
436.534	561.8
436.944	565.4
437.353	569.6
437.763	574.6
438.173	557.8
438.561	559.4
438.971	545.2
439.381	558.4
439.791	560.4
440.201	552.2
440.589	571.4
440.999	568.4
441.409	564.2
441.819	557
442.23	569.6
442.619	565.6
443.029	560.6
443.439	559.4
443.85	576.4
444.26	570.8
444.649	578.2
445.06	564.6
445.471	549.4
445.881	567.6
446.292	580.6
446.682	579.8
447.092	545.2
447.503	604.2
447.914	560.6
448.325	573.2
448.715	566.4
449.126	556.2
449.537	566
449.948	558.6
450.338	564.4
450.75	569.4
451.161	559.4
451.572	566.8
451.984	556
452.374	545.6
452.786	564
453.197	570.8
453.609	562.6
453.999	558.8
454.411	545
454.823	573.4
455.235	569
455.647	564.6
456.037	562
456.449	554
456.862	569
457.274	553.2
457.665	549.2
458.077	566.4
458.489	589
458.902	562.6
459.293	560.8
459.705	565
460.118	549.4
460.53	565
460.921	558.2
461.334	572.6
461.747	564.2
462.16	572
462.551	575.4
462.964	573.8
463.377	555
463.79	559.8
464.182	565
464.595	551.4
465.008	563.8
465.421	561.8
465.813	546.6
466.226	560.4
466.64	558.4
467.053	600.2
467.445	565
467.859	565
468.272	554.2
468.686	568
469.078	551.2
469.492	547.8
469.906	560.6
470.298	561.2
470.712	550.8
471.126	579.8
471.54	555.4
471.933	553
472.347	555
472.761	557.2
473.175	544
473.568	553.2
473.982	544
474.397	559.4
474.79	549.2
475.204	564.8
475.619	555.8
476.033	562.6
476.426	557.6
476.841	552.6
477.256	576.2
477.649	548.8
478.064	555.8
478.479	546.6
478.872	554
479.287	542.4
479.702	548.6
480.118	560.8
480.511	555.6
480.927	553.8
481.342	555.4
481.736	558.8
482.151	543.8
482.566	564.8
482.96	553.4
483.376	556
483.792	546.8
484.186	558.2
484.602	554
485.017	548.6
485.412	555.8
485.827	568
486.243	545.8
486.638	573.2
487.054	561.4
487.47	569.4
487.865	542.4
488.281	548.8
488.697	556
489.092	551.6
489.508	555.4
489.925	560.6
490.32	544.2
490.736	565.4
491.153	552.4
491.548	558
491.964	564.2
492.381	544.4
492.776	553.8
493.193	545
493.61	564.2
494.006	554
494.422	558.8
494.84	548.2
495.235	560.6
495.652	550.2
496.069	563.4
496.465	544.2
496.883	549.8
497.3	576.2
497.696	553.4
498.113	560
498.509	542.4
498.927	547.8
499.344	549.4
499.741	541
500.158	566
500.576	560
500.973	550.8
501.39	549.4
501.787	557.4
502.205	561.2
502.623	546.4
503.02	545.2
503.438	550.6
503.856	557.4
504.253	555
504.671	556.6
505.068	547.2
505.486	554.8
505.905	569.8
506.302	549.6
506.72	557
507.118	550.6
507.536	549
507.955	546.6
508.352	551.4
508.771	560.6
509.169	558.8
509.587	545
510.006	558.2
510.404	546.2
510.823	545.6
511.221	548.8
511.64	546.2
512.038	564.4
512.457	550.2
512.877	547.4
513.275	546.2
513.694	553.4
514.092	542.8
514.512	553.2
514.91	547.2
515.33	546.4
515.749	545
516.148	552
516.568	551.8
516.966	550.4
517.386	540.4
517.785	547.2
518.205	550
518.603	546.4
519.024	545.2
519.444	557
519.843	556.2
520.263	562.8
520.662	550.4
521.082	549
521.481	555.4
521.902	556
522.301	556.2
522.722	560.6
523.121	554.6
523.542	542.4
523.963	548.6
524.362	546.8
524.783	555.4
525.183	549.2
525.604	555.2
526.003	544.2
526.425	543.4
526.824	553.4
527.246	560.8
527.646	551
528.067	553.8
528.467	556.6
528.888	549.4
529.289	545.2
529.71	553.4
530.11	546.8
530.532	542.4
530.932	539
531.354	545.4
531.755	580.6
532.176	556.6
532.577	548.2
532.999	553.6
533.4	547.2
533.822	559.8
534.223	551.6
534.645	549.4
535.046	543.8
535.468	546
535.869	561
536.292	549.8
536.693	580.4
537.115	558.2
537.516	542
537.939	545.2
538.34	561.6
538.742	562.2
539.165	555.8
539.566	554.6
539.989	549.4
540.391	544.8
540.814	552.4
541.216	560.8
541.639	553
542.041	562.6
542.464	553
542.866	544.2
543.268	543.8
543.691	557.2
544.093	547.8
544.517	571.8
544.919	541
545.343	562
545.745	547
546.147	554.8
546.571	544.8
546.974	543.2
547.398	554.8
547.8	570.6
548.224	546.4
548.627	547.6
549.03	552.4
549.454	543.6
549.857	547
550.281	537
550.684	554.8
551.087	556.4
551.512	553
551.915	554.8
552.34	546.8
552.743	544.8
553.146	552.8
553.571	553.4
553.975	565.4
554.399	537
554.803	592.2
555.207	552.6
555.632	546.6
556.036	551.8
556.461	549.8
556.865	544.2
557.268	557.8
557.694	554.4
558.098	552.4
558.502	557.8
558.927	542.2
559.332	552.4
559.736	544.8
560.162	555
560.566	550.6
560.992	552.2
561.396	545
561.801	557.2
562.227	550.6
562.631	545.6
563.036	556.8
563.462	568.2
563.867	548.6
564.272	538.6
564.698	558.4
565.103	533.8
565.508	570.4
565.935	549
566.34	551.4
566.745	560.4
567.172	540.8
567.577	563.4
567.982	561
568.409	553.6
568.815	543
569.22	554
569.626	559.2
570.053	531.4
570.459	550
570.865	559.8
571.292	555.8
571.698	554.8
572.104	537.8
572.531	553.6
572.937	555.4
573.343	546.4
573.75	549.8
574.177	549.8
574.583	561.6
574.99	547.4
575.396	555.2
575.824	548.4
576.231	558.6
576.637	548.8
577.065	567.4
577.472	541.8
577.879	544.2
578.286	565.6
578.714	548.8
579.121	545.2
579.528	545.6
579.935	556.8
580.364	537.8
580.771	530.8
581.178	545
581.585	551
582.014	555.8
582.421	542.8
582.829	543.4
583.236	559.2
583.644	542.2
584.073	551
584.481	550.8
584.889	538.6
585.296	559.4
585.726	546.2
586.134	535.6
586.542	543.2
586.95	563
587.358	534.2
587.787	548.6
588.196	563
588.604	547.4
589.012	551.2
589.421	533
589.851	549.6
590.259	548.8
590.668	541.2
591.076	593.8
591.485	536.2
591.894	546.8
592.324	560
592.733	556.8
593.142	536.2
593.551	545.4
593.96	551.8
594.369	542.8
594.8	543.2
595.209	545.4
595.618	539.6
596.028	542.2
596.437	540.4
596.847	552.8
597.256	547.2
597.687	556.6
598.097	549.4
598.507	533.8
598.917	554.8
599.327	554.4
599.736	547.6
600.146	558.2
600.556	555.4
600.988	560.8
601.398	543.8
601.808	550.4
602.219	540.8
602.629	552.6
603.039	544.8
603.45	567
603.86	553.6
604.271	557.4
604.703	549
605.114	543
605.525	549.4
605.935	546
606.346	573.4
606.757	545
607.168	547.6
607.579	541.8
607.99	562.2
608.402	545.6
608.813	552
609.224	534.6
609.636	529.8
610.047	536.8
610.48	547.8
610.892	548
611.303	549.4
611.715	537
612.127	534.6
612.539	541.4
612.95	544
613.362	532.8
613.774	534.8
614.186	543
614.599	541
615.011	546.2
615.423	544.8
615.835	538.6
616.248	535.8
616.66	548.2
617.073	537
617.485	553.8
617.898	553.2
618.311	549
618.723	536.4
619.136	566.8
619.549	552.2
619.962	567.8
620.375	547.4
620.788	550.4
621.201	540.2
621.614	554.2
622.028	550.6
622.441	550.4
622.854	563.6
623.268	539.8
623.681	547.4
624.095	552.4
624.509	549.8
624.922	546
625.336	532.8
625.728	546.2
626.142	550.4
626.556	558.2
626.97	548.2
627.384	540.8
627.799	537.6
628.213	551.2
628.627	531.6
629.041	534
629.456	535
629.87	540.6
630.285	547.6
630.699	546
631.093	543.4
631.507	546.2
631.922	543.8
632.337	560.8
632.752	538.4
633.167	543
633.582	532.6
633.997	544.2
634.412	542.6
634.806	551.6
635.221	533.6
635.637	553.2
636.052	532.6
636.468	545.2
636.883	554.2
637.299	540.6
637.715	534.6
638.109	538.6
638.525	535.6
638.941	550.8
639.357	549
639.773	558
640.189	543.8
640.584	544
641	546.6
641.416	533.6
641.832	547.2
642.249	536.6
642.665	550.8
643.06	551.8
643.477	554.6
643.894	535.6
644.31	541.4
644.727	543.8
645.123	544.6
645.54	531
645.957	550.6
646.374	559.6
646.77	548.2
647.187	580.4
647.604	557.8
648.021	525.2
648.439	539.8
648.835	545.4
649.252	547.8
649.67	537.4
650.088	547.2
650.484	544.6
650.902	554.6
651.32	547.4
651.738	544
652.134	536.6
652.552	563.2
652.971	548.2
653.389	548
653.786	555.8
654.204	561.6
654.622	534.2
655.019	542.4
655.438	542.4
655.857	546.8
656.275	550.8
656.673	539.6
657.091	548.6
657.51	543
657.908	557
658.327	548
658.746	538.6
659.144	543.6
659.563	559
659.982	547.6
660.38	538.6
660.8	531
661.219	549.4
661.617	545
662.037	537
662.457	549.8
662.855	533.8
663.275	572
663.695	549
664.094	547
664.514	547.4
664.934	540
665.333	547.2
665.753	529.4
666.152	536.6
666.572	536
666.993	550.2
667.392	539
667.812	538.2
668.212	539.6
668.632	549.6
669.053	544
669.453	546.2
669.874	539.6
670.273	547.6
670.694	531
671.116	559.4
671.515	550.2
671.937	541.2
672.337	540.2
672.758	539.6
673.158	548.2
673.58	537.2
673.98	551.6
674.402	551.2
674.824	533.8
675.224	538.8
675.646	532.6
676.047	530
676.469	540.8
676.869	543.8
677.292	550.2
677.693	536
678.115	544.2
678.516	543
678.939	544.6
679.34	539.8
679.762	554
680.164	540.2
680.586	535.4
680.988	550.4
681.411	558
681.812	543.4
682.236	537
682.637	540.6
683.061	528.2
683.462	543
683.864	542.8
684.288	547.8
684.69	529.4
685.114	546.4
685.516	551
685.94	536.4
686.342	550.6
686.766	533.6
687.168	537.6
687.571	563.2
687.995	542
688.398	528.6
688.822	543.8
689.225	553.6
689.628	551.2
690.052	542.2
690.456	548.8
690.88	542.8
691.284	535.4
691.687	548.6
692.112	525.4
692.515	534
692.919	543.4
693.344	541.2
693.747	540.6
694.173	531.2
694.577	546.6
694.98	538
695.406	542.4
695.81	546.8
696.214	548
696.64	545.6
697.044	543.8
697.448	542.8
697.874	542.4
698.279	542.2
698.684	539.6
699.11	534.8
699.514	535.8
699.919	544
700.324	532.2
700.75	537.6
701.156	541.8
701.561	558
701.987	551.2
702.393	547.4
702.798	548.2
703.203	539.2
703.63	536.4
704.036	537.8
704.442	532.4
704.847	537
705.274	532.6
705.68	536
706.086	541.2
706.492	529
706.92	533.2
707.326	547
707.732	535.4
708.139	525.8
708.545	527.2
708.973	533
709.38	542.2
709.786	535.2
710.193	548.8
710.6	545.4
711.028	531.4
711.435	540.6
711.842	538.2
712.249	543.8
712.656	532.8
713.064	550.6
713.492	536.6
713.9	534.8
714.307	550
714.715	539.6
715.123	545
715.53	544
715.938	547.4
716.367	540.4
716.775	539.6
717.184	531.8
717.592	538.4
718	549.2
718.408	570
718.816	582.8
719.225	551.4
719.633	535
720.042	528.2
720.472	541.2
720.881	555.6
721.29	541.4
721.699	526.8
722.108	541.2
722.517	541.8
722.926	532.4
723.335	544.4
723.744	541
724.154	531.8
724.563	544.2
724.973	538.4
725.382	545.8
725.792	536.2
726.202	530.8
726.612	548.4
727.022	530.8
727.432	534.4
779.813	528.6
780.223	577.8
780.634	535
781.044	534.4
781.454	536.4
781.865	548
782.276	526.6
782.686	547.6
783.097	536
783.508	536
783.919	544.2
784.33	544
784.741	543.8
785.152	531
785.563	529
785.974	534.8
786.386	552
786.776	545
787.188	532.2
787.599	531.4
788.011	544.4
788.423	543.2
788.835	528
789.247	528
789.659	538
790.071	534.8
790.483	572.2
790.874	537
791.286	542.2
791.699	531.6
792.111	535.6
792.524	537
792.937	537
793.349	521.2
793.741	536.2
794.154	537
794.567	554.4
794.98	542.8
795.393	533.2
795.785	558.2
796.198	534.8
796.612	542.4
797.026	535.4
797.439	524
797.831	541.2
798.245	533.6
798.659	548.4
799.073	528.4
799.487	530.4
799.88	544.4
800.294	541.8
800.708	542.8
801.123	543.4
801.516	555
801.93	526.2
802.345	532.8
802.76	538.4
803.153	555
803.568	548.8
803.983	542.6
804.377	542.6
804.792	528.6
805.207	524.6
805.601	536
806.016	566.6
806.432	528.8
806.826	563.8
807.242	550.2
807.658	545.4
808.052	532.6
808.468	526.8
808.884	528.2
809.279	539.8
809.695	542.4
810.111	557.8
810.506	537
810.922	551.2
811.339	538
811.734	542.2
812.151	534.2
812.546	539
812.963	535.4
813.38	536.8
813.776	534.2
814.193	557.6
814.589	538.4
815.006	530.2
815.402	525.2
815.82	538
816.237	533.6
816.633	535
817.051	522.6
817.448	537.6
817.866	530
818.262	558.2
818.68	533.8
819.077	532
819.495	541
819.892	575.6
820.311	535
820.708	540
821.127	522.8
821.524	552
821.943	540.4
822.34	548.8
822.759	536.6
823.157	530
823.576	556.8
823.974	541.2
824.393	561.8
824.791	533.4
825.189	532
825.609	532.4
826.007	528.8
826.427	525.4
826.826	533
827.246	542.4
827.644	521.6
828.043	541
828.463	531.2
828.862	545
829.261	541.8
829.682	531.8
830.081	536
830.502	535
830.901	544.4
831.301	550.4
831.722	523.2
832.121	535
832.521	526.2
832.943	540.4
833.342	529.4
833.742	531.4
834.164	539
834.564	529.6
834.965	536.2
835.386	534.4
835.787	534
836.188	533.6
836.588	537.4
837.01	534.2
837.411	527.4
837.812	538.8
838.213	538.6
838.636	529.8
839.037	598
839.438	536.2
839.84	540.2
840.263	545.2
840.664	542
841.066	532.6
841.468	538.8
841.891	527.4
842.293	550.4
842.695	541.8
843.098	544.6
843.5	536.8
843.902	543
