#lambda/nm	C1
208.295	470.6
208.67	433
209.045	393
209.419	399.6
209.794	572.2
210.169	550.2
210.544	672.2
210.919	568.4
211.295	565
211.67	563.4
212.045	556.8
212.421	564.8
212.796	599.4
213.172	563.4
213.547	563.6
213.923	563
214.299	562
214.675	581.6
215.051	567.4
215.427	581.2
215.803	582.4
216.179	572.4
216.555	559.4
216.932	573
217.308	571.4
217.684	561.2
218.061	578.2
218.438	577.8
218.814	568.2
219.191	576.8
219.568	560
219.945	567
220.322	575
220.699	574.2
221.076	574.6
221.453	569
221.83	572.4
222.208	566.8
222.585	566
222.962	567.8
223.34	572
223.717	561.2
224.095	560.6
224.473	567.4
224.851	564.6
225.229	557.8
225.607	584.4
225.985	553.8
226.363	566.8
226.741	560.6
227.119	567
227.497	584.8
227.876	553
228.254	571.2
228.633	571.6
229.011	567
229.39	575.6
229.769	569.8
230.148	574.6
230.527	587.2
230.905	571
231.284	571.2
231.664	573
232.043	583.4
232.422	574.2
232.801	568.4
233.181	573.4
233.56	575.8
233.94	579
234.319	556.4
234.699	566.6
235.079	606.8
235.458	605.2
235.838	582.8
236.218	566.8
236.598	561.8
236.978	561
237.358	561.6
237.738	567
238.119	575.6
238.499	558.6
238.88	568.2
239.26	590.4
239.641	558.2
240.021	567.8
240.402	563.8
240.783	565
241.163	564.2
241.544	572.4
241.925	574.8
242.306	588.4
242.687	575.4
243.069	573.4
243.45	575.6
243.831	572
244.212	563.6
244.594	602.2
244.975	575.4
245.357	571
245.739	569.8
246.12	573.6
246.502	583.6
246.884	569.2
247.266	561.2
247.648	573.8
248.03	588.6
248.412	575.4
248.794	573.8
249.176	569
249.559	584
249.941	561.6
250.323	563.2
250.706	561.2
251.089	571.6
251.471	571.8
251.854	570.2
252.237	564.4
252.62	574
253.002	567.8
253.385	571.6
253.769	575
254.152	567.6
254.535	577.4
254.918	560.2
255.301	568.6
255.685	578
256.068	561.2
256.452	585.8
256.835	582
257.219	582.6
257.603	574
257.986	555.8
258.37	574.8
258.754	552
259.138	578.4
259.522	567.6
259.906	563.8
