#lambda/nm	C1
208.295	465.6
208.67	427
209.045	390.8
209.419	399
209.794	559.8
210.169	551.2
210.544	668.2
210.919	567
211.295	554
211.67	565.2
212.045	559
212.421	567
212.796	606.2
213.172	554
213.547	571
213.923	558.2
214.299	561.4
214.675	575.8
215.051	572.8
215.427	567.6
215.803	588
216.179	572.4
216.555	564.8
216.932	574.2
217.308	567.4
217.684	567.6
218.061	573.4
218.438	566.6
218.814	559
219.191	569.4
219.568	564.2
219.945	562.4
220.322	579
220.699	571
221.076	569.4
221.453	571.2
221.83	560.4
222.208	559
222.585	564
222.962	561.6
223.34	574.4
223.717	568.6
224.095	561
224.473	572.2
224.851	563.6
225.229	555.6
225.607	583.6
225.985	557
226.363	566.8
226.741	571.6
227.119	561.8
227.497	583.2
227.876	554.4
228.254	579.4
228.633	578.8
229.011	572.8
229.39	573.6
229.769	576
230.148	575.4
230.527	576.2
230.905	570.6
231.284	574.6
231.664	566
232.043	572.2
232.422	573.2
232.801	558.8
233.181	574.4
233.56	568.6
233.94	578.8
234.319	553.6
234.699	561.4
235.079	607
235.458	605
235.838	582
236.218	562.4
236.598	556.4
236.978	558.2
237.358	566.4
237.738	562
238.119	574.2
238.499	558.4
238.88	566
239.26	585.2
239.641	559.8
240.021	564.8
240.402	568.2
240.783	567.2
241.163	568.4
241.544	563.8
241.925	568.8
242.306	580
242.687	575.2
243.069	579.2
243.45	577.8
243.831	561
244.212	568
244.594	606.8
244.975	576.2
245.357	575.8
245.739	568.6
246.12	583.6
246.502	580.2
246.884	567.6
247.266	566.8
247.648	574.4
248.03	584.6
248.412	578.2
248.794	566.8
249.176	558
249.559	574.2
249.941	561.4
250.323	561
250.706	560.6
251.089	572.4
251.471	565.6
251.854	568.2
252.237	564.2
252.62	571
253.002	572.4
253.385	568.8
253.769	584.6
254.152	572.6
254.535	575.8
254.918	558.2
255.301	566.2
255.685	569.4
256.068	558.2
256.452	597.6
256.835	584
257.219	577.8
257.603	585.2
257.986	562.2
258.37	573.6
258.754	553.6
259.138	572.4
259.522	578.8
259.906	568
260.29	570.4
260.675	563.8
261.059	574
261.443	560.8
261.828	569.2
262.212	571.4
262.597	557.6
262.981	572.2
263.366	571.8
263.751	567.6
264.136	561.8
264.521	566.6
264.906	560
265.291	573
265.676	569
266.061	570
266.446	585.6
266.831	573.4
267.217	586.6
267.602	576.2
267.987	571.4
268.373	566.2
268.759	567
269.144	579.6
269.53	568.6
269.916	567.8
270.302	573.8
270.688	577.4
271.074	575.8
271.46	583.8
271.846	600.2
272.232	568.8
272.618	563.8
273.004	570.8
273.391	577.2
273.777	575
274.164	570.6
274.55	587.4
274.937	574
275.324	569
275.71	576.6
276.097	573.2
276.484	563.2
276.871	570.4
277.258	576
277.645	557.6
278.032	571
278.419	561.8
278.807	573.6
279.194	562.2
279.581	562.4
279.969	567.8
280.356	564.8
280.744	575.4
281.131	595.6
281.519	585.4
281.907	564.2
282.295	561
282.682	581.2
283.07	571.6
283.458	570.4
283.846	581
284.235	577.2
284.623	579.4
285.011	567.6
285.399	573.2
285.788	564.6
286.176	563.4
286.565	572.2
286.953	563.6
287.342	565.4
287.731	568.6
288.119	560.6
288.508	564.2
288.897	569.6
289.286	563.2
289.675	565.6
290.064	574.4
290.453	567
290.821	570
291.21	586
291.599	557.4
291.989	563.8
292.378	578.2
292.768	583
293.157	574.4
293.547	566.6
293.936	572.2
294.326	557.8
294.716	568.2
295.106	561.4
295.496	568.8
295.886	580.4
296.276	570.6
296.666	560.4
297.056	559.2
297.446	555.2
297.836	578
298.227	572.4
298.617	563
299.008	585.6
299.398	558
299.789	566.2
300.179	573.8
300.57	574.4
300.961	565
301.352	561
301.742	575.6
302.133	568.8
302.524	568
302.915	574.8
303.307	562.8
303.698	580
304.089	573.4
304.48	569.4
304.872	573.6
305.263	573
305.655	561.6
306.046	571.2
306.438	561.6
306.829	561.6
307.221	584.4
307.613	580.6
308.005	568.6
308.397	578.4
308.789	583
309.181	593
309.573	578.4
309.965	579.4
310.357	571.2
310.749	559.6
311.142	561.2
311.534	555.4
311.926	570.4
