#lambda/nm	C1
208.295	477.4
208.67	435.2
209.045	393.6
209.419	397.8
209.794	562
210.169	548.4
210.544	673
210.919	575.8
211.295	566
211.67	569.6
212.045	569.8
212.421	568.6
212.796	606.4
213.172	567
213.547	561.4
213.923	565.2
214.299	559.8
214.675	573.6
215.051	571.4
215.427	573.4
215.803	581
216.179	576.2
216.555	557.4
216.932	577.6
217.308	568.8
217.684	560.6
218.061	574.2
218.438	571.2
218.814	561.4
219.191	577.8
219.568	556.8
219.945	556.8
220.322	567.2
220.699	565
221.076	578.8
221.453	564.4
221.83	560.2
222.208	569.2
222.585	561
222.962	562.2
223.34	576.4
223.717	560.4
224.095	561.4
224.473	572.8
224.851	565.2
225.229	555.8
225.607	584
225.985	549.2
226.363	568.4
226.741	580.2
227.119	557.8
227.497	581.8
227.876	562.4
228.254	575.8
228.633	576.6
229.011	568.8
229.39	573.4
229.769	576
230.148	572
230.527	591
230.905	575.6
231.284	566.8
231.664	568.2
232.043	580.8
232.422	579
232.801	572.4
233.181	570.8
233.56	565.2
233.94	574.6
234.319	559.6
234.699	568.4
235.079	604
235.458	603
235.838	584.2
236.218	561.4
236.598	551.6
236.978	573.4
237.358	558.4
237.738	561.2
238.119	570.4
238.499	559.4
238.88	570.8
239.26	584.6
239.641	561.6
240.021	560.6
240.402	572.2
240.783	564.2
241.163	573.4
241.544	573.4
241.925	566.2
242.306	579.2
242.687	577.4
243.069	574.6
243.45	578.6
243.831	561.2
244.212	564.8
244.594	612.4
244.975	582
245.357	576.6
245.739	568
246.12	566
246.502	584.2
246.884	570.2
247.266	562.2
247.648	561.6
248.03	586.6
248.412	569
248.794	569.8
249.176	557.8
249.559	569.2
249.941	556.8
250.323	551.2
250.706	558.8
251.089	574.4
251.471	560
251.854	564.4
252.237	566.4
252.62	578.8
253.002	562
253.385	570.8
253.769	585.6
254.152	570.4
254.535	572.2
254.918	561
255.301	561
255.685	564.6
256.068	555.6
256.452	591
256.835	580
257.219	579
257.603	578.6
257.986	562.2
258.37	574.4
258.754	563
259.138	572.8
259.522	577.2
259.906	570
260.29	576.4
260.675	565.6
261.059	575.4
261.443	558.8
261.828	569.6
262.212	575.8
262.597	561.4
262.981	566.6
263.366	577
263.751	570.2
264.136	566.2
264.521	563.6
264.906	556.2
265.291	574.4
265.676	567.8
266.061	577.2
266.446	584.6
266.831	563.8
267.217	581.8
267.602	574.4
267.987	570
268.373	561.4
268.759	571.4
269.144	572.4
269.53	568.2
269.916	558.6
270.302	561.6
270.688	564.4
271.074	565.8
271.46	574.4
271.846	602.6
272.232	568.6
272.618	563.8
273.004	560.4
273.391	574.4
273.777	578.8
274.164	569.6
274.55	580.4
274.937	564.6
275.324	563
275.71	581
276.097	573.2
276.484	566.2
276.871	574.4
277.258	575.2
277.645	554.6
278.032	570.2
278.419	563.6
278.807	569.6
279.194	561.4
279.581	560.4
279.969	569.8
280.356	565.2
280.744	563.6
281.131	590.4
281.519	575.2
281.907	559.8
282.295	567
282.682	583.4
283.07	570
283.458	573
283.846	577.2
284.235	575.6
284.623	571.6
285.011	553.8
285.399	567.2
285.788	571.6
286.176	562.8
286.565	575.8
286.953	557.8
287.342	567.8
287.731	558.6
288.119	558.8
288.508	563.2
288.897	563.4
289.286	554.2
289.675	569.6
290.064	574.8
290.453	566.8
290.821	561
291.21	577.2
291.599	564
291.989	565.2
292.378	576
292.768	595.2
293.157	575
293.547	581.4
293.936	564.6
294.326	568.8
294.716	569.4
295.106	576
295.496	573.8
295.886	581.4
296.276	571
296.666	561.2
297.056	554.6
297.446	554.2
297.836	579.4
298.227	558.4
298.617	576.2
299.008	575.2
299.398	563
299.789	569.6
300.179	576.2
300.57	572.6
300.961	567.8
301.352	566.8
301.742	580
302.133	570.8
302.524	565.4
302.915	566.8
303.307	563.6
303.698	571.2
304.089	574.8
304.48	570.4
304.872	574.2
305.263	570.6
305.655	560
306.046	576.2
306.438	575.4
306.829	563
307.221	584.4
307.613	578.8
308.005	576.2
308.397	577.8
308.789	583.6
309.181	591
309.573	588.2
309.965	574.6
310.357	564.2
310.749	568
311.142	571.6
311.534	559
311.926	577.8
312.319	572.2
312.711	562.4
313.104	586.2
313.497	566.4
313.889	607.6
314.282	580.8
314.675	590.8
315.068	582.6
315.461	574
315.854	597
316.247	580.2
316.64	571.4
317.033	564.2
317.405	568.6
317.798	564.2
318.192	577.2
318.585	566
318.979	568
319.372	565.4
319.766	565.4
320.16	579.4
320.553	582.4
320.947	586.6
321.341	571
321.735	565.4
322.129	559.8
322.523	595.6
322.917	563.6
323.311	573
323.705	573
324.099	569.4
324.494	589.2
324.888	575.4
325.282	564.8
325.677	585.8
326.071	578
326.466	581.8
326.861	573.4
327.255	577.8
327.65	583.2
328.045	583.6
328.44	573.6
328.835	572.6
329.23	569.2
329.625	596
330.02	567.4
330.415	594.4
