#lambda/nm	C1
208.295	470.2
208.67	430.8
209.045	396.4
209.419	395.8
209.794	560.6
210.169	553.8
210.544	659.6
210.919	569.4
211.295	565
211.67	563.6
212.045	573.2
212.421	564.4
212.796	590.6
213.172	565.8
213.547	562
213.923	567
214.299	564
214.675	574.6
215.051	571
215.427	577.4
215.803	584.6
216.179	574
216.555	560.8
216.932	580.6
217.308	563.6
217.684	573.4
218.061	568.8
218.438	568.6
218.814	560.8
219.191	580.4
219.568	563
219.945	566.2
220.322	574.2
220.699	572.4
221.076	574.6
221.453	573.2
221.83	576.4
222.208	556.8
222.585	567.4
222.962	569
223.34	569.6
223.717	560
224.095	568.8
224.473	573.8
224.851	566.2
225.229	557.4
225.607	590.6
225.985	552.2
226.363	564.2
226.741	572
227.119	568
227.497	583.4
227.876	554.8
228.254	576.8
228.633	571.4
229.011	571.2
229.39	572.4
229.769	569
230.148	572.6
230.527	582.6
230.905	562.2
231.284	567.4
231.664	559.6
232.043	586.4
232.422	574.2
232.801	563
233.181	567.8
233.56	559.8
233.94	571.8
234.319	556.6
234.699	567.2
235.079	602.6
235.458	602.4
235.838	587.8
236.218	568.2
236.598	554.4
236.978	555
237.358	560
237.738	562.2
238.119	569.8
238.499	560.8
238.88	564.2
239.26	579.2
239.641	557.6
240.021	564.2
240.402	569.6
240.783	565.8
241.163	566.6
241.544	569.4
241.925	567.2
242.306	580.6
242.687	576
243.069	569.6
243.45	582.8
243.831	561.8
244.212	566.4
244.594	603
244.975	578.6
245.357	574.2
245.739	567.4
246.12	566.4
246.502	589.6
246.884	566.2
247.266	565.8
247.648	575.4
248.03	592.6
248.412	569
248.794	571.4
249.176	559.4
249.559	576.6
249.941	560.8
250.323	565
250.706	562.6
251.089	571.4
251.471	575.4
251.854	562.2
252.237	572.8
252.62	578.6
253.002	557.2
253.385	572.6
253.769	581.6
254.152	564.8
254.535	572.8
254.918	550.4
255.301	572.8
255.685	569.8
256.068	558
256.452	588.4
256.835	577.2
257.219	570.4
257.603	574
257.986	560.8
258.37	574
258.754	550.8
259.138	574.6
259.522	578.4
259.906	572.4
260.29	576.8
260.675	570.6
261.059	569.8
261.443	561.8
261.828	576.4
262.212	573.6
262.597	556
262.981	564
263.366	574.2
263.751	571.4
264.136	571.6
264.521	569.4
264.906	557.4
265.291	583.2
265.676	573.2
266.061	576.8
266.446	587.2
266.831	567
267.217	585.2
267.602	578.6
267.987	568.2
268.373	569
268.759	579.6
269.144	574.8
269.53	562.6
269.916	559.2
270.302	567.8
270.688	567.8
271.074	570.8
271.46	583
271.846	596.4
272.232	565.2
272.618	567.8
273.004	569.2
273.391	575.6
273.777	578.2
274.164	574.4
274.55	578
274.937	569.2
275.324	569
275.71	579.8
276.097	586.8
276.484	568.2
276.871	578.2
277.258	571.8
277.645	555.6
278.032	566.4
278.419	558.8
278.807	569.8
279.194	561.2
279.581	564.4
279.969	561.4
280.356	571.4
280.744	570.2
281.131	585.4
281.519	567.8
281.907	565
282.295	567.2
282.682	571.6
283.07	562.6
283.458	580.6
283.846	582
284.235	587.6
284.623	577.2
285.011	565
285.399	573.2
285.788	572.8
286.176	560.2
286.565	581.4
286.953	560.4
287.342	557.6
287.731	562.2
288.119	558.6
288.508	562.6
288.897	572.8
289.286	555.8
289.675	573.4
290.064	578
290.453	576
290.821	576.2
291.21	582.6
291.599	565.6
291.989	571.4
292.378	582.6
292.768	586
293.157	566.8
293.547	577.8
293.936	575.2
294.326	567.2
294.716	568.4
295.106	563.6
295.496	578.2
295.886	578.6
296.276	575.6
296.666	568.4
297.056	556.8
297.446	554
297.836	580.6
298.227	569
298.617	573.4
299.008	581.8
299.398	570
299.789	565.4
300.179	572.2
300.57	574.6
300.961	563.2
301.352	564.2
301.742	579
302.133	570
302.524	570.4
302.915	578.2
303.307	562.2
303.698	574.6
304.089	578.6
304.48	566.8
304.872	578.4
305.263	565.8
