#lambda/nm	C1
208.295	465.2
208.67	430.6
209.045	392.2
209.419	404.2
209.794	565.6
210.169	549.2
210.544	668.2
210.919	576.6
211.295	557.4
211.67	570.2
212.045	561.6
212.421	566.4
212.796	601.2
213.172	558.2
213.547	558.6
213.923	566.8
214.299	561.4
214.675	574.4
215.051	571.6
215.427	573
215.803	584.4
216.179	572.4
216.555	561.6
216.932	577.8
217.308	571.2
217.684	575.2
218.061	577.4
218.438	574
218.814	571.2
219.191	573.8
219.568	553.6
219.945	559
220.322	573.2
220.699	565.4
221.076	571.4
221.453	575.6
221.83	566.8
222.208	562.4
222.585	561
222.962	579.2
223.34	571.4
223.717	562.2
224.095	572.6
224.473	573
224.851	557.4
225.229	559.8
225.607	581.8
225.985	562.4
226.363	563.8
226.741	573.6
227.119	576.4
227.497	573.8
227.876	553.2
228.254	574.6
228.633	577
229.011	565
229.39	572.6
229.769	574.2
230.148	568.6
230.527	584.2
230.905	558.2
231.284	563.6
231.664	562
232.043	570.8
232.422	578.8
232.801	567.8
233.181	566.8
233.56	563
233.94	574
234.319	557.6
234.699	568
235.079	602.6
235.458	603.2
235.838	584.2
236.218	565.2
236.598	558.2
236.978	561.8
237.358	564.2
237.738	563.2
238.119	578.4
238.499	563.4
238.88	572
239.26	578
239.641	554.2
240.021	568.4
240.402	562.8
240.783	569
241.163	564
241.544	571
241.925	567
242.306	584.8
242.687	573.6
243.069	571.8
243.45	575.2
243.831	566.4
244.212	567
244.594	606
244.975	572.6
245.357	580.4
245.739	562.4
246.12	573
246.502	579.4
246.884	571.6
247.266	564.4
247.648	570.4
248.03	589.2
248.412	573.2
248.794	566.2
249.176	556.8
249.559	579.2
249.941	554.4
250.323	560.8
250.706	562.2
251.089	564
251.471	577.2
251.854	570.8
252.237	563.6
252.62	584.8
253.002	575.2
253.385	573.2
253.769	583.8
254.152	559.6
254.535	571.2
254.918	566.2
255.301	571.6
255.685	573.6
256.068	556.6
256.452	588.8
256.835	578.8
257.219	577.4
257.603	582.8
257.986	557.8
258.37	575
258.754	556.8
259.138	583.4
259.522	575.2
259.906	573
260.29	575.6
260.675	564
261.059	567.2
261.443	558.8
261.828	576.2
262.212	578
262.597	564.4
262.981	561
263.366	579
263.751	571.4
264.136	566.6
264.521	568.2
264.906	561
265.291	574.6
265.676	567.4
266.061	570
266.446	585
266.831	568.2
267.217	591.8
267.602	568
267.987	566.2
268.373	575.4
268.759	585.8
269.144	579.4
269.53	563.2
269.916	566.6
270.302	564.6
270.688	571.6
271.074	564.6
271.46	584.8
271.846	595.4
272.232	572.8
272.618	561
273.004	564.8
273.391	576.4
273.777	575.2
274.164	574.2
274.55	580.8
274.937	567.2
275.324	564.6
275.71	573
276.097	569.8
276.484	560.4
276.871	569.2
277.258	574.8
277.645	550
278.032	573
278.419	567
278.807	568.2
279.194	563
279.581	567.8
279.969	574
280.356	573.4
280.744	562.6
281.131	593.8
281.519	570.4
281.907	562
282.295	571
282.682	577.4
283.07	578.4
283.458	578.2
283.846	580.4
284.235	574.6
284.623	581.6
285.011	562.4
285.399	567
285.788	570.8
286.176	557.2
286.565	591.2
286.953	566.4
287.342	561.8
287.731	556
288.119	558
288.508	563
288.897	565.6
289.286	556.6
289.675	574.6
290.064	571.2
290.453	572
290.821	570.8
291.21	582.6
291.599	560.6
291.989	569.2
292.378	585.4
292.768	581.2
293.157	563.2
293.547	574.2
293.936	562.6
294.326	570
294.716	570
295.106	573
295.496	573.6
295.886	579.2
296.276	566.6
296.666	562.4
297.056	562.6
297.446	555
297.836	575.2
298.227	563.2
298.617	564.4
299.008	583.4
299.398	561.8
299.789	560.6
300.179	571.4
300.57	588.4
300.961	562.2
301.352	571.8
301.742	575.6
302.133	562
302.524	563
302.915	566.8
303.307	557.2
303.698	579
304.089	572.2
304.48	564.2
304.872	565.4
305.263	575
305.655	561.6
306.046	576.4
306.438	573.8
306.829	563.4
307.221	573.4
307.613	563.8
308.005	584.8
308.397	584
308.789	583.4
309.181	593.6
309.573	581.2
309.965	584.6
310.357	570.2
310.749	562
311.142	564.8
311.534	563.8
311.926	571
312.319	569
312.711	559.2
313.104	593.4
313.497	563.8
313.889	610
314.282	587.2
314.675	592.8
315.068	566.6
315.461	575.2
315.854	600.6
316.247	584.8
316.64	570.8
317.033	576.8
317.405	582
317.798	564.6
318.192	571.2
318.585	559.8
318.979	575.4
319.372	562.6
319.766	572.8
320.16	577.2
320.553	582
320.947	593
321.341	560.4
321.735	576.4
322.129	558.6
322.523	590
322.917	562.4
323.311	587
323.705	565.8
324.099	574.2
324.494	581.4
324.888	576
325.282	572.6
325.677	577.6
326.071	577
326.466	576
326.861	577
327.255	585.8
327.65	582.6
328.045	579.4
328.44	576.4
328.835	566.4
329.23	558.8
329.625	585.6
330.02	566.2
330.415	581
330.81	569.2
331.206	577.2
331.601	568.8
331.996	578.8
332.37	585.2
332.766	555
333.161	594.6
333.557	563.4
333.953	574.6
334.348	858.8
334.744	564.2
335.14	563
335.536	573.4
335.932	582.6
336.328	569.4
336.724	580.8
337.12	567.4
337.516	575.8
337.913	570.8
338.309	575.2
338.705	568.8
339.102	576
339.498	570.6
339.895	578.8
340.291	562.6
340.688	576.4
341.085	566.6
341.481	565
341.878	568.8
342.275	583.2
342.672	557.8
343.069	564.4
343.466	563.4
343.842	573.2
344.239	556.4
344.636	568.2
345.033	570.2
345.431	562.2
345.828	573.2
346.225	561
346.623	598.2
347.02	569.4
347.418	577.2
347.816	579
348.213	557.6
348.611	574.2
349.009	555.6
349.407	575.4
349.805	564.6
350.203	561.6
350.601	579.2
350.999	563.6
351.397	622
351.795	562.6
352.193	570.4
352.57	571.2
352.969	583.8
353.367	559.4
353.766	562.6
354.164	562.6
354.563	574.4
354.961	567.8
355.36	563.8
355.759	565.4
356.158	565.4
356.557	558.6
356.956	554.6
357.355	554.8
357.754	570.4
358.153	572
358.552	587.6
358.951	565.8
359.35	577
359.75	564.2
360.149	555.4
360.527	551.4
360.926	559.6
361.326	564
361.726	556.6
362.125	560.6
362.525	571
362.925	569.4
363.325	571.6
363.724	566.4
364.124	554
364.524	557.4
364.924	569.6
365.324	576.2
365.725	554.6
366.125	559.8
366.525	556.8
366.904	560.4
367.304	551.8
367.705	580
368.105	576.2
368.506	564
368.906	564.6
369.307	559
369.708	568.4
370.108	555.2
370.509	579.2
370.91	552
371.311	566
371.712	567.6
372.113	567.2
372.514	557
372.894	563.2
373.295	550.2
373.696	574.4
374.097	569.8
374.499	591.6
374.9	556.6
375.301	554.6
375.703	561.2
376.105	549
376.506	566.2
376.908	560.6
377.309	567.8
377.711	566.4
378.113	560.4
378.493	562.8
378.895	560
379.297	567.4
379.699	547.8
380.102	564.4
380.504	561.8
380.906	563
381.308	582.4
381.71	561.2
382.113	572
382.515	566.4
382.918	568.6
383.299	554.4
383.701	559.8
384.104	557.2
384.507	543.2
384.909	560.6
385.312	559
385.715	552.6
386.118	559.8
386.521	552.6
386.924	575.4
387.327	557
387.709	549.6
388.112	541
388.515	549
388.918	557.8
389.322	565.2
389.725	555.4
390.129	576.4
390.532	564.6
390.936	569.8
391.339	556.4
391.743	567
392.125	554.2
392.529	567.6
392.933	574.6
393.337	551
393.74	552
394.144	565.4
394.548	545.8
394.953	556
395.357	559
395.761	561.2
396.144	562.8
396.548	559.4
396.952	553.8
397.357	558.4
397.761	553.6
398.166	552.2
398.57	555.4
398.975	546.4
399.379	563.6
399.763	597.8
400.168	548
400.572	553.2
400.977	552.4
401.382	574.8
401.787	564
402.192	568.4
402.597	575.4
403.002	548.6
403.386	565
403.791	580.4
404.197	548.8
404.602	561
405.007	561.6
405.413	554.8
405.818	559.8
406.224	554.2
406.608	565.2
407.014	549
407.42	574
407.825	553
408.231	567.8
408.637	565.4
409.043	569.8
409.449	563.6
409.834	553.6
410.24	560.2
410.646	570.2
411.052	581.2
411.458	567.6
411.865	572
412.271	568
412.677	566
413.062	572.4
413.469	544
413.875	590.2
414.282	576.8
414.689	562
415.095	563
415.502	561.2
415.888	560.8
416.294	552.2
416.701	598.2
417.108	559.4
417.515	571.2
417.923	564
418.33	578.6
418.715	569.6
419.123	564.8
419.53	562.8
419.937	563.6
420.345	578.4
420.752	562.8
421.16	575.8
421.546	564.4
421.953	569.8
422.361	555
422.769	564.4
423.177	558.8
423.585	585
423.992	579.8
424.379	570
424.787	570.4
425.195	577.8
425.603	562.4
426.011	562.2
426.419	573.8
426.806	559
427.214	566
427.623	574.8
428.031	580.6
428.44	559.6
428.848	576.2
429.235	574.8
429.644	572.6
430.053	560.4
430.461	573
430.87	588
431.279	577.8
431.666	571
432.075	564.8
432.484	575.6
432.893	561.2
433.302	583
433.711	587
434.099	567.2
434.508	562.2
434.918	558.4
435.327	570.8
435.737	563.8
436.125	562.4
436.534	562.2
436.944	561.6
437.353	554.2
437.763	573.6
438.173	553.4
438.561	572
438.971	540.4
439.381	555.8
439.791	557.6
440.201	535.8
440.589	565
440.999	565.2
441.409	563.2
441.819	550.8
442.23	569.6
442.619	573.2
443.029	565.4
443.439	560.6
443.85	570.2
444.26	580.8
444.649	578
445.06	564.6
445.471	551.2
445.881	560.4
446.292	572.2
446.682	580.8
447.092	554.6
447.503	606.2
447.914	560
448.325	565
448.715	563.6
449.126	555.8
449.537	564
449.948	558.6
450.338	557.2
450.75	563.4
451.161	564.2
451.572	565.4
451.984	547
452.374	546.4
452.786	556.4
453.197	567.8
453.609	567
453.999	554.8
454.411	550.4
454.823	570
455.235	559.6
455.647	556.8
456.037	557
456.449	547.2
456.862	552.6
457.274	556.4
457.665	549.2
458.077	558.2
458.489	592.4
458.902	558
459.293	557.6
459.705	562
460.118	549.6
460.53	556
460.921	550.6
461.334	556
461.747	556.6
462.16	566.6
462.551	563
462.964	571
463.377	544.6
463.79	552.8
464.182	566.4
464.595	551.2
465.008	566.2
465.421	564.6
465.813	561
466.226	563
466.64	549.6
467.053	595.6
467.445	571.8
467.859	570.6
468.272	564.4
468.686	574.8
469.078	559.4
469.492	550
469.906	561.6
470.298	562.8
470.712	542.6
471.126	575.4
471.54	538.2
471.933	543.2
472.347	548.6
472.761	553.8
473.175	548.6
473.568	545.4
473.982	546
474.397	553.2
474.79	552.8
475.204	559.2
475.619	552.8
476.033	563.4
476.426	557.2
476.841	543.6
477.256	579
477.649	549.6
478.064	545
478.479	542.2
478.872	543.2
479.287	547.6
479.702	556.4
480.118	551.4
480.511	551.6
480.927	560.2
481.342	552.2
481.736	546.6
482.151	545.6
482.566	564.4
482.96	552.8
483.376	567.8
483.792	553.8
484.186	560.6
484.602	541.4
485.017	561.2
485.412	551.8
485.827	561.4
486.243	554.4
486.638	567.4
487.054	563.8
487.47	560.6
487.865	545
488.281	551.6
488.697	546.6
489.092	550.4
489.508	545.6
489.925	564.4
490.32	542.6
490.736	556.6
491.153	545.4
491.548	548.8
491.964	552.8
492.381	536.2
492.776	547.6
493.193	552
493.61	549.8
494.006	552.2
494.422	552
494.84	547
495.235	549
495.652	547.4
496.069	539.6
496.465	540
496.883	544
497.3	571.2
497.696	539.2
498.113	554.8
498.509	534.2
498.927	538
499.344	541.8
499.741	546.4
500.158	561
500.576	549.8
500.973	558.8
501.39	545.2
501.787	546.8
502.205	556.6
502.623	542.2
503.02	544.8
503.438	544.2
503.856	545.8
504.253	545.4
504.671	549.2
505.068	543.8
505.486	545.8
505.905	563.6
506.302	553.8
506.72	562.8
507.118	545.6
507.536	548.2
507.955	546.6
508.352	555.2
508.771	554.8
509.169	556.2
509.587	545.2
510.006	551
510.404	542.8
510.823	544.8
511.221	544.8
511.64	553.4
512.038	561.6
512.457	552
512.877	550.4
513.275	542.8
513.694	545.8
514.092	536.6
514.512	559.2
514.91	552
515.33	547.2
515.749	548.4
516.148	550.4
516.568	549.2
516.966	551.4
517.386	552
517.785	551.6
518.205	545
518.603	549.2
519.024	540.8
519.444	550
519.843	557.4
520.263	554.2
520.662	550
521.082	552
521.481	548
521.902	554
522.301	544
522.722	546.2
523.121	537.2
523.542	543.4
523.963	551.4
524.362	547.2
524.783	543.8
525.183	552.8
525.604	553.2
526.003	551
526.425	545.6
526.824	557.6
527.246	560.4
527.646	557.6
528.067	554.4
528.467	548.2
528.888	554.4
529.289	547.4
529.71	552.4
530.11	550.8
530.532	550.2
530.932	547
531.354	539.4
531.755	586
532.176	555.6
532.577	546.2
532.999	544
533.4	533.6
533.822	556.8
534.223	550.4
534.645	547.2
535.046	546
535.468	547
535.869	564.6
536.292	539.8
536.693	576.4
537.115	551.8
537.516	545.4
537.939	546.2
538.34	567.2
538.742	566.2
539.165	552.8
539.566	553.6
539.989	542.6
540.391	548
540.814	546.4
541.216	555.2
541.639	544.8
542.041	559.4
542.464	547.8
542.866	536
543.268	543.2
543.691	555.8
544.093	553
544.517	571.4
544.919	544.2
545.343	573.4
545.745	544
546.147	550
546.571	549
546.974	541.6
547.398	547.4
547.8	560.6
548.224	554.2
548.627	542.8
549.03	554
549.454	542.6
549.857	543.8
550.281	540.4
550.684	542.6
551.087	556.6
551.512	548.4
551.915	555
552.34	543.4
552.743	543.6
553.146	551.6
553.571	547.8
553.975	565.8
554.399	547.2
554.803	595.6
555.207	539.6
555.632	540.2
556.036	550
556.461	534.4
556.865	543.8
557.268	542.2
557.694	548
558.098	560
558.502	557.2
558.927	543.6
559.332	552.6
559.736	549.4
560.162	552.8
560.566	545.8
560.992	555.4
561.396	547.2
561.801	547
562.227	552.6
562.631	546
563.036	548.8
563.462	554.6
563.867	546
564.272	536.2
564.698	547
565.103	541.2
565.508	562.6
565.935	551.4
566.34	550
566.745	566
567.172	543.4
567.577	567.2
567.982	555.6
568.409	551.6
568.815	544.4
569.22	547.6
569.626	546.8
570.053	539.2
570.459	548.6
570.865	552.2
571.292	557.4
571.698	548.8
572.104	522.4
572.531	540.2
572.937	552.6
573.343	544
573.75	545
574.177	549
574.583	543
574.99	546.8
575.396	554
575.824	546.4
576.231	549.2
576.637	547.2
577.065	571.8
577.472	532.8
577.879	544.6
578.286	564.2
578.714	535.8
579.121	548.4
579.528	547.2
579.935	550.4
580.364	539.8
580.771	531.4
581.178	538.2
581.585	551
582.014	547.8
582.421	546.8
582.829	544.6
583.236	555.2
583.644	538.2
584.073	550.4
584.481	544.6
584.889	540.6
585.296	546.8
585.726	542.8
586.134	541.4
586.542	543.6
586.95	561.6
587.358	535
587.787	545.2
588.196	550.6
588.604	536.4
589.012	545.4
589.421	532.6
589.851	533.8
590.259	547
590.668	531
591.076	573.6
591.485	536.2
591.894	541.4
592.324	542.2
592.733	554.4
593.142	534.6
593.551	537.4
593.96	565.2
594.369	525.8
594.8	531.2
595.209	541.4
595.618	524.4
596.028	534.2
596.437	532.6
596.847	543.8
597.256	540.2
597.687	548.4
598.097	546.4
598.507	534.4
598.917	545.4
599.327	548.4
599.736	543
600.146	546.8
600.556	540.6
600.988	553
601.398	542.2
601.808	556.4
602.219	531
602.629	550
603.039	549.2
603.45	569
603.86	538.4
604.271	555.6
604.703	547.6
605.114	537.6
605.525	549.4
605.935	546.2
606.346	562.4
606.757	543.8
607.168	541.4
607.579	539.2
607.99	549.6
608.402	544.2
608.813	536.8
609.224	544
609.636	541.4
610.047	536.2
610.48	541.2
610.892	548.4
611.303	548.8
611.715	541.4
612.127	540
612.539	536.4
612.95	551.8
613.362	533.2
613.774	530
614.186	537
614.599	531.4
615.011	555.8
615.423	539
615.835	541.4
616.248	537.4
616.66	544.4
617.073	539
617.485	542.4
617.898	548.2
618.311	541.6
618.723	538
619.136	567
619.549	554.6
619.962	558.2
620.375	536.6
620.788	543
621.201	538.6
621.614	554.8
622.028	541.4
622.441	541.8
622.854	553.6
623.268	534.4
623.681	548.8
624.095	536.4
624.509	549.8
624.922	558.2
625.336	536
625.728	545.8
626.142	554.8
626.556	560.8
626.97	552.8
627.384	531.8
627.799	547.4
628.213	554.4
628.627	538.8
629.041	535.8
629.456	538.8
629.87	541.4
630.285	555.2
630.699	551.6
631.093	545.2
631.507	545.8
631.922	540.2
632.337	542.4
632.752	534
633.167	540
633.582	534.4
633.997	537.6
634.412	542
634.806	546.6
635.221	535.8
635.637	548.2
636.052	540
636.468	542.8
636.883	569
637.299	532.8
637.715	531
638.109	539.4
638.525	538.4
638.941	551.8
639.357	556
639.773	555.4
