#lambda/nm	C1
208.295	466.4
208.67	436.2
209.045	393.4
209.419	399.2
209.794	569.6
210.169	548.6
210.544	663.8
210.919	573.2
211.295	567.6
211.67	556.8
212.045	564.4
212.421	562.2
212.796	614
213.172	562.4
213.547	568.2
213.923	567.6
214.299	572.8
214.675	579.4
215.051	575.2
215.427	576.2
215.803	590
216.179	573
216.555	561.2
216.932	575.4
217.308	564.8
217.684	568.6
218.061	584.2
218.438	577.6
218.814	568.4
219.191	582
219.568	561.4
219.945	562
220.322	577.6
220.699	573.2
221.076	575.2
221.453	570.8
221.83	569.2
222.208	568
222.585	557.4
222.962	574
223.34	571.2
223.717	567.2
224.095	563.6
224.473	562.4
224.851	561.6
225.229	555.4
225.607	578.6
225.985	556
226.363	564.2
226.741	563.8
227.119	571.6
227.497	579.4
227.876	553.4
228.254	574.2
228.633	575.4
229.011	563.4
229.39	573.8
229.769	569.4
230.148	564.2
230.527	582
230.905	568
231.284	568
231.664	559.4
232.043	573.4
232.422	572.2
232.801	560.4
233.181	578.8
233.56	569.4
233.94	572.8
234.319	557.6
234.699	560.6
235.079	602.8
235.458	604.4
235.838	582.8
236.218	563.2
236.598	551.2
236.978	564.8
237.358	560.8
237.738	568.8
238.119	570.6
238.499	563.4
238.88	570.4
239.26	586.6
239.641	558
240.021	562
240.402	564.6
240.783	559
241.163	568.2
241.544	578.6
241.925	566.2
242.306	580.6
242.687	584.2
243.069	572.6
243.45	569.2
243.831	561
244.212	563.2
244.594	601.2
244.975	575.8
245.357	565
245.739	568.6
246.12	564.2
246.502	582.2
246.884	563.6
247.266	571.8
247.648	569.8
248.03	590.4
248.412	562.6
248.794	579
249.176	568.4
249.559	579.8
249.941	557.4
250.323	556.4
250.706	563.8
251.089	567.4
251.471	578.8
251.854	567.2
252.237	573.2
252.62	576.2
253.002	564.6
253.385	565.8
253.769	585.6
254.152	573.6
254.535	579
254.918	565.2
255.301	568.2
255.685	565.8
256.068	559.4
256.452	596.2
256.835	581.6
257.219	581.8
257.603	575
257.986	559.6
258.37	578.6
258.754	551.8
259.138	575
259.522	583.8
259.906	566.4
260.29	571.2
260.675	572
261.059	569.8
261.443	559.2
261.828	573.4
262.212	576.6
262.597	565.2
262.981	566.2
263.366	579.8
263.751	575.2
264.136	569.8
264.521	574
264.906	571.4
265.291	586.2
265.676	561.2
266.061	578.6
266.446	584
266.831	574
267.217	592.8
267.602	573.2
267.987	562.8
268.373	573.6
268.759	579.6
269.144	576
269.53	578.6
269.916	563.8
270.302	562.8
270.688	576
271.074	572.2
271.46	584.2
271.846	607
272.232	567.6
